TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,", 113 - 107 ,",,,NUMBER,", 113 - 107",Extra comma before the score.,qwen_medium,p3_sent,16327.22
S001,1,2,Wednesday,18.0,18.0,WORD,"February 3, 2017","The day of the week is not provided in the box score, but the date is available.",qwen_medium,p3_sent,16327.22
S001,2,1,30 - point,,,NUMBER,12-point,"The Celtics won by 12 points, not 30.",qwen_medium,p3_sent,16327.22
S001,3,1,six assists,,,NUMBER,4 assists,"Isaiah Thomas had 4 assists, not 6.",qwen_medium,p3_sent,16327.22
S001,3,2,two rebounds,,,NUMBER,2 rebounds,"Isaiah Thomas had 2 rebounds, which is correct.",qwen_medium,p3_sent,16327.22
S001,3,3,a steal,,,NUMBER,1 steal,"Isaiah Thomas had 1 steal, not a single steal.",qwen_medium,p3_sent,16327.22
S001,4,1,a block,107.0,108.0,NUMBER,1 block,"Al Horford had 1 block, not just 'a block'.",qwen_medium,p3_sent,16327.22
S001,5,1,18,25.0,25.0,NUMBER,18,"The points are correct, but the box score shows Jae Crowder had 18 points, not 18.",qwen_medium,p3_sent,16327.22
S001,5,2,12,120.0,120.0,NUMBER,6,"The box score shows Jae Crowder had 6 rebounds, not 12.",qwen_medium,p3_sent,16327.22
S001,6,1,an assist,129.0,130.0,NUMBER,1 assist,"Jae Crowder had 1 assist, not 'an assist'.",qwen_medium,p3_sent,16327.22
S001,6,2,a pair of steals,152.0,155.0,NUMBER,2 steals,"Jae Crowder had 2 steals, not 'a pair of steals'.",qwen_medium,p3_sent,16327.22
S001,7,1,an assist,129.0,130.0,NUMBER,1 assist,"Jae Crowder had 1 assist, not an assist.",qwen_medium,p3_sent,16327.22
S001,7,2,two steals,132.0,133.0,NUMBER,2 steals,"Jae Crowder had 2 steals, which is correct.",qwen_medium,p3_sent,16327.22
S001,8,1,a block,107.0,108.0,NUMBER,1 block,"Al Horford had 1 block, not just 'a block'.",qwen_medium,p3_sent,16327.22
S001,9,1,10,196.0,196.0,NUMBER,7,"Kelly Olynyk scored 7 points, not 10.",qwen_medium,p3_sent,16327.22
S001,9,2,nine,199.0,199.0,NUMBER,9,"Kelly Olynyk had 9 rebounds, which is correct.",qwen_medium,p3_sent,16327.22
S001,9,3,two,85.0,85.0,NUMBER,2,"Kelly Olynyk had 2 assists, which is correct.",qwen_medium,p3_sent,16327.22
S001,9,4,a pair of,152.0,154.0,NUMBER,0,"Kelly Olynyk had 0 steals, not a pair (2).",qwen_medium,p3_sent,16327.22
S001,10,1,Friday night,223.0,224.0,CONTEXT,,"The box score does not provide information about future games, so this cannot be verified.",qwen_medium,p3_sent,16327.22
S001,10,2,Wednesday night,238.0,239.0,CONTEXT,,"The box score does not provide information about future games, so this cannot be verified.",qwen_medium,p3_sent,16327.22
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,Incorrect team name for the home team.,qwen_medium,p3_sent,16327.22
S002,1,2,110 - 110,9.0,11.0,NUMBER,110 - 106,Incorrect final score.,qwen_medium,p3_sent,16327.22
S002,1,3,Saturday,18.0,18.0,WORD,Tuesday,Incorrect day of the week.,qwen_medium,p3_sent,16327.22
S002,2,1,struggling,26.0,26.0,CONTEXT,,The teams are not described as struggling in the box score or summary.,qwen_medium,p3_sent,16327.22
S002,3,1,Hawks out,,,WORD,Cavaliers out,"The sentence incorrectly states that the Hawks outscored the Hawks, which is illogical.",qwen_medium,p3_sent,16327.22
S002,3,2,37 - 20,50.0,52.0,NUMBER,27 - 20,The fourth quarter score is incorrect according to the box score.,qwen_medium,p3_sent,16327.22
S002,4,1,19 turnovers,78.0,79.0,NUMBER,6 turnovers,"The box score shows the Cavaliers had 6 turnovers, not 19.",qwen_medium,p3_sent,16327.22
S002,4,2,21 assists,75.0,76.0,NUMBER,21 assists,"The box score confirms the Cavaliers had 21 assists, so this is correct.",qwen_medium,p3_sent,16327.22
S002,5,1,three,102.0,102.0,NUMBER,two,"The Hawks have won two of their last five games, not three.",qwen_medium,p3_sent,16327.22
S002,6,1,17 points,127.0,128.0,NUMBER,7 points,"Dwight Howard scored 7 points, not 17.",qwen_medium,p3_sent,16327.22
S002,6,2,3 of 5,,,NUMBER,3 of 4,"Dwight Howard made 3 of 4 field goals, not 3 of 5.",qwen_medium,p3_sent,16327.22
S002,7,1,tallying 25 points,150.0,152.0,NUMBER,25 points,"The number of points is correct, but the verb 'tallying' is incorrect; it should be 'totaling'.",qwen_medium,p3_sent,16327.22
S002,8,1,Kent Bazemore,143.0,144.0,NUMBER,"25 points, 6 rebounds, 3 assists","The sentence correctly states Bazemore's stats, but the box score shows he had 25 points, 6 rebounds, and 3 assists, not '25 points, six rebounds and three assists'.",qwen_medium,p3_sent,16327.22
