TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,38 points,,,75,76,NUMBER,17,"Isaiah Thomas scored 17 points, not 38."
S001,3,2,six assists,,,82,83,WORD,20,"D'Angelo Russell had 20 points, not six assists."
S001,4,1,eight assists,,,104,105,NUMBER,eight rebounds,"Al Horford had eight rebounds, not eight assists."
S001,5,1,18 -,,,116,117,NUMBER,34,"Jae Crowder scored 34 points, not 18."
S001,5,2,12 -,,,120,121,NUMBER,6,"Jae Crowder grabbed 6 rebounds, not 12."
S001,6,1,Jae Crowder,,,110,111,NAME,Jae Crowder,"No mistake, tokens are correct."
S001,6,2,18 points,,,143,144,NUMBER,18 points,Points should be a singular noun.
S001,7,1,Jae Crowder,,,110,111,NAME,Jae Crowder,"No mistake, tokens are correct."
S001,7,2,18 points,,,143,144,NUMBER,34 points,Incorrect points total for Jae Crowder.
S001,8,1,eight assists,,,104,105,NUMBER,11 assists,"Al Horford had 11 assists, not 8."
S001,9,1,second unit,,,,,NAME,bench,The correct term for the second unit is 'bench'.
S001,10,1,Detroit Pistons,,,220,221,NAME,Toronto Raptors,Incorrect team name.
S001,10,2,Wednesday,,,18,18,WORD,Friday,Incorrect day of the week.
S002,2,1,two struggling,,,25,26,CONTEXT,the,"The sentence implies both teams were struggling, but the box score shows the Hawks were undefeated."
S002,3,1,In fact,,,41,42,CONTEXT,The,The sentence starts with a contextually misleading phrase.
S002,3,2,the Hawks outscored the Hawks,,,44,48,NAME,Cavaliers,"The opposing team is the Cavaliers, not the Hawks."
S002,4,1,19 turnovers,,,78,79,NUMBER,21,"The Hawks had 21 assists, not 19."
S002,4,2,19 turnovers,,,78,79,NUMBER,21,"The Cavaliers had 21 assists, not 19."
S002,5,1,have now won,,,99,101,CONTEXT,The Hawks (5-2) have now won three of their last five games,"The sentence implies the Hawks have won three of their last five games, but the box score does not provide this information."
S002,6,1,17 points,,,127,128,NUMBER,17,"Howard had 17 rebounds, not 17 points."
S002,6,2,3 of 5,,,,,NUMBER,3 of 5,"Howard's shooting percentage was 3 of 5, not 3 of 5 points."
S002,7,1,Kent Bazemore,,,143,144,NAME,Bazemore,First name 'Kent' is incorrect.
S002,8,1,totaling 25 points,,,171,173,NUMBER,toted,Bazemore's total points should be corrected to 'toted' 25 points.
S002,9,1,Sunday,,,188,188,NAME,Tuesday,"The game was played on Tuesday, not Sunday."
S002,10,1,6 -1,,,,,NUMBER,(5-2),The box score shows the Cavaliers' record as 5-2.
S002,11,1,LeBron James,,,221,222,NAME,Dennis Schroder,LeBron James is not the leading scorer for Cleveland.
S002,12,1,Kyrie Irving,,,245,246,NAME,LeBron James,Kyrie Irving is not second on the team in points.
