TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Los Angeles,6,7,,,NAME,Boston,"The box score indicates the game was played in Boston, not Los Angeles."
S001,3,1,six assists,16,17,,,NUMBER,two,"Isaiah Thomas had two assists, not six."
S001,4,1,Horford was right behind him,2,6,,,NAME,Al Horford,The player's name is misspelled.
S001,5,1,Crowder was next with a,2,6,,,NAME,Jae Crowder,"The player's name is correct, but the sentence structure is incorrect."
S001,9,1,Kelly Olynyk,1,2,,,NAME,"Kelly Olynyk is not the player who led the second unit, but rather the player who led the second unit is not specified in the box score.",The box score does not specify the player who led the second unit.
S001,10,1,Lakers head back home to,2,6,,,NAME,Celtics,The Lakers are not the team playing at home.
S001,10,2,Detroit Pistons,11,12,,,NAME,Raptors,"The opposing team is the Toronto Raptors, not the Detroit Pistons."
S001,10,3,Friday night,14,15,,,NOT_CHECKABLE,,The day of the week and time of the game are not specified in the box score.
S001,10,4,Wednesday night,29,30,,,NOT_CHECKABLE,,The day of the week and time of the game are not specified in the box score.
S001,10,5,face off,7,8,,,WORD,play,The correct phrase is 'play' instead of 'face off'.
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cavaliers,"The Hawks defeated the Cavaliers, not the Hawks."
S002,2,1,two struggling,5,6,,,WORD,struggling teams,"The teams were not necessarily struggling, but the sentence implies they were."
S002,3,1,Hawks outscored the Hawks,5,8,,,WORD,Cavaliers,"The Hawks outscored the Cavaliers, not the Hawks."
S002,4,1,21 assists to 19 turnovers,17,21,,,NUMBER,19,The Hawks actually committed 19 turnovers to 21 assists.
S002,5,1,three of their last five,11,15,,,NUMBER,two,The Hawks have now won two of their last five games.
S002,6,1,17 rebounds,16,17,,,NUMBER,17,"The box score shows Dwight Howard hauled in 17 rebounds, not 17 points."
