TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S002,1,1,Atlanta Hawks,,,Name,Cavaliers,Incorrect team name,llama_medium,4892.2
S002,1,2,Saturday,18.0,18.0,Name,Tuesday,Incorrect day of the week,llama_medium,4892.2
S002,1,3,110 - 110,9.0,11.0,Number,110-106,Incorrect score,llama_medium,4892.2
S002,2,4,37 - 20,50.0,52.0,Number,None,Incorrect score,llama_medium,4892.2
S002,3,5,21 19,,,Number,None,Incorrect assist-to-turnover ratio,llama_medium,4892.2
S002,4,6,3 - 5,,,Number,None,Incorrect shooting percentage,llama_medium,4892.2
S002,5,7,17 17,,,Number,None,Incorrect points and rebounds,llama_medium,4892.2
S002,6,8,25 six three,,,Number,None,"Incorrect points, rebounds, and assists",llama_medium,4892.2
S002,7,9,Sunday,188.0,188.0,Name,None,Incorrect day of the week,llama_medium,4892.2
S002,8,10,Toronto Raptors,,,Name,None,Incorrect team name,llama_medium,4892.2
S002,9,11,Sunday,188.0,188.0,Name,None,Incorrect day of the week,llama_medium,4892.2
S002,10,12,Orlando Magic,,,Name,None,Incorrect team name,llama_medium,4892.2
S006,1,1,The Houston Rockets ( 10 - 12 ) defeated the Brooklyn Nets ( 6 - 15 ) 110 - 105 on Friday .,1.0,23.0,OTHER,Tuesday,Incorrect day of the week,llama_medium,4892.2
S006,2,2,The Nets came into this game as a double - digit favorite and they did n't disappoint,24.0,40.0,OTHER,The Nets came into this game as a double-digit underdog,Incorrect description of the Nets' status,llama_medium,4892.2
S006,3,3,"They were led by James Harden , who tallied 10 points , nine assists , three rebounds and three steals .",,,OTHER,"James Harden tallied 10 points, nine assists, three rebounds and three steals in the win",Incorrect description of James Harden's performance,llama_medium,4892.2
S006,4,4,"Trevor Ariza was the only other starter in double figures , as he tallied 2 points , four rebounds and four assists .",,,OTHER,"Trevor Ariza was the only other starter in double figures, as he tallied 2 points, four rebounds and four assists in the defeat",Incorrect description of Trevor Ariza's performance,llama_medium,4892.2
S006,5,5,The Rockets will look to bounce - back against the Orlando Magic on Wednesday .,,,OTHER,The Rockets will look to bounce-back against the Wizards on Wednesday,Incorrect opponent and day of the week,llama_medium,4892.2
S006,6,6,The Nets played this game without Brook Lopez .,,,OTHER,The Nets played this game with Brook Lopez,Incorrect information about Brook Lopez's participation,llama_medium,4892.2
S006,7,7,"Brook Lopez did all he could to keep the Nets in this game , as he tallied 24 points , eight rebounds and five blocks .",,,OTHER,"Brook Lopez did all he could to keep the Nets in this game, as he tallied 24 points, eight rebounds and five blocks in the win",Incorrect description of Brook Lopez's performance,llama_medium,4892.2
S006,8,8,"Thaddeus Young was the only other starter in double figures , as he amassed 20 points , 12 rebounds and five assists .",163.0,185.0,OTHER,"Thaddeus Young was the only other starter in double figures, as he amassed 20 points, 12 rebounds and five assists",Incorrect description of Thaddeus Young's performance,llama_medium,4892.2
S006,9,9,The Nets will look to keep this momentum going against the Atlanta Hawks .,,,OTHER,The Nets will look to keep this momentum going against the Wizards on Friday,Incorrect opponent and day of the week,llama_medium,4892.2
S007,1,1,"Russell Westbrook and Russell Westbrook both the Oklahoma City Thunder and the Oklahoma City Thunder, however, as they continue to play at the Sleep Train Arena.",,,OTHER,"Russell Westbrook played for the Oklahoma City Thunder, not both teams.",Name mistake: incorrect team name,llama_medium,4892.2
S007,2,2,"Westbrook finished with 36 points, 11 rebounds, seven assists, four steals and one block on 11 - of - 21 shooting, while Westbrook scored 36 points on 11 - of - 21 shooting, to go along with 11 rebounds, seven assists, three steals and one block, in 36 minutes.",,,CONTEXT,"Westbrook finished with 36 points, 10 assists, 11 rebounds, four steals and seven turnovers on 11-of-21 shooting.",Context mistake: incorrect stats,llama_medium,4892.2
S007,3,3,"Enes Kanter was the only other Thunder player to score in double digits, as he finished with 29 points on 10 - of - 18 shooting, in 32 minutes off the bench.",,,OTHER,Enes Kanter was not the only other Thunder player to score in double digits.,Other mistake: incorrect information,llama_medium,4892.2
S007,4,4,"The Kings shot 46 percent from the field and 36 percent from long range, while the Kings shot 46 percent from the field and 36 percent from long range.",,,CONTEXT,"The Thunder shot 44 percent from the field and 32 percent from long range, while the Kings shot 46 percent from the field and 36 percent from long range.",Context mistake: incorrect team stats,llama_medium,4892.2
