TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Wednesday,,,18,18,NAME,Friday,"The game was played on Friday, not Wednesday."
S001,2,2,Friday,,,49,49,NAME,Wednesday,"The game was played on Wednesday, not Friday."
S001,3,3,30 - point,,,,,NUMBER,113 - 107,"The Celtics won by 6 points, not 30 points."
S001,4,4,two rebounds,,,,,NUMBER,2 rebounds,"Isaiah Thomas had 2 rebounds, not two."
S001,5,5,"18 - point , 12 - rebound double - double",,,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not 12."
S001,6,6,an assist,,,,,NUMBER,1 assist,"Jae Crowder had 1 assist, not an assist."
S001,7,7,a pair of steals,,,,,NUMBER,2 steals,"Jae Crowder had 2 steals, not a pair of steals."
S001,8,8,a block,,,,,NUMBER,1 block,"Jae Crowder had 1 block, not a block."
S001,9,9,"Kelly Olynyk led the second unit with 10 points , nine rebounds , two assists and a pair of steals",,,,,NUMBER,"Kelly Olynyk led the second unit with 7 points, 9 rebounds, 2 assists, and 2 steals","Kelly Olynyk had 7 points, 9 rebounds, 2 assists, and 2 steals, not 10 points, 9 rebounds, 2 assists, and a pair of steals."
S001,10,10,Friday night,,,,,NAME,Saturday night,"The Lakers play against the Detroit Pistons on Saturday, not Friday."
S001,11,11,Wednesday night,,,,,NAME,Friday night,"The Celtics play against the Toronto Raptors on Friday, not Wednesday."
S002,1,1,The Atlanta Hawks defeated the Atlanta Hawks,,,1,7,NAME,Cleveland Cavaliers,The second 'Atlanta Hawks' should be 'Cleveland Cavaliers'.
S002,1,2,110 - 110,,,9,11,NUMBER,110 - 106,The score is incorrect. It should be 110 - 106.
S002,1,3,Saturday,,,18,18,NAME,Tuesday,The day of the week is incorrect. It should be Tuesday.
S002,3,4,the Hawks outscored the Hawks,,,44,48,NAME,the Hawks outscored the Cavaliers,The second 'Hawks' should be 'Cavaliers'.
S002,3,5,37 - 20,,,50,52,NUMBER,27 - 37,The fourth-quarter score is incorrect. It should be 27 - 37.
S002,4,6,"the Hawks recording 21 assists to 19 turnovers , while the Cavaliers committed 19 turnovers to just 21 assists",,,72,90,NUMBER,"the Cavaliers recording 21 assists to 6 turnovers, while the Hawks committed 19 turnovers to 22 assists","The assist-to-turnover ratios are incorrect. The Cavaliers had 21 assists and 6 turnovers, while the Hawks had 22 assists and 19 turnovers."
S002,5,7,The Hawks have now won three of their last five games,,,,,NUMBER,The Cavaliers have now won three of their last five games,"The team mentioned is incorrect. It should be the Cavaliers, not the Hawks."
