TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,D'Angelo,,,,,NAME,D'Angelo Russell,Player's full name should include 'Russell'
S001,1,2,six,,,82,82,NUMBER,five,Number of rebounds should be five
S001,2,1,30,,,54,54,NUMBER,11,"The Celtics won by 11 points, not 30."
S001,3,1,six,,,82,82,NUMBER,two,"The sentence states six assists, but the box score shows Isaiah Thomas had two assists."
S001,3,2,two,,,85,85,NUMBER,four,"The sentence states two rebounds, but the box score shows Isaiah Thomas had four rebounds."
S001,4,1,eight,,,101,101,NUMBER,seven,"Horford had seven rebounds, not eight."
S001,5,1,12,,,120,120,NUMBER,6,The number of rebounds is incorrect.
S001,6,1,six,,,82,82,NUMBER,eight,The number of rebounds is incorrect.
S001,8,1,eight,,,101,101,NUMBER,seven,"Horford had seven rebounds, not eight."
S001,9,1,10,,,196,196,NUMBER,7,"Kelly Olynyk had 7 points, not 10."
S001,9,2,nine,,,199,199,NUMBER,3,"Kelly Olynyk had 3 rebounds, not 9."
S001,10,1,eight,,,101,101,NUMBER,11,"Al Horford had 11 rebounds, not 8."
S001,10,2,eight,,,101,101,NUMBER,6,"Al Horford had 6 assists, not 8."
S002,1,1,Atlanta,,,2,2,NAME,Cleveland,The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks instead of the Cleveland Cavaliers.
S002,1,2,Saturday,,,18,18,NAME,Tuesday,The day of the game is incorrectly stated as Saturday instead of Tuesday.
S002,3,1,Hawks,,,3,3,NAME,Cavaliers,The sentence incorrectly states that the Hawks outscored themselves in the fourth quarter.
S002,4,1,19,,,78,78,NUMBER,21,"The Hawks recorded 21 assists, not 19."
S002,4,2,21,,,75,75,NUMBER,19,"The Cavaliers committed 19 turnovers, not 21."
S002,6,1,17,,,127,127,NUMBER,7,"Howard had 7 points, not 17."
S002,6,2,17,,,127,127,NUMBER,17,"Howard had 17 rebounds, not 17 points."
S002,7,1,six,,,154,154,NUMBER,5,"The box score shows Bazemore had 5 rebounds, not 6."
S002,8,1,six,,,154,154,NUMBER,five,"The box score shows Bazemore had five rebounds, not six."
S002,12,1,four,,,259,259,NUMBER,three,"The sentence states Irving had four rebounds, but the box score shows he had three."
S002,13,1,11,,,277,277,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S002,14,1,25,,,151,151,NUMBER,0,Tristan Thompson did not provide 25 points.
S002,14,2,two,,,25,25,NUMBER,2,"Tristan Thompson had 2 rebounds, not two."
S002,14,3,four,,,259,259,NUMBER,0,Tristan Thompson did not have four assists.
S003,1,1,Saturday,,,17,17,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,Friday,,,51,51,NAME,Sunday,"The game was played on Sunday, not Friday."
S003,3,1,five,,,90,90,NUMBER,4,"DeMar DeRozan had four rebounds, not five."
S003,4,1,steal,,,97,97,WORD,assist,Kyle Lowry did not have a steal according to the box score.
S003,4,2,block,,,127,127,WORD,assist,Kyle Lowry did not have a block according to the box score.
S003,5,1,block block block,,,,,NUMBER,one,"Valanciunas recorded one block, not three."
S003,6,1,block and a block,,,152,155,NUMBER,one,"Valanciunas recorded only one block, not three."
S003,10,1,13,,,139,139,NUMBER,10,"Elfrid Payton scored 10 points, not 13."
S003,11,1,10,,,111,111,NUMBER,7,"Aaron Gordon had 7 points, not 10."
S003,11,2,12,,,64,64,NUMBER,5,"Aaron Gordon had 5 rebounds, not 12."
S003,13,1,10,,,111,111,NUMBER,7,"Aaron Gordon had 7 points, not 10."
S003,13,2,12,,,64,64,NUMBER,5,"Aaron Gordon had 5 rebounds, not 12."
S004,5,1,43,,,120,120,NUMBER,47,"The total rebounds for the Jazz were 47, not 43."
S004,5,2,24,,,97,97,NUMBER,20,"The total rebounds for the Lakers were 20, not 24."
S004,7,1,17,,,164,164,NUMBER,15,"Lou Williams scored 17 points, not D'Angelo Russell."
S004,8,1,12,,,187,187,NUMBER,10,"Deng had 10 rebounds, not 12."
S004,9,1,17,,,164,164,NUMBER,15,"Lou Williams led the team with 17 points, not D'Angelo Russell."
S004,10,1,12,,,187,187,NUMBER,10,"Deng had 10 rebounds, not 12."
S004,13,1,three,,,100,100,NUMBER,2,"George Hill had 2 rebounds, not 3."
S004,14,1,13,,,313,313,NUMBER,10,"Rudy Gobert had 10 rebounds, not 13."
S004,15,1,13,,,313,313,NUMBER,10,"Rudy Gobert had 10 rebounds, not 13."
S004,16,1,13,,,313,313,NUMBER,11,"Favors scored 11 points, not 13."
S004,16,2,nine,,,,,NUMBER,8,"Favors had 8 rebounds, not 9."
S005,1,1,Hawks,,,2,2,NAME,Magic,The sentence incorrectly states that the Hawks elicited 15 turnovers from themselves instead of the Magic.
S005,2,1,21,,,35,35,NUMBER,20,"Paul Millsap scored 20 points, not 21."
S005,4,1,one,,,64,64,NUMBER,zero,"The box score shows Dwight Howard had zero blocks, not one."
S005,6,1,27,,,117,117,NUMBER,8,"Kent Bazemore's actual points were 8, not 27."
S005,7,1,Orlando,,,154,154,NAME,Atlanta,"Paul Millsap plays for Atlanta, not Orlando."
S005,8,1,one,,,64,64,NUMBER,zero,"The box score shows Dwight Howard had zero blocks, not one."
S005,10,1,New York,,,,,NAME,Toronto,"The Hawks are scheduled to face the Toronto Raptors, not the New York Knicks."
S006,1,1,Friday,,,22,22,NAME,Tuesday,"The game was played on Tuesday, not Friday."
S006,3,1,10,,,5,5,NUMBER,18,"James Harden scored 18 points, not 10."
S006,4,1,2 points,,,,,NUMBER,0,Trevor Ariza scored 0 points according to the box score.
S006,8,1,12,,,7,7,NUMBER,10,"Thaddeus Young had 10 rebounds, not 12."
S007,2,1,seven,,,39,39,NUMBER,three,The number of blocks is incorrect.
S007,2,2,four,,,42,42,NUMBER,three,The number of steals is incorrect.
S007,3,1,off the bench,,,,,WORD,starting,"Enes Kanter started the game, not came off the bench."
S007,5,1,11,,,36,36,NUMBER,10,The number of assists is incorrect.
S007,6,1,21,,,52,52,NUMBER,4,"Steven Adams had 4 rebounds, not 21."
S007,6,2,one,,,45,45,NUMBER,3,"Steven Adams had 3 steals, not one."
S008,1,1,Monday,,,379,379,NAME,Saturday,"The game was played on Saturday, not Monday."
S008,3,1,22,,,104,104,NUMBER,20,"Marc Gasol scored 20 points, not 22."
S008,5,1,off the bench,,,,,WORD,starting,Zach Randolph is listed as a starter in the box score.
S008,8,1,Grizzlies,,,3,3,NAME,Jazz,"Gordon Hayward plays for the Jazz, not the Grizzlies."
S008,9,1,22,,,104,104,NUMBER,6,"Rudy Gobert scored 6 points, not 22."
S008,9,2,9 - of - 17,,,,,NUMBER,,Rudy Gobert's shooting stats are not available as he did not play.
S008,9,3,bench,,,202,202,WORD,starting,"Rudy Gobert started the game, not coming off the bench."
S009,1,1,122,,,10,10,NUMBER,114,"The score was 122-114, not 122-122."
S009,1,2,Tuesday,,,20,20,NAME,Friday,"The game was played on Friday, not Tuesday."
S009,3,1,double,,,59,59,WORD,single,The Bucks did not lead by double digits for the entirety of the second half.
S009,6,1,41,,,129,129,NUMBER,40,"Giannis Antetokounmpo scored 41 points, not 41 as stated for D'Angelo Russell."
S009,7,1,26,,,156,156,NUMBER,0,Luol Deng did not score any points according to the box score.
S009,8,1,three,,,132,132,NUMBER,five,"The sentence states three rebounds, but the box score shows five rebounds for D'Angelo Russell."
S009,11,1,eight,,,242,242,NUMBER,six,"The box score shows Giannis Antetokounmpo had six assists, not eight."
S009,12,1,18,,,259,259,NUMBER,16,"Khris Middleton scored 16 points, not 18."
