TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,LEFT_CONTEXT,RIGHT_CONTEXT,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S024,1.0,1,host Golden State Warriors demolished Sacramento Kings,,on,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,2,114 - 100,on,,10.0,12.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,3,Golden State,on,is,56.0,57.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,4,58 - 14,is,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,5,on Friday,with,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,6,Third,of,its,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,7,60,straight,win,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,8,just,with,games,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,9,remaining,games,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,10,enjoyed pure,Fans,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,11,Friday,on,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,12,two,backs,of,273.0,273.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,13,healthy,backs,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,14,All-Defense,of,Steph,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,15,3 -,All-Defense,points,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,16,six,points,,248.0,248.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,17,3 -,points,points,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,18,three,points,blocks,288.0,288.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,19,37,a,assists,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,20,27,points,and,232.0,232.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,21,23,points,,279.0,279.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,22,10,points,,197.0,197.0,,,,qwen_small,p4_strat_1,4828.76
