TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,2,1,32,4,4,,,NUMBER,32-18,"The Celtics record is actually 32-18, not 32-36."
S001,3,1,six,16,16,,,NUMBER,four,"The sentence states that Isaiah Thomas had six assists, but according to the box score data, he had four assists."
S001,4,1,eight assists,14,15,,,NUMBER,seven assists,"Marcus Smart had seven assists, not eight."
S001,5,1,Jae Crowder,1,2,,,NAME,Jae Crowder is not present in the box score data,The player Jae Crowder is not present in the box score data.
S002,2,1,road,18,18,,,WORD,home,"The sentence says the Hawks had a huge road win, but the box score data does not contain information about the location of the game."
S002,1,1,Hawks,3,3,,,WORD,Cavaliers,"The sentence says the Hawks outscored the Hawks, but the box score data does not support this claim."
S002,5,1,three,11,11,,,NUMBER,two,The Hawks have now won two of their last five games.
S002,6,1,17 rebounds,16,17,,,NUMBER,17 rebounds,"The player had 17 rebounds, not 17 points."
S002,9,1,Sunday,8,8,,,WORD,Tuesday,"The story says the Hawks will play the Raptors on Sunday, but the box score data says the game was played on Tuesday."
S002,12,1,second,4,4,,,WORD,first,"Kyrie Irving was first on the team in points, not second."
S002,7,1,25,9,9,,,NUMBER,0,"The player Tristan Thompson scored 0 points, not 25."
S003,1,1,Saturday,17,17,,,WORD,Sunday,"The game was played on Sunday, not Saturday."
S003,9,1,They,1,1,,,WORD,The Raptors,"The sentence is referring to the Raptors, not a generic pronoun."
S003,11,1,Aaron,1,1,,,NAME,Nikola,The player name is incorrect. The correct name is Nikola.
S003,2,1,12,45,45,,,NUMBER,10,"Aaron Gordon had 10 rebounds, not 12."
S004,3,1,fourth,23,23,,,WORD,third,"The Jazz led for the majority of the game, as they outscored the Lakers by 16 in the third quarter."
S004,7,1,17,12,12,,,NUMBER,9,The sentence states that D
S004,11,1,Sunday,16,16,,,NAME,Friday,"The story says the game is on Friday, but the box score data says the game is on Friday as well. However, the sentence is trying to say that the next game is on Sunday, which is correct."
S004,14,1,13,10,10,,,NUMBER,13,"Rudy Gobert finished second on the team, totaling 13 points, 13 rebounds and four blocks."
S005,1,1,35 percent success rate from the floor and 26 percent from three - point range,8,22,,,NUMBER,,"The Hawks held the Magic to a 35 percent success rate from the floor and 26 percent from three - point range, while also eliciting 15 turnovers from the Hawks ( 30 - 21 )."
S005,5,1,27,7,7,,,NUMBER,8,"The player scored 8 points, not 27."
S005,4,1,one block,24,25,,,WORD,one block,"The sentence says that Dwight Howard had one block, but the box score data says that he had none."
S005,10,1,Monday,15,15,,,NAME,Tuesday,"The Magic head back home to face off with the New York Knicks on Tuesday night, while the Hawks remain home and await the Toronto Raptors on Friday evening as well."
S006,1,1,Friday,22,22,,,WORD,Tuesday,"The game was played on Tuesday, not Friday."
S006,1,1,10,5,5,,,NUMBER,22,"James Harden scored 22 points, not 10."
S006,5,1,Wednesday,14,14,,,NAME,Tuesday,"The Rockets next game is on Tuesday, not Wednesday."
S007,2,1,11 rebounds,7,8,,,NUMBER,7,"The sentence states Westbrook had 11 rebounds, but the box score data shows he had 7 rebounds."
S008,1,1,Saturday,19,19,,,NAME,Tuesday,"The story says the Grizzlies came in to Saturday's contest, but the box score data does not provide information about the day of the week the game was played."
S008,4,1,7 - of - 14,9,13,,,NUMBER,7-of-11,"The player made 7 of 11 shots, not 7 of 14."
S008,5,1,23,26,26,,,NUMBER,,"The player Zach Randolph played 23 minutes, not off the bench."
