TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Los,6.0,6.0,NAME,Boston,The home team is the Boston Celtics.,llama_small,p0d_sent,5240.62
S001,1,2,Wednesday,18.0,18.0,NAME,Friday,The game was played on Friday.,llama_small,p0d_sent,5240.62
S001,1,3,107,12.0,12.0,NUMBER,101,"The Lakers scored 101, not 107.",llama_small,p0d_sent,5240.62
S001,2,1,32,23.0,23.0,NUMBER,31,The Celtics' win-loss record was 31-18.,llama_small,p0d_sent,5240.62
S001,2,2,Friday,49.0,49.0,NAME,Thursday,"The game was played on Thursday, not Friday.",llama_small,p0d_sent,5240.62
S001,2,3,30,54.0,54.0,NUMBER,29,The Celtics' win over the Lakers was by 29 points.,llama_small,p0d_sent,5240.62
S001,2,4,Lakers,8.0,8.0,NAME,Celtics,"The Celtics were the visiting team, not the Lakers.",llama_small,p0d_sent,5240.62
S001,2,5,17,62.0,62.0,NUMBER,18,The Lakers' win-loss record was 18-36.,llama_small,p0d_sent,5240.62
S001,3,1,38,75.0,75.0,NUMBER,points,The sentence is missing the word 'points'.,llama_small,p0d_sent,5240.62
S001,4,1,11,98.0,98.0,NUMBER,8,"Al Horford accumulated 8 rebounds, not 11.",llama_small,p0d_sent,5240.62
S001,4,2,eight,101.0,101.0,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists.",llama_small,p0d_sent,5240.62
S001,4,3,eight,101.0,101.0,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists.",llama_small,p0d_sent,5240.62
S001,4,4,block,108.0,108.0,WORD,,Al Horford did not block any shots.,llama_small,p0d_sent,5240.62
S001,5,1,18,25.0,25.0,NUMBER,12,"Jae Crowder's double-double included 12 rebounds, not 18.",llama_small,p0d_sent,5240.62
S001,5,2,12,120.0,120.0,NUMBER,assist,"Jae Crowder's double-double included an assist, not 12 rebounds.",llama_small,p0d_sent,5240.62
S001,5,3,block,108.0,108.0,WORD,blocks,"Jae Crowder's double-double included blocks, not a block.",llama_small,p0d_sent,5240.62
S001,6,1,18,25.0,25.0,NUMBER,6,"Jae Crowder had 6 rebounds, not 18.",llama_small,p0d_sent,5240.62
S001,6,2,assist,130.0,130.0,WORD,assists,"The correct verb is 'assists', not 'assist'.",llama_small,p0d_sent,5240.62
S001,6,3,pair,153.0,153.0,WORD,pairs,"The correct noun is 'pairs', not 'pair'.",llama_small,p0d_sent,5240.62
S001,7,1,Jae,110.0,110.0,NAME,Jaylen,The correct name of the player is Jaylen Brown.,llama_small,p0d_sent,5240.62
S001,7,2,Crowder,111.0,111.0,NAME,Brown,The correct name of the player is Jaylen Brown.,llama_small,p0d_sent,5240.62
S001,7,3,was,69.0,69.0,WORD,was not,"The sentence should indicate that Brown was not playing, but rather was injured or absent.",llama_small,p0d_sent,5240.62
S001,7,4,next,113.0,113.0,WORD,leading scorer,The sentence should indicate that Brown was the leading scorer.,llama_small,p0d_sent,5240.62
S001,7,5,18,25.0,25.0,NUMBER,12,"Brown scored 12 points, not 18.",llama_small,p0d_sent,5240.62
S001,7,6,six,82.0,82.0,NUMBER,three,"Brown had three rebounds, not six.",llama_small,p0d_sent,5240.62
S001,7,7,an,129.0,129.0,WORD,no,Brown did not have an assist.,llama_small,p0d_sent,5240.62
S001,7,8,two,85.0,85.0,NUMBER,no,Brown did not have two steals.,llama_small,p0d_sent,5240.62
S001,8,1,11,98.0,98.0,NUMBER,8,"Al Horford accumulated 8 rebounds, not 11.",llama_small,p0d_sent,5240.62
S001,8,2,eight,101.0,101.0,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists.",llama_small,p0d_sent,5240.62
S001,8,3,eight,101.0,101.0,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists.",llama_small,p0d_sent,5240.62
S001,8,4,block,108.0,108.0,WORD,,There is no information about Al Horford blocking a shot in the provided data.,llama_small,p0d_sent,5240.62
S001,9,1,Kelly,189.0,189.0,NAME,Kelly Olynyk,The correct name of the player is Kelly Olynyk.,llama_small,p0d_sent,5240.62
S001,9,2,Olynyk,190.0,190.0,NAME,Olynyk,The correct spelling of the player's last name is Olynyk.,llama_small,p0d_sent,5240.62
S001,9,3,led,70.0,70.0,WORD,led the team,The sentence should specify that Olynyk led the second unit.,llama_small,p0d_sent,5240.62
S001,9,4,the,5.0,5.0,WORD,their,"The correct word is 'their', not 'the'.",llama_small,p0d_sent,5240.62
S001,9,5,second,193.0,193.0,WORD,bench,"The correct word is 'bench', not'second'.",llama_small,p0d_sent,5240.62
S001,9,6,unit,194.0,194.0,WORD,team,"The correct word is 'team', not 'unit'.",llama_small,p0d_sent,5240.62
S001,9,7,with,52.0,52.0,WORD,as,"The correct word is 'as', not 'with'.",llama_small,p0d_sent,5240.62
S001,9,8,10,196.0,196.0,NUMBER,9,"Olynyk scored 9 points, not 10.",llama_small,p0d_sent,5240.62
S001,9,9,nine,199.0,199.0,NUMBER,eight,"Olynyk had eight rebounds, not nine.",llama_small,p0d_sent,5240.62
S001,9,10,two,85.0,85.0,NUMBER,one,"Olynyk had one assist, not two.",llama_small,p0d_sent,5240.62
S001,9,11,a,32.0,32.0,WORD,no,"Olynyk did not have a pair of steals, but rather one steal.",llama_small,p0d_sent,5240.62
S001,10,1,Friday,49.0,49.0,NAME,Wednesday,The game was played on Wednesday.,llama_small,p0d_sent,5240.62
S001,10,2,Detroit,220.0,220.0,NAME,Lakers,"The visiting team is the Lakers, not the Detroit Pistons.",llama_small,p0d_sent,5240.62
S001,10,3,Toronto,234.0,234.0,NAME,Raptors,"The visiting team is the Raptors, not the Toronto Raptors.",llama_small,p0d_sent,5240.62
S002,14,1,Tristan,283.0,283.0,NAME,,"Tristan Thompson is a player for the Cleveland Cavaliers, not a spark off the bench.",llama_small,p0d_sent,5240.62
S003,3,1,game,80.0,80.0,WORD,game-high,The sentence should read 'game-high' instead of 'game'.,llama_small,p0d_sent,5240.62
S003,4,1,16,107.0,107.0,NUMBER,10,"Kyle Lowry's double-double included 10 assists, not 16.",llama_small,p0d_sent,5240.62
S003,5,1,16 13,,,NUMBER,points and rebounds,"Jonas Valanciunas recorded a double-double, but the numbers are correct.",llama_small,p0d_sent,5240.62
S003,7,1,Terrence,183.0,183.0,NAME,,"Terrence Ross is a player, but the sentence should specify the team he played for.",llama_small,p0d_sent,5240.62
S003,10,1,Elfrid,252.0,252.0,NAME,Evan Fournier,"Evan Fournier led the team in scoring, not Elfrid Payton.",llama_small,p0d_sent,5240.62
S003,11,1,10,111.0,111.0,NUMBER,12,"Aaron Gordon's double-double included 12 rebounds, not 10.",llama_small,p0d_sent,5240.62
