TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Wednesday,18.0,18.0,NAME,Friday,"The game was played on Friday, not Wednesday.",qwen_medium,p0c_sent,14441.24
S001,2,1,30 - point,,,NUMBER,16-point,"The margin of victory was 16 points, not 30.",qwen_medium,p0c_sent,14441.24
S001,3,1,six,82.0,82.0,NUMBER,4,"Isaiah Thomas had 4 assists, not six.",qwen_medium,p0c_sent,14441.24
S001,3,2,two,85.0,85.0,NUMBER,2,"Isaiah Thomas had 2 rebounds, which is correct.",qwen_medium,p0c_sent,14441.24
S001,3,3,a,32.0,32.0,NUMBER,1,"Isaiah Thomas had 1 steal, not a (which implies one).",qwen_medium,p0c_sent,14441.24
S001,4,1,a block,107.0,108.0,NUMBER,1,"Al Horford had 1 block, not 'a block'.",qwen_medium,p0c_sent,14441.24
S001,5,1,18,25.0,25.0,NUMBER,18,"Correct, but the player's points are actually 18, not 18.",qwen_medium,p0c_sent,14441.24
S001,5,2,12,120.0,120.0,NUMBER,6,"Jae Crowder had 6 rebounds, not 12.",qwen_medium,p0c_sent,14441.24
S001,6,1,an assist,129.0,130.0,NUMBER,1,"Jae Crowder had 1 assist, not an assist.",qwen_medium,p0c_sent,14441.24
S001,7,1,an assist,129.0,130.0,NUMBER,1,"Jae Crowder had 1 assist, not an assist.",qwen_medium,p0c_sent,14441.24
S001,8,1,a block,107.0,108.0,NUMBER,1,"Al Horford had 1 block, not 'a block'.",qwen_medium,p0c_sent,14441.24
S001,9,1,10,196.0,196.0,NUMBER,7,"Kelly Olynyk scored 7 points, not 10.",qwen_medium,p0c_sent,14441.24
S001,9,2,nine,199.0,199.0,NUMBER,9,"Kelly Olynyk had 9 rebounds, which is correct.",qwen_medium,p0c_sent,14441.24
S001,9,3,two,85.0,85.0,NUMBER,2,"Kelly Olynyk had 2 assists, which is correct.",qwen_medium,p0c_sent,14441.24
S001,9,4,a pair,152.0,153.0,NUMBER,0,"Kelly Olynyk had 0 steals, not a pair.",qwen_medium,p0c_sent,14441.24
S001,10,1,Wednesday,18.0,18.0,NAME,Friday,"The game is on Friday, not Wednesday.",qwen_medium,p0c_sent,14441.24
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,Incorrect team name for the home team.,qwen_medium,p0c_sent,14441.24
S002,1,2,110 - 110,9.0,11.0,NUMBER,110 - 106,Incorrect final score.,qwen_medium,p0c_sent,14441.24
S002,1,3,Saturday,18.0,18.0,NAME,Tuesday,Incorrect day of the week.,qwen_medium,p0c_sent,14441.24
S002,2,1,struggling,26.0,26.0,WORD,undefeated,"The Cavaliers were described as the league's last undefeated team, not struggling.",qwen_medium,p0c_sent,14441.24
S002,3,1,Hawks out,,,WORD,Cavaliers out,Incorrect team mentioned for outscoring in the fourth quarter.,qwen_medium,p0c_sent,14441.24
