TEXT_ID	SENTENCE_ID	ANNOTATION_ID	TOKENS	DOC_TOKEN_START	DOC_TOKEN_END	TYPE	CORRECTION	COMMENT
S001	1	1	Wednesday	18	18	name	Friday	The game was played on Friday, February 3, 2017, not Wednesday.
S001	2	2	32 - 18	23	25	number	31 - 18	The Celtics' record entering the game was 31-18 (they became 32-18 after the win).
S001	2	3	double - digit favorite	33	36	not checkable		Betting favorites are not checkable within the provided box score data.
S001	2	4	32 - 18	23	25	number	31 - 18	The Celtics' record entering the game was 31-18.
S001	2	5	30 - point win	54	57	number	6 - point win	The Celtics won this game by 6 points (113-107), not 30.
S001	2	6	17 - 36	62	64	number	17 - 35	The Lakers' record entering the game was 17-35 (they became 17-36 after the loss).
S001	3	7	six	82	82	number	four	Isaiah Thomas had 4 assists, not 6.
S001	5	8	12 - rebound	120	122	number	6 - rebound	Jae Crowder had 6 rebounds, not 12.
S001	5	9	double - double	123	125	word		Jae Crowder (18 points, 6 rebounds) did not record a double-double.
S001	5	10	a block	135	136	number	zero blocks	Jae Crowder had 0 blocks.
S001	9	11	10	196	196	number	7	Kelly Olynyk scored 7 points, not 10.
S001	9	12	a pair of steals	205	208	number	zero steals	Kelly Olynyk had 0 steals.
S001	10	13	back home	213	214	word	on the road	The Lakers' next game is away at New York, not at home.
S001	10	14	Detroit Pistons	220	221	name	New York Knicks	The Lakers' next game is against the Knicks on Monday, February 6.
S001	10	15	Friday night	223	224	name	Monday night	The Lakers' next game is on Monday, February 6.
S001	10	16	Toronto Raptors	234	235	name	LA Clippers	The Celtics' next game is against the Clippers on Sunday, February 5.
S001	10	17	Wednesday night	238	239	name	Sunday	The Celtics' next game is on Sunday, February 5.
S004	1	1	['but']			Word	and	The word 'but' implies a contradiction that doesn't exist here.
S004	2	2	['16']			Number	7	The Jazz outscored the Lakers 31-24 in the fourth quarter, which is a difference of 7, not 16.
S004	3	3	['24']			Number	39	The Lakers shot 39 percent from three-point range, not 24 percent (which was the Jazz's percentage).
S004	4	4	['43', '-', '24']			Number	47-43	The Jazz won the rebounding battle 47-43, not 43-24.
S004	5	5	['Kobe', 'Bryant']			Name	N/A	Kobe Bryant was retired and not on the Lakers roster for the 2016-17 season.
S004	6	6	['led']			Word	was fourth	D'Angelo Russell was fourth on the team in scoring with 9 points; Lou Williams led with 17.
S004	6	7	['17']			Number	9	D'Angelo Russell scored 9 points, not 17.
S004	7	8	['only', 'other']			Word	N/A	Nick Young was also a starter who scored in double figures (13 points).
S004	8	9	['led']			Word	was fourth	D'Angelo Russell was fourth on the team in scoring with 9 points; Lou Williams led with 17.
S004	8	10	['17']			Number	9	D'Angelo Russell scored 9 points, not 17.
S004	9	11	['only', 'other']			Word	N/A	Nick Young was also a starter who scored in double figures (13 points).
S004	10	12	['home']			Word	road	The Lakers' next game was away in Oklahoma City, not a home matchup.
S004	10	13	['Portland', 'Trail', 'Blazers']			Name	Oklahoma City Thunder	The Lakers' next game was against the Oklahoma City Thunder, not the Portland Trail Blazers.
S004	11	14	['four', 'of', 'their', 'last', 'five']			Number	one of their first two	This was only the second game of the season; the Jazz were 1-1.
S004	11	15	['continue', 'to', 'struggle']			Word	look to improve	The Jazz won this game, so 'continue to struggle' is inappropriate context.
S004	13	16	['second']			Number	fourth	Gobert was fourth on the team in scoring (13 points), behind Hill (23), Hood (15), and Favors (15).
S004	16	17	['bounce', 'back']			Word	keep winning	The Jazz won this game, so they don't need to 'bounce back'.
S004	16	18	['home']			Word	road	The Jazz's next game was away against the Clippers, not a home matchup.
S004	16	19	['Portland', 'Trail', 'Blazers']			Name	Los Angeles Clippers	The Jazz's next game was against the Los Angeles Clippers, not the Portland Trail Blazers.
