TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Los Angeles,,,NAME,Lakers,"The team name is Lakers, not Los Angeles.",llama_medium,p4,
S001,1,2,113 - 107,10.0,12.0,NUMBER,"113-107 is correct but the home team is the Celtics, not the Lakers","The home team is the Celtics, not the Lakers.",llama_medium,p4,
S001,2,3,32 - 18,23.0,25.0,NUMBER,"32-18 is correct but the home team is the Celtics, not the Lakers","The home team is the Celtics, not the Lakers.",llama_medium,p4,
S001,3,4,30 - point,54.0,56.0,NUMBER,The correct score is not available in the data,The correct score is not available in the data.,llama_medium,p4,
S001,3,5,17 - 36,62.0,64.0,NUMBER,The correct score is not available in the data,The correct score is not available in the data.,llama_medium,p4,
S001,4,6,six,82.0,82.0,NUMBER,two,"Isaiah Thomas had 2 rebounds, not 6.",llama_medium,p4,
S001,5,7,Jae,110.0,110.0,NAME,Larry,"The correct name is Larry Nance Jr, not Jae.",llama_medium,p4,
S001,6,8,Jae,110.0,110.0,NAME,Larry,"The correct name is Larry Nance Jr, not Jae.",llama_medium,p4,
S001,7,9,Jae,110.0,110.0,NAME,Larry,"The correct name is Larry Nance Jr, not Jae.",llama_medium,p4,
S001,8,10,Kelly,189.0,189.0,NAME,Lou,"The correct name is Lou Williams, not Kelly.",llama_medium,p4,
S001,9,11,Friday,49.0,49.0,WORD,Wednesday,"The correct day is Wednesday, not Friday.",llama_medium,p4,
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cavaliers,"The game summary says the Hawks defeated the Hawks, but the box score says the Hawks defeated the Cavaliers.",llama_medium,p4,
S002,1,2,110 -,9.0,10.0,NUMBER,106,"The box score shows the final score as 110-106, but the game summary says 110-110.",llama_medium,p4,
S002,1,3,Saturday,18.0,18.0,WORD,Tuesday,"The box score says the game was on Tuesday, but the game summary says Saturday.",llama_medium,p4,
S002,2,4,37 -,50.0,51.0,NUMBER,31,"The box score shows the Hawks outscored the Cavaliers 31-26 in the fourth quarter, but the game summary says 37-20.",llama_medium,p4,
S002,3,5,21 19,,,NUMBER,22,"The box score shows the assist-to-turnover ratio was 22-19, but the game summary says 21-19.",llama_medium,p4,
S002,4,6,3 -,136.0,137.0,NUMBER,5,"The box score shows Dwight Howard shot 5-5, but the game summary says 3-5.",llama_medium,p4,
S002,5,7,25,151.0,151.0,NUMBER,25,"The box score shows Kent Bazemore had 25 points, but the game summary says he was the only other starter in double figures with 25 points.",llama_medium,p4,
S002,7,8,Sunday,188.0,188.0,WORD,Wednesday,"The box score says the Hawks will play the Bulls on Wednesday, but the game summary says Sunday.",llama_medium,p4,
S002,8,9,Sunday,188.0,188.0,WORD,Friday,"The box score says the Cavaliers will play the Wizards on Friday, but the game summary says Sunday.",llama_medium,p4,
S002,9,10,25,151.0,151.0,NUMBER,13,"The box score shows Channing Frye had 13 points, but the game summary says he had 25 points.",llama_medium,p4,
S003,1,1,Saturday,17.0,17.0,WORD,Sunday,"Game data indicates the game was played on Sunday, not Saturday.",llama_medium,p4,
S003,3,2,Friday,51.0,51.0,WORD,Sunday,"Game data indicates the game was played on Sunday, not Friday.",llama_medium,p4,
S003,4,3,Friday,51.0,51.0,WORD,Sunday,"Game data indicates the game was played on Sunday, not Friday.",llama_medium,p4,
S003,9,4,Terrence Ross,183.0,184.0,NAME,Terrence Ross is not mentioned in the game data as a productive player in a reserve role.,Game data does not support this information.,llama_medium,p4,
S003,10,5,11,194.0,194.0,NUMBER,Not available,Game data does not support this information.,llama_medium,p4,
S003,11,6,Friday,51.0,51.0,WORD,Tuesday,"Game data indicates the Raptors next game is on Tuesday, not Friday.",llama_medium,p4,
S003,12,7,Friday,51.0,51.0,WORD,Tuesday,"Game data indicates the Raptors next game is on Tuesday, not Friday.",llama_medium,p4,
S004,1,1,Vivint Smart Home Arena,,,CONTEXT,,"The game was played at an unspecified arena, not Vivint Smart Home Arena.",llama_medium,p4,
S004,2,2,one of the best teams in the NBA this season,,,CONTEXT,,There is no information in the box score to support this claim.,llama_medium,p4,
S004,3,3,16,72.0,72.0,NUMBER,7,"The Jazz outscored the Lakers by 7 in the fourth quarter, not 16.",llama_medium,p4,
S004,4,4,38,91.0,91.0,NUMBER,38,"The Lakers shot 38 percent from the field, not the Jazz.",llama_medium,p4,
S004,4,5,24,97.0,97.0,NUMBER,24,"The Jazz shot 41 percent from three-point range, not 24.",llama_medium,p4,
S004,5,6,43 -,120.0,121.0,NUMBER,47-43,"The Jazz won the rebounding battle 47-43, not 43-24.",llama_medium,p4,
S004,6,7,Kobe Bryant,,,NAME,Brandon Ingram,"The Lakers played without Brandon Ingram, not Kobe Bryant.",llama_medium,p4,
S004,9,8,17,164.0,164.0,NUMBER,17,"D'Angelo Russell scored 17 points, but also had 5 rebounds and 5 assists, not just 17 points.",llama_medium,p4,
S004,10,9,12,187.0,187.0,NUMBER,12,"Luol Deng scored 12 points and 12 rebounds, but this is correct, however, the sentence is a duplicate.",llama_medium,p4,
S004,12,10,Portland Trail Blazers,,,CONTEXT,Los Angeles Clippers,"The Jazz will visit the Los Angeles Clippers, not the Portland Trail Blazers.",llama_medium,p4,
S004,13,11,four of their last five games,,,CONTEXT,,There is no information in the box score to support this claim.,llama_medium,p4,
S004,14,12,23,288.0,288.0,NUMBER,23,"George Hill scored 23 points, but also had 3 rebounds and 3 assists, not just 23 points.",llama_medium,p4,
S004,15,13,13,313.0,313.0,NUMBER,13,"Rudy Gobert scored 13 points and 13 rebounds, but this is correct, however, the sentence is a duplicate.",llama_medium,p4,
S004,16,14,double-double,,,CONTEXT,,"Rudy Gobert recorded a double-double, but this is correct, however, the sentence is a duplicate.",llama_medium,p4,
S005,1,1,15,27.0,27.0,NUMBER,13,"Box score shows 13 turnovers, not 15.",llama_medium,p4,
S005,2,2,Paul Millsap,,,NAME,Tim Hardaway Jr,"Box score shows Tim Hardaway Jr led the way for the Hawks, not Paul Millsap.",llama_medium,p4,
S005,2,3,Millsap,39.0,39.0,NAME,Tim Hardaway Jr,"Box score shows Tim Hardaway Jr led the way for the Hawks, not Millsap.",llama_medium,p4,
S005,3,4,Kent Bazemore,,,NAME,Jeff Green,"Box score shows Jeff Green led the bench, not Kent Bazemore.",llama_medium,p4,
S005,4,5,Paul Millsap,,,NAME,Tim Hardaway Jr,"Box score shows Tim Hardaway Jr led the way for Orlando, not Paul Millsap.",llama_medium,p4,
S005,5,6,Kent Bazemore,,,NAME,Malcolm Delaney,"Box score shows Malcolm Delaney led the second unit, not Kent Bazemore.",llama_medium,p4,
S005,6,7,New York,,,NAME,Houston,"Box score shows the Magic head to Houston, not New York.",llama_medium,p4,
S005,6,8,Friday,247.0,247.0,WORD,Monday,"Box score shows the Hawks remain home and await the Toronto Raptors on Monday evening, not Friday.",llama_medium,p4,
S006,1,1,Friday,22.0,22.0,WORD,Tuesday,"The game was played on Tuesday, not Friday.",llama_medium,p4,
S006,1,2,Houston Rockets,,,NAME,Brooklyn Nets,"The Brooklyn Nets won the game, not the Houston Rockets.",llama_medium,p4,
S006,1,3,110 -,18.0,19.0,NUMBER,105-110,"The score was 105-110, not 110-105.",llama_medium,p4,
S006,2,4,James Harden,,,NAME,Brook Lopez,"Brook Lopez led the Nets, not James Harden.",llama_medium,p4,
S006,2,5,10,5.0,5.0,NUMBER,24,"Brook Lopez scored 24 points, not 10.",llama_medium,p4,
S006,3,6,Trevor Ariza,,,NAME,Not mentioned,Trevor Ariza was not mentioned as a key player in the game.,llama_medium,p4,
S006,3,7,2,80.0,80.0,NUMBER,Not mentioned,Trevor Ariza's points were not mentioned.,llama_medium,p4,
S006,4,8,Brook Lopez,,,NAME,Not mentioned,Brook Lopez was not mentioned as playing in the game.,llama_medium,p4,
S006,5,9,Friday,22.0,22.0,WORD,Not mentioned,The game was not played on Friday.,llama_medium,p4,
S007,1,1,Russell Westbrook and Russell Westbrook,,,NAME,Russell Westbrook,There is only one Russell Westbrook.,llama_medium,p4,
S007,2,2,"11 rebounds, seven assists, four steals and one block",,,CONTEXT,"11 rebounds, seven assists, three steals and one block","According to the box score, Westbrook had 11 rebounds, 10 assists, 4 steals and 1 block, not 7 assists and 4 steals and 1 block.",llama_medium,p4,
S007,3,3,36 minutes,,,CONTEXT,40 minutes,"According to the box score, Westbrook played 40 minutes, not 36 minutes.",llama_medium,p4,
S007,4,4,Steven Adams,,,NAME,Steven Adams is not mentioned in the box score.,There is no information about Steven Adams in the box score.,llama_medium,p4,
S007,4,5,four rebounds and one steal,,,CONTEXT,There is no information about Steven Adams in the box score.,There is no information about Steven Adams in the box score.,llama_medium,p4,
S007,4,6,27 minutes,,,CONTEXT,There is no information about Steven Adams in the box score.,There is no information about Steven Adams in the box score.,llama_medium,p4,
S008,1,1,Saturday,19.0,19.0,WORD,Monday,"Game data indicates the game was played on Monday, not Saturday.",llama_medium,p4,
S008,1,2,Tuesday,56.0,56.0,WORD,Monday,"Game data indicates the game was played on Monday, not Tuesday.",llama_medium,p4,
S008,2,3,Vivint Smart Home Arena,,,CONTEXT,FedEx Forum,"Game data does not specify the arena name, but based on the teams, it is likely Fedex Forum.",llama_medium,p4,
S008,3,4,33,61.0,61.0,NUMBER,25,"Game data shows the Grizzlies scored 25 points in the first quarter, not 33.",llama_medium,p4,
S008,4,5,Monday,379.0,379.0,WORD,Not necessary,Game data does not specify the day of the next game.,llama_medium,p4,
S009,1,1,122 122,,,NUMBER,122-114,"The correct score is 122-114, not 122-122.",llama_medium,p4,
S009,2,2,Tuesday,20.0,20.0,WORD,Friday,"The game was played on Friday, not Tuesday.",llama_medium,p4,
