TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,3,1,six,82.0,82.0,NUMBER,seven,"Isaiah Thomas had 7 assists, not 6.",llama_medium,p0c_sent,8340.29
S001,4,1,eight,101.0,101.0,NUMBER,7,Al Horford had 7 assists.,llama_medium,p0c_sent,8340.29
S001,6,1,Jae,110.0,110.0,NAME,Jae Crowder,"Player name is Jae Crowder, not Jea.",llama_medium,p0c_sent,8340.29
S001,8,1,a,32.0,32.0,WORD,an,indefinite article instead of definite article,llama_medium,p0c_sent,8340.29
S001,9,1,nine,199.0,199.0,NUMBER,two,"The sentence says Kelly Olynyk had 10 points, nine rebounds, two assists and a pair of steals, but the box score data says he had 7 points, 9 rebounds, 2 assists and 0 steals.",llama_medium,p0c_sent,8340.29
S002,1,1,Atlanta Hawks,,,NAME,Cavaliers,"The sentence says Atlanta Hawks defeated Atlanta Hawks, but the box score data says the game was between Atlanta Hawks and Cleveland Cavaliers.",llama_medium,p0c_sent,8340.29
S002,4,1,21,75.0,75.0,NUMBER,19,"The assist-to-turnover ratio was the decisive statistic, with the Hawks recording 19 assists to 19 turnovers.",llama_medium,p0c_sent,8340.29
S002,6,1,3 - of - 5,136.0,140.0,NUMBER,3-of-5,Incorrect shooting percentage.,llama_medium,p0c_sent,8340.29
S002,7,1,n't,146.0,146.0,WORD,not,Typo: 'n't' should be 'not'.,llama_medium,p0c_sent,8340.29
S002,8,1,25,151.0,151.0,NUMBER,10,"Kent Bazemore had 10 points, not 25.",llama_medium,p0c_sent,8340.29
S002,11,1,23,236.0,236.0,NUMBER,29,"Kyrie Irving led the team with 29 points, not Lebron James with 23 points.",llama_medium,p0c_sent,8340.29
S002,12,1,second,248.0,248.0,WORD,first,"Kyrie Irving was first on the team in points, not second.",llama_medium,p0c_sent,8340.29
S002,13,1,11,277.0,277.0,NUMBER,12,"Kevin Love had 12 rebounds, not 11.",llama_medium,p0c_sent,8340.29
S002,14,1,25,151.0,151.0,NUMBER,0,"Tristan Thompson scored 0 points, not 25.",llama_medium,p0c_sent,8340.29
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,Incorrect day of the week.,llama_medium,p0c_sent,8340.29
S003,3,1,game - high,,,WORD,game-high,hyphenate,llama_medium,p0c_sent,8340.29
S003,6,1,16 - point,,,NUMBER,16-point,"The original text already contains a hyphen, so the correction should include it.",llama_medium,p0c_sent,8340.29
S004,1,1,Vivint Smart Home Arena,,,WORD,Vivint Arena,Arena name is incorrect.,llama_medium,p0c_sent,8340.29
S004,3,1,16,72.0,72.0,NUMBER,7,"The Jazz outscored the Lakers by 7 in the fourth quarter, not 16.",llama_medium,p0c_sent,8340.29
S004,4,1,38,91.0,91.0,NUMBER,43,The Jazz held the Lakers to 43 percent from the field.,llama_medium,p0c_sent,8340.29
S004,5,1,43,120.0,120.0,NUMBER,47,"Jazz had 47 rebounds, not 43.",llama_medium,p0c_sent,8340.29
S004,7,1,17,164.0,164.0,NUMBER,9,"D'Angelo Russell scored 9 points, not 17.",llama_medium,p0c_sent,8340.29
S004,8,1,12,187.0,187.0,NUMBER,10,"Luol Deng had 10 rebounds, not 12.",llama_medium,p0c_sent,8340.29
S004,9,1,17,164.0,164.0,NUMBER,9,"D'Angelo Russell scored 9 points, not 17.",llama_medium,p0c_sent,8340.29
S004,10,1,12,187.0,187.0,NUMBER,10,"Luol Deng had 10 rebounds, not 12.",llama_medium,p0c_sent,8340.29
S004,13,1,23,288.0,288.0,NUMBER,23,"The sentence does not contain any information about George Hill's performance, so the number 23 is not checkable.",llama_medium,p0c_sent,8340.29
S004,14,1,13,313.0,313.0,NUMBER,6,"Rudy Gobert finished with 6 rebounds, not 13.",llama_medium,p0c_sent,8340.29
S004,15,1,double - double,,,WORD,double-double,"Rudy Gobert recorded a double-double, not a double - double.",llama_medium,p0c_sent,8340.29
S004,16,1,double - double,,,WORD,double-double,"Rudy Gobert recorded a double-double, not a double - double.",llama_medium,p0c_sent,8340.29
S005,2,1,game - high,,,WORD,game-high,hyphenation error,llama_medium,p0c_sent,8340.29
S005,4,1,one,64.0,64.0,NUMBER,three,"The sentence says one block, but the box score data says one block is not present for Dwight Howard.",llama_medium,p0c_sent,8340.29
S005,6,1,27,117.0,117.0,NUMBER,8,"Kent Bazemore scored 8 points, not 27.",llama_medium,p0c_sent,8340.29
S005,7,1,21,35.0,35.0,NUMBER,21,The box score data does not contain the information to verify this number.,llama_medium,p0c_sent,8340.29
S005,8,1,one,64.0,64.0,NUMBER,a,"The sentence says Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal and one block. but the box score data shows that Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal.",llama_medium,p0c_sent,8340.29
S005,9,1,three,19.0,19.0,NUMBER,two,"Kent Bazemore had two steals, not three.",llama_medium,p0c_sent,8340.29
S006,1,1,Friday,22.0,22.0,WORD,Tuesday,Incorrect day of the week.,llama_medium,p0c_sent,8340.29
S006,3,1,10,5.0,5.0,NUMBER,22,"James Harden scored 22 points, not 10.",llama_medium,p0c_sent,8340.29
S006,4,1,2,80.0,80.0,NUMBER,0,"Trevor Ariza was the only other starter in double figures, but he only scored 2 points, not double figures.",llama_medium,p0c_sent,8340.29
S006,6,1,without,116.0,116.0,WORD,with,The sentence should read 'The Nets played this game with Brook Lopez' instead of 'without'.,llama_medium,p0c_sent,8340.29
S006,7,1,24,151.0,151.0,NUMBER,20,"Brook Lopez scored 20 points, not 24.",llama_medium,p0c_sent,8340.29
S006,8,1,20,177.0,177.0,NUMBER,22,"Thaddeus Young had 22 points, not 20.",llama_medium,p0c_sent,8340.29
