TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,,1,Celtics 32 - 18,,,,,NUMBER,Celtics (32-17),The Celtics' record should be corrected to reflect their actual win-loss record.
S001,3,1,"The team was led by Isaiah Thomas 's 38 points , which he supplemented with six assists , two rebounds and a steal",1,23,,,NUMBER,"Isaiah Thomas scored 38 points, which he supplemented with 6 assists, 2 rebounds and a steal.",The number of assists and rebounds should be corrected to match the actual statistics.
S001,4,1,"Al Horford was right behind him with 11 points , eight rebounds , eight assists and a block",1,18,,,NUMBER,"Al Horford had 11 points, eight rebounds, eight assists, and a block.","The sentence states that Al Horford had 11 points, eight rebounds, eight assists, and a block, but the box score data shows that he had 11 points, eight rebounds, eight assists, and a block."
S001,,1,18 point 12 rebound,,,,,NUMBER_MISTAKE,11,The number of rebounds is incorrect.
S001,6,1,"Jae Crowder was next with 18 points , six rebounds , an assist and a pair of steals",1,18,,,NAME_MISTAKE,"The correct name is Jae Crowder, but the sentence is correct. The mistake is that the sentence is not in the format of 'Player Name was next with X points, Y rebounds, Z assists, and W steals.'","The sentence is correct, but the format is not consistent with the rest of the story."
S001,7,1,"Jae Crowder was next with 18 points , six rebounds , an assist and two steals",1,16,,,NUMBER,"Jae Crowder had 18 points, six rebounds, an assist, and two steals.","The sentence is factually correct, but the correction is provided for clarity."
S001,8,1,"Al Horford supplied 11 points , eight rebounds , eight assists and a block",1,14,,,NUMBER,"Al Horford supplied 11 points, eight rebounds, eight assists and a block.","The number of points, rebounds, and assists Al Horford supplied is correct according to the box score data."
S001,9,1,"Kelly Olynyk led the second unit with 10 points , nine rebounds , two assists and a pair of steals",1,20,,,NUMBER,11,The number of points Kelly Olynyk scored is incorrect.
S003,11,1,"Aaron Gordon was next with a 10 - point , 12 - rebound double - double that also included an assist , a steal and a block",1,27,,,NUMBER,"Aaron Gordon's stats are correct, but the sentence implies he played a full game, which is not the case.",The sentence should be corrected to indicate that Aaron Gordon played only three quarters.
S003,14,1,"productive in a reserve role as well with 11 points , three rebounds , two assists and a pair of steals",4,24,,,NUMBER,10,The number of points is incorrect.
S004,1,1,"The host Utah Jazz defeated the Los Angeles Lakers , 96 - 89 , at Vivint Smart Home Arena on Friday",1,21,,,NUMBER,96-89,The score is incorrect. The correct score is not provided in the box score data.
S004,,1,Jazz 1 -,,,,,NUMBER,2-0,"The Jazz's record should be 2-0, not 1-1."
S004,3,1,majority,9,9,,,NUMBER,minority,"The Jazz led for the majority of the game, as they outscored the Lakers by 16 in the fourth quarter."
S004,,1,key was key for the Jazz as they held the Lakers to 38 percent from the field and 24 percent from three - point range,,,,,NUMBER,39,"The correct percentage from the field is 38, but the correct percentage from three-point range is 24, not 39."
S004,,1,was a huge factor as well with the Jazz winning that battle 43 - 24,,,,,NUMBER,43-24,The correct score was 47-43.
S004,6,1,Kobe Bryant,14,15,,,NAME_MISTAKE,Kobe Bryant is not a player on the Lakers in this game,Kobe Bryant is not a player on the Lakers in this game
S004,7,1,D'Angelo Russell,1,2,,,NAME_MISTAKE,"The correct name is D'Angelo Russell, but the sentence is correct as it is referring to the player's name.","The sentence is correct, but the annotation is for the name 'D'Angelo Russell' which is correct."
S004,8,1,Deng,2,2,,,NAME_MISTAKE,Deng,"The player's name is misspelled. It should be 'Deng' instead of 'Deng was the only other starter in double figures, as he totaled 12 points and 12 rebounds.'"
S004,7,1,D'Angelo Russell,1,2,,,NAME_MISTAKE,"The correct name is D'Angelo Russell, but the sentence is correct as it is referring to the player's name.","The sentence is correct, but the annotation is for the name 'D'Angelo Russell' which is correct."
S004,8,1,Deng,2,2,,,NAME_MISTAKE,Deng,"The player's name is misspelled. It should be 'Deng' instead of 'Deng was the only other starter in double figures, as he totaled 12 points and 12 rebounds.'"
S004,11,1,on Sunday,15,16,,,CONTEXT,,"The game was played on Friday, not Sunday."
S004,,1,four five,,,,,NUMBER,five,The Jazz have now won five of their last five games.
