TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,Isaiah Thomas 's 38 points,6,10,,,WORD,Isaiah Thomas's 38 points,Isaiah Thomas's should be hyphenated as it is a compound noun.
S001,4,1,"Al Horford was right behind him with 11 points , eight rebounds , eight assists and a block .",1,19,,,WORD,"Al Horford had 11 points, eight rebounds, eight assists, and a block.",The phrase 'right behind him' is incorrect and implies a different action. The sentence should describe Horford's stats directly.
S001,5,1,"Jae Crowder was next with a 18 - point , 12 - rebound double - double that also included an assist , two steals and a block .",1,28,,,WORD,"Jae Crowder was next with a 18-point, 12-rebound double-double that also included an assist, two steals and a block.",The term 'double-double' should be hyphenated and the spacing around the hyphens in the stats should be consistent.
S001,6,1,"Jae Crowder was next with 18 points , six rebounds , an assist and a pair of steals .",1,19,,,WORD,"Jae Crowder was next with 18 points, six rebounds, an assist and a steal.",The phrase 'a pair of steals' is incorrect. A player cannot have a pair of steals in a single game. The correct term is 'one steal'.
S001,7,1,"Jae Crowder was next with 18 points , six rebounds , an assist and two steals .",1,17,,,WORD,"Jae Crowder was next with 18 points, six rebounds, an assist and two steals.",The word 'was' is missing before 'Jae Crowder'.
S001,8,1,"Al Horford supplied 11 points , eight rebounds , eight assists and a block .",1,15,,,WORD,"Al Horford supplied 11 points, eight rebounds, eight assists, and a block.",The word 'supplied' is incorrect. The correct verb to use in this context is 'accumulated'.
S002,7,1,"Kent Bazemore was n't far behind , tallying 25 points , six rebounds and three assists .",1,17,,,WORD,"Kent Bazemore was not far behind, tallying 25 points, six rebounds and three assists.",The word 'wasn't' should be corrected to 'was not' for clarity.
S002,8,1,"Kent Bazemore was the only other starter in double figures , totaling 25 points , six rebounds and three assists .",1,21,,,WORD,"Kent Bazemore was one of the starters in double figures, totaling 25 points, six rebounds, and three assists.","The phrase 'the only other starter' is incorrect as it implies he was the second starter, which is not necessarily true based on the context. The sentence should clarify that he was one of the starters in double figures."
S002,9,1,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors .,1,17,,,WORD,Cleveland,"The home team is Cleveland, not Atlanta."
S002,11,1,"LeBron James did all he could for Cleveland , as he led the team with 23 points , nine rebounds and five assists .",1,24,,,WORD,"LeBron James did all he could for the Cavaliers, as he led the team with 23 points, nine rebounds and five assists.","Incorrect team name. The home team is the Cavaliers, not the Celtics."
S002,12,1,"Kyrie Irving was second on the team , as he accrued 29 points , four rebounds and four assists .",1,20,,,WORD,"Kyrie Irving was second on the team, as he led the team in points with 29, and had four rebounds and four assists.","The sentence implies that Kyrie Irving was second on the team in terms of overall contribution, but the stats show he had the highest points. The correction clarifies that he led in points."
S002,13,1,"Kevin Love finished second on the team , collecting 24 points , 11 rebounds and three steals .",1,18,,,WORD,"Kevin Love finished second on the team, collecting 24 points, 11 rebounds and three steals.",The sentence incorrectly refers to 'Kevin' instead of 'Kevin Love'.
S002,14,1,"Tristan Thompson was a nice spark off the bench , providing 25 points , two rebounds and four assists .",1,20,,,WORD,"Tristan Thompson provided 25 points, 2 rebounds, and 4 assists.",The sentence incorrectly uses 'was a nice spark off the bench' instead of 'provided'.
S003,1,1,"The Toronto Raptors defeated the Orlando Magic , 109 - 79 , at Amway Center on Saturday evening .",1,19,,,WORD,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,The Raptors ( 19 - 8 ),1,7,,,NUMBER,The Raptors (19-8),The home team's record should be consistent throughout the story.
S003,2,2,"have been one of the hottest teams in the NBA this season , and the Raptors ( 19 - 8 )",8,28,,,NUMBER,"have been one of the hottest teams in the NBA this season, and the Raptors (19-8)",The home team's record should be consistent throughout the story.
S003,2,3,came in to Friday 's contest with a 30 - point victory over the Magic ( 12 - 17 ),29,48,,,NUMBER,came in to the contest with a 30-point victory over the Magic (12-17),The visiting team's record should be consistent throughout the story.
S003,3,1,"The Raptors were led by DeMar DeRozan , who posted a game - high 31 points , which he supplemented with five rebounds , four assists and a steal .",1,30,,,WORD,"The Toronto Raptors were led by DeMar DeRozan, who posted a game-high 31 points, which he supplemented with five rebounds, four assists and a steal.",The word 'The' is unnecessary before 'Raptors'.
S003,4,1,"Kyle Lowry was right behind him with a 16 - point , 10 - assist double - double that also included three rebounds , a steal and a block .",1,30,,,WORD,"Kyle Lowry was right behind him with a 16-point, 10-assist double-double that also included three rebounds, a steal, and a block.","The phrase '16 - point, 10 - assist' should be hyphenated as '16-point, 10-assist' and 'double - double' should be a single compound word 'double-double'."
S003,5,1,"Jonas Valanciunas was next with a 16 - point , 13 - rebound double - double that also included a block , a block and a block .",1,28,,,WORD,"Jonas Valanciunas was next with a 16-point, 13-rebound double-double that also included a block.",There should be no repeated 'block' in the sentence.
S003,6,1,"Jonas Valanciunas posted a 16 - point , 13 - rebound double - double that also included a block , a block and a block .",1,26,,,WORD,"Jonas Valanciunas posted a 16-point, 13-rebound double-double that also included a block.",There are three consecutive 'block' words which should be removed.
S003,9,1,They head to Charlotte to take on the Hornets on Friday night .,1,13,,,WORD,They head to Orlando to take on the Magic on Sunday.,The home team is the Orlando Magic and the game was played on Sunday.
S003,10,1,"Orlando 's attack was spearheaded by Elfrid Payton , who tallied 13 points , three assists , two rebounds and a steal .",1,23,,,WORD,"Orlando's attack was spearheaded by DeMar DeRozan, who tallied 31 points, five rebounds and four assists in just three quarters of action.","Elfrid Payton did not lead Orlando's attack in this game. According to the box score, DeMar DeRozan had the highest points (31) and was the player of the game."
S003,12,1,"Elfrid Payton was next with 13 points , two assists , two rebounds and a steal .",1,17,,,WORD,"Evan Fournier was next with 13 points, two assists, two rebounds and a steal.",Elfrid Payton did not score 13 points in this game according to the box score.
S003,14,1,"DJ Augustin was productive in a reserve role as well with 11 points , three rebounds , two assists and a pair of steals .",1,25,,,WORD,"D.J. Augustin was productive in a reserve role as well with 11 points, three rebounds, two assists and a pair of steals.","DJ Augustin is the full name of the player, and D.J. Augustin is the correct way to refer to him."
S004,5,1,"the Jazz winning that battle , 43 - 24",10,18,,,NUMBER,"the Jazz winning that battle, 47-24","The correct rebound differential is 47-24, not 43-24."
S004,8,1,"Luol Deng was the only other starter in double figures , as he totaled 12 points and 12 rebounds .",1,20,,,WORD,"Deng was the only other starter to reach double figures, as he totaled 12 points and 12 rebounds.","The word 'starter' is incorrect. In basketball, a starter refers to a player who starts in the game, not a statistical term for reaching double figures."
S004,11,1,On deck for Los Angeles is a home matchup against the Portland Trail Blazers on Sunday .,1,17,,,CONTEXT,,"The story mentions 'On deck for Los Angeles' which implies future events, but the sentence refers to a past event. The correct sentence should mention a future event."
S004,13,1,"George Hill was the player of the game , as he led the team with 23 points , three rebounds and three assists on 7 - of - 14 shooting .",1,31,,,WORD,"Derrick Hill was the player of the game, as he led the team with 23 points, three rebounds and three assists on 7-of-14 shooting.",George Hill is not the player of the game according to the box score. Derrick Favors had 15 points and 9 rebounds.
S004,14,1,"Rudy Gobert finished second on the team , totaling 13 points , 13 rebounds and four blocks .",1,18,,,WORD,"Rudy Gobert finished second on the team, totaling 13 points, 13 rebounds and four blocks.",The sentence incorrectly attributes the stats to Rudy Gobert instead of mentioning that he finished second on the team.
S004,15,1,"Rudy Gobert recorded a double - double , totaling 13 points and 13 rebounds .",1,15,,,WORD,"Rudy Gobert recorded a double-double, totaling 13 points and 13 rebounds.",The phrase 'double-double' should be hyphenated and capitalized.
S004,16,1,"Rudy Gobert recorded a double - double , totaling 13 points , 13 rebounds and four blocks .",1,18,,,WORD,"Rudy Gobert recorded a double-double, totaling 13 points, 13 rebounds, and four blocks.",The phrase 'double-double' should be hyphenated and spelled out as 'double-double'.
S004,17,1,The Jazz will look to bounce back on Sunday in a home matchup against the Portland Trail Blazers .,1,19,,,CONTEXT,,"This sentence refers to the future, while the original story is about a past game. The context suggests a mistake."
S005,2,1,"Paul Millsap led the way for the Hawks with a game - high 21 points , which he supplemented with five rebounds , four assists and one steal .",1,29,,,WORD,"Paul Millsap led the way for the Atlanta Hawks with a game-high 21 points, which he supplemented with five rebounds, four assists and one steal.",The word 'led' is incorrectly placed before 'the way'. The sentence should read 'Paul Millsap led the way for the Atlanta Hawks' to correctly attribute the leadership to the player.
S005,3,1,"Millsap was right behind him with 21 points , five rebounds , four assists and one steal .",1,18,,,WORD,"Millsap, was right behind him with 21 points, five rebounds, four assists, and one steal.",The word 'was' should be placed before 'Millsap' to correctly attribute the stats to Millsap.
S005,4,1,"Dwight Howard posted a 11 - point , 13 - rebound double - double that also included three assists , one steal and one block .",1,26,,,WORD,"Dwight Howard posted a 11-point, 13-rebound double-double that also included three assists, one steal and one block.",The word 'double' should be hyphenated to form 'double-double'.
S005,5,1,"Kent Bazemore led the bench with 27 points , three rebounds , three assists and two steals",1,17,,,WORD,"Kent Bazemore led the bench with 21 points, three rebounds, three assists and two steals.","Kent Bazemore scored 21 points, not 27."
S005,6,1,"Kent Bazemore led the second unit with 27 points , three rebounds , three assists and two steals",1,18,,,WORD,"Kent Bazemore led the second unit with 21 points, three rebounds, three assists and two steals","Kent Bazemore scored 21 points, not 27."
S005,9,1,"Kent Bazemore led the second unit with 12 points , three rebounds , three assists , two steals and one block",1,21,,,WORD,"Kent Bazemore led the second unit with 12 points, three rebounds, three assists, two steals, and one block",The sentence is missing commas to separate the statistics and the word 'led' should come before the player's name.
S006,3,1,"They were led by James Harden , who tallied 10 points , nine assists , three rebounds and three steals in the win .",1,24,,,WORD,"They were led by James Harden, who finished with 10 points, nine assists, three rebounds, and three steals in the win.",The original sentence incorrectly states that Harden 'tallied' the stats rather than 'finished with' them.
S006,4,1,"Trevor Ariza was the only other starter in double figures , as he tallied 2 points , four rebounds and four assists in the defeat .",1,26,,,WORD,"Trevor Ariza was the only other starter in double figures, as he tallied 10 points, four rebounds and four assists in the defeat.","Trevor Ariza scored 10 points, not 2."
S006,8,1,"Thaddeus Young was the only other starter in double figures , as he amassed 20 points , 12 rebounds and five assists .",1,23,,,WORD,"Thaddeus Young was the only other starter in double figures, as he amassed 20 points, 12 rebounds, and 5 assists.",The word 'five' should be corrected to '5' as per the box score data.
S007,1,1,"Russell Westbrook and Russell Westbrook both the Oklahoma City Thunder and the Oklahoma City Thunder , however , as they continue to play at the Sleep Train Arena .",1,29,,,WORD,"Russell Westbrook and the Oklahoma City Thunder, however, as they continue to play at the Sleep Train Arena.",Repeated 'Russell Westbrook' and unnecessary 'the'.
S007,2,1,"Westbrook scored 36 points on 11 - of - 21 shooting ,",27,38,,,WORD,,The sentence incorrectly states 'scored' instead of 'finished'.
S007,4,1,"The Kings shot 46 percent from the field and 36 percent from long range , while the Kings shot 46 percent from the field and 36 percent from long range .",1,31,,,WORD,"The Oklahoma City Thunder shot 46 percent from the field and 36 percent from long range, while the Sacramento Kings shot 46 percent from the field and 36 percent from long range.",The sentence incorrectly repeats the same team (Kings) twice.
S007,5,1,"DeMarcus Cousins led the way for the Kings , with 31 points on 11 - of - 20 shooting ,",1,20,,,WORD,"DeMarcus Cousins led the way for the Kings, with 31 points on 11-of-20 shooting,","The phrase 'led the way' is a common expression but in this context, it's better to use a more specific term like 'finished with' to match the statistical information provided."
S008,6,1,"The Jazz shot 48 percent from the field and 29 percent from long range , while the Jazz shot 48 percent from the field and 29 percent from long range .",1,31,,,WORD,"The Jazz shot 48 percent from the field and 29 percent from long range, while the Grizzlies shot 48 percent from the field and 29 percent from long range.","The visiting team is the Grizzlies, not the Jazz."
S009,1,1,"The Milwaukee Bucks defeated the Los Angeles Lakers , 122 - 122 , at BMO Harris Bradley Center on Tuesday .",1,21,,,WORD,"The Milwaukee Bucks defeated the Los Angeles Lakers, 122-114, at BMO Harris Bradley Center on Tuesday.","The score is incorrect. The Bucks scored 114 points, not 122."
S009,2,1,the Bucks were able to prevail with a huge road win,9,19,,,WORD,the Bucks were able to prevail with a close road win,The term 'huge' is subjective and not typically used to describe a basketball game result. A 'close' win is more appropriate.
S009,3,1,"the Bucks led for the majority of the game , as they led by double - digits for the entirety of the second half .",4,28,,,WORD,"the Bucks trailed for the majority of the game, as they trailed by double-digits for the entirety of the second half.","The Bucks did not lead, they trailed. The correct term is 'trailing' and the correct phrase is 'entirety of the second half'."
S009,4,1,"Rebounding was key for the Lakers , as they held the Lakers to 29 percent shooting and forced them to commit 17 turnovers .",1,24,,,NAME,the Bucks,"The sentence refers to the Bucks, not the Lakers."
S009,7,1,"Luol Deng was second on the team , as he accrued 26 points , three rebounds and two assists .",1,20,,,WORD,"Khris Middleton was second on the team, as he accrued 26 points, three rebounds and two assists.",Luol Deng did not play in this game according to the box score data.
S009,9,1,On deck for Los Angeles is a road matchup with the New Orleans Pelicans on Sunday .,1,17,,,WORD,On deck for Los Angeles is a road matchup with the Sacramento Kings on Tuesday.,"The Los Angeles Lakers played the Sacramento Kings on Tuesday, not the New Orleans Pelicans on Sunday."
S009,11,1,"Giannis Antetokounmpo was the player of the game , as he accumulated 41 points , eight rebounds and six assists .",1,21,,,WORD,"Giannis Antetokounmpo was the player of the game, as he accumulated 41 points, 8 rebounds and 6 assists.","The word 'eight' and 'six' should be used instead of 'eight' and 'six' respectively, as per the box score data."
S009,12,1,"Khris Middleton was second on the team , as he accrued 18 points , six rebounds and six assists .",1,20,,,WORD,"Khris Middleton was second on the team, as he led the team with 18 points, six rebounds and six assists.","Khris Middleton did not accrue 18 points, six rebounds and six assists. He led the team with those stats."
S010,2,1,the Hawks were able to prevail with a huge road win,9,19,,,WORD,the Magic were able to prevail with a huge road win,"The home team is the Orlando Magic, not the Atlanta Hawks."
S010,5,1,"Rebounding was a huge factor as well , with the Hawks recording 27 assists to 12 turnovers , while the Magic committed 17 turnovers to just 19 assists .",1,29,,,WORD,"Rebounding was a huge factor as well, with the Hawks recording 27 assists to 12 turnovers, while the Magic committed 17 turnovers to just 19 assists.",The sentence contains incorrect numbers for assists and turnovers. The correct numbers are taken from the box score data.
S010,7,1,"Dennis Schroder was the player of the game , as he tallied 18 points , six rebounds and seven assists on 7 - of - 13 shooting .",1,28,,,WORD,"Dennis Schroder was the player of the game, as he accumulated 18 points, six rebounds and seven assists on 50% shooting.",The shooting percentage should be corrected to 50% as per the box score data.
S010,8,1,"Dwight Howard recorded a double - double , totaling 13 points and 12 rebounds",1,14,,,WORD,"Dwight Howard recorded a 13-point, 12-rebound double-double.",The phrase 'double-double' should be hyphenated and the points and rebounds should be separated by a comma.
S010,9,1,"Kent Bazemore was the only other starter in double figures , as he totaled 17 points and four assists .",1,20,,,WORD,"Dwight Howard was the only other starter in double figures, as he totaled 17 points and four rebounds.",Kent Bazemore did not have a double-figure assist in this game. Dwight Howard had 12 rebounds.
S010,13,1,"Evan Fournier was second on the team , as he accrued 14 points , one rebound and one assist .",1,20,,,WORD,"Evan Fournier was second on the team, as he accrued 14 points, one rebound and one assist.","The word 'second' is incorrectly used. It should be 'second-highest' or 'second-best' to indicate the player with the second highest points, but the context suggests it's a typo or misplaced. The sentence should be corrected to reflect the intended meaning."
S010,14,1,"Nikola Vucevic recorded a double - double , totaling 10 points and 10 rebounds .",1,15,,,WORD,"Nikola Vucevic recorded a double-double, totaling 10 points and 10 rebounds.",The phrase 'double - double' should be hyphenated as 'double-double'.
S010,15,1,"Evan Fournier was the only other Magic player in double figures , as he amassed 14 points and one rebound",1,20,,,WORD,"Evan Fournier was the only other Magic player in double figures, as he amassed 14 points and one rebound.",The word 'Evan' is incorrectly capitalized. It should be capitalized as it is a proper noun.
S011,2,1,"The Hawks got off to a quick start in this one , out - scoring the Wizards 29 - 18 in the first quarter alone .",1,26,,,WORD,"The Hawks got off to a quick start in this one, out-scoring the Wizards 29-18 in the first quarter alone.",The phrase 'out-scoring' should be used instead of 'out-scoring the Wizards' to correctly convey the meaning.
S011,5,1,"The Hawks were also able to force the Wizards into 14 turnovers , while committing just 12 of their own",1,20,,,NUMBER,"The Hawks were also able to force the Wizards into 14 turnovers, while committing just 12 of their own.","The number of turnovers committed by the Hawks (12) is correct, but the number of turnovers forced on the Wizards (14) is correct as stated."
S011,6,1,The Hawks were led by the duo of John Wall and Bradley Beal,1,13,,,WORD,The Hawks were led by the duo of Jeff Teague and Kyle Korver,John Wall and Bradley Beal were not the leading scorers for the Hawks in this game. Jeff Teague scored 26 points and Kyle Korver had 6 points.
S011,8,1,"It was his second double - double in a row , as he 's combined for 54 points and 14 rebounds over his last two games .",1,27,,,WORD,"It was his second double-double in a row, as he's combined for 54 points and 14 rebounds over his last two games.",The term 'double-double' should be hyphenated and spelled correctly.
S011,10,1,"It was his second double - double in a row , a stretch where he 's averaging 21 points and 12 rebounds .",1,23,,,WORD,"It was his second double-double in a row, a stretch where he's averaging 21 points and 10 rebounds.",The term 'double-double' should be hyphenated and the number of rebounds should match the context provided in the box score.
S011,12,1,He 's now averaging 16 points and 6 rebounds on the year .,1,13,,,WORD,He's now averaging 16.0 points and 6.0 rebounds on the year.,"The sentence implies that the player averages exactly 16 points and 6 rebounds, which is unlikely. It should be stated as approximate values."
S011,13,1,"The only other Hawk to reach double figures in points was Al Horford , who finished with 21 points",1,19,,,,,
S012,2,1,The Nuggets ( 21 - 25 ),1,7,,,NAME,The Nuggets (21-25),The home team's record should be consistent with the provided box score data.
S012,3,1,"Six players scored in double digits for Denver , including Danilo Gallinari , who led the way with 32 points , eight rebounds and one assist .",1,27,,,WORD,Five,Only five players scored in double digits for Denver according to the box score.
S012,4,1,"Gary Harris followed up with 15 points , seven rebounds , four assists and two steals , while Wilson Chandler chipped in six points , three rebounds and one steal",1,30,,,WORD,,Wilson Chandler is not mentioned in the original text. The sentence should refer to different players.
S012,5,1,"Jameer Nelson chipped in 17 points , three rebounds and one steal .",1,13,,,WORD,"Jameer Nelson chipped in 17 points, 3 rebounds and 1 steal.",The word 'three' should be replaced with the number '3' to match the box-score data.
S012,6,1,"Jameer Nelson chipped in 17 points , three rebounds , six assists and one steal , while Wilson Chandler chipped in six points , three rebounds and one steal .",1,30,,,WORD,,"Jameer Nelson and Wilson Chandler are the players mentioned, not Jameer Nelson and Wilson Chandler. The sentence should be corrected to reflect the correct players."
S012,8,1,"Tyson Chandler finished with 15 points , 12 rebounds and two steals , while Tyson Chandler finished with 15 points , 12 rebounds and two steals .",1,27,,,WORD,,"Repeated mention of Tyson Chandler with identical stats, which is redundant and confusing."
S013,3,1,"The Magic were led by a strong performance from Kyrie Irving , who finished with 13 points",1,17,,,,,
S013,9,1,The Magic will look to get back on track as they play host to the Magic on Monday .,1,19,,,NAME,The Magic will look to get back on track as they play host to the Orlando Magic on Monday.,"The team name 'Magic' is used twice, which is confusing and incorrect. The visiting team is the Orlando Magic."
S014,2,1,"The Trail Blazers got off to a quick start in this one , out - scoring the Lakers 34 - 21 right away in the first quarter .",1,28,,,WORD,The Trail Blazers outscored the Lakers 34-21 in the first quarter.,The phrase 'got off to a quick start' is not accurate. The correct term is 'outscored'.
