TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,The Boston Celtics defeated the Los Angeles Lakers,1,8,,,CONTEXT,"The Celtics won the game, but the sentence does not specify the score or the location.",The sentence is incomplete.
S001,3,1,six assists,16,17,,,NUMBER,seven assists,"Isaiah Thomas had seven assists, not six."
S001,4,1,right behind,4,5,,,CONTEXT,behind is not a word in this context,behind is not a word in this context
S001,5,1,Jae Crowder,1,2,,,NAME,Jae Crowder,"Player name is correct, but not found in the box score."
S001,4,1,eight assists,14,15,,,NUMBER,eight assists,"Al Horford had eight assists, not eight assists and a block."
S002,6,1,17 points,13,14,,,NUMBER,7,Incorrect number of points scored by Dwight Howard.
S002,7,1,n't,4,4,,,WORD,wasn't,Typo in contraction.
S002,5,1,three of their last five games,11,16,,,NUMBER,four of their last five games,"The Cavaliers have won 4 of their last 5 games, not 3."
S002,12,1,second on the team,4,7,,,CONTEXT,led the team,"Kyrie Irving was actually the leader in points, not second."
S002,14,1,Tristan Thompson,1,2,,,NAME,Tristan Thompson is not present in the box score data,Player name not found in box score data
S003,1,1,Saturday evening,17,18,,,CONTEXT,Sunday,Incorrect day of the week
S004,5,1,43 - 24,16,18,,,NUMBER,47-43,Incorrect rebounding numbers.
S005,1,1,35 percent success rate from the floor,8,14,,,NUMBER,35,The box score does not provide the success rate from the floor.
S005,2,1,game - high,11,13,,,WORD,game-high,"hyphenated in story, not in box score"
S006,1,1,Friday,22,22,,,CONTEXT,Tuesday,Incorrect day of the week.
S006,2,1,double - digit,9,11,,,NUMBER,double-digit,The phrase should be 'double-digit' instead of 'double - digit'.
S006,3,1,They were led by James Harden,1,6,,,CONTEXT,The Nets were led by their outstanding frontcourt duo of Brook Lopez and Thaddeus Young,"The sentence is misleading as it implies Harden led the team, but the box score shows Harden had a disappointing outing."
S006,9,1,The Nets will look to keep this momentum going against the Atlanta Hawks on Friday,1,15,,,NOT_CHECKABLE,,No information in box score to verify this sentence.
S007,5,1,11 - of - 20,14,18,,,NUMBER,11-of-20,typo in shooting stats
S007,3,1,29 points on 10 - of - 18 shooting,19,27,,,NUMBER,29 points on 10-of-18 shooting,Incorrect shooting percentage.
S008,2,1,Saturday 's contest,11,13,,,CONTEXT,Tuesday,The story says Saturday but the box score says Tuesday.
S008,4,1,Mike Conley,1,2,,,NAME,Mike Conley,The box score does not contain a player named Mike Conley.
S008,5,1,7 - of - 13 shooting,8,13,,,NUMBER,7-of-13 shooting,"The box score says 7-of-13, not 7 - of - 13."
S008,6,1,48 percent from the field and 29 percent from long range,4,14,,,NOT_CHECKABLE,,The box score does not provide information about the Jazz shooting percentages.
S008,7,1,four of their last five games,11,16,,,NUMBER,five of their last six games,The Grizzlies have lost 5 of their last 6 games.
S008,8,1,4 - of - 14,14,18,,,NUMBER,4-of-14,"FGM is 4, not 4-of-14"
S008,3,1,9 - of - 17,23,27,,,NUMBER,9-of-17,Incorrect shooting percentage.
S008,11,1,Trail Blazers,14,15,,,NAME,"Trail Blazers is incorrect, the team is actually the Grizzlies",Incorrect team name
S009,5,1,four of their last five games,11,16,,,NUMBER,six of their last 30 games,"The story says the Lakers have won four of their last five games, but the box score says they have six road victories in 30 games."
S009,6,1,D'Angelo Russell was the player of the game,1,8,,,CONTEXT,D'Angelo Russell was a player in the game,The sentence is misleading as it implies D'Angelo Russell was the only player of the game.
S009,7,1,Luol Deng was second on the team,1,7,,,CONTEXT,Luol Deng was not second on the team in scoring,Luol Deng did not have the second most points on the team.
S009,8,1,D'Angelo Russell was the only other starter in double figures,1,10,,,WORD,D'Angelo Russell was the only other starter in double figures,Incorrectly stated as the only other starter in double figures
S009,10,1,three of their last five games,10,15,,,NUMBER,three of their last four games,"The Bucks have lost 3 of their last 4 games, not 5."
