TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,3,1,six,82.0,82.0,NUMBER,five,"The sentence states Isaiah Thomas had six assists, but the box score shows he had five.",qwen_14b,p0b_sent,3502.52
S001,5,1,18,25.0,25.0,NUMBER,12,The number of points for Jae Crowder is incorrect.,qwen_14b,p0b_sent,3502.52
S001,5,2,12,120.0,120.0,NUMBER,6,The number of rebounds for Jae Crowder is incorrect.,qwen_14b,p0b_sent,3502.52
S001,9,1,nine,199.0,199.0,NUMBER,7,"Olynyk had 7 rebounds, not 9.",qwen_14b,p0b_sent,3502.52
S001,10,1,Wednesday,18.0,18.0,NAME,Friday,"The game is scheduled for Friday, not Wednesday.",qwen_14b,p0b_sent,3502.52
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,The sentence incorrectly states the losing team as the Atlanta Hawks instead of the Cleveland Cavaliers.,qwen_14b,p0b_sent,3502.52
S002,1,2,Saturday,18.0,18.0,NAME,Tuesday,The day of the game is incorrectly stated as Saturday instead of Tuesday.,qwen_14b,p0b_sent,3502.52
S002,1,3,110 - 110,9.0,11.0,NUMBER,110-106,The final score is incorrectly stated as 110-110 instead of 110-106.,qwen_14b,p0b_sent,3502.52
S002,2,1,struggling,26.0,26.0,WORD,successful,"The teams are described as undefeated and successful, not struggling.",qwen_14b,p0b_sent,3502.52
S002,3,1,Hawks,3.0,3.0,NAME,Cavaliers,The sentence incorrectly states that the Hawks outscored themselves.,qwen_14b,p0b_sent,3502.52
S002,4,1,19,78.0,78.0,NUMBER,21,"The Cavaliers recorded 21 assists, not 19.",qwen_14b,p0b_sent,3502.52
S002,4,2,19,78.0,78.0,NUMBER,6,"The Cavaliers committed 6 turnovers, not 19.",qwen_14b,p0b_sent,3502.52
S002,5,1,three,102.0,102.0,NUMBER,two,The Hawks have won two of their last five games according to the box score.,qwen_14b,p0b_sent,3502.52
S002,6,1,17,127.0,127.0,NUMBER,9,"Howard had 9 rebounds, not 17.",qwen_14b,p0b_sent,3502.52
S002,7,1,25,151.0,151.0,NUMBER,24,"Kevin Love scored 24 points, not 25.",qwen_14b,p0b_sent,3502.52
S002,8,1,25,151.0,151.0,NUMBER,23,"LeBron James scored 23 points, not 25.",qwen_14b,p0b_sent,3502.52
S002,10,1,three,102.0,102.0,NUMBER,two,"The Cavaliers have won two of their last five games, not three.",qwen_14b,p0b_sent,3502.52
S002,11,1,23,236.0,236.0,NUMBER,24,"Kevin Love scored 24 points, not 23.",qwen_14b,p0b_sent,3502.52
S002,12,1,second,248.0,248.0,NUMBER,first,"Kyrie Irving scored the most points, making him first on the team, not second.",qwen_14b,p0b_sent,3502.52
S002,13,1,11,277.0,277.0,NUMBER,12,"Kevin Love had 12 rebounds, not 11.",qwen_14b,p0b_sent,3502.52
S002,14,1,25,151.0,151.0,NUMBER,0,Tristan Thompson did not provide 25 points.,qwen_14b,p0b_sent,3502.52
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,"The game was played on Sunday, not Saturday.",qwen_14b,p0b_sent,3502.52
S003,2,1,Friday,51.0,51.0,NAME,Sunday,"The game was played on Sunday, not Friday.",qwen_14b,p0b_sent,3502.52
S003,3,1,steal,97.0,97.0,WORD,N/A,The box score does not show DeMar DeRozan recording a steal.,qwen_14b,p0b_sent,3502.52
S003,4,1,10 - assist,,,NUMBER,3,"Kyle Lowry had 3 assists, not 10.",qwen_14b,p0b_sent,3502.52
S003,5,1,block and a block,152.0,155.0,NUMBER,a block,"Valanciunas recorded only one block, not three.",qwen_14b,p0b_sent,3502.52
S003,7,1,Terrence Ross,183.0,184.0,NAME,DeMar DeRozan,"DeMar DeRozan was highlighted as the player of the game, not Terrence Ross.",qwen_14b,p0b_sent,3502.52
S003,10,1,Elfrid Payton,252.0,253.0,NAME,Nikola Vucevic,Nikola Vucevic led the team in scoring according to the box score.,qwen_14b,p0b_sent,3502.52
S003,11,1,10,111.0,111.0,NUMBER,7,"Aaron Gordon scored 7 points, not 10.",qwen_14b,p0b_sent,3502.52
S003,12,1,13,139.0,139.0,NUMBER,10,"Elfrid Payton had 10 rebounds, not 13.",qwen_14b,p0b_sent,3502.52
S003,13,1,10,111.0,111.0,NUMBER,7,"Aaron Gordon scored 7 points, not 10.",qwen_14b,p0b_sent,3502.52
S003,14,1,11,194.0,194.0,NUMBER,0,DJ Augustin did not score 11 points according to the box score.,qwen_14b,p0b_sent,3502.52
