TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,defeated,4.0,4.0,WORD,beat,"The correct term for winning a game is 'beat', not 'defeated'.",qwen_small,p1_sent,1393.84
S001,1,2,113 - 107,10.0,12.0,NUMBER,113-107,"The score should be represented as 113-107, not 113 - 107.",qwen_small,p1_sent,1393.84
S001,2,1,The Celtics,20.0,21.0,NAME,Celtics,The home team should be referred to by their city.,qwen_small,p1_sent,1393.84
S001,2,2,The Celtics,20.0,21.0,NAME,Celtics,The home team should be referred to by their city.,qwen_small,p1_sent,1393.84
S001,3,1,38 points,75.0,76.0,NUMBER,38 points,"Isaiah Thomas scored 38 points, not 38.",qwen_small,p1_sent,1393.84
S002,1,1,The Atlanta Hawks,1.0,3.0,NAME,Cleveland Cavaliers,Incorrect team name.,qwen_small,p1_sent,1393.84
S002,1,2,110 - 110,9.0,11.0,NUMBER,110-106,Incorrect score.,qwen_small,p1_sent,1393.84
S002,1,3,Saturday night,18.0,19.0,WORD,Tuesday,Incorrect day of the week.,qwen_small,p1_sent,1393.84
S002,3,1,37 -,50.0,51.0,NUMBER,27,"The Hawks scored 27 points in the fourth quarter, not 37.",qwen_small,p1_sent,1393.84
S002,6,1,17 points,127.0,128.0,NUMBER,17,"The correct number of points is 17, not 17.",qwen_small,p1_sent,1393.84
S002,6,2,17 rebounds,130.0,131.0,NUMBER,17,"The correct number of rebounds is 17, not 17.",qwen_small,p1_sent,1393.84
S002,7,1,Kent Bazemore,143.0,144.0,NAME,Bazemore,Incorrect name for the player.,qwen_small,p1_sent,1393.84
S002,12,1,Kyrie Irving,245.0,246.0,NAME,"Irving, Kyrie","Names should be in surname, firstname order.",qwen_small,p1_sent,1393.84
S003,1,1,Saturday evening,17.0,18.0,NAME,Sunday,"The game was played on Sunday, not Saturday evening.",qwen_small,p1_sent,1393.84
S003,2,1,the Raptors,41.0,42.0,NAME,the Orlando Magic,"The Raptors played against the Orlando Magic, not themselves.",qwen_small,p1_sent,1393.84
S003,2,2,the Magic,61.0,62.0,NAME,the Raptors,"The Raptors defeated the Orlando Magic, not the other way around.",qwen_small,p1_sent,1393.84
S003,3,1,DeMar DeRozan,74.0,75.0,NAME,DeRozan,Incorrect first name.,qwen_small,p1_sent,1393.84
S003,5,1,16 -point,,,NUMBER,34,The correct score for the second and third quarters is 61-34.,qwen_small,p1_sent,1393.84
S003,5,2,34,,,NUMBER,61,The correct score for the second and third quarters is 61-34.,qwen_small,p1_sent,1393.84
S003,6,1,16 -,107.0,108.0,NUMBER,13,"Valanciunas recorded 13 rebounds, not 16.",qwen_small,p1_sent,1393.84
S003,6,2,13 -,139.0,140.0,NUMBER,13,"Valanciunas recorded 13 rebounds, not 16.",qwen_small,p1_sent,1393.84
S004,1,1,The host,1.0,2.0,NAME,Utah,Incorrect team name for the host.,qwen_small,p1_sent,1393.84
S004,1,2,Los Angeles,7.0,8.0,NAME,Los Angeles,Typo in city name.,qwen_small,p1_sent,1393.84
S004,3,1,outscored,68.0,68.0,NUMBER,outscored the Lakers by 16,"The Jazz outscored the Lakers by 16, not just outscored.",qwen_small,p1_sent,1393.84
S004,4,1,38,91.0,91.0,NUMBER,38.0,"Incorrect shooting percentage, should be 38.0%",qwen_small,p1_sent,1393.84
S004,4,2,24,97.0,97.0,NUMBER,24.0,"Incorrect shooting percentage, should be 24.0%",qwen_small,p1_sent,1393.84
S004,5,1,43 -,120.0,121.0,NUMBER,47,"The Jazz won the rebounding battle by 47-24, not 43-24.",qwen_small,p1_sent,1393.84
S004,7,1,D'Angelo Russell,153.0,154.0,NAME,Brandon Ingram,Incorrect player name.,qwen_small,p1_sent,1393.84
S004,8,1,Luol Deng,173.0,174.0,NAME,Deng,Incorrect name for the player.,qwen_small,p1_sent,1393.84
S004,9,1,17,164.0,164.0,NUMBER,15,"D'Angelo Russell scored 15 points, not 17.",qwen_small,p1_sent,1393.84
S004,10,1,Luol,173.0,173.0,NAME,Deng,Incorrect player name.,qwen_small,p1_sent,1393.84
S004,14,1,13 points,313.0,314.0,NUMBER,13,"Gobert had 13 points, not 13 points and 13 rebounds.",qwen_small,p1_sent,1393.84
S004,14,2,13 rebounds,316.0,317.0,NUMBER,13,"Gobert had 13 points, not 13 points and 13 rebounds.",qwen_small,p1_sent,1393.84
S004,14,3,four blocks,319.0,320.0,NUMBER,4,"Gobert had 4 blocks, not 13 points, 13 rebounds and 4 blocks.",qwen_small,p1_sent,1393.84
S004,15,1,13,313.0,313.0,NUMBER,13,"Gobert's points should be 13, not 13 rebounds.",qwen_small,p1_sent,1393.84
S004,16,1,13 points,313.0,314.0,NUMBER,13,"Gobert's actual points were 13, not 13 points.",qwen_small,p1_sent,1393.84
S004,16,2,13 rebounds,316.0,317.0,NUMBER,13,"Gobert's actual rebounds were 13, not 13 rebounds.",qwen_small,p1_sent,1393.84
S005,1,1,35,8.0,8.0,NUMBER,53,Incorrect shooting percentage from the floor.,qwen_small,p1_sent,1393.84
S005,1,2,26,16.0,16.0,NUMBER,36,Incorrect shooting percentage from three-point range.,qwen_small,p1_sent,1393.84
S005,1,3,15,27.0,27.0,NUMBER,17,Incorrect number of turnovers.,qwen_small,p1_sent,1393.84
S005,2,1,game - high,,,WORD,game-high,Hyphen should be removed to form a compound adjective.,qwen_small,p1_sent,1393.84
S005,4,1,three,19.0,19.0,NUMBER,two,"Dwight Howard had two assists, not three.",qwen_small,p1_sent,1393.84
S005,4,2,one,64.0,64.0,NUMBER,two,"Dwight Howard had two steals, not one.",qwen_small,p1_sent,1393.84
S005,7,1,Paul Millsap,38.0,39.0,NAME,"Tim Hardaway, Jr",Paul Millsap is not the leader of the Hawks in this game.,qwen_small,p1_sent,1393.84
S005,8,1,three assists,102.0,103.0,NUMBER,two,"Dwight Howard had a 11-point, 13-rebound double-double with two assists, not three.",qwen_small,p1_sent,1393.84
S005,9,1,Kent Bazemore,111.0,112.0,NAME,Malcolm Delaney,Kent Bazemore is not the player who scored 12 points.,qwen_small,p1_sent,1393.84
S006,1,1,defeated,9.0,9.0,CONTEXT,defeated by,"The Nets lost to the Rockets, not the other way around.",qwen_small,p1_sent,1393.84
S006,3,1,10,5.0,5.0,NUMBER,22,"Harden scored 22 points, not 10.",qwen_small,p1_sent,1393.84
S006,4,1,Trevor Ariza,66.0,67.0,NAME,Clint Capela,Trevor Ariza was not a starter.,qwen_small,p1_sent,1393.84
S006,8,1,Thaddeus Young,163.0,164.0,NAME,Brook Lopez and Thaddeus Young,Thaddeus Young is not the only starter in double figures.,qwen_small,p1_sent,1393.84
S007,2,1,36 points,33.0,34.0,NUMBER,36,Westbrook's points should be consistent.,qwen_small,p1_sent,1393.84
S007,2,2,11 rebounds,36.0,37.0,NUMBER,11,Westbrook's rebounds should be consistent.,qwen_small,p1_sent,1393.84
S007,2,3,seven assists,39.0,40.0,NUMBER,10,Westbrook's assists should be consistent.,qwen_small,p1_sent,1393.84
S007,2,4,four steals,42.0,43.0,NUMBER,four,Westbrook's steals should be consistent.,qwen_small,p1_sent,1393.84
S007,2,5,one block,45.0,46.0,NUMBER,one,Westbrook's blocks should be consistent.,qwen_small,p1_sent,1393.84
S007,2,6,11 of 21,,,NUMBER,11,Westbrook's shooting percentage should be consistent.,qwen_small,p1_sent,1393.84
S008,1,1,The Memphis,1.0,2.0,NAME,Utah,Incorrect home team name.,qwen_small,p1_sent,1393.84
S008,1,2,defeated,4.0,4.0,WORD,beat,Incorrect verb used for the result of the game.,qwen_small,p1_sent,1393.84
S008,2,1,5 - 5,,,NUMBER,5-5,Numbers should be hyphenated.,qwen_small,p1_sent,1393.84
S008,2,2,Grizzlies,3.0,3.0,NAME,Jazz,Incorrect team name.,qwen_small,p1_sent,1393.84
S008,2,3,Grizzlies,3.0,3.0,NAME,Jazz,Incorrect team name.,qwen_small,p1_sent,1393.84
S008,2,4,Grizzlies,3.0,3.0,NAME,Jazz,Incorrect team name.,qwen_small,p1_sent,1393.84
S008,2,5,33,61.0,61.0,NUMBER,25,Incorrect first quarter score.,qwen_small,p1_sent,1393.84
S008,2,6,Grizzlies,3.0,3.0,NAME,Jazz,Incorrect team name.,qwen_small,p1_sent,1393.84
S008,7,1,5 - 5,,,NUMBER,4-4,"The Grizzlies' record is 4-4, not 5-5.",qwen_small,p1_sent,1393.84
S009,1,1,The Milwaukee Bucks,1.0,3.0,NAME,Los Angeles Lakers,Incorrect team name.,qwen_small,p1_sent,1393.84
S009,1,2,122 - 122,10.0,12.0,NUMBER,122-114,Incorrect score.,qwen_small,p1_sent,1393.84
S009,1,3,Tuesday,20.0,20.0,NAME,Friday,Incorrect day of the week.,qwen_small,p1_sent,1393.84
S010,1,1,Atlanta Hawks,2.0,3.0,NAME,Orlando Magic,"The home team is Orlando Magic, not Atlanta Hawks.",qwen_small,p1_sent,1393.84
S010,1,2,host,6.0,6.0,NAME,home,The term 'host' is incorrect; the home team is referred to as 'home'.,qwen_small,p1_sent,1393.84
S010,4,1,43,75.0,75.0,NUMBER,53,"Orlando's shooting percentage from the field was 53%, not 43%.",qwen_small,p1_sent,1393.84
S010,4,2,53,81.0,81.0,NUMBER,43,"Orlando's shooting percentage from three-point range was 43%, not 53%.",qwen_small,p1_sent,1393.84
S010,7,1,7 - of - 13,,,NUMBER,7 of 13,The correct shooting percentage format is '7 of 13'.,qwen_small,p1_sent,1393.84
S010,8,1,13 points,,,NUMBER,13-point,"Howard's points should be indicated as a 13-point, not just 13 points.",qwen_small,p1_sent,1393.84
S010,8,2,12 rebounds,,,NUMBER,12-rebound,"Rebounds should be indicated as a 12-rebound, not just 12 rebounds.",qwen_small,p1_sent,1393.84
S010,9,1,Kent Bazemore,,,NAME,Dwight Howard,"Kent Bazemore was not a starter, Dwight Howard was.",qwen_small,p1_sent,1393.84
S010,12,1,Nikola Vucevic,240.0,241.0,NAME,Dennis Schroeder,Nikola Vucevic was not the player of the game.,qwen_small,p1_sent,1393.84
S011,1,1,Tuesday,22.0,22.0,NAME,Wednesday,"The game was played on Wednesday, not Tuesday.",qwen_small,p1_sent,1393.84
S011,2,1,out scoring,,,NUMBER,outscored,Incorrect term used; should be 'outscored' based on the box score.,qwen_small,p1_sent,1393.84
S011,3,1,out -score,,,NUMBER,outscore,The correct term is 'outscore' rather than 'out-score'.,qwen_small,p1_sent,1393.84
S011,4,1,48,93.0,93.0,NUMBER,44,"The Hawks' field goal percentage is 44%, not 48%.",qwen_small,p1_sent,1393.84
S011,4,2,25,120.0,120.0,NUMBER,44,"The Wizards' three-point shooting percentage is 25%, not 44%.",qwen_small,p1_sent,1393.84
S011,5,1,14 turnovers,135.0,136.0,NUMBER,12 turnovers,"The Hawks committed 12 turnovers, not 14.",qwen_small,p1_sent,1393.84
S011,6,1,The duo,,,NAME,the,Incorrect term used to describe the players.,qwen_small,p1_sent,1393.84
S011,11,1,Notching a double,229.0,231.0,WORD,notching a double-double,Notching is not a valid term for a double-double in basketball.,qwen_small,p1_sent,1393.84
S011,13,1,21 points,281.0,282.0,NUMBER,24 points,"Al Horford scored 24 points, not 21.",qwen_small,p1_sent,1393.84
S011,14,1,New Orleans,390.0,391.0,NAME,Atlanta,The Hawks' next game was not against the New Orleans Pelicans.,qwen_small,p1_sent,1393.84
S011,14,2,Cleveland,405.0,405.0,NAME,Charlotte,The Wizards' next game was not against the Cleveland Cavaliers.,qwen_small,p1_sent,1393.84
S012,1,1,Friday,19.0,19.0,NAME,Saturday,"The game was played on Saturday, not Friday.",qwen_small,p1_sent,1393.84
S012,2,1,(21 -25),,,NUMBER,(21-25),Incorrect format for win-loss record.,qwen_small,p1_sent,1393.84
S012,2,2,Nuggets,3.0,3.0,NAME,Suns,Incorrect team name.,qwen_small,p1_sent,1393.84
S012,7,1,(15-32),,,NUMBER,(15-32),Incorrect team record. The Nuggets' record is (21-25).,qwen_small,p1_sent,1393.84
S012,7,2,23,173.0,173.0,NUMBER,21,Incorrect points scored by Devin Booker. He scored 21 points.,qwen_small,p1_sent,1393.84
S012,10,1,Next up,228.0,229.0,CONTEXT,The Suns host the Denver Nuggets,The Suns cannot host themselves in the next game.,qwen_small,p1_sent,1393.84
S013,1,1,Wednesday,22.0,22.0,NAME,Saturday,"The game was played on Saturday, not Wednesday.",qwen_small,p1_sent,1393.84
S013,2,1,out - scored,40.0,42.0,NUMBER,outscored,The correct term is 'outscored' rather than 'out-scored'.,qwen_small,p1_sent,1393.84
S014,1,1,Friday,24.0,24.0,NAME,Saturday,"The game was played on Saturday, not Friday.",qwen_small,p1_sent,1393.84
S014,2,1,out - scoring,45.0,47.0,NUMBER,outscored,Incorrect term used; should be 'outscored'.,qwen_small,p1_sent,1393.84
S014,3,1,49,72.0,72.0,NUMBER,49 percent,Incorrect shooting percentage.,qwen_small,p1_sent,1393.84
S014,3,2,40,78.0,78.0,NUMBER,40 percent,Incorrect shooting percentage.,qwen_small,p1_sent,1393.84
S014,3,3,44,91.0,91.0,NUMBER,44 percent,Incorrect shooting percentage.,qwen_small,p1_sent,1393.84
S014,3,4,30,98.0,98.0,NUMBER,30 percent,Incorrect shooting percentage.,qwen_small,p1_sent,1393.84
S014,4,1,CJ McCollum,112.0,113.0,NAME,Damian Lillard and CJ McCollum,CJ McCollum is not mentioned as leading the team.,qwen_small,p1_sent,1393.84
S014,4,2,Damian Lillard,115.0,116.0,NAME,Damian Lillard and CJ McCollum,Damian Lillard is not mentioned as leading the team.,qwen_small,p1_sent,1393.84
S014,7,1,12 -,185.0,186.0,NUMBER,20,Lillard's shooting percentage should be 20-20.,qwen_small,p1_sent,1393.84
S014,7,2,4 -,194.0,195.0,NUMBER,7,Three-point shooting percentage should be 7-7.,qwen_small,p1_sent,1393.84
S014,9,1,Kobe Bryant,247.0,248.0,NAME,Julius Randle,"Kobe Bryant is not the leading scorer, Julius Randle is.",qwen_small,p1_sent,1393.84
