TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,2,1,30,35,35,,,NUMBER,33,"The story claims a 30-point win, but the box score shows the Celtics won by 33 points."
S001,3,1,six,16,16,,,NUMBER,4,"Isaiah Thomas had 4 assists, not six."
S001,3,2,two,19,19,,,NUMBER,2,"Isaiah Thomas had 2 rebounds, which is correct."
S001,2,3,a,13,13,,,NUMBER,1,"Isaiah Thomas had 1 steal, not a (which implies one)."
S001,4,1,a block,17,18,,,NUMBER,1,Al Horford had 1 block according to the JSON.
S001,2,1,18,6,6,,,NUMBER,18,The JSON confirms Jae Crowder scored 18 points.
S001,5,2,12,11,11,,,NUMBER,6,"The JSON shows Jae Crowder had 6 rebounds, not 12."
S001,5,3,an,20,20,,,NUMBER,1,"The JSON indicates Jae Crowder had 1 assist, not an (implied 1)."
S001,6,2,a pair of steals,15,18,,,NUMBER,2,"Jae Crowder had 2 steals, not a pair of steals."
S001,5,2,two steals,23,24,,,NUMBER,2,"Jae Crowder had 2 steals, which is correct."
S001,9,1,10,8,8,,,NUMBER,7,"The JSON shows Kelly Olynyk scored 7 points, not 10."
S001,9,2,nine,11,11,,,NUMBER,9,"The JSON shows Kelly Olynyk had 9 rebounds, which is correct, but the token 'nine' is written as a number in the correction."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,"The story incorrectly states the Hawks defeated the Hawks, when it should be the Hawks defeated the Cavaliers."
S002,1,2,110 - 110,9,11,,,NUMBER,110 - 106,"The story incorrectly states the score as 110-110, when the correct score is 110-106."
S002,1,3,Saturday,18,18,,,NAME,Tuesday,"The story incorrectly states the game was on Saturday, when it was actually on Tuesday."
S002,2,1,struggling,6,6,,,CONTEXT,,"The JSON indicates both teams have good records (Cleveland 6-1, Atlanta 5-2), contradicting the term 'struggling'."
S002,3,2,37 - 20,10,12,,,NUMBER,27 - 37,"The story states the Hawks outscored the Hawks 37-20, but the JSON shows the Cavaliers scored 27 and the Hawks scored 37 in the fourth quarter."
