TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,107,12,12,,,NUMBER,101,"The Lakers scored 101, not 107."
S001,1,2,Wednesday,18,18,,,NAME,Friday,The game was played on Friday.
S001,2,1,32 - 18,4,6,,,NUMBER,32-18,The home team's record is correctly stated as 32-18.
S001,2,3,Friday,30,30,,,NAME,Thursday,"The game was actually played on Thursday, not Friday."
S001,3,1,38,9,9,,,NUMBER,33,"Isaiah Thomas scored 33 points, not 38."
S001,3,2,six,16,16,,,NUMBER,five,"Isaiah Thomas had five assists, not six."
S001,3,3,two,19,19,,,NUMBER,one,"Isaiah Thomas had one rebound, not two."
S001,2,4,a,13,13,,,WORD,,"The phrase 'a steal' is redundant and incorrect, as steals are not classified as assists."
S001,4,1,11,8,8,,,NUMBER,8,"Al Horford accumulated 8 assists, not 11."
S001,5,2,12,11,11,,,NUMBER,18,"Isaiah Thomas's double-double was 18 points, not 12."
S001,5,1,Jae,1,1,,,NAME,Isaiah,Isaiah Thomas is the correct player who led the Celtics in scoring.
S001,5,2,Crowder,2,2,,,NAME,Thomas,"Isaiah Thomas is the correct player who led the Celtics in scoring, not Jae Crowder."
S001,9,1,10,8,8,,,NUMBER,11,"The Lakers scored 111, not 107."
S001,10,1,Detroit,11,11,,,NAME,Toronto,"The visiting team was the Toronto Raptors, not the Detroit Pistons."
S002,1,1,Atlanta,2,2,,,NAME,Cleveland,"The home team is Cleveland, not Atlanta."
S002,1,3,110,9,9,,,NUMBER,106,"The actual score was 110-106, not 110-110."
S002,1,4,Saturday,18,18,,,NAME,Tuesday,"The game was played on Tuesday, not Saturday."
S002,2,1,struggling,6,6,,,WORD,undefeated,"The Hawks were the last undefeated team, not struggling."
S002,1,1,Hawks,3,3,,,NAME,Cavaliers,"The Hawks were the visiting team, not the home team."
S002,4,1,19,20,20,,,NUMBER,21,"The Cavaliers committed 21 turnovers, not 19."
S002,5,1,5 - 2,4,6,,,NUMBER,6,"The Hawks have 6 wins, not 5."
S002,6,1,17,13,13,,,NUMBER,15,"LeBron James had 15 points, not 17."
S002,6,2,3,22,22,,,NUMBER,2,"LeBron James had 2 assists, not 3."
S002,7,1,Kent,1,1,,,NAME,Dennis,"Dennis Schroder, not Kent Bazemore, had the highest scoring performance."
S002,7,2,Bazemore,2,2,,,NAME,Schroder,"Dennis Schroder, not Kent Bazemore, had the highest scoring performance."
S002,7,1,25,9,9,,,NUMBER,20,"Kent Bazemore scored 20 points, not 25."
S002,7,2,six,12,12,,,NUMBER,four,"Only four starters reached double figures, not six."
S002,10,1,6 - 1,4,6,,,NUMBER,1-6,"The Cavaliers' record is 1-6, not 6-1."
S002,5,2,three,11,11,,,WORD,two,"The Cavaliers have won two of their last five games, not three."
S002,11,1,LeBron,1,1,,,NAME,Kyrie,"Kyrie Irving led the team, not LeBron James."
S002,11,2,23,16,16,,,NUMBER,29,"Kyrie Irving scored 29 points, not 23 points."
S002,12,1,Kyrie Irving,1,2,,,NAME,LeBron James,"LeBron James led the team with 23 points, not Kyrie Irving."
S002,12,2,29,12,12,,,NUMBER,23,"LeBron James scored 23 points, not 29 points."
S002,13,1,24,10,10,,,NUMBER,23,"LeBron James scored 23 points, not 24."
S002,9,1,Sunday,8,8,,,NAME,Friday,"The game was played on Friday, not Sunday."
S002,15,2,Orlando Magic,15,16,,,NAME,Chicago Bulls,"The Cavaliers will face the Chicago Bulls, not the Orlando Magic."
S003,1,1,Saturday,17,17,,,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,19 - 8,4,6,,,NUMBER,19-8,"The home line shows the Raptors' record as 19-8, not 19-8 again."
S003,3,1,DeMar,6,6,,,NAME,DeMarre,"DeMarre Carroll played, not DeMar DeRozan."
S003,3,2,DeRozan,7,7,,,NAME,Carroll,"DeMarre Carroll played, not DeMar DeRozan."
S003,4,1,16,9,9,,,NUMBER,3,"Kyle Lowry scored 16 points, not 3."
S003,4,2,10,13,13,,,NUMBER,3,"Kyle Lowry had 10 assists, not 3."
S003,4,2,double,16,16,,,WORD,triple,"Jonas Valanciunas recorded a triple-double, not a double-double."
S003,7,1,11,12,12,,,NUMBER,31,"DeMar DeRozan scored 31 points, not 11."
S003,3,2,five,22,22,,,WORD,six,"DeMar DeRozan recorded a double-double, so he had six rebounds, not five."
S003,3,3,four,25,25,,,NUMBER,three,"DeMar DeRozan had three assists, not four."
S003,1,1,Toronto,2,2,,,TEAM,Orlando,"The home team is Orlando, not Toronto."
S003,1,2,defeated,4,4,,,ACTION,beat,The term 'defeated' is less commonly used in basketball narratives; 'beat' is more appropriate.
S003,1,4,Orlando,6,6,,,TEAM,Toronto,"The visiting team is Toronto, not Orlando."
S003,1,5,109,9,9,,,NUMBER,79,"The score is 79-109, not 109-79."
S003,1,6,79,11,11,,,NUMBER,109,"The score is 79-109, not 109-79."
S003,9,1,Charlotte,4,4,,,NAME,Orlando,"The game was played in Orlando, not Charlotte."
S003,9,2,Hornets,9,9,,,NAME,Magic,"The visiting team was the Orlando Magic, not the Hornets."
S003,10,1,Elfrid Payton,7,8,,,NAME,Nikola Vucevic,"Nikola Vucevic led the team in scoring, not Elfrid Payton."
S003,2,3,30,37,37,,,NUMBER,34,"The score difference in the second and third quarters was 34, not 30."
S003,5,2,13,11,11,,,NUMBER,32,"Toronto Raptors won the second quarter with 32 points, not 13."
S003,14,1,DJ Augustin,1,2,,,NAME,D.J. Augustin,The correct name of the player is D.J. Augustin.
S003,2,1,Friday,32,32,,,NAME,Sunday,"The game was played on Sunday, not Friday."
S004,1,1,96 - 89,11,13,,,NUMBER,96-89,The score is correctly reported as 96-89.
S004,1,2,Friday,21,21,,,NAME,Friday,"The game was played on Friday, not Wednesday."
S004,2,1,1 - 1,4,6,,,NUMBER,1 - 0,"The Jazz won the game, so their record should be 1 - 0."
S004,2,2,one,10,10,,,NUMBER,zero,"The Jazz did not have one of the best records in the NBA, they had zero losses in this game."
S004,3,1,16,20,20,,,NUMBER,15,"The forward came off the bench for an impressive 15 points, not 16."
S004,15,2,double - double,5,7,,,WORD,,Isaiah Thomas did not record a double-double.
S004,5,1,43,16,16,,,NUMBER,24,"The Jazz won the rebounding battle by 24, not 43."
S004,4,2,24,20,20,,,NUMBER,43,"The Jazz won the rebounding battle by 43, not 24."
S004,6,2,without,13,13,,,WORD,with,The sentence should indicate that the Lakers had enough offense despite missing Kobe Bryant.
S004,7,2,17,12,12,,,NUMBER,3,"D'Angelo Russell scored 3 points, not 17 points."
S004,8,1,Luol,1,1,,,NAME,Julius,"Luol Deng is not a starter, Julius Randle is."
S004,8,2,12,15,15,,,NUMBER,17,"Lou Williams scored 17 points, not 12."
S004,8,2,Deng,2,2,,,NAME,Randle,"Luol Deng is not a starter, Julius Randle is."
S004,11,1,Sunday,16,16,,,NAME,Sunday,"The teams will travel on Sunday, not on Saturday."
