TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,113 - 107,10.0,12.0,NUMBER,113-106,"The final score was 113-106, not 113-107.",llama_medium,p0b_sent,11418.13
S001,3,1,six,82.0,82.0,NUMBER,two,"Isaiah Thomas had 2 rebounds, not six.",llama_medium,p0b_sent,11418.13
S001,4,1,11,98.0,98.0,NUMBER,8,Incorrect number of assists.,llama_medium,p0b_sent,11418.13
S001,5,1,18,25.0,25.0,NUMBER,18,"Jae Crowder had a 18-point, 12-rebound double-double, but the sentence says 18-point, 12-rebound double-double that also included an assist, two steals and a block.",llama_medium,p0b_sent,11418.13
S001,6,1,Jae,110.0,110.0,NAME,Jae Crowder,Incorrect first name.,llama_medium,p0b_sent,11418.13
S001,7,1,Jae,110.0,110.0,NAME,Jae Crowder,Incorrect first name.,llama_medium,p0b_sent,11418.13
S001,8,1,eight,101.0,101.0,NUMBER,11,"Al Horford had 11 assists, not 8.",llama_medium,p0b_sent,11418.13
S001,9,1,10,196.0,196.0,NUMBER,7,Incorrect number of points scored by Kelly Olynyk.,llama_medium,p0b_sent,11418.13
S001,9,2,nine,199.0,199.0,NUMBER,7,Incorrect number of rebounds by Kelly Olynyk.,llama_medium,p0b_sent,11418.13
S002,1,1,Atlanta Hawks,,,NAME,Cavaliers,The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks.,llama_medium,p0b_sent,11418.13
S002,2,1,huge,37.0,37.0,WORD,big,"The word huge is an exaggeration, the correct word should be big.",llama_medium,p0b_sent,11418.13
S002,3,1,Hawks,3.0,3.0,WORD,Cavaliers,"The sentence says the Hawks outscored the Hawks, but it should be the Hawks outscored the Cavaliers.",llama_medium,p0b_sent,11418.13
S002,4,1,21,75.0,75.0,NUMBER,22,The assist-to-turnover ratio was actually 22 assists to 19 turnovers for the Hawks.,llama_medium,p0b_sent,11418.13
S002,4,2,19,78.0,78.0,NUMBER,22,The assist-to-turnover ratio was actually 22 assists to 19 turnovers for the Hawks.,llama_medium,p0b_sent,11418.13
S002,5,1,three,102.0,102.0,NUMBER,four,The Hawks have now won four of their last five games.,llama_medium,p0b_sent,11418.13
S002,6,1,3 - 5,,,NUMBER,3-of-5,,llama_medium,p0b_sent,11418.13
S002,7,1,n't,146.0,146.0,WORD,not,Incorrect negation.,llama_medium,p0b_sent,11418.13
S002,8,1,25,151.0,151.0,NUMBER,20,"Kent Bazemore had 20 points, not 25.",llama_medium,p0b_sent,11418.13
S002,10,1,three,102.0,102.0,NUMBER,four,The Cavaliers have now won four of their last five games.,llama_medium,p0b_sent,11418.13
S002,11,1,23,236.0,236.0,NUMBER,24,"LeBron James scored 24 points, not 23.",llama_medium,p0b_sent,11418.13
S002,12,1,second,248.0,248.0,WORD,first,Kyrie Irving was first on the team in points.,llama_medium,p0b_sent,11418.13
S002,13,1,second,248.0,248.0,NUMBER,first,Kevin Love was first on the team in rebounds.,llama_medium,p0b_sent,11418.13
S002,14,1,25,151.0,151.0,NUMBER,0,"Tristan Thompson scored 0 points, not 25.",llama_medium,p0b_sent,11418.13
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,Incorrect day of the week.,llama_medium,p0b_sent,11418.13
S003,2,1,30,56.0,56.0,NUMBER,109-79,"The Raptors won by 30 points, not 30-point victory.",llama_medium,p0b_sent,11418.13
S003,3,1,game - high,,,WORD,game-high,hyphenated compound adjective,llama_medium,p0b_sent,11418.13
