TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S002,1,2,Saturday,18,18,,,NAME,Tuesday,Incorrect day of the week
S002,1,3,110 - 110,9,11,,,NUMBER,110-106,Incorrect score
S002,3,4,37 - 20,10,12,,,NUMBER,,Incorrect score
S002,9,9,Sunday,8,8,,,NAME,,Incorrect day of the week
S006,1,1,The Houston Rockets ( 10 - 12 ) defeated the Brooklyn Nets ( 6 - 15 ) 110 - 105 on Friday .,1,23,,,OTHER,Tuesday,Incorrect day of the week
S006,2,2,The Nets came into this game as a double - digit favorite and they did n't disappoint,1,17,,,OTHER,The Nets came into this game as a double-digit underdog,Incorrect description of the Nets' status
S006,8,8,"Thaddeus Young was the only other starter in double figures , as he amassed 20 points , 12 rebounds and five assists .",1,23,,,OTHER,"Thaddeus Young was the only other starter in double figures, as he amassed 20 points, 12 rebounds and five assists",Incorrect description of Thaddeus Young's performance
S009,2,2,"In a battle between two struggling teams , the Bucks were able to prevail with a huge road win .",1,20,,,CONTEXT_MISTAKE,,"The Bucks did not win the game, the Lakers actually won."
S009,4,3,"Rebounding was key for the Lakers , as they held the Lakers to 29 percent shooting and forced them to commit 17 turnovers .",1,24,,,NUMBER_MISTAKE,52 percent,"The Lakers were held to 52 percent shooting, not 29 percent."
S009,7,5,"Luol Deng was second on the team , as he accrued 26 points , three rebounds and two assists .",1,20,,,NUMBER_MISTAKE,14 points,"Luol Deng scored 14 points, not 26 points."
S009,11,7,"Giannis Antetokounmpo was the player of the game , as he accumulated 41 points , eight rebounds and six assists .",1,21,,,NUMBER_MISTAKE,41 points,"Giannis Antetokounmpo scored 41 points, this is correct."
S009,12,8,"Khris Middleton was second on the team , as he accrued 18 points , six rebounds and six assists .",1,20,,,NUMBER_MISTAKE,18 points,"Khris Middleton scored 18 points, this is correct."
S009,13,9,"Greg Monroe was the only other starter in double figures , as he accrued 18 points , five rebounds and three assists .",1,23,,,NUMBER_MISTAKE,8 points,"Greg Monroe scored 8 points, not 18 points."
S012,2,2,The Nuggets ( 21 - 25 ) came into this game tied for the worst record in the west and this was a much needed win for the Suns ( 21 - 25 ),1,34,,,NUMBER,21-32,Incorrect record
S012,3,3,"Six players scored in double digits for Denver ,",1,9,,,NUMBER,Four,Incorrect number of players
S012,3,4,"Danilo Gallinari ,",11,13,,,NAME,Eric Bledsoe,Incorrect player name
S012,5,7,"17 points ,",5,7,,,NUMBER,21,Incorrect number of points
S015,1,2,American Airlines Arena,24,26,,,NAME_MISTAKE,"American Airlines Arena is the correct name of the arena, but the game was played at American Airlines Arena in Miami, not just American Airlines Arena","The game was played at American Airlines Arena in Miami, not just American Airlines Arena"
S015,2,3,64 - 52,18,20,,,NUMBER_MISTAKE,58-39,"The Raptors outscored the Heat 58-39 in the first half, not 64-52."
S015,3,4,50 - 38,11,13,,,NUMBER_MISTAKE,58-39,"The Raptors outscored the Heat 58-39 in the second half, not 50-38."
S015,4,5,Kyle Lowry,6,7,,,NAME_MISTAKE,DeMar DeRozan,"DeMar DeRozan led the Raptors, not Kyle Lowry."
S015,4,6,"21 points ( 8 - 18 FG , 1 - 4 3Pt , 4 - 4 FT ) , four assists and four steals",12,35,,,NUMBER_MISTAKE,"30 points (10-17 FG, 0-1 3Pt, 10-13 FT), four rebounds, four assists and two steals","DeMar DeRozan had 30 points, four rebounds, four assists and two steals, not 21 points, four assists and four steals."
S015,6,7,DeMarre Carroll,1,2,,,NAME_MISTAKE,Gerald Green,"Gerald Green came off the bench to score 20 points, not DeMarre Carroll."
S015,6,8,"20 points ( 7 - 15 FG , 5 - 10 3Pt , 1 - 1 FT )",37,54,,,NUMBER_MISTAKE,"20 points (7-15 FG, 5-10 3Pt, 1-1 FT)","Gerald Green had 20 points, not 20 points (7-15 FG, 5-10 3Pt, 1-1 FT)."
S015,11,9,Hassan Whiteside,1,2,,,NAME_MISTAKE,Dwyane Wade,"Dwyane Wade led the Heat in scoring, not Hassan Whiteside."
S015,13,11,Timberwolves,17,17,,,NAME_MISTAKE,Cavaliers,"The Heat will travel to Cleveland to take on the Cavaliers, not the Timberwolves."
S016,1,1,Friday,25,25,,,NAME_MISTAKE,Thursday,Incorrect day of the week
S017,1,1,Saturday,18,18,,,NAME_MISTAKE,Tuesday,"The game was played on Tuesday, not Saturday."
