TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,Isaiah Thomas 's 38 points,6,10,,,NUMBER,17,"Isaiah Thomas scored 17 points, not 38."
S002,,1,Atlanta Hawks defeated Atlanta Hawks,,,,,NAME,Cleveland,"The correct team defeated was Cleveland, not Atlanta."
S002,4,1,21 assists to 19 turnovers,17,21,,,NUMBER,22 assists to 19 turnovers,The correct assist-to-turnover ratio for the Hawks is 22 assists to 19 turnovers.
S002,5,1,three of their last five,11,15,,,NUMBER,five,"The Hawks have won five games, not three."
S002,6,1,"17 points , 17 rebounds",13,17,,,NUMBER,"17, 17","Howard's stats show 17 rebounds, not 17 points and rebounds"
S002,,2,3 of 5,,,,,NUMBER,3 of 5,"Howard's shooting percentage is 3 of 5, not 3 of 5 shooting"
S002,7,1,was n't far behind,3,6,,,WORD,tallied,"Kent Bazemore tallied 25 points, not just being 'far behind'."
S002,8,1,double figures,9,10,,,NUMBER,ten,"Kent Bazemore scored 25 points, not double figures."
S002,5,1,have now won,8,10,,,CONTEXT,have now lost,"The Cavaliers lost the game, not won."
S002,11,1,LeBron James did all he could,1,6,,,WORD,"LeBron James had a typical full stat line of 23 points, nine rebounds, five assists and three steals.","The sentence suggests LeBron James did all he could, which is not accurate based on the stats provided."
S002,12,1,29 points,12,13,,,NUMBER,24,"Kyrie Irving scored 24 points, not 29."
S002,13,1,"24 points , 11 rebounds and three steals",10,17,,,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S002,7,1,25 points,9,10,,,NUMBER,23,"Tristan Thompson provided 23 points, not 25."
S003,1,1,Saturday evening,17,18,,,NAME,Sunday,"The game was played on Sunday, not Saturday evening."
S003,,1,Raptors (19-8),,,,,NUMBER,19-8,The story incorrectly states the parentheses around the number.
S003,,1,DeMar DeRozan posted a game-high 31 points,,,,,NUMBER,31,"The JSON shows DeMar DeRozan scored 31 points, not a game-high 31 points."
S003,,1,16 -point 10 -assist,,,,,NUMBER,"16, 10",The JSON shows 16 points and 10 assists for Kyle Lowry.
S003,,1,16 -point 13 -rebound double - double,,,,,NUMBER,"16 points, 13 rebounds","The JSON shows 16 points and 13 rebounds, not a double-double."
S003,14,1,"11 points , three rebounds , two assists and a pair of steals",12,24,,,NUMBER,13,"DJ Augustin scored 13 points, not 11."
S004,1,1,96 - 89,11,13,,,NUMBER,96-89,The score should be written without spaces.
S004,3,1,led for the majority of the game,6,12,,,CONTEXT,outscored the Lakers by 16 in the fourth quarter,"The Jazz did not lead for the majority of the game, they outscored the Lakers by 16 in the fourth quarter."
S004,4,1,38 percent,14,15,,,NUMBER,38,"The JSON shows the Lakers' field goal percentage is 38%, not 38 percent."
S004,5,1,43 - 24,16,18,,,NUMBER,47-24,"The home team (Utah Jazz) had 47 rebounds, not 43."
S004,,1,(1 -1),,,,,NUMBER,1-1,The correct score is 1-1.
S004,,1,"D' Angelo Russell led the team in scoring ,",,,,,NAME,D'Angelo Russell,The player's full name should be used.
S004,8,1,Luol Deng,1,2,,,NAME,Julius Randle,Luol Deng is not a starter in double figures.
S004,,1,"D' Angelo Russell led the Lakers in scoring ,",,,,,NUMBER,17,"D'Angelo Russell scored 17 points, not leading in scoring."
S004,8,1,Luol Deng,1,2,,,NAME,Julius Randle,"Luol Deng is not mentioned in the box score data, Julius Randle is the only other starter in double figures."
S004,12,1,four of their last five games,11,16,,,NUMBER,five,The JSON shows the Jazz have won six of their last seven games.
S004,13,1,"23 points , three rebounds and three assists",16,23,,,NUMBER,23,George Hill's actual points were 23.
S004,15,1,13 points and 13 rebounds,10,14,,,NUMBER,13 and 13,Rudy Gobert's stats show 13 points and 13 rebounds.
S005,1,1,15 turnovers,27,28,,,NUMBER,15,"The story mentions 15 turnovers, but the JSON shows 13 turnovers."
S005,2,1,21 points,14,15,,,NUMBER,21,Paul Millsap's actual score was 21 points.
S006,1,1,The Houston Rockets ( 10 - 12 ),1,8,,,NUMBER,110-105,"The Rockets scored 110 points, not 10."
S006,,1,James Harden tallied 10 points,,,,,NUMBER,10,"Harden's points should be 10, not 10 points."
S006,4,1,"Trevor Ariza was the only other starter in double figures ,",1,11,,,NUMBER,Clint,Clint Capela was the only other starter in double figures.
S007,2,1,36 minutes,56,57,,,NUMBER,34,"Westbrook played for 34 minutes, not 36."
S007,3,1,29 points,19,20,,,NUMBER,29,"Kanter scored 29 points, not 29 points on 10-of-18 shooting."
S007,,1,DeMarcus Cousins led way,,,,,NAME,Cousins,The player's last name is incorrect.
S007,,1,10 of 18,,,,,NUMBER,12,Enes Kanter scored 29 points on 12-of-18 shooting.
S008,2,1,Tuesday 's,36,37,,,NAME,Saturday,"The story mentions Tuesday, but the JSON refers to Saturday."
S008,8,1,Gordon Hayward led the way,1,5,,,NAME,Joe Ingles,"Joe Ingles led the way for the Jazz, not Gordon Hayward."
S008,3,1,22 points,20,21,,,NUMBER,23,"Rudy Gobert scored 23 points, not 22."
S009,1,1,Milwaukee Bucks defeated the Los Angeles Lakers,2,8,,,CONTEXT,The Los Angeles Lakers defeated the Milwaukee Bucks,The game result is reversed in the story.
S009,3,1,led for the majority of the game,6,12,,,CONTEXT,"The Bucks led for the majority of the game, as they led by double-digits for the entirety of the second half.",The Bucks did not lead for the majority of the game; they led by double-digits for the entirety of the second half.
S009,5,1,four of their last five games,11,16,,,NUMBER,six,"The Bucks had six road victories, not four."
S009,6,1,41 points,13,14,,,NUMBER,41,"D'Angelo Russell scored 41 points, not 41 points for the entire team."
S009,,1,"D' Angelo Russell was the only other starter in double - ten ,",,,,,NUMBER,Giannis Antetokounmpo,Giannis Antetokounmpo was the only starter to manage double-digit scoring.
S009,10,1,three of their last five games,10,15,,,NUMBER,five,The Bucks have lost five of their last five games.
S009,6,1,41 points,13,14,,,NUMBER,42,Giannis Antetokounmpo scored 42 points according to the box score.
S009,7,1,second on the team,4,7,,,WORD,first,"Khris Middleton was the first on the team, not second."
S010,,1,7 of 13,,,,,NUMBER,13,The correct shooting percentage is 13 out of 13.
S010,12,1,"Nikola Vucevic was the player of the game ,",1,9,,,NAME,Dennis Schroeder,"Dennis Schroeder was the player of the game, not Nikola Vucevic."
S010,15,1,Evan Fournier was the only other Magic player,1,8,,,WORD,Dennis,Evan Fournier was not the only other Magic player in double figures.
S011,2,1,got off to a quick start,3,8,,,CONTEXT,bounced back after losing their first game of 2015,"The Hawks did not get off to a quick start, but rather bounced back after a loss."
S011,3,1,28 - 18,11,13,,,NUMBER,18-28,"The third quarter score was 18-28, not 28-18."
S011,4,1,48 percent from the field,4,8,,,NUMBER,48,The story states 48 percent while the JSON shows 48 percent from the field.
S011,4,2,44 percent from the three,10,14,,,NUMBER,44,The story states 44 percent while the JSON shows 44 percent from the three-point line.
S011,5,1,14 turnovers,11,12,,,NUMBER,12,"The Hawks committed 12 turnovers, not 14."
S011,,1,The Hawks bounced back,,,,,CONTEXT,The Hawks lost their first game of 2015,"The sentence suggests the Hawks won, but they actually lost their first game of 2015."
S011,,1,9 of 13,,,,,NUMBER,13,The correct shooting percentage denominator is 13.
S011,9,1,Paul Millsap,10,11,,,NAME,Al,Al Horford is the correct name based on the box score data.
S011,,1,8 -19 FG,,,,,NUMBER,9-19,"Bradley Beal had 9-of-19 FG, not 8-of-19."
S011,12,1,16 points and 6 rebounds,5,9,,,NUMBER,26,Jeff Teague scored 26 points and had 10 rebounds.
S011,10,1,21 points,18,19,,,NUMBER,24,"Al Horford scored 24 points, not 21."
S011,14,1,New Orleans Pelicans,12,14,,,NAME,Pelicans,The story misspells the team name.
S012,1,1,Friday evening,19,20,,,NAME,Saturday evening,"The game was played on Saturday, not Friday."
S012,4,1,Gary Harris followed up,1,4,,,NAME,Danilo Gallinari,Danilo Gallinari led the way with 32 points.
S012,4,1,chipped in,21,22,,,WORD,scored,The correct term based on the box score is 'scored'.
S012,,1,chipped in six assists,,,,,NUMBER,three,"Jameer Nelson had three assists, not six."
S012,,1,(15 -32),,,,,NUMBER,(21-25),"The Nuggets' record is 21-25, not 15-32."
S012,,1,15 32,,,,,NUMBER,15-32,The story states 15-32 while the JSON shows 15 points and 32 losses.
S013,1,1,Wednesday,22,22,,,NAME,Saturday,"The game was played on Saturday, not Wednesday."
S013,2,1,31 - 19,15,17,,,NUMBER,29-26,"The correct score for the first half is 29-26, not 31-19."
S013,4,1,11 - 18 FG,7,10,,,NUMBER,18,LeBron James made 18 out of 29 field goals.
S013,5,1,chipped in,3,4,,,OTHER,contributed,The term 'chipped in' is not commonly used in basketball statistics and should be replaced with 'contributed' based on the JSON data.
S013,3,1,21 minutes,41,42,,,NUMBER,22,"The story states 21 minutes, but the JSON shows 22 minutes."
S013,7,1,11 points,5,6,,,NUMBER,10,"Aaron Gordon scored 10 points, not 11."
S013,3,1,21 minutes,41,42,,,NUMBER,22,"The story states 21 minutes, but the JSON shows 22 minutes."
S014,1,1,Friday,24,24,,,NAME,Saturday,"The game was played on Saturday, not Friday."
S014,2,1,got off,4,5,,,WORD,jumped,"The sentence states 'got off', but the correct term based on the box score is 'jumped'."
S014,3,1,49 percent from the field and 40 percent from the three,13,23,,,NUMBER,49,"The correct shooting percentage from the field is 49, not 49 and 40 from the three-point line."
S014,,1,9 for 19,,,,,NUMBER,34,"Lillard scored 34 points, not 9 for 19."
S014,,1,12 -20,,,,,NUMBER,12-20,Lillard's shooting percentage should be 12-20 from the field.
