TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Wednesday,18,18,,,NAME,Friday,"The game was played on Friday, not Wednesday."
S001,2,2,Friday,30,30,,,NAME,Wednesday,"The game was played on Wednesday, not Friday."
S001,2,3,30,35,35,,,NUMBER,113,"The Celtics won by 6 points, not 30 points."
S001,3,4,two,19,19,,,NUMBER,one,"Isaiah Thomas had one steal, not two."
S001,9,8,"10 points , nine rebounds",8,12,,,NUMBER,"11 points, 8 rebounds","Kelly Olynyk had 11 points and 8 rebounds, not 10 points and 9 rebounds."
S002,1,1,The Atlanta Hawks defeated the Atlanta Hawks,1,7,,,NAME,Cleveland Cavaliers,Incorrect team name.
S002,1,2,110 - 110,9,11,,,NUMBER,110 - 106,Incorrect final score.
S002,1,3,Saturday,18,18,,,NAME,Tuesday,Incorrect day of the week.
S002,3,4,the Hawks outscored the Hawks,4,8,,,NAME,the Cavaliers,Incorrect team name.
S002,3,5,37 - 20,10,12,,,NUMBER,27 - 26,Incorrect fourth quarter score.
S002,4,6,"the Hawks recording 21 assists to 19 turnovers , while the Cavaliers committed 19 turnovers to just 21 assists",14,32,,,NUMBER,"22 assists to 19 turnovers, while the Cavaliers committed 6 turnovers to 21 assists",Incorrect assist-to-turnover ratio.
S002,5,8,as they continue to struggle,18,22,,,WORD,as they continue to perform well,"Incorrect context, Hawks are performing well."
S002,8,11,Kent Bazemore was the only other starter in double figures,1,10,,,WORD,Kent Bazemore was another standout starter,"Incorrect context, multiple starters in double figures."
S002,9,12,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors,1,16,,,NAME,The Hawks will head back home to take on the Chicago Bulls on Wednesday night,Incorrect next game details.
S002,11,15,"LeBron James did all he could for Cleveland , as he led the team with 23 points , nine rebounds and five assists",1,23,,,NUMBER,"LeBron James did all he could for Cleveland, as he led the team with 23 points, 9 rebounds, and 5 assists",Correct but redundant mention of LeBron James.
