TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S001,3,1,came in,46.0,47.0,NUMBER,entered,Incorrect tense used.,qwen_small,364.4
S001,3,2,30 -point,,,NUMBER,30-point,Hyphen missing.,qwen_small,364.4
S001,4,3,supplemented with,80.0,81.0,WORD,assisted,Incorrect word used.,qwen_small,364.4
S001,5,4,right behind,94.0,95.0,NOT_CHECKABLE,,Relative position mentioned twice without context.,qwen_small,364.4
S001,7,5,Jae Crowder,110.0,111.0,NAME,Jae Crowder,Repetition of name.,qwen_small,364.4
S001,8,6,next with,113.0,114.0,NUMBER,third with,Incorrect number and position.,qwen_small,364.4
S002,1,1,The Atlanta Hawks,1.0,3.0,NAME,Cleveland Cavaliers,Incorrect team name.,qwen_small,364.4
S002,1,2,110 - 110,9.0,11.0,NUMBER,110-94,Incorrect score.,qwen_small,364.4
S002,1,3,at Quicken Loans,13.0,15.0,OTHER,at Quicken Loans,Incorrect arena name.,qwen_small,364.4
S002,4,4,21 assist,,,NUMBER,21 assists,Incorrect phrasing.,qwen_small,364.4
S002,5,5,21 assist,,,NUMBER,21 assists,Incorrect phrasing.,qwen_small,364.4
S002,6,6,20,52.0,52.0,NUMBER,37-20,Incorrect fourth quarter score.,qwen_small,364.4
S002,9,7,Dwight Howard,115.0,116.0,NAME,Kent Bazemore,Incorrect player name.,qwen_small,364.4
S002,10,8,25 points,151.0,152.0,NUMBER,25 rebounds,Incorrect stat.,qwen_small,364.4
S002,10,9,6 rebounds,,,NUMBER,6 assists,Incorrect stat.,qwen_small,364.4
S002,10,10,3 assists,,,NUMBER,3 assists,Incorrect stat.,qwen_small,364.4
S002,11,11,Atlanta,2.0,2.0,NAME,Cleveland,Incorrect team name.,qwen_small,364.4
S002,15,12,LeBron James,221.0,222.0,NAME,Dwight Howard,Incorrect player name.,qwen_small,364.4
S002,16,13,23 points,236.0,237.0,NUMBER,29 points,Incorrect stat.,qwen_small,364.4
S002,16,14,9 rebounds,,,NUMBER,12 rebounds,Incorrect stat.,qwen_small,364.4
S002,16,15,5 assists,,,NUMBER,9 assists,Incorrect stat.,qwen_small,364.4
S003,1,1,19-8,,,NUMBER,19-8,Repeated team record in the same sentence,qwen_small,364.4
S003,2,2,19-8,,,NUMBER,19-8,Repeated team record in the same sentence,qwen_small,364.4
S003,4,3,Toronto Raptors,2.0,3.0,NAME,Toronto Raptors,Team name should include 'Raptors',qwen_small,364.4
S003,8,4,Orlando Magic,6.0,7.0,NAME,Orlando Magic,Team name should include 'Magic',qwen_small,364.4
S003,15,5,Charlotte,236.0,236.0,NAME,Charlotte Hornets,Correct opponent's name and team,qwen_small,364.4
S004,1,1,96 -,11.0,12.0,NUMBER,89-96,Incorrect score format,qwen_small,364.4
S004,2,2,1 - 1,26.0,28.0,NUMBER,1-0,Incorrect win-loss record for Jazz,qwen_small,364.4
S004,3,3,1 - 1,26.0,28.0,NUMBER,0-1,Incorrect win-loss record for Lakers,qwen_small,364.4
S004,7,4,five rebounds,167.0,168.0,NUMBER,seven rebounds,Incorrect number of rebounds,qwen_small,364.4
S004,9,5,17 points,164.0,165.0,NUMBER,23 points,Incorrect player score for George Hill,qwen_small,364.4
S004,9,6,five rebounds,167.0,168.0,NUMBER,seven rebounds,Incorrect number of rebounds,qwen_small,364.4
S004,13,7,Sunday home,,,CONTEXT,away game,Misreporting the location of next game,qwen_small,364.4
S005,1,1,35,8.0,8.0,NUMBER,30,Incorrect success rate from the floor,qwen_small,364.4
