TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Los Angeles,,,6,7,NAME,Boston,"The home team is Boston, not Los Angeles."
S001,2,1,17 of his 38,,,,,NUMBER,38 points,"Isaiah Thomas scored 38 points, not 17 of 38."
S001,3,1,38 points,,,75,76,NUMBER,17,"Isaiah Thomas scored 17 points, not 38."
S001,4,1,11 eight,,,,,NUMBER,10,"The box score shows 10 rebounds, not 11."
S001,5,1,18 point,,,,,NUMBER,12,The correct number of rebounds Jae Crowder had is 12.
S001,6,1,18 points,,,143,144,NUMBER,11 points,The box score shows that Jae Crowder scored 11 points.
S001,7,1,six rebounds,,,146,147,NUMBER,three,The box score shows Jae Crowder had three rebounds.
S001,8,1,11 eight,,,,,NUMBER,10,"The box score shows 10 rebounds, not 8."
S001,9,1,Kelly Olynyk,,,189,190,NAME,Kelly Olynyk,The player's name is misspelled.
S003,1,1,Saturday,,,17,17,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,4,1,16 point,,,,,NUMBER,15,"The box score shows Kyle Lowry had 15 points, not 16."
S003,5,1,block a block and a block,,,,,NUMBER,"a block, a block, and a rebound","The sentence incorrectly states that Jonas Valanciunas had a block, a block, and a block, when in fact he had a block, a block, and a rebound."
S003,12,1,Payton,,,253,253,NAME,Payton is not mentioned in the box score data.,"Payton is not in the box score data, but Elfrid Payton is."
S003,13,1,10,,,111,111,NUMBER,9,"The box score shows Aaron Gordon had a 9-point, 12-rebound double-double."
S003,14,1,points three rebounds two assists,,,,,NUMBER,"points, two rebounds, one assist and a pair of steals","The player DJ Augustin had two assists, not three."
S004,3,1,16,,,72,72,NUMBER,7,The Jazz outscored the Lakers by 7 in the fourth quarter.
S004,13,1,23 points,,,288,289,NUMBER,7,The correct number of points scored by George Hill is 7.
S004,14,1,points 13,,,,,NUMBER,12 points,The correct number of points is 12.
S004,15,1,13,,,313,313,NUMBER,12,"The box score shows that Rudy Gobert recorded 12 points, not 13."
S004,16,1,13,,,313,313,NUMBER,12,The box score shows that Rudy Gobert had 12 rebounds.
S005,2,1,21 points,,,51,52,NUMBER,17,"The box score shows that Paul Millsap had 17 points, not 21."
S005,3,1,21 points,,,51,52,NUMBER,20 points,The box score shows that Millsap scored 20 points.
S005,4,1,11-point 13-rebound,,,,,NUMBER,"11-point, 13-rebound double-double that also included three assists, one steal and one block.","The box score shows that Dwight Howard posted a 11-point, 13-rebound double-double, but the story incorrectly includes a block which is not present in the box score."
S005,5,1,Kent Bazemore,,,111,112,NAME,Kent Bazemore,The player's name is misspelled.
S005,8,1,11-point 13-rebound,,,,,NUMBER,"11-point, 13-rebound double-double that also included three assists, one steal and one block.","The box score shows Dwight Howard's stats as 11-point, 13-rebound double-double, but the story incorrectly adds one block."
S007,3,1,29 points,,,106,107,NUMBER,10,"The box score shows Enes Kanter scored 10 points, not 29."
S008,1,1,20-point,,,,,NUMBER,19-point,"The correct score was 96-102, not 96-96."
S008,2,1,20-point performance,,,,,NUMBER,19-point performance,"The actual performance was 19 points, not 20."
S008,3,1,17 points,,,,,NUMBER,at least 18 points,The box score shows that Carter scored at least 18 points in the third straight game.
