TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,The Boston Celtics defeated the Los Angeles Lakers,1.0,8.0,CONTEXT,"The Celtics won the game, but the sentence does not specify the score or the location.",The sentence is incomplete.,llama_medium,p3_sent,0
S001,3,1,six assists,82.0,83.0,NUMBER,seven assists,"Isaiah Thomas had seven assists, not six.",llama_medium,p3_sent,0
S001,4,1,right behind,94.0,95.0,CONTEXT,behind is not a word in this context,behind is not a word in this context,llama_medium,p3_sent,0
S001,5,1,Jae Crowder,,,NAME,Jae Crowder,"Player name is correct, but not found in the box score.",llama_medium,p3_sent,0
S001,6,1,Jae Crowder,,,NAME,Jae Crowder,"Player name is correct, but not found in box score data.",llama_medium,p3_sent,0
S001,7,1,Jae Crowder,,,NAME,Jae Crowder,"Player name is correct, but not found in box score data.",llama_medium,p3_sent,0
S001,8,1,eight assists,104.0,105.0,NUMBER,eight assists,"Al Horford had eight assists, not eight assists and a block.",llama_medium,p3_sent,0
S001,9,1,"Kelly Olynyk led the second unit with 10 points, nine rebounds, two assists and a pair of steals.",,,NOT_CHECKABLE,null,No information in box score to verify this sentence.,llama_medium,p3_sent,0
S002,1,1,Atlanta Hawks 110 - 110,,,CONTEXT,"The Atlanta Hawks defeated the Cleveland Cavaliers, 110-106",Incorrect opponent and score,llama_medium,p3_sent,0
S002,6,1,17 points,127.0,128.0,NUMBER,7,Incorrect number of points scored by Dwight Howard.,llama_medium,p3_sent,0
S002,7,1,n't,146.0,146.0,WORD,wasn't,Typo in contraction.,llama_medium,p3_sent,0
S002,8,1,"Kent Bazemore was the only other starter in double figures, totaling 25 points, six rebounds and three assists.",,,NUMBER,25,"Kent Bazemore was the only other starter in double figures, totaling 25 points, six rebounds and three assists.",llama_medium,p3_sent,0
S002,10,1,three of their last five games,,,NUMBER,four of their last five games,"The Cavaliers have won 4 of their last 5 games, not 3.",llama_medium,p3_sent,0
S002,11,1,"23 points, nine rebounds and five assists",,,NUMBER,"23 points, nine rebounds, and five assists",added a comma for clarity,llama_medium,p3_sent,0
S002,12,1,second on the team,,,CONTEXT,led the team,"Kyrie Irving was actually the leader in points, not second.",llama_medium,p3_sent,0
S002,13,1,second on the team,248.0,251.0,CONTEXT,Kevin Love finished first on the team,"Kevin Love led the team in points, not finished second",llama_medium,p3_sent,0
S002,14,1,Tristan Thompson,283.0,284.0,NAME,Tristan Thompson is not present in the box score data,Player name not found in box score data,llama_medium,p3_sent,0
S003,1,1,Saturday evening,17.0,18.0,CONTEXT,Sunday,Incorrect day of the week,llama_medium,p3_sent,0
S003,3,1,game-high,,,WORD,game,game-high is not a valid word,llama_medium,p3_sent,0
S003,6,1,a block a block and a block,,,OTHER,a block,Extra blocks listed,llama_medium,p3_sent,0
S004,5,1,43 - 24,120.0,122.0,NUMBER,47-43,Incorrect rebounding numbers.,llama_medium,p3_sent,0
S004,15,1,"Rudy Gobert recorded a double - double, totaling 13 points and 13 rebounds.",,,NUMBER,13 points and 13 rebounds,"The sentence is correct, no mistake found.",llama_medium,p3_sent,0
S005,1,1,35 percent success rate from the floor,8.0,14.0,NUMBER,35,The box score does not provide the success rate from the floor.,llama_medium,p3_sent,0
S005,2,1,game - high,,,WORD,game-high,"hyphenated in story, not in box score",llama_medium,p3_sent,0
S005,3,1,"Millsap was right behind him with 21 points, five rebounds, four assists and one steal.",,,NOT_CHECKABLE,null,No information in box score to verify this sentence.,llama_medium,p3_sent,0
S005,4,1,"Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal and one block.",,,NUMBER,"11-point, 13-rebound double-double along with three assists and one steal",Incorrectly included one block.,llama_medium,p3_sent,0
S005,7,1,"Paul Millsap led the way for Orlando with 21 points, five rebounds, four assists, one steal and one block.",,,NOT_CHECKABLE,null,No information in box score to verify this sentence.,llama_medium,p3_sent,0
S005,8,1,"Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal and one block.",,,NUMBER,"11-point, 13-rebound double-double along with three assists and one steal",Incorrectly included one block.,llama_medium,p3_sent,0
S005,10,1,"Magic head back home to face off with the New York Knicks on Monday night, while the Hawks remain home and await the Toronto Raptors on Friday evening as well.",,,NOT_CHECKABLE,None,No information in box score to verify this sentence.,llama_medium,p3_sent,0
