text_id,category,sentence_id,family,size,prompt,mode,detected
S001,NAME,1,llama,medium,p0,full,0
S001,NUMBER,2,llama,medium,p0,full,0
S001,NUMBER,3,llama,medium,p0,full,0
S001,WORD,4,llama,medium,p0,full,0
S001,NUMBER,5,llama,medium,p0,full,0
S001,WORD,5,llama,medium,p0,full,0
S001,NUMBER,5,llama,medium,p0,full,0
S001,WORD,9,llama,medium,p0,full,0
S001,NUMBER,9,llama,medium,p0,full,0
S001,NUMBER,9,llama,medium,p0,full,0
S001,WORD,10,llama,medium,p0,full,0
S001,NAME,10,llama,medium,p0,full,0
S001,NAME,10,llama,medium,p0,full,0
S001,NAME,10,llama,medium,p0,full,0
S001,NAME,10,llama,medium,p0,full,0
S001,WORD,10,llama,medium,p0,full,0
S002,NAME,1,llama,medium,p0,full,0
S002,NUMBER,1,llama,medium,p0,full,1
S002,NAME,1,llama,medium,p0,full,1
S002,WORD,2,llama,medium,p0,full,0
S002,NAME,3,llama,medium,p0,full,0
S002,NUMBER,3,llama,medium,p0,full,1
S002,NUMBER,3,llama,medium,p0,full,0
S002,NUMBER,4,llama,medium,p0,full,0
S002,NUMBER,4,llama,medium,p0,full,0
S002,WORD,5,llama,medium,p0,full,0
S002,NUMBER,6,llama,medium,p0,full,0
S002,WORD,7,llama,medium,p0,full,0
S002,WORD,8,llama,medium,p0,full,0
S002,WORD,9,llama,medium,p0,full,0
S002,NAME,9,llama,medium,p0,full,1
S002,NAME,9,llama,medium,p0,full,1
S002,NUMBER,10,llama,medium,p0,full,0
S002,WORD,10,llama,medium,p0,full,0
S002,WORD,11,llama,medium,p0,full,0
S002,NUMBER,12,llama,medium,p0,full,0
S002,NUMBER,12,llama,medium,p0,full,0
S002,NUMBER,13,llama,medium,p0,full,0
S002,WORD,14,llama,medium,p0,full,0
S002,NUMBER,14,llama,medium,p0,full,0
S002,NUMBER,14,llama,medium,p0,full,0
S002,NAME,15,llama,medium,p0,full,0
S002,WORD,15,llama,medium,p0,full,0
S002,NAME,15,llama,medium,p0,full,1
S003,NAME,1,llama,medium,p0,full,0
S003,WORD,2,llama,medium,p0,full,0
S003,NAME,2,llama,medium,p0,full,0
S003,NUMBER,4,llama,medium,p0,full,0
S003,NOT_CHECKABLE,8,llama,medium,p0,full,0
S003,NOT_CHECKABLE,8,llama,medium,p0,full,0
S003,NAME,9,llama,medium,p0,full,0
S003,NAME,9,llama,medium,p0,full,0
S003,NAME,9,llama,medium,p0,full,0
S003,NUMBER,10,llama,medium,p0,full,0
S003,WORD,11,llama,medium,p0,full,0
S003,NUMBER,11,llama,medium,p0,full,0
S003,NUMBER,11,llama,medium,p0,full,0
S003,WORD,11,llama,medium,p0,full,0
S003,NUMBER,11,llama,medium,p0,full,0
S003,NUMBER,12,llama,medium,p0,full,0
S003,NUMBER,12,llama,medium,p0,full,0
S003,WORD,13,llama,medium,p0,full,0
S003,NUMBER,13,llama,medium,p0,full,0
S003,WORD,13,llama,medium,p0,full,0
S003,NUMBER,13,llama,medium,p0,full,0
S003,NUMBER,13,llama,medium,p0,full,0
S003,NUMBER,13,llama,medium,p0,full,0
S003,WORD,14,llama,medium,p0,full,0
S003,NUMBER,14,llama,medium,p0,full,0
S003,NOT_CHECKABLE,15,llama,medium,p0,full,0
S003,NAME,16,llama,medium,p0,full,0
S003,NAME,16,llama,medium,p0,full,0
S004,NUMBER,3,llama,medium,p0,full,0
S004,WORD,4,llama,medium,p0,full,0
S004,NUMBER,4,llama,medium,p0,full,0
S004,NUMBER,5,llama,medium,p0,full,0
S004,NUMBER,5,llama,medium,p0,full,0
S004,NAME,7,llama,medium,p0,full,0
S004,NUMBER,7,llama,medium,p0,full,0
S004,NUMBER,7,llama,medium,p0,full,0
S004,WORD,8,llama,medium,p0,full,0
S004,NAME,9,llama,medium,p0,full,0
S004,NUMBER,9,llama,medium,p0,full,0
S004,NUMBER,9,llama,medium,p0,full,0
S004,WORD,10,llama,medium,p0,full,0
