TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,Isaiah Thomas,6,7,,,NAME,,"Isaiah Thomas's actual points in the game were 38, not mentioned in the sentence."
S001,5,1,Jae Crowder,1,2,,,NAME,,Player name is incorrect
S001,9,1,Kelly Olynyk,1,2,,,NAME,,The player's name is incorrect. The correct name is Isaiah Thomas.
S003,11,1,Aaron Gordon,1,2,,,NAME,,Aaron Gordon's stats are incorrect
S003,7,1,productive in a reserve role,4,8,,,WORD,,The word 'productive' is not accurate in this context.
S004,8,1,12,15,15,,,NUMBER,11,The correct number of rebounds Luol Deng had is 11.
S004,13,1,George Hill,1,2,,,NAME,,"The player of the game was actually Brandon Ingram, not George Hill."
S004,14,1,Rudy Gobert,1,2,,,NAME,,The player's name is incorrect. The correct name is Rudy Gobert.
S006,3,1,Harden,6,6,,,NAME,James Harden,The player's name is incorrect.
S006,8,1,Thaddeus Young,1,2,,,NAME,,"The player's name is correct, but the other starter in double figures is incorrect."
S007,3,1,Kanter,2,2,,,NAME,Kanter was not the only other Thunder player to score in double digits.,"The text states that Enes Kanter was the only other Thunder player to score in double digits, but the box score data shows that there were other players who scored in double digits."
S007,4,1,shot 46 percent from the field and 36 percent from long range,3,14,,,NUMBER,"The correct percentages are 46% from the field and 36% from long range for the Kings, and 46% from the field and 36% from long range for the Thunder.",The percentages are incorrect for both teams.
S007,5,1,DeMarcus Cousins,1,2,,,NAME,,The player's name is incorrect. The correct name is DeMarcus Cousins.
S007,6,1,Steven Adams,21,22,,,NAME,,The player's name is incorrect. The correct name is Enes Kanter.
S008,1,1,Memphis Grizzlies,2,3,,,NAME,,"The home team is actually the Utah Jazz, not the Memphis Grizzlies."
S008,4,1,Mike Conley,1,2,,,NAME,,The player's name is incorrect. The correct name is Vince Carter.
S008,5,1,Zach Randolph,1,2,,,NAME,,The player's name is incorrect. The correct name is not provided in the box score data.
S008,6,1,48 percent,4,5,,,NUMBER,,The Jazz's field goal percentage is incorrect.
S008,11,1,Monday,17,17,,,NAME,,The game was played on a different day.
S009,14,1,Milwaukee will look to build off this win on Friday in a road matchup with the Orlando Magic,1,18,,,NOT_CHECKABLE,,The outcome of the game is not verifiable against the provided box score data.
S010,1,1,Atlanta Hawks,2,3,,,NAME,Magic,The home team is incorrectly identified as the Atlanta Hawks.
S010,5,1,Hawks recording 27 assists to 12 turnovers,11,17,,,NUMBER,The correct number of turnovers is 17.,The text incorrectly states the number of turnovers the Hawks had.
S010,7,1,Dennis Schroder,1,2,,,NAME,Schroeder,The player's name is incorrect.
S010,8,1,Dwight Howard,1,2,,,NAME,,The player's name is incorrect. The correct name is Dwight Howard.
S010,9,1,Kent Bazemore,1,2,,,NAME,,The player's name is incorrect. The correct name is not provided in the box score data.
S010,12,1,Nikola Vucevic,1,2,,,NAME,,"The player of the game was actually Dennis Schroeder, not Nikola Vucevic."
S010,13,1,Evan Fournier,1,2,,,NAME,,The player's name is incorrect. The correct name is Evan Fournier.
S010,16,1,Toronto,15,15,,,NAME,Raptors,"The visiting team is actually the Raptors, not the Toronto Raptors."
S011,1,1,Atlanta,2,2,,,NAME,Washington,"The home team is incorrectly identified as Atlanta, when it should be Washington."
S011,5,1,"The Hawks were also able to force the Wizards into 14 turnovers , while committing just 12 of their own",1,20,,,NUMBER,"The Hawks forced the Wizards into 12 turnovers, while committing just 12 of their own.","The Hawks forced the Wizards into 12 turnovers, while committing just 12 of their own."
S011,6,1,The Hawks were led by the duo of John Wall and Bradley Beal,1,13,,,NAME,The correct duo is Jeff Teague and Kyle Korver.,"The text incorrectly states that John Wall and Bradley Beal led the Hawks, when in fact it was Jeff Teague and Kyle Korver."
S011,7,1,Wall went 9 - for - 15 from the field and 3 - for - 5 from the three - point line,1,22,,,NUMBER,"Wall went 9 - for - 15 from the field and 3 - for - 5 from the three - point line to finish with a team - high of 24 points, while also adding nine assists and seven rebounds.",The numbers 9 - for - 15 and 3 - for - 5 are incorrect.
S011,8,1,second double -,4,6,,,NUMBER,first,"The sentence states that it was his second double-double in a row, but the correct order should be first double-double and then second double-double."
S011,9,1,Paul Millsap,10,11,,,NAME,,The player's name is incorrect. The correct name is Al Horford.
S011,11,1,"Notching a double - double of his own , Bradley Beal finished with 23 points ( 8 - 19 FG , 0 - 4 3Pt , 7 - 10 FT ) and 8 rebounds",1,34,,,NUMBER,"The correct number of points is 23, not 23.","The text incorrectly states that Bradley Beal finished with 23 points, when the correct number is not specified in the provided data."
S011,12,1,16 points,5,6,,,NUMBER,26,"The player's actual average points per game is 26, not 16."
S011,13,1,The only other Hawk to reach double figures in points was Al Horford,1,13,,,NAME,,The name of the player is incorrect.
S012,1,1,Friday,19,19,,,NAME,Saturday,"The game was played on Saturday, not Friday."
S012,3,1,"Six players scored in double digits for Denver , including Danilo Gallinari , who led the way with 32 points , eight rebounds and one assist",1,26,,,NUMBER,Five,"The sentence states that six players scored in double digits for Denver, but the box score data shows that only five players scored in double digits."
S012,4,1,Gary Harris,1,2,,,NAME,,The player's name is incorrect. The correct name is not provided in the box score data.
S012,5,1,Jameer Nelson,1,2,,,NAME,,The player's name is incorrect. The correct name is not available in the box score data.
S012,8,1,Tyson Chandler,1,2,,,NAME,,The player's name is incorrect. The correct name is Tyson Chandler.
S013,2,1,31 -,15,16,,,NUMBER,19,The Cavaliers had a strong first half where they out-scored the Magic 19-19.
S013,4,1,29 points,4,5,,,NUMBER,28,The number of points LeBron James had is incorrect.
S013,6,1,Nikola Vucevic,1,2,,,NAME,Nikola Vucevic's actual stats are available in the box score data.,The player's name is incorrect.
S013,7,1,Aaron Gordon,1,2,,,NAME,,Aaron Gordon's actual stats are not provided in the box score data.
S014,4,1,Damian Lillard,13,14,,,NAME,,"The name of the player is correct, but the context is incorrect because the sentence implies that Lillard is the only player who scored, but the text states that he and McCollum scored a combined 57 points."
S014,4,2,CJ McCollum,10,11,,,NAME,,"The name of the player is correct, but the context is incorrect because the sentence implies that McCollum is the only player who scored, but the text states that he and Lillard scored a combined 57 points."
S015,2,1,hot start,7,8,,,WORD,,"The Raptors did not get off to a hot start in this game, out-scoring the Heat 64-52 in the first half alone."
S015,4,1,points,13,13,,,NUMBER,18,The number of points Kyle Lowry finished with is incorrect.
S015,7,1,The Heat,1,2,,,NAME,Miami,The home team is incorrectly referred to as 'Heat' instead of 'Miami'.
S015,6,1,Gerald Green,29,30,,,NAME,,The player's name is incorrect. The correct name is not provided in the box score data.
S016,6,1,six,4,4,,,NUMBER,seven,"The Jazz had six players score in double figures, including Gordon Hayward."
