text_id,category,sentence_id,family,size,prompt,mode,correct
S002,NAME,1,llama,medium,p0,full,0
S002,NAME,1,llama,medium,p0,full,0
S002,NAME,1,llama,medium,p0,full,1
S002,NUMBER,1,llama,medium,p0,full,0
S002,NUMBER,1,llama,medium,p0,full,0
S002,NUMBER,1,llama,medium,p0,full,1
S002,NUMBER,3,llama,medium,p0,full,1
S002,NUMBER,3,llama,medium,p0,full,0
S002,NUMBER,3,llama,medium,p0,full,1
S002,NAME,9,llama,medium,p0,full,1
S002,NAME,9,llama,medium,p0,full,1
S002,NAME,9,llama,medium,p0,full,1
S002,NAME,15,llama,medium,p0,full,1
S002,NAME,15,llama,medium,p0,full,1
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,1
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,1,llama,medium,p0,full,1
S006,OTHER,1,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,1
S006,OTHER,2,llama,medium,p0,full,1
S006,OTHER,2,llama,medium,p0,full,1
S006,OTHER,2,llama,medium,p0,full,1
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,2,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,1
S006,OTHER,8,llama,medium,p0,full,1
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S006,OTHER,8,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,1
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,2,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,1
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,1
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,1
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,1
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,4,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,1
S009,OTHER,7,llama,medium,p0,full,1
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,1
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,1
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,1
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,1
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,7,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,11,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,1
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,1
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,1
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,12,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,1
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,1
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,1
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S009,OTHER,13,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,1
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,1
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,2,llama,medium,p0,full,1
S012,NUMBER,2,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,1
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NUMBER,3,llama,medium,p0,full,0
S012,NAME,3,llama,medium,p0,full,0
S012,NAME,3,llama,medium,p0,full,0
S012,NAME,3,llama,medium,p0,full,0
S012,NUMBER,5,llama,medium,p0,full,0
S012,NUMBER,5,llama,medium,p0,full,0
S012,NUMBER,5,llama,medium,p0,full,0
S015,OTHER,1,llama,medium,p0,full,0
S015,OTHER,1,llama,medium,p0,full,0
S015,OTHER,1,llama,medium,p0,full,0
S015,OTHER,2,llama,medium,p0,full,0
S015,OTHER,2,llama,medium,p0,full,1
S015,OTHER,2,llama,medium,p0,full,1
S015,OTHER,3,llama,medium,p0,full,1
S015,OTHER,3,llama,medium,p0,full,0
S015,OTHER,3,llama,medium,p0,full,1
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,4,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,1
S015,OTHER,6,llama,medium,p0,full,1
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,6,llama,medium,p0,full,0
S015,OTHER,11,llama,medium,p0,full,0
S015,OTHER,11,llama,medium,p0,full,0
S015,OTHER,13,llama,medium,p0,full,1
S016,OTHER,1,llama,medium,p0,full,1
S017,OTHER,1,llama,medium,p0,full,1
S017,OTHER,2,llama,medium,p0,full,1
S017,OTHER,2,llama,medium,p0,full,0
S017,OTHER,2,llama,medium,p0,full,0
S017,OTHER,14,llama,medium,p0,full,1
S017,OTHER,14,llama,medium,p0,full,1
S017,OTHER,14,llama,medium,p0,full,1
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S019,OTHER,1,llama,medium,p0,full,0
S020,NAME,1,llama,medium,p0,full,1
S020,NAME,1,llama,medium,p0,full,1
