TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S002,,1,Atlanta Hawks Atlanta Hawks,,,,,NAME,"Atlanta Hawks, Cleveland Cavaliers",Incorrect team name
S002,,2,110 110,,,,,NUMBER,110-106,Incorrect score
S002,1,3,Saturday,18,18,,,NAME,Tuesday,Incorrect day of the week
S002,,4,37 20,,,,,NUMBER,Not present in the box score,Incorrect quarter score
S002,,5,21 19,,,,,NUMBER,Not present in the box score,Incorrect assist-to-turnover ratio
S002,,6,3 of 5,,,,,NUMBER,Not present in the box score,Incorrect shooting percentage
S002,,7,17 17,,,,,NUMBER,"17 rebounds, 3 blocks",Incorrect stats for Dwight Howard
S002,,8,25 points six rebounds and three assists,,,,,NUMBER,"25 points, six rebounds, three assists",Incorrect stats for Kent Bazemore
S002,,9,25 points six rebounds and three assists,,,,,NUMBER,Not present in the box score,Incorrect stats for another player
S002,9,10,Sunday,8,8,,,NAME,Wednesday,Incorrect day of the week
S002,9,11,Toronto Raptors,15,16,,,NAME,Chicago Bulls,Incorrect team name
S002,,12,Sunday,,,,,NAME,Friday,Incorrect day of the week
S002,15,13,Orlando Magic,15,16,,,NAME,Washington Wizards,Incorrect team name
S003,1,1,Saturday evening,17,18,,,CONTEXT,Sunday,Incorrect day of the week
S003,2,2,Friday 's,32,33,,,CONTEXT,Sunday,Incorrect day of the week
S003,,3,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,4,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,5,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,6,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,7,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,8,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,9,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,10,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,11,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,12,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,13,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,14,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,15,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,16,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,17,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,18,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,19,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,20,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,21,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
S003,,22,Friday,,,,,CONTEXT,Sunday,Incorrect day of the week
