TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S001,1,1,Wednesday,18.0,18.0,NAME,Friday,"The game was played on Friday, not Wednesday.",qwen_medium,8622.83
S001,2,2,Friday,49.0,49.0,NAME,Wednesday,"The game was played on Wednesday, not Friday.",qwen_medium,8622.83
S001,3,3,12 - double - double,,,NUMBER,12 rebounds,"Jae Crowder had 12 rebounds, not a 12-point double-double.",qwen_medium,8622.83
S001,3,4,18 - point,,,NUMBER,18 points,"Jae Crowder had 18 points, not a 18-point double-double.",qwen_medium,8622.83
S001,3,5,an assist,,,NUMBER,1 assist,"Jae Crowder had 1 assist, not an assist.",qwen_medium,8622.83
S001,3,6,a pair of steals,,,NUMBER,2 steals,"Jae Crowder had 2 steals, not a pair of steals.",qwen_medium,8622.83
S001,4,7,a block,,,NUMBER,1 block,"Jae Crowder had 1 block, not a block.",qwen_medium,8622.83
S001,5,8,10 points,,,NUMBER,7 points,"Kelly Olynyk had 7 points, not 10 points.",qwen_medium,8622.83
S001,5,9,nine rebounds,,,NUMBER,9 rebounds,"Kelly Olynyk had 9 rebounds, not nine rebounds.",qwen_medium,8622.83
S001,5,10,a pair of steals,,,NUMBER,2 steals,"Kelly Olynyk had 2 steals, not a pair of steals.",qwen_medium,8622.83
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,"The opposing team is the Cleveland Cavaliers, not the Atlanta Hawks.",qwen_medium,8622.83
S002,1,2,110 - 110,9.0,11.0,NUMBER,110 - 106,"The final score is 110 - 106, not 110 - 110.",qwen_medium,8622.83
S002,1,3,Saturday,18.0,18.0,NAME,Tuesday,"The game was played on Tuesday, not Saturday.",qwen_medium,8622.83
S002,3,4,Hawks,3.0,3.0,NAME,Cavaliers,"The team that lost is the Cavaliers, not the Hawks.",qwen_medium,8622.83
S002,4,5,37 - 20,50.0,52.0,NUMBER,27 - 26,"The fourth quarter score was 27 - 26, not 37 - 20.",qwen_medium,8622.83
S002,5,6,21 assists to 19 turnovers,75.0,79.0,NUMBER,21 assists to 6 turnovers,"The Cavaliers had 21 assists and 6 turnovers, not 19 turnovers to 21 assists.",qwen_medium,8622.83
S002,5,7,19 turnovers to just 21 assists,85.0,90.0,NUMBER,19 turnovers to 21 assists,"The Hawks had 22 assists and 19 turnovers, not 19 turnovers to 21 assists.",qwen_medium,8622.83
S002,6,8,struggling,26.0,26.0,WORD,winning,"The Hawks are winning, not struggling.",qwen_medium,8622.83
S002,7,9,17 rebounds,130.0,131.0,NUMBER,15 rebounds,"Dwight Howard had 15 rebounds, not 17.",qwen_medium,8622.83
S002,8,10,Kent Bazemore,143.0,144.0,NAME,Kent Bazemore,This is a duplicate mention of Kent Bazemore.,qwen_medium,8622.83
S002,9,11,Sunday,188.0,188.0,NAME,Wednesday,"The next game for the Hawks is on Wednesday, not Sunday.",qwen_medium,8622.83
S002,10,12,struggling,26.0,26.0,WORD,winning,"The Cavaliers are winning, not struggling.",qwen_medium,8622.83
S002,12,13,25 points,151.0,152.0,NUMBER,0 points,"Tristan Thompson scored 0 points, not 25.",qwen_medium,8622.83
S002,13,14,Sunday,188.0,188.0,NAME,Friday,"The next game for the Cavaliers is on Friday, not Sunday.",qwen_medium,8622.83
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,"The game was played on Sunday, not Saturday.",qwen_medium,8622.83
S003,2,2,Friday,51.0,51.0,NAME,Sunday,"The game was played on Sunday, not Friday.",qwen_medium,8622.83
S003,3,3,a 30 - point,,,NUMBER,a 30-point,"The previous game was not a 30-point victory, the current game is.",qwen_medium,8622.83
S003,5,4,a steal,,,NUMBER,no steals,DeMar DeRozan did not record a steal in this game.,qwen_medium,8622.83
S003,6,5,a steal,,,NUMBER,no steals,Kyle Lowry did not record a steal in this game.,qwen_medium,8622.83
S003,6,6,a block,,,NUMBER,no blocks,Kyle Lowry did not record a block in this game.,qwen_medium,8622.83
S003,7,7,"a block , a block and a block",,,NUMBER,one block,"Jonas Valanciunas recorded one block, not three.",qwen_medium,8622.83
S003,7,8,"a block , a block and a block",,,NUMBER,one block,"Jonas Valanciunas recorded one block, not three.",qwen_medium,8622.83
S003,10,9,Atlantic Division,,,WORD,Southeast Division,"The Raptors are in the Atlantic Division, not the Southeast Division.",qwen_medium,8622.83
S003,10,10,seventh seed,,,NUMBER,third seed,"The Raptors are currently in third place in the Eastern Conference, not seventh.",qwen_medium,8622.83
S003,11,11,Friday night,,,NAME,Tuesday night,"The next game is on Tuesday, not Friday.",qwen_medium,8622.83
S003,11,12,Charlotte,236.0,236.0,NAME,Brooklyn,"The Raptors' next game is against the Brooklyn Nets, not the Charlotte Hornets.",qwen_medium,8622.83
S003,13,13,Elfrid Payton,,,NUMBER,Evan Fournier,"Evan Fournier led the team in scoring, not Elfrid Payton.",qwen_medium,8622.83
S003,14,14,Aaron Gordon,,,NUMBER,Bismack Biyombo,"Bismack Biyombo recorded a double-double, not Aaron Gordon.",qwen_medium,8622.83
S003,15,15,Elfrid Payton,,,NUMBER,Evan Fournier,"Evan Fournier led the team in scoring, not Elfrid Payton.",qwen_medium,8622.83
