TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,2,1,30,,,54,54,NUMBER,33,"The story claims a 30-point win, but the box score shows the Celtics won by 33 points."
S001,3,1,six,,,82,82,NUMBER,4,"Isaiah Thomas had 4 assists, not six."
S001,3,2,two,,,85,85,NUMBER,2,"Isaiah Thomas had 2 rebounds, which is correct."
S001,3,3,a,,,32,32,NUMBER,1,"Isaiah Thomas had 1 steal, not a (which implies one)."
S001,4,1,a block,,,107,108,NUMBER,1,Al Horford had 1 block according to the JSON.
S001,5,1,18,,,25,25,NUMBER,18,The JSON confirms Jae Crowder scored 18 points.
S001,5,2,12,,,120,120,NUMBER,6,"The JSON shows Jae Crowder had 6 rebounds, not 12."
S001,5,3,an,,,129,129,NUMBER,1,"The JSON indicates Jae Crowder had 1 assist, not an (implied 1)."
S001,5,4,two,,,85,85,NUMBER,2,The JSON confirms Jae Crowder had 2 steals.
S001,5,5,a,,,32,32,NUMBER,0,"The JSON shows Jae Crowder had 0 blocks, not a (implied 1)."
S001,6,1,an assist,,,129,130,NUMBER,1,"Jae Crowder had 1 assist, not an assist."
S001,6,2,a pair of steals,,,152,155,NUMBER,2,"Jae Crowder had 2 steals, not a pair of steals."
S001,7,1,an assist,,,129,130,NUMBER,1,"Jae Crowder had 1 assist, not an assist."
S001,7,2,two steals,,,132,133,NUMBER,2,"Jae Crowder had 2 steals, which is correct."
S001,8,1,a block,,,107,108,NUMBER,1,Al Horford had 1 block according to the JSON.
S001,9,1,10,,,196,196,NUMBER,7,"The JSON shows Kelly Olynyk scored 7 points, not 10."
S001,9,2,nine,,,199,199,NUMBER,9,"The JSON shows Kelly Olynyk had 9 rebounds, which is correct, but the token 'nine' is written as a number in the correction."
S001,9,3,a pair of,,,152,154,NUMBER,0,"The JSON shows Kelly Olynyk had 0 steals, not a pair (2)."
S002,1,1,Atlanta Hawks,,,2,3,NAME,Cleveland Cavaliers,"The story incorrectly states the Hawks defeated the Hawks, when it should be the Hawks defeated the Cavaliers."
S002,1,2,110 - 110,,,9,11,NUMBER,110 - 106,"The story incorrectly states the score as 110-110, when the correct score is 110-106."
S002,1,3,Saturday,,,18,18,NAME,Tuesday,"The story incorrectly states the game was on Saturday, when it was actually on Tuesday."
S002,2,1,struggling,,,26,26,CONTEXT,,"The JSON indicates both teams have good records (Cleveland 6-1, Atlanta 5-2), contradicting the term 'struggling'."
S002,3,1,Hawks,,,3,3,NAME,Cavaliers,"The story incorrectly states the Hawks outscored the Hawks, when it should be the Cavaliers."
S002,3,2,37 - 20,,,50,52,NUMBER,27 - 37,"The story states the Hawks outscored the Hawks 37-20, but the JSON shows the Cavaliers scored 27 and the Hawks scored 37 in the fourth quarter."
S002,4,1,21,,,75,75,NUMBER,22,"The story states 21 assists for the Cavaliers, but the JSON shows 21 assists."
S002,4,2,19,,,78,78,NUMBER,6,"The story states 19 turnovers for the Cavaliers, but the JSON shows 6 turnovers."
S002,6,1,17,,,127,127,NUMBER,7,"Dwight Howard scored 7 points, not 17."
S002,6,2,3 of 5,,,,,NUMBER,3 of 4,"Dwight Howard made 3 of 4 shots, not 3 of 5."
S002,8,1,25,,,151,151,NUMBER,21,"The JSON shows Kent Bazemore scored 21 points, not 25."
S002,9,1,Sunday,,,188,188,NUMBER,Wednesday,"The JSON indicates the next game for the Hawks is on Wednesday, not Sunday."
S002,10,1,now won three,,,100,102,NUMBER,now lost one,"The JSON shows the Cavaliers lost this game, so they did not win three of their last five games."
S002,10,2,continue to struggle,,,111,113,CONTEXT,continue to perform well,"The JSON shows the Cavaliers had a record of 6-1, which does not indicate struggling."
S002,12,1,second,,,248,248,WORD,first,"Kyrie Irving was the leading scorer for the Cavaliers, not second."
S002,13,1,11,,,277,277,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S002,14,1,25,,,151,151,NUMBER,0,Tristan Thompson scored 0 points according to the JSON.
S002,14,2,two,,,25,25,NUMBER,2,Tristan Thompson had 2 rebounds according to the JSON.
S002,14,3,four,,,259,259,NUMBER,0,Tristan Thompson had 0 assists according to the JSON.
S003,1,1,Saturday,,,17,17,NAME,Sunday,The game was played on Sunday according to the JSON data.
S003,2,1,Friday,,,51,51,WORD,Sunday,"The game was played on Sunday, not Friday."
S003,5,1,a block and a block,,,151,155,NUMBER,1,"The JSON shows Jonas Valanciunas had 1 block, not 3."
S003,6,1,a block and a block,,,151,155,NUMBER,1,"The JSON shows Jonas Valanciunas had 1 block, not 3."
S003,9,1,Charlotte to take on the,,,236,240,NOT_CHECKABLE,,The box score does not contain information about future games.
