TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S002,1,1,110,11,11,,,NUMBER,,
S002,,1,28,,,,,NUMBER,24.0,"Schroder's season-high 28 points led the Hawks, which he complemented with six assists and two rebounds."
S002,12,1,29,12,12,,,NUMBER,,"Irving's game-high 29 points led the team, which he needed a whopping 27 shot attempts to get to."
S002,13,1,24,10,10,,,NUMBER,,"Love continued his stretch of excellent early-season play, supplying 24 points, 12 rebounds, three assists and two steals."
S002,11,1,23,16,16,,,NUMBER,,"James registered a typically full stat line of 23 points, nine rebounds, five assists and three steals."
S002,,1,13,,,,,NUMBER,,"Frye led the reserves with 13 points, seven rebounds and an assist."
S003,1,2,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,3,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,4,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,5,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,6,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,7,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,8,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,9,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,10,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,11,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,12,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,13,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,14,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,15,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,16,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,17,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,18,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,19,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,20,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,21,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,22,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,23,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,24,109,9,9,,,NUMBER,,Box score shows 109 points.
S003,1,25,79,11,11,,,NUMBER,,Box score shows 79 points.
S003,1,26,109,9,9,,,NUMBER,,Box score shows 109 points.
