TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,3.0,1,30,54.0,54.0,NUMBER,113,"The Celtics won by 6 points, not 30 points.",qwen_medium,p4,
S001,4.0,2,two,85.0,85.0,NUMBER,1,"Isaiah Thomas had 1 steal, not 2.",qwen_medium,p4,
S001,5.0,3,18 - 12 - double - double,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not a double-double.",qwen_medium,p4,
S001,6.0,4,18 - 12 - double - double,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not a double-double.",qwen_medium,p4,
S001,7.0,5,18 - 12 - double - double,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not a double-double.",qwen_medium,p4,
S001,8.0,6,10,196.0,196.0,NUMBER,7,"Kelly Olynyk scored 7 points, not 10.",qwen_medium,p4,
S002,1.0,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,"The story incorrectly states the Hawks defeated the Hawks, which is impossible.",qwen_medium,p4,
S002,1.0,2,110 - 110,9.0,11.0,NUMBER,110 - 106,The final score is incorrect; it should be 110 - 106.,qwen_medium,p4,
S002,1.0,3,Saturday,18.0,18.0,WORD,Tuesday,"The day of the game is incorrect; it was on Tuesday, not Saturday.",qwen_medium,p4,
S002,3.0,4,struggling,26.0,26.0,WORD,undefeated,The Hawks were not described as struggling; the Cavaliers were the last undefeated team.,qwen_medium,p4,
S002,4.0,5,37 - 20,50.0,52.0,NUMBER,27 - 26,The fourth-quarter score is incorrect; the correct score is 27 - 26.,qwen_medium,p4,
S002,5.0,6,21 assists to 19 turnovers 19 turnovers to just 21 assists,,,NUMBER,"22 assists to 6 turnovers, while the Cavaliers committed 6 turnovers to 21 assists","The assist-to-turnover ratios are incorrect; the correct values are 22 assists to 6 turnovers for the Hawks, and 6 turnovers to 21 assists for the Cavaliers.",qwen_medium,p4,
S002,7.0,7,struggling,26.0,26.0,WORD,winning,The Hawks were not described as struggling; they have won three of their last five games.,qwen_medium,p4,
S002,10.0,8,Kent Bazemore,143.0,144.0,NAME,Paul Millsap,"The name is incorrect; Paul Millsap, not Kent Bazemore, scored 21 points.",qwen_medium,p4,
S002,11.0,9,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors,181.0,196.0,CONTEXT,The Hawks head back home to take on the Chicago Bulls on Wednesday night,"The post-game schedule is incorrect; the Hawks are playing the Chicago Bulls on Wednesday, not the Toronto Raptors on Sunday.",qwen_medium,p4,
S002,12.0,10,struggling,26.0,26.0,WORD,winning,The Cavaliers were not described as struggling; they have won three of their last five games.,qwen_medium,p4,
S002,15.0,11,25 points 2 rebounds 4 assists,,,NUMBER,"0 points, 2 rebounds, 0 assists","The stats for Tristan Thompson are incorrect; he had 0 points, 2 rebounds, and 0 assists.",qwen_medium,p4,
S002,16.0,12,Cleveland will look to bounce back on Sunday in a home matchup against the Orlando Magic,303.0,318.0,CONTEXT,the Cavaliers travel to Washington to take on the Wizards on Friday evening,"The post-game schedule is incorrect; the Cavaliers are playing the Wizards on Friday, not the Orlando Magic on Sunday.",qwen_medium,p4,
S004,3.0,1,16,72.0,72.0,NUMBER,31,"The Jazz outscored the Lakers by 31 points in the fourth quarter, not 16.",qwen_medium,p4,
S004,4.0,2,43 - 24,120.0,122.0,NUMBER,47 - 43,"The Jazz won the rebounding battle 47-43, not 43-24.",qwen_medium,p4,
S004,6.0,3,17,164.0,164.0,NUMBER,9,"D'Angelo Russell scored 9 points, not 17.",qwen_medium,p4,
S004,7.0,4,12 points and 12 rebounds,187.0,191.0,NUMBER,12 points and 12 rebounds,"Luol Deng indeed had 12 points and 12 rebounds, but this is a duplicate statement.",qwen_medium,p4,
S004,10.0,5,1 - 1,,,NUMBER,1 - 0,"The Jazz record should be 1-0, not 1-1.",qwen_medium,p4,
S004,12.0,6,Portland Trail Blazers,244.0,246.0,NAME,Los Angeles Clippers,"The Jazz are playing the Los Angeles Clippers, not the Portland Trail Blazers.",qwen_medium,p4,
S005,1.0,1,15,27.0,27.0,NUMBER,13,"The box score shows 13 turnovers for the Hawks, not 15.",qwen_medium,p4,
S005,3.0,2,Millsap was right behind him,67.0,71.0,CONTEXT,,"This sentence is redundant and incorrect as it suggests another player had the same stats as Millsap, which is not true according to the box score.",qwen_medium,p4,
S005,4.0,3,27,117.0,117.0,NUMBER,8,"The box score shows Kent Bazemore scored 8 points, not 27.",qwen_medium,p4,
S005,5.0,4,27,117.0,117.0,NUMBER,8,"The box score shows Kent Bazemore scored 8 points, not 27.",qwen_medium,p4,
S005,6.0,5,Paul Millsap led the way for Orlando,148.0,154.0,CONTEXT,Aaron Gordon,"According to the box score, Aaron Gordon led the Magic with 16 points, not Paul Millsap.",qwen_medium,p4,
S005,7.0,6,11 - point,89.0,91.0,NUMBER,16,"The box score shows Aaron Gordon scored 16 points, not 11.",qwen_medium,p4,
S005,8.0,7,12,204.0,204.0,NUMBER,8,"The box score shows Kent Bazemore scored 8 points, not 12.",qwen_medium,p4,
S005,9.0,8,New York Knicks,229.0,231.0,NAME,Rockets,"The summary states the Magic head to Houston to face the Rockets, not the New York Knicks.",qwen_medium,p4,
S005,9.0,9,Toronto Raptors,244.0,245.0,NAME,Utah Jazz,"The summary states the Hawks remain home to face the Utah Jazz, not the Toronto Raptors.",qwen_medium,p4,
S006,1.0,1,defeated,9.0,9.0,WORD,lost to,"The story incorrectly states that the Rockets defeated the Nets, when in fact the Nets defeated the Rockets.",qwen_medium,p4,
S006,1.0,2,Friday,22.0,22.0,WORD,Tuesday,"The game was played on Tuesday, not Friday.",qwen_medium,p4,
S006,2.0,3,Nets,12.0,12.0,NAME,Rockets,"The story incorrectly states that the Nets were the favorites and won, when in fact the Rockets lost.",qwen_medium,p4,
S006,3.0,4,James Harden,46.0,47.0,NAME,Joe Johnson,James Harden did not lead the Nets; Joe Johnson led the Nets with 22 points.,qwen_medium,p4,
S006,4.0,5,Trevor Ariza,66.0,67.0,NAME,Patrick Beverley,Trevor Ariza did not play for the Rockets in this game; Patrick Beverley was the only other starter in double figures.,qwen_medium,p4,
S006,4.0,6,2,80.0,80.0,NUMBER,10,"Patrick Beverley scored 10 points, not 2.",qwen_medium,p4,
S006,5.0,7,Orlando Magic,102.0,103.0,NAME,Wizards,"The Rockets will face the Wizards, not the Orlando Magic, in their next game.",qwen_medium,p4,
S006,6.0,8,Brook Lopez,117.0,118.0,NAME,Brook Lopez,"The story incorrectly states that the Nets played without Brook Lopez, but he actually played and contributed significantly.",qwen_medium,p4,
S006,7.0,9,Brook Lopez,117.0,118.0,NAME,Brook Lopez,The story incorrectly attributes the performance to the wrong team. Brook Lopez played for the Nets and contributed 24 points.,qwen_medium,p4,
S006,8.0,10,Thaddeus Young,163.0,164.0,NAME,Thaddeus Young,The story incorrectly attributes the performance to the wrong team. Thaddeus Young played for the Nets and contributed 20 points.,qwen_medium,p4,
S006,10.0,11,Atlanta Hawks,197.0,198.0,NAME,Sixers,"The Nets will face the Sixers, not the Atlanta Hawks, in their next game.",qwen_medium,p4,
S007,1.0,1,Russell Westbrook and Russell Westbrook,1.0,5.0,NAME,Russell Westbrook,Redundant mention of Russell Westbrook.,qwen_medium,p4,
S007,1.0,2,Sleep Train Arena,26.0,28.0,WORD,Golden 1 Center,Incorrect arena name.,qwen_medium,p4,
S007,2.0,3,seven assists,39.0,40.0,NUMBER,10 assists,Incorrect number of assists for Westbrook.,qwen_medium,p4,
S007,2.0,4,one block,45.0,46.0,NUMBER,no blocks,"Westbrook had no blocks, not one.",qwen_medium,p4,
S007,2.0,5,"Westbrook scored 36 points on 11 - of - 21 shooting ,",56.0,67.0,CONTEXT,"Westbrook finished with 36 points, 10 assists, 11 rebounds, four steals and seven turnovers on 11-of-21 shooting",Redundant information already provided in the previous sentence.,qwen_medium,p4,
S007,3.0,6,Enes Kanter,88.0,89.0,NAME,Steven Adams,Incorrect player name for the 21 points.,qwen_medium,p4,
S007,3.0,7,21 points,213.0,214.0,NUMBER,6 points,Incorrect points for Steven Adams.,qwen_medium,p4,
S007,3.0,8,four rebounds,216.0,217.0,NUMBER,4 rebounds,"Correct but redundant, as it matches the box score.",qwen_medium,p4,
S007,3.0,9,one steal,219.0,220.0,NUMBER,1 steal,"Correct but redundant, as it matches the box score.",qwen_medium,p4,
S008,3.0,1,33,61.0,61.0,NUMBER,25,"The Grizzlies scored 25 points in the first quarter, not 33.",qwen_medium,p4,
S008,5.0,2,22,104.0,104.0,NUMBER,20,"Marc Gasol scored 20 points, not 22.",qwen_medium,p4,
S008,5.0,3,five,118.0,118.0,NUMBER,0,"Marc Gasol had 0 steals, not five.",qwen_medium,p4,
S008,7.0,4,4 of 4,,,NUMBER,0 of 0,"Zach Randolph made 0 of 0 three-pointers, not 4 of 4.",qwen_medium,p4,
S008,10.0,5,13,184.0,184.0,NUMBER,20,"Gordon Hayward scored 20 points, not 13.",qwen_medium,p4,
S008,11.0,6,22,104.0,104.0,NUMBER,6,"Rudy Gobert scored 6 points, not 22.",qwen_medium,p4,
S010,4.0,1,53,81.0,81.0,NUMBER,32,"Box score shows Orlando's three-point percentage as 32%, not 53%.",qwen_medium,p4,
S010,5.0,2,27 12,,,NUMBER,"19, 17","Box score shows the Hawks had 27 assists and 12 turnovers, while the Magic had 19 assists and 17 turnovers.",qwen_medium,p4,
S010,10.0,3,Nikola Vucevic,240.0,241.0,NAME,Dennis Schroder,"Dennis Schroder, not Nikola Vucevic, was the player of the game according to the summary.",qwen_medium,p4,
S010,10.0,4,10 12,,,NUMBER,"15, 4","Nikola Vucevic actually scored 10 points and had 6 rebounds, not 10 points and 12 rebounds.",qwen_medium,p4,
S010,12.0,5,Nikola Vucevic,240.0,241.0,NAME,Aaron Gordon,"Aaron Gordon, not Nikola Vucevic, recorded a double-double with 15 points and 10 rebounds.",qwen_medium,p4,
S010,12.0,6,10 10,,,NUMBER,"15, 10","Aaron Gordon, not Nikola Vucevic, recorded a double-double with 15 points and 10 rebounds.",qwen_medium,p4,
S011,1.0,1,Tuesday,22.0,22.0,WORD,Wednesday,"The game was played on Wednesday, not Tuesday.",qwen_medium,p4,
S011,3.0,2,28 - 18,65.0,67.0,NUMBER,18-28,"The Wizards outscored the Hawks 28-18 in the third quarter, not the other way around.",qwen_medium,p4,
S011,3.0,3,coast to a victory,79.0,82.0,CONTEXT,lose the game,The Wizards did not coast to a victory; they lost the game.,qwen_medium,p4,
S011,4.0,4,14,135.0,135.0,NUMBER,12,"The Wizards committed 12 turnovers, not 14.",qwen_medium,p4,
S011,5.0,5,John Wall,154.0,155.0,NAME,Jeff Teague,"Jeff Teague, not John Wall, was the leading scorer for the Hawks.",qwen_medium,p4,
S011,5.0,6,24,190.0,190.0,NUMBER,26,"Jeff Teague scored 26 points, not 24.",qwen_medium,p4,
S011,5.0,7,seven,199.0,199.0,NUMBER,0,"Jeff Teague had 0 rebounds, not seven.",qwen_medium,p4,
S011,6.0,8,It was his second double - double in a row,202.0,211.0,CONTEXT,This is incorrect information.,Jeff Teague did not achieve a double-double in this game or the previous one.,qwen_medium,p4,
S011,7.0,9,Paul Millsap,238.0,239.0,NAME,Al Horford,"Al Horford, not Paul Millsap, achieved a double-double.",qwen_medium,p4,
S011,7.0,10,11,242.0,242.0,NUMBER,13,"Al Horford had 13 rebounds, not 11.",qwen_medium,p4,
S011,8.0,11,21 points,281.0,282.0,NUMBER,21 points,"Al Horford scored 21 points, which is correct, but the context is wrong as it was mentioned for Paul Millsap.",qwen_medium,p4,
S011,8.0,12,10 - 24,355.0,357.0,NUMBER,10-24,"Al Horford's field goal attempts are correct, but the context is wrong as it was mentioned for Paul Millsap.",qwen_medium,p4,
S011,8.0,13,1 - 1,365.0,367.0,NUMBER,1-1,"Al Horford's free throw attempts are correct, but the context is wrong as it was mentioned for Paul Millsap.",qwen_medium,p4,
S011,9.0,14,The Hawks,29.0,30.0,CONTEXT,The Wizards,"The Wizards, not the Hawks, will play against the Cleveland Cavaliers.",qwen_medium,p4,
S011,9.0,15,New Orleans Pelicans,390.0,392.0,NAME,Golden State Warriors,"The Hawks will play against the Golden State Warriors, not the New Orleans Pelicans.",qwen_medium,p4,
S012,1.0,1,Friday,19.0,19.0,WORD,Saturday,"The game was played on Saturday, not Friday.",qwen_medium,p4,
S012,2.0,2,21 - 25,25.0,27.0,NUMBER,15-32,"The Suns' record is 15-32, not 21-25.",qwen_medium,p4,
S012,2.0,3,Suns,7.0,7.0,NAME,Nuggets,"The Nuggets, not the Suns, have the record of 21-25.",qwen_medium,p4,
S012,4.0,4,six,106.0,106.0,NUMBER,five,"The Nuggets had five players in double digits, not six.",qwen_medium,p4,
S012,6.0,5,17,119.0,119.0,NUMBER,17,"This is correct, but it is repeated in the next sentence, which is an error.",qwen_medium,p4,
S012,7.0,6,"17 points , three rebounds , six assists and one steal",132.0,142.0,NUMBER,,This entire phrase is a repetition of the previous sentence and should be removed.,qwen_medium,p4,
S012,8.0,7,Nuggets,3.0,3.0,NAME,Suns,"The Suns, not the Nuggets, were led by Devin Booker.",qwen_medium,p4,
S012,8.0,8,(15 - 32),,,NUMBER,(21-25),"The Suns' record is 15-32, but the Nuggets' record is 21-25.",qwen_medium,p4,
S012,9.0,9,"Tyson Chandler finished with 15 points , 12 rebounds and two steals",188.0,199.0,NUMBER,"15 points, 12 rebounds, and 2 steals","This is correct, but it is repeated in the next sentence, which is an error.",qwen_medium,p4,
S012,10.0,10,"Tyson Chandler finished with 15 points , 12 rebounds and two steals",188.0,199.0,NUMBER,,This entire phrase is a repetition of the previous sentence and should be removed.,qwen_medium,p4,
S012,11.0,11,Suns,7.0,7.0,NAME,Nuggets,"The Nuggets, not the Suns, host the Lakers next.",qwen_medium,p4,
S012,11.0,12,Friday,19.0,19.0,WORD,Tuesday,"The Nuggets play the Lakers on Tuesday, not Friday.",qwen_medium,p4,
S012,11.0,13,Phoenix Suns,6.0,7.0,NAME,Los Angeles Lakers,"The Nuggets are playing the Lakers, not the Suns.",qwen_medium,p4,
