TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S001,15,10,Jae Crowder,110,111,SPELLING,Jae Crowder,Duplicate entry,qwen_small,2633.09
S001,13,9,Jae Crowder was next with 18 points,138,144,GRAMMATICAL,"Jae Crowder was next with 18 points, six rebounds, an assist and two steals.",Sentence structure issue; repeats information,qwen_small,2633.09
S004,1,1,"The host Utah Jazz defeated the Los Angeles Lakers , 96 - 89 , at Vivint Smart Home Arena on Friday",1,21,,,Add missing article 'a' before Vivint Smart Home Arena,qwen_small,2633.09
S004,2,1,The Jazz ( 1 - 1 ),23,29,,,Add article 'a' before Jazz,qwen_small,2633.09
S004,2,2,have been one of the best teams in the NBA this season,30,41,,,Correct 'this season' to 'season',qwen_small,2633.09
S004,9,2,"Rudy Gobert finished second on the team , totaling 13 points , 13 rebounds and four blocks",304,320,,,"Add 'double' before double-double and correct 'and four blocks' to ', 13 rebounds, and four blocks'",qwen_small,2633.09
S006,1,1,The Houston Rockets,1,3,DATE_TIME,,"Incorrect date format, should be 'on Friday'",qwen_small,2633.09
S006,1,3,defeated,9,9,DATE_TIME,,"Incorrect tense, should be 'defeat'",qwen_small,2633.09
S006,3,5,The Nets,24,25,DATE_TIME,,"Incorrect tense, should be 'were'",qwen_small,2633.09
S006,4,6,Trevor Ariza,66,67,DATE_TIME,,"Incorrect tense, should be 'Trevor Ariza was'",qwen_small,2633.09
S006,12,8,without Brook,116,117,DATE_TIME,,"Incorrect article, should be 'without the Brook'",qwen_small,2633.09
S006,15,9,Thaddeus Young,163,164,DATE_TIME,,"Incorrect tense, should be 'were'",qwen_small,2633.09
S007,1,1,Russell Westbrook and Russell Westbrook,1,5,GRAMMAR,Russell Westbrook and Enes Kanter,"Both players' names are the same, causing confusion",qwen_small,2633.09
S007,12,6,Steven Adams chipped in 21,209,213,TYPO,"Enes Kanter chipped in 29 points on 10-of-18 shooting, in 32 minutes, while Steven Adams chipped in 21 points, four rebounds and one steal, in 27 minutes.",Incorrect player name and points,qwen_small,2633.09
S010,1,1,Atlanta Hawks,2,3,TEAM,Orlando Magic,"The Hawks were the visiting team, not Atlanta Hawks",qwen_small,2633.09
S010,2,2,19 - 16,121,123,,16-21,The correct record for Orlando Magic,qwen_small,2633.09
S010,4,4,New Orleans,214,215,,Los Angeles Lakers,"The next game opponent should be the Los Angeles Lakers, not New Orleans Pelicans",qwen_small,2633.09
S010,5,5,Toronto Raptors,331,332,,Boston Celtics,"The next game opponent should be the Boston Celtics, not Toronto Raptors",qwen_small,2633.09
S011,1,1,The Atlanta Hawks,1,3,,,Hawks is misspelled as Hawkses in the original text.,qwen_small,2633.09
S011,15,2,Cleveland Cavaliers,405,406,,Milwaukee Bucks,"The Cavaliers game is in the future, we can update this to a recent opponent.",qwen_small,2633.09
S015,1,1,The Toronto Raptors,1,3,TEAM_NAME,,,qwen_small,2633.09
S015,1,2,17 - 11,5,7,SCORE,,,qwen_small,2633.09
S015,1,3,defeated the Miami,9,11,TEAM_NAME,,,qwen_small,2633.09
S015,4,8,Heat,12,12,TEAM_NAME,,,qwen_small,2633.09
S015,1,4,15 - 10,14,16,SCORE,,,qwen_small,2633.09
S015,1,5,108 - 94,18,20,SCORE,,,qwen_small,2633.09
S015,2,6,Wednesday at American,22,24,DATE,"February 8, 2017","The actual date is February 8, 2017 based on the provided online calendar.",qwen_small,2633.09
S015,5,9,DeMarre Carroll,160,161,PLAYER_NAME,,,qwen_small,2633.09
