TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,113 - 107,10,12,,,NUMBER,113-106,"The final score was 113-106, not 113-107."
S001,3,1,six,16,16,,,NUMBER,two,"Isaiah Thomas had 2 rebounds, not six."
S001,4,1,11,8,8,,,NUMBER,8,Incorrect number of assists.
S001,2,1,18,6,6,,,NUMBER,18,"Jae Crowder had a 18-point, 12-rebound double-double, but the sentence says 18-point, 12-rebound double-double that also included an assist, two steals and a block."
S001,5,1,Jae,1,1,,,NAME,Jae Crowder,Incorrect first name.
S001,4,1,eight,11,11,,,NUMBER,11,"Al Horford had 11 assists, not 8."
S001,9,1,10,8,8,,,NUMBER,7,Incorrect number of points scored by Kelly Olynyk.
S001,9,2,nine,11,11,,,NUMBER,7,Incorrect number of rebounds by Kelly Olynyk.
S002,2,1,huge,17,17,,,WORD,big,"The word huge is an exaggeration, the correct word should be big."
S002,1,1,Hawks,3,3,,,WORD,Cavaliers,"The sentence says the Hawks outscored the Hawks, but it should be the Hawks outscored the Cavaliers."
S002,4,1,21,17,17,,,NUMBER,22,The assist-to-turnover ratio was actually 22 assists to 19 turnovers for the Hawks.
S002,4,2,19,20,20,,,NUMBER,22,The assist-to-turnover ratio was actually 22 assists to 19 turnovers for the Hawks.
S002,5,1,three,11,11,,,NUMBER,four,The Hawks have now won four of their last five games.
S002,7,1,n't,4,4,,,WORD,not,Incorrect negation.
S002,7,1,25,9,9,,,NUMBER,20,"Kent Bazemore had 20 points, not 25."
S002,11,1,23,16,16,,,NUMBER,24,"LeBron James scored 24 points, not 23."
S002,12,1,second,4,4,,,WORD,first,Kyrie Irving was first on the team in points.
S003,1,1,Saturday,17,17,,,NAME,Sunday,Incorrect day of the week.
S003,2,1,30,37,37,,,NUMBER,109-79,"The Raptors won by 30 points, not 30-point victory."
S003,4,1,16,9,9,,,NUMBER,double,"Jonas Valanciunas posted a double-double, not a 16-point, 13-rebound double-double."
S003,7,1,11,12,12,,,NUMBER,11,Terrence Ross scored 11 points.
S003,10,1,Elfrid,7,7,,,NAME,Evan,Incorrect player name.
S003,2,1,12,45,45,,,NUMBER,1,
S003,14,1,DJ,1,1,,,NAME,D.J.,Wrong first name.
S004,3,1,fourth,23,23,,,NUMBER,four,Incorrect quarter number.
S004,4,1,38,14,14,,,NUMBER,43,The Jazz held the Lakers to 43 percent from the field.
S004,4,2,24,20,20,,,NUMBER,39,The Jazz held the Lakers to 39 percent from three-point range.
S004,5,1,43 - 24,16,18,,,NUMBER,47-43,Incorrect rebounding numbers.
S004,2,1,1,4,4,,,NUMBER,0,The Lakers record is actually 0-1.
S004,7,1,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,8,1,12,15,15,,,NUMBER,12,"Luol Deng had 12 rebounds, not 12 points and 12 rebounds."
S004,12,1,four,11,11,,,NUMBER,three,Incorrect number of games won.
S004,13,1,George,1,1,,,NAME,Derrick Favors,Incorrect player name.
S004,14,1,second,4,4,,,NUMBER,first,Rudy Gobert was first on the team in rebounds.
S004,14,1,13,10,10,,,NUMBER,9,"Rudy Gobert had 9 rebounds, not 13."
S005,1,1,35,8,8,,,NUMBER,53,The Hawks held the Magic to a 53 percent success rate from the floor.
S005,1,2,26,16,16,,,NUMBER,36,The Hawks held the Magic to a 36 percent success rate from three-point range.
S005,2,1,Millsap,2,2,,,NAME,"Millsap is correct, but the sentence is referring to Paul Millsap, so the correct answer is 'Paul Millsap'","The sentence is referring to Paul Millsap, not just Milsap."
S005,2,1,one,27,27,,,NUMBER,a,"The sentence says one block, but the box score says none."
S005,5,1,27,7,7,,,NUMBER,8,"Kent Bazemore scored 8 points, not 27."
S006,1,1,Friday,22,22,,,NAME,Tuesday,Incorrect day of the week.
S006,2,1,double,9,9,,,NUMBER,single,The Nets were not double-digit favorites.
S006,1,1,10,5,5,,,NUMBER,22,"James Harden scored 22 points, not 10."
S006,4,1,2,15,15,,,NUMBER,3,"Trevor Ariza scored 3 points, not 2."
S006,6,1,Brook,7,7,,,NAME,Brooklyn,"The sentence claims Brook Lopez did not play, but the box score data does not support this."
S006,7,1,24,18,18,,,NUMBER,20,"Brook Lopez scored 20 points, not 24."
S006,8,1,20,15,15,,,NUMBER,22,Incorrect points for Thaddeus Young.
S007,2,1,11,7,7,,,NUMBER,7,Incorrect number of rebounds.
S007,2,2,seven,10,10,,,NUMBER,three,Incorrect number of steals.
S007,2,3,one,16,16,,,NUMBER,three,Incorrect number of blocks.
S007,4,1,46,4,4,,,NUMBER,44,Incorrect field goal percentage for the Kings.
S007,2,2,36,4,4,,,NUMBER,36,Incorrect three-point percentage for the Kings.
S007,3,1,29,19,19,,,NUMBER,29,Incorrect number of points scored by Enes Kanter.
S008,1,1,Saturday,19,19,,,NAME,Monday,Incorrect day of the week.
S008,2,1,six,16,16,,,NUMBER,five,"The Grizzlies had five road wins, not six."
S008,3,1,7,4,4,,,NUMBER,7,Incorrect number of field goals made.
S008,4,2,14,13,13,,,NUMBER,14,Incorrect number of field goal attempts.
S008,4,3,2,17,17,,,NUMBER,2,Incorrect number of three-pointers made.
S008,2,4,5,4,4,,,NUMBER,5,Incorrect number of three-point attempts.
S008,5,1,23,26,26,,,NUMBER,13,Incorrect number of minutes played.
