TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,The Boston Celtics defeated the Los Angeles Lakers,,,1,8,CONTEXT,"The Celtics won the game, but the sentence does not specify the score or the location.",The sentence is incomplete.
S001,3,1,six assists,,,82,83,NUMBER,seven assists,"Isaiah Thomas had seven assists, not six."
S001,4,1,right behind,,,94,95,CONTEXT,behind is not a word in this context,behind is not a word in this context
S001,5,1,Jae Crowder,,,,,NAME,Jae Crowder,"Player name is correct, but not found in the box score."
S001,6,1,Jae Crowder,,,,,NAME,Jae Crowder,"Player name is correct, but not found in box score data."
S001,7,1,Jae Crowder,,,,,NAME,Jae Crowder,"Player name is correct, but not found in box score data."
S001,8,1,eight assists,,,104,105,NUMBER,eight assists,"Al Horford had eight assists, not eight assists and a block."
S001,9,1,"Kelly Olynyk led the second unit with 10 points, nine rebounds, two assists and a pair of steals.",,,,,NOT_CHECKABLE,,No information in box score to verify this sentence.
S002,1,1,Atlanta Hawks 110 - 110,,,,,CONTEXT,"The Atlanta Hawks defeated the Cleveland Cavaliers, 110-106",Incorrect opponent and score
S002,6,1,17 points,,,127,128,NUMBER,7,Incorrect number of points scored by Dwight Howard.
S002,7,1,n't,,,146,146,WORD,wasn't,Typo in contraction.
S002,8,1,"Kent Bazemore was the only other starter in double figures, totaling 25 points, six rebounds and three assists.",,,,,NUMBER,25,"Kent Bazemore was the only other starter in double figures, totaling 25 points, six rebounds and three assists."
S002,10,1,three of their last five games,,,,,NUMBER,four of their last five games,"The Cavaliers have won 4 of their last 5 games, not 3."
S002,11,1,"23 points, nine rebounds and five assists",,,,,NUMBER,"23 points, nine rebounds, and five assists",added a comma for clarity
S002,12,1,second on the team,,,,,CONTEXT,led the team,"Kyrie Irving was actually the leader in points, not second."
S002,13,1,second on the team,,,248,251,CONTEXT,Kevin Love finished first on the team,"Kevin Love led the team in points, not finished second"
S002,14,1,Tristan Thompson,,,283,284,NAME,Tristan Thompson is not present in the box score data,Player name not found in box score data
S003,1,1,Saturday evening,,,17,18,CONTEXT,Sunday,Incorrect day of the week
S003,3,1,game-high,,,,,WORD,game,game-high is not a valid word
S003,6,1,a block a block and a block,,,,,OTHER,a block,Extra blocks listed
S004,5,1,43 - 24,,,120,122,NUMBER,47-43,Incorrect rebounding numbers.
S004,15,1,"Rudy Gobert recorded a double - double, totaling 13 points and 13 rebounds.",,,,,NUMBER,13 points and 13 rebounds,"The sentence is correct, no mistake found."
S005,1,1,35 percent success rate from the floor,,,8,14,NUMBER,35,The box score does not provide the success rate from the floor.
S005,2,1,game - high,,,,,WORD,game-high,"hyphenated in story, not in box score"
S005,3,1,"Millsap was right behind him with 21 points, five rebounds, four assists and one steal.",,,,,NOT_CHECKABLE,,No information in box score to verify this sentence.
S005,4,1,"Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal and one block.",,,,,NUMBER,"11-point, 13-rebound double-double along with three assists and one steal",Incorrectly included one block.
S005,7,1,"Paul Millsap led the way for Orlando with 21 points, five rebounds, four assists, one steal and one block.",,,,,NOT_CHECKABLE,,No information in box score to verify this sentence.
S005,8,1,"Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal and one block.",,,,,NUMBER,"11-point, 13-rebound double-double along with three assists and one steal",Incorrectly included one block.
S005,10,1,"Magic head back home to face off with the New York Knicks on Monday night, while the Hawks remain home and await the Toronto Raptors on Friday evening as well.",,,,,NOT_CHECKABLE,,No information in box score to verify this sentence.
S006,1,1,Friday,,,22,22,CONTEXT,Tuesday,Incorrect day of the week.
S006,2,1,double - digit,,,32,34,NUMBER,double-digit,The phrase should be 'double-digit' instead of 'double - digit'.
