TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,113 - 107,10,12,,,NUMBER,113-107,"The story says 113-107, but the JSON says the Celtics scored 113 and the Lakers scored 107."
S001,,2,double-digit,,,,,NUMBER,32-18,"The story says double-digit, but the JSON says the Celtics are 32-18."
S001,2,3,30 - point,35,37,,,NUMBER,30,"The story says 30-point, but the JSON says the Celtics won by 30."
S001,3,4,Isaiah,6,6,,,NAME,Isaiah Thomas,"The story says Isaiah, but the JSON says Isaiah Thomas."
S001,3,5,six,16,16,,,NUMBER,38,"The story says six, but the JSON says Isaiah Thomas scored 38 points."
S001,3,6,two,19,19,,,NUMBER,2,"The story says two, but the JSON says Isaiah Thomas had 2 rebounds."
S001,4,7,Al,1,1,,,NAME,Al Horford,"The story says Al, but the JSON says Al Horford."
S001,4,8,eight,11,11,,,NUMBER,11,"The story says eight, but the JSON says Al Horford scored 11 points."
S001,4,9,eight,11,11,,,NUMBER,8,"The story says eight, but the JSON says Al Horford had 8 rebounds."
S001,4,10,eight,11,11,,,NUMBER,8,"The story says eight, but the JSON says Al Horford had 8 assists."
S001,5,11,Jae,1,1,,,NAME,Jae Crowder,"The story says Jae, but the JSON says Jae Crowder."
S001,5,12,18 - point,7,9,,,NUMBER,18,"The story says 18-point, but the JSON says Jae Crowder scored 18 points."
S001,3,13,six,16,16,,,NUMBER,12,"The story says six, but the JSON says Jae Crowder had 12 rebounds."
S001,5,14,an,20,20,,,NUMBER,1,"The story says an, but the JSON says Jae Crowder had 1 assist."
S001,2,15,a,13,13,,,NUMBER,2,"The story says a, but the JSON says Jae Crowder had 2 steals."
S001,9,16,Kelly,1,1,,,NAME,Kelly Olynyk,"The story says Kelly, but the JSON says Kelly Olynyk."
S001,9,17,10,8,8,,,NUMBER,7,"The story says 10, but the JSON says Kelly Olynyk scored 7 points."
S001,9,18,nine,11,11,,,NUMBER,9,"The story says nine, but the JSON says Kelly Olynyk had 9 rebounds."
S001,3,19,two,19,19,,,NUMBER,2,"The story says two, but the JSON says Kelly Olynyk had 2 assists."
S001,2,20,a,13,13,,,NUMBER,2,"The story says a, but the JSON says Kelly Olynyk had 2 steals."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cavaliers,"The story says Atlanta Hawks defeated Atlanta Hawks, but the box score says the game was between Atlanta Hawks and Cleveland Cavaliers."
S002,1,2,110 -,9,10,,,NUMBER,110-106,"The story says the score was 110-110, but the box score says 110-106."
S002,1,3,Saturday,18,18,,,WORD,Tuesday,"The story says the game was on Saturday, but the box score says Tuesday."
S002,3,4,37 -,10,11,,,NUMBER,"37-20 is not present in the box score, but the box score does show the Hawks outscoring the Cavs in the 4th quarter.","The story says the Hawks outscored the Cavs 37-20 in the 4th quarter, but the box score does not provide this information."
S002,,5,21 19,,,,,NUMBER,"21-19 is not present in the box score, but the box score does show the Hawks recording 22 assists and the Cavs committing 19 turnovers.","The story says the assist-to-turnover ratio was 21-19, but the box score does not provide this information."
S002,5,6,three,11,11,,,NUMBER,The box score does not provide this information.,"The story says the Hawks have now won three of their last five games, but the box score does not provide this information."
S002,5,7,three,11,11,,,NUMBER,The box score does not provide this information.,"The story says the Cavs have now won three of their last five games, but the box score does not provide this information."
S002,9,8,Sunday,8,8,,,WORD,The box score does not provide this information.,"The story says the Hawks will play the Raptors on Sunday, but the box score does not provide this information."
S002,9,9,Sunday,8,8,,,WORD,The box score does not provide this information.,"The story says the Cavs will play the Magic on Sunday, but the box score does not provide this information."
S002,,10,17 17,,,,,NUMBER,17,"The story says Dwight Howard had 17 points and 17 rebounds, but the box score only confirms the rebounds."
S002,7,11,25,9,9,,,NUMBER,25,"The story says Kent Bazemore had 25 points, but the box score only confirms the points."
S002,7,12,25,9,9,,,NUMBER,25,"The story says Kent Bazemore had 25 points, but the box score only confirms the points."
