TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Los Angeles,6,7,,,NAME,Boston,"The game was played in Boston, not Los Angeles."
S001,3,1,six,16,16,,,NUMBER,five,"The sentence claims the team was led by Isaiah Thomas's 38 points, which he supplemented with six assists, two rebounds and a steal, but the correct number of assists is not provided."
S001,4,1,behind,5,5,,,WORD,ahead,The sentence should read 'ahead' instead of 'behind'.
S001,5,1,Crowder,2,2,,,NAME,"Crowder was not the player with 18 points, six rebounds, an assist and a pair of steals. The correct player is not in the provided box score data.","The player's name is not in the box score data, so it cannot be verified."
S001,4,1,Horford,2,2,,,NAME,Horford,The player's name is misspelled.
S001,9,1,second unit,5,6,,,WORD,first unit,The sentence incorrectly describes the unit Kelly Olynyk led.
S002,1,1,Atlanta,2,2,,,NAME,Cleveland,The Hawks defeated the wrong team.
S002,2,1,huge,17,17,,,WORD,big,"The word 'huge' is not present in the box score data, and a more accurate description of the win would be 'big'."
S002,1,1,Hawks,3,3,,,NAME,Cavaliers,"The Hawks outscored the Cavaliers, not the Hawks."
S002,5,1,three,11,11,,,NUMBER,four,The Hawks have now won four of their last five games.
S002,6,1,17,13,13,,,NUMBER,15,"Dwight Howard tallied 15 rebounds, not 17."
S002,7,1,25,9,9,,,NUMBER,24,"Kent Bazemore's points should be 24, not 25."
S002,12,1,four,15,15,,,NUMBER,five,"The Hawks had four of their victories having come at home, but the correct number is five."
S002,11,1,23,16,16,,,NUMBER,29,LeBron James actually scored 29 points.
S002,12,1,second,4,4,,,NUMBER,first,"Kyrie Irving was first on the team, not second."
S002,14,1,Tristan Thompson,1,2,,,NAME,Tristan Love,Tristan Thompson's name should be corrected to Tristan Love.
S002,9,1,Sunday,8,8,,,NOT_CHECKABLE,,The game's date is not specified in the box score data.
S003,1,1,Saturday,17,17,,,WORD,Sunday,"The game was played on Sunday, not Saturday."
S003,1,1,Raptors,3,3,,,NAME,Magic,"The correct team name is Magic, not Raptors."
S003,7,1,productive,4,4,,,WORD,productive,The word 'productive' is not a suitable adjective to describe Terrence Ross's role in the game.
S003,8,1,third,4,4,,,NUMBER,seventh,The correct ranking of Toronto in the Eastern Conference's Atlantic Division.
S003,3,1,five,22,22,,,NUMBER,six,"The correct number of rebounds DeMar DeRozan tallied is six, not five."
S003,10,1,Elfrid,7,7,,,NAME,Evan,The player's name is incorrect.
S003,4,1,10,13,13,,,NUMBER,12,Aaron Gordon's double-double stats were incorrect.
S003,16,1,home again,3,4,,,WORD,away,"The game was actually on Tuesday, not Friday."
S004,1,1,Los Angeles,7,8,,,NAME,Salt Lake City,"The game was played in Salt Lake City, not Los Angeles."
S004,3,1,majority,9,9,,,WORD,majority of,"The word'majority' is not a correct word in this context, it should be'majority of'."
