TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,107,,,12,12,NUMBER,101,"The Lakers scored 101, not 107."
S001,1,2,Wednesday,,,18,18,NAME,Friday,The game was played on Friday.
S001,2,1,startes,,,,,WORD,starters,The correct term is 'starters'.
S001,3,1,six,,,82,82,NUMBER,4,"Isaiah Thomas had 4 assists, not 6."
S001,3,2,two,,,85,85,NUMBER,2,"Isaiah Thomas had 2 rebounds, which is correct, but this is redundant as it's already mentioned."
S001,3,3,a,,,32,32,NUMBER,1,"Isaiah Thomas had 1 steal, not a single steal (which is implied by 'a')."
S001,4,1,a block,,,107,108,WORD,,Al Horford did not record a block in this game.
S001,5,1,18,,,25,25,NUMBER,18,"Jae Crowder actually scored 18 points, which is correct."
S001,5,2,12,,,120,120,NUMBER,6,"Jae Crowder had 6 rebounds, not 12."
S001,5,3,an assist,,,129,130,NUMBER,1,"Jae Crowder had 1 assist, not an assist (which implies 1)."
S001,5,4,two steals,,,132,133,NUMBER,2,"Jae Crowder had 2 steals, which is correct."
S001,5,5,a block,,,107,108,NUMBER,0,"Jae Crowder had 0 blocks, not 1."
S001,6,1,an assist,,,129,130,NUMBER,1,"Jae Crowder had 1 assist, not an assist."
S001,6,2,a pair of steals,,,152,155,NUMBER,2,"Jae Crowder had 2 steals, not a pair of steals."
S001,7,1,an assist,,,129,130,NUMBER,1 assist,"Jae Crowder had 1 assist, not an assist."
S001,7,2,two steals,,,132,133,NUMBER,3 steals,"Jae Crowder had 3 steals, not two steals."
S001,8,1,a block,,,107,108,WORD,,Al Horford did not record a block in this game.
S001,9,1,10,,,196,196,NUMBER,7,"Kelly Olynyk scored 7 points, not 10."
S001,9,2,nine,,,199,199,NUMBER,7,"Kelly Olynyk had 7 rebounds, not nine."
S001,9,3,two,,,85,85,NUMBER,0,"Kelly Olynyk had 0 steals, not two."
S001,10,1,startes,,,,,WORD,starters,The correct term is 'starters'.
S002,1,1,Atlanta Hawks,,,2,3,NAME,Cleveland Cavaliers,"The home team is the Cleveland Cavaliers, not the Atlanta Hawks."
S002,1,2,110 - 110,,,9,11,NUMBER,110 - 106,"The final score was 110 - 106, not 110 - 110."
S002,1,3,Saturday,,,18,18,NAME,Tuesday,"The game was played on Tuesday, not Saturday."
S002,2,1,struggling,,,26,26,WORD,top-tier,The teams were not described as struggling; the Cavaliers were the reigning NBA champions and the Hawks had a strong defense.
S002,3,1,Hawks,,,3,3,CONTEXT,Cavaliers,"The sentence incorrectly states that the Hawks outscored the Hawks, which is self-referential and incorrect. It should state that the Hawks outscored the Cavaliers."
S002,4,1,19,,,78,78,NUMBER,6,"The Cavaliers committed 6 turnovers, not 19."
S002,4,2,21,,,75,75,NUMBER,21,"The Cavaliers recorded 21 assists, which is correct."
S002,5,1,struggle,,,113,113,WORD,improve,"The sentence suggests the Hawks are struggling, but with a 5-2 record and winning 3 of their last 5 games, they are actually improving."
S002,6,1,17 points,,,127,128,NUMBER,7 points,"Dwight Howard scored 7 points, not 17."
S002,6,2,3 - of - 5,,,136,140,NUMBER,3-of-4,"Dwight Howard made 3 of 4 field goal attempts, not 3 of 5."
S002,7,1,n't,,,146,146,WORD,,"The sentence should not include 'n't' as it implies a negative, which is not supported by the data."
S002,8,1,Kent Bazemore,,,143,144,CONTEXT,,"Bazemore is listed as a starter, but the box score shows he was not a starter in this game."
S002,9,1,Sunday,,,188,188,NAME,Wednesday,"The game is scheduled for Wednesday, not Sunday."
S002,10,1,struggle,,,113,113,WORD,dominate,"The sentence suggests the Cavaliers are struggling, but based on their record (6-1) and the fact that they have won three of their last five games, this is not accurate."
S002,11,1,23,,,236,236,NUMBER,29,"LeBron James scored 29 points, not 23."
S002,12,1,second,,,248,248,WORD,first,"Kyrie Irving was the leading scorer for the Cavaliers, not second."
S002,13,1,11,,,277,277,NUMBER,12,"Kevin Love recorded 12 rebounds, not 11."
S002,14,1,25,,,151,151,NUMBER,0,"Tristan Thompson scored 0 points, not 25."
S002,14,2,off the bench,,,289,291,WORD,as a starter,"Tristan Thompson started the game, not coming off the bench."
S002,14,3,two,,,25,25,NUMBER,2,"Tristan Thompson had 2 rebounds, not two."
S002,14,4,four,,,259,259,NUMBER,0,"Tristan Thompson had 0 assists, not four."
S002,15,1,Sunday,,,188,188,NAME,Friday,"The Cavaliers' next game is on Friday, not Sunday."
S003,1,1,Saturday,,,17,17,NAME,Sunday,The game was played on Sunday.
S003,2,1,Friday,,,51,51,NAME,Sunday,The game was played on Sunday.
S003,3,1,a steal,,,96,97,WORD,,DeMar DeRozan did not record a steal in this game.
S003,4,1,a steal,,,96,97,WORD,,Kyle Lowry did not record a steal in this game.
S003,4,2,a block,,,126,127,WORD,,Kyle Lowry did not record a block in this game.
S003,5,1,a block and a block,,,151,155,WORD,,"Valanciunas had exactly three blocks, not 'a block, a block and a block'."
S003,6,1,a block and a block,,,151,155,WORD,,"The sentence incorrectly states that Valanciunas had three blocks, but according to the box score, he had only one block."
S003,7,1,11,,,194,194,NUMBER,11,"Terrence Ross actually scored 11 points, so this number is correct."
S003,8,1,seventh,,,225,225,NUMBER,third,"The Raptors are in third place in the Eastern Conference, not seventh."
S003,9,1,Charlotte,,,236,236,NAME,Orlando,"The game was played in Orlando, not Charlotte."
S003,9,2,Hornets,,,241,241,NAME,Magic,"The game was against the Magic, not the Hornets."
S003,9,3,Friday,,,51,51,NAME,Sunday,"The game was played on Sunday, not Friday."
S003,10,1,Elfrid Payton,,,252,253,CONTEXT,,Elfrid Payton did not lead the Magic in scoring; Evan Fournier led with 15 points.
S003,10,2,13,,,139,139,NUMBER,15,"Elfrid Payton actually scored 13 points, but Evan Fournier led with 15 points."
S003,11,1,10,,,111,111,NUMBER,7,"Aaron Gordon scored 7 points, not 10."
S003,11,2,12,,,64,64,NUMBER,1,"Aaron Gordon had 1 rebound, not 12."
S003,12,1,two,,,197,197,NUMBER,3,"Elfrid Payton had 3 assists, not 2."
S003,12,2,two,,,197,197,NUMBER,0,"Elfrid Payton had 0 rebounds, not 2."
S003,13,1,10,,,111,111,NUMBER,7,"Aaron Gordon scored 7 points, not 10."
S003,13,2,12,,,64,64,NUMBER,1,"Aaron Gordon had 1 rebound, not 12."
S003,14,1,11,,,194,194,NUMBER,0,"D.J. Augustin scored 0 points, not 11."
S003,14,2,three,,,120,120,NUMBER,2,"D.J. Augustin had 2 rebounds, not three."
S003,14,3,two,,,197,197,NUMBER,2,"D.J. Augustin had 2 steals, not a pair of steals."
S003,15,1,last place,,,371,372,WORD,a better position,The Raptors are not in last place in the Southeast Division according to the provided data.
S003,16,1,Friday,,,51,51,NAME,Sunday,"The game was played on Sunday, not Friday."
S004,1,1,Vivint Smart Home Arena,,,16,19,NAME,Vivint Smart Home Arena,"The arena name is correct, but it should be 'Vivint Smart Home Arena' without the extra spaces."
