TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,107,12.0,12.0,NUMBER,101,"The Lakers scored 101, not 107.",qwen_medium,p0d_sent,18850.94
S001,1,2,Wednesday,18.0,18.0,NAME,Friday,The game was played on Friday.,qwen_medium,p0d_sent,18850.94
S001,2,1,startes,,,WORD,starters,The correct term is 'starters'.,qwen_medium,p0d_sent,18850.94
S001,3,1,six,82.0,82.0,NUMBER,4,"Isaiah Thomas had 4 assists, not 6.",qwen_medium,p0d_sent,18850.94
S001,3,2,two,85.0,85.0,NUMBER,2,"Isaiah Thomas had 2 rebounds, which is correct, but this is redundant as it's already mentioned.",qwen_medium,p0d_sent,18850.94
S001,3,3,a,32.0,32.0,NUMBER,1,"Isaiah Thomas had 1 steal, not a single steal (which is implied by 'a').",qwen_medium,p0d_sent,18850.94
S001,4,1,a block,107.0,108.0,WORD,,Al Horford did not record a block in this game.,qwen_medium,p0d_sent,18850.94
S001,5,1,18,25.0,25.0,NUMBER,18,"Jae Crowder actually scored 18 points, which is correct.",qwen_medium,p0d_sent,18850.94
S001,5,2,12,120.0,120.0,NUMBER,6,"Jae Crowder had 6 rebounds, not 12.",qwen_medium,p0d_sent,18850.94
S001,5,3,an assist,129.0,130.0,NUMBER,1,"Jae Crowder had 1 assist, not an assist (which implies 1).",qwen_medium,p0d_sent,18850.94
S001,5,4,two steals,132.0,133.0,NUMBER,2,"Jae Crowder had 2 steals, which is correct.",qwen_medium,p0d_sent,18850.94
S001,5,5,a block,107.0,108.0,NUMBER,0,"Jae Crowder had 0 blocks, not 1.",qwen_medium,p0d_sent,18850.94
S001,6,1,an assist,129.0,130.0,NUMBER,1,"Jae Crowder had 1 assist, not an assist.",qwen_medium,p0d_sent,18850.94
S001,6,2,a pair of steals,152.0,155.0,NUMBER,2,"Jae Crowder had 2 steals, not a pair of steals.",qwen_medium,p0d_sent,18850.94
S001,7,1,an assist,129.0,130.0,NUMBER,1 assist,"Jae Crowder had 1 assist, not an assist.",qwen_medium,p0d_sent,18850.94
S001,7,2,two steals,132.0,133.0,NUMBER,3 steals,"Jae Crowder had 3 steals, not two steals.",qwen_medium,p0d_sent,18850.94
S001,8,1,a block,107.0,108.0,WORD,,Al Horford did not record a block in this game.,qwen_medium,p0d_sent,18850.94
S001,9,1,10,196.0,196.0,NUMBER,7,"Kelly Olynyk scored 7 points, not 10.",qwen_medium,p0d_sent,18850.94
S001,9,2,nine,199.0,199.0,NUMBER,7,"Kelly Olynyk had 7 rebounds, not nine.",qwen_medium,p0d_sent,18850.94
S001,9,3,two,85.0,85.0,NUMBER,0,"Kelly Olynyk had 0 steals, not two.",qwen_medium,p0d_sent,18850.94
S001,10,1,startes,,,WORD,starters,The correct term is 'starters'.,qwen_medium,p0d_sent,18850.94
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,"The home team is the Cleveland Cavaliers, not the Atlanta Hawks.",qwen_medium,p0d_sent,18850.94
S002,1,2,110 - 110,9.0,11.0,NUMBER,110 - 106,"The final score was 110 - 106, not 110 - 110.",qwen_medium,p0d_sent,18850.94
S002,1,3,Saturday,18.0,18.0,NAME,Tuesday,"The game was played on Tuesday, not Saturday.",qwen_medium,p0d_sent,18850.94
S002,2,1,struggling,26.0,26.0,WORD,top-tier,The teams were not described as struggling; the Cavaliers were the reigning NBA champions and the Hawks had a strong defense.,qwen_medium,p0d_sent,18850.94
S002,3,1,Hawks,3.0,3.0,CONTEXT,Cavaliers,"The sentence incorrectly states that the Hawks outscored the Hawks, which is self-referential and incorrect. It should state that the Hawks outscored the Cavaliers.",qwen_medium,p0d_sent,18850.94
S002,4,1,19,78.0,78.0,NUMBER,6,"The Cavaliers committed 6 turnovers, not 19.",qwen_medium,p0d_sent,18850.94
S002,4,2,21,75.0,75.0,NUMBER,21,"The Cavaliers recorded 21 assists, which is correct.",qwen_medium,p0d_sent,18850.94
S002,5,1,struggle,113.0,113.0,WORD,improve,"The sentence suggests the Hawks are struggling, but with a 5-2 record and winning 3 of their last 5 games, they are actually improving.",qwen_medium,p0d_sent,18850.94
S002,6,1,17 points,127.0,128.0,NUMBER,7 points,"Dwight Howard scored 7 points, not 17.",qwen_medium,p0d_sent,18850.94
S002,6,2,3 - of - 5,136.0,140.0,NUMBER,3-of-4,"Dwight Howard made 3 of 4 field goal attempts, not 3 of 5.",qwen_medium,p0d_sent,18850.94
S002,7,1,n't,146.0,146.0,WORD,,"The sentence should not include 'n't' as it implies a negative, which is not supported by the data.",qwen_medium,p0d_sent,18850.94
S002,8,1,Kent Bazemore,143.0,144.0,CONTEXT,,"Bazemore is listed as a starter, but the box score shows he was not a starter in this game.",qwen_medium,p0d_sent,18850.94
S002,9,1,Sunday,188.0,188.0,NAME,Wednesday,"The game is scheduled for Wednesday, not Sunday.",qwen_medium,p0d_sent,18850.94
S002,10,1,struggle,113.0,113.0,WORD,dominate,"The sentence suggests the Cavaliers are struggling, but based on their record (6-1) and the fact that they have won three of their last five games, this is not accurate.",qwen_medium,p0d_sent,18850.94
S002,11,1,23,236.0,236.0,NUMBER,29,"LeBron James scored 29 points, not 23.",qwen_medium,p0d_sent,18850.94
S002,12,1,second,248.0,248.0,WORD,first,"Kyrie Irving was the leading scorer for the Cavaliers, not second.",qwen_medium,p0d_sent,18850.94
S002,13,1,11,277.0,277.0,NUMBER,12,"Kevin Love recorded 12 rebounds, not 11.",qwen_medium,p0d_sent,18850.94
S002,14,1,25,151.0,151.0,NUMBER,0,"Tristan Thompson scored 0 points, not 25.",qwen_medium,p0d_sent,18850.94
S002,14,2,off the bench,289.0,291.0,WORD,as a starter,"Tristan Thompson started the game, not coming off the bench.",qwen_medium,p0d_sent,18850.94
S002,14,3,two,25.0,25.0,NUMBER,2,"Tristan Thompson had 2 rebounds, not two.",qwen_medium,p0d_sent,18850.94
S002,14,4,four,259.0,259.0,NUMBER,0,"Tristan Thompson had 0 assists, not four.",qwen_medium,p0d_sent,18850.94
S002,15,1,Sunday,188.0,188.0,NAME,Friday,"The Cavaliers' next game is on Friday, not Sunday.",qwen_medium,p0d_sent,18850.94
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,The game was played on Sunday.,qwen_medium,p0d_sent,18850.94
S003,2,1,Friday,51.0,51.0,NAME,Sunday,The game was played on Sunday.,qwen_medium,p0d_sent,18850.94
S003,3,1,a steal,96.0,97.0,WORD,,DeMar DeRozan did not record a steal in this game.,qwen_medium,p0d_sent,18850.94
S003,4,1,a steal,96.0,97.0,WORD,,Kyle Lowry did not record a steal in this game.,qwen_medium,p0d_sent,18850.94
S003,4,2,a block,126.0,127.0,WORD,,Kyle Lowry did not record a block in this game.,qwen_medium,p0d_sent,18850.94
S003,5,1,a block and a block,151.0,155.0,WORD,,"Valanciunas had exactly three blocks, not 'a block, a block and a block'.",qwen_medium,p0d_sent,18850.94
S003,6,1,a block and a block,151.0,155.0,WORD,,"The sentence incorrectly states that Valanciunas had three blocks, but according to the box score, he had only one block.",qwen_medium,p0d_sent,18850.94
S003,7,1,11,194.0,194.0,NUMBER,11,"Terrence Ross actually scored 11 points, so this number is correct.",qwen_medium,p0d_sent,18850.94
S003,8,1,seventh,225.0,225.0,NUMBER,third,"The Raptors are in third place in the Eastern Conference, not seventh.",qwen_medium,p0d_sent,18850.94
S003,9,1,Charlotte,236.0,236.0,NAME,Orlando,"The game was played in Orlando, not Charlotte.",qwen_medium,p0d_sent,18850.94
S003,9,2,Hornets,241.0,241.0,NAME,Magic,"The game was against the Magic, not the Hornets.",qwen_medium,p0d_sent,18850.94
S003,9,3,Friday,51.0,51.0,NAME,Sunday,"The game was played on Sunday, not Friday.",qwen_medium,p0d_sent,18850.94
S003,10,1,Elfrid Payton,252.0,253.0,CONTEXT,,Elfrid Payton did not lead the Magic in scoring; Evan Fournier led with 15 points.,qwen_medium,p0d_sent,18850.94
S003,10,2,13,139.0,139.0,NUMBER,15,"Elfrid Payton actually scored 13 points, but Evan Fournier led with 15 points.",qwen_medium,p0d_sent,18850.94
S003,11,1,10,111.0,111.0,NUMBER,7,"Aaron Gordon scored 7 points, not 10.",qwen_medium,p0d_sent,18850.94
S003,11,2,12,64.0,64.0,NUMBER,1,"Aaron Gordon had 1 rebound, not 12.",qwen_medium,p0d_sent,18850.94
S003,12,1,two,197.0,197.0,NUMBER,3,"Elfrid Payton had 3 assists, not 2.",qwen_medium,p0d_sent,18850.94
S003,12,2,two,197.0,197.0,NUMBER,0,"Elfrid Payton had 0 rebounds, not 2.",qwen_medium,p0d_sent,18850.94
S003,13,1,10,111.0,111.0,NUMBER,7,"Aaron Gordon scored 7 points, not 10.",qwen_medium,p0d_sent,18850.94
S003,13,2,12,64.0,64.0,NUMBER,1,"Aaron Gordon had 1 rebound, not 12.",qwen_medium,p0d_sent,18850.94
S003,14,1,11,194.0,194.0,NUMBER,0,"D.J. Augustin scored 0 points, not 11.",qwen_medium,p0d_sent,18850.94
S003,14,2,three,120.0,120.0,NUMBER,2,"D.J. Augustin had 2 rebounds, not three.",qwen_medium,p0d_sent,18850.94
S003,14,3,two,197.0,197.0,NUMBER,2,"D.J. Augustin had 2 steals, not a pair of steals.",qwen_medium,p0d_sent,18850.94
S003,15,1,last place,371.0,372.0,WORD,a better position,The Raptors are not in last place in the Southeast Division according to the provided data.,qwen_medium,p0d_sent,18850.94
S003,16,1,Friday,51.0,51.0,NAME,Sunday,"The game was played on Sunday, not Friday.",qwen_medium,p0d_sent,18850.94
S004,1,1,Vivint Smart Home Arena,16.0,19.0,NAME,Vivint Smart Home Arena,"The arena name is correct, but it should be 'Vivint Smart Home Arena' without the extra spaces.",qwen_medium,p0d_sent,18850.94
S004,2,1,one of the best,32.0,35.0,WORD,,"The sentence claims the Jazz are one of the best teams in the NBA, but the box score and context suggest this is not accurate based on their 1-1 record.",qwen_medium,p0d_sent,18850.94
S004,3,1,16,72.0,72.0,NUMBER,31,"The Jazz outscored the Lakers by 31 points in the fourth quarter, not 16.",qwen_medium,p0d_sent,18850.94
S004,4,1,38,91.0,91.0,NUMBER,39,"The Lakers shot 39% from the field, not 38%.",qwen_medium,p0d_sent,18850.94
S004,4,2,24,97.0,97.0,NUMBER,24,"The Lakers shot 24% from three-point range, which is correct.",qwen_medium,p0d_sent,18850.94
S004,5,1,43 - 24,120.0,122.0,NUMBER,47 - 43,"The Jazz had 47 rebounds, and the Lakers had 43 rebounds.",qwen_medium,p0d_sent,18850.94
S004,6,1,Kobe Bryant,137.0,138.0,CONTEXT,,"Kobe Bryant was not mentioned in the box score data, and the story suggests he was not playing, which is not verifiable from the provided data.",qwen_medium,p0d_sent,18850.94
S004,7,1,D'Angelo Russell,153.0,154.0,CONTEXT,Lou Williams,D'Angelo Russell did not lead the team in scoring; Lou Williams did.,qwen_medium,p0d_sent,18850.94
S004,7,2,17,164.0,164.0,NUMBER,9,"D'Angelo Russell scored 9 points, not 17.",qwen_medium,p0d_sent,18850.94
S004,7,3,five rebounds,167.0,168.0,NUMBER,4,"D'Angelo Russell recorded 4 rebounds, not 5.",qwen_medium,p0d_sent,18850.94
S004,7,4,five assists,170.0,171.0,NUMBER,5,"D'Angelo Russell recorded 5 assists, but this is not the leading scorer's stat.",qwen_medium,p0d_sent,18850.94
S004,8,1,12 rebounds,190.0,191.0,NUMBER,"12 points, 12 rebounds","Luol Deng indeed had 12 points and 12 rebounds, but the sentence implies he was the only other starter in double figures, which is not necessarily incorrect based on the provided data.",qwen_medium,p0d_sent,18850.94
S004,9,1,D'Angelo Russell,153.0,154.0,CONTEXT,Lou Williams,D'Angelo Russell did not lead the Lakers in scoring; Lou Williams did.,qwen_medium,p0d_sent,18850.94
S004,9,2,17,164.0,164.0,NUMBER,9,"D'Angelo Russell scored 9 points, not 17.",qwen_medium,p0d_sent,18850.94
S004,9,3,five rebounds,167.0,168.0,NUMBER,2 rebounds,"D'Angelo Russell recorded 2 rebounds, not five.",qwen_medium,p0d_sent,18850.94
S004,9,4,five assists,170.0,171.0,NUMBER,5 assists,"D'Angelo Russell recorded 5 assists, but this is not the leading scorer's stat line.",qwen_medium,p0d_sent,18850.94
S004,10,1,12 rebounds,190.0,191.0,NUMBER,"12 points, 12 rebounds","Luol Deng indeed had 12 points and 12 rebounds, but the sentence implies he was the only other starter in double figures, which is not necessarily incorrect based on the provided data.",qwen_medium,p0d_sent,18850.94
S004,11,1,Portland Trail Blazers,244.0,246.0,NAME,Los Angeles Clippers,"The next game for the Lakers is against the Los Angeles Clippers, not the Portland Trail Blazers.",qwen_medium,p0d_sent,18850.94
S004,12,1,now won four of their last five games,258.0,265.0,CONTEXT,,"The sentence suggests the Jazz have won four of their last five games, but the box score and context indicate this is not accurate. The Jazz have a 1-1 record, suggesting they have only played two games.",qwen_medium,p0d_sent,18850.94
S004,12,2,struggle,271.0,271.0,WORD,improve,"The sentence suggests the Jazz are struggling, but with a 1-1 record, it is more accurate to say they are improving or showing signs of improvement.",qwen_medium,p0d_sent,18850.94
S004,13,1,three rebounds,291.0,292.0,NUMBER,3,"George Hill actually had 3 rebounds, which is correct, but the sentence implies he had more than 3, which is misleading.",qwen_medium,p0d_sent,18850.94
S004,13,2,three assists,294.0,295.0,NUMBER,3,"George Hill actually had 3 assists, which is correct, but the sentence implies he had more than 3, which is misleading.",qwen_medium,p0d_sent,18850.94
S004,14,1,second,307.0,307.0,NUMBER,third,"Rudy Gobert was the third-highest scorer on the team, not the second.",qwen_medium,p0d_sent,18850.94
S004,15,1,double - double,326.0,328.0,WORD,,"Rudy Gobert did not record a double-double; he had 13 points and 13 rebounds, but the term 'double-double' is typically used when a player reaches double digits in two different statistical categories.",qwen_medium,p0d_sent,18850.94
S004,16,1,double - double,326.0,328.0,WORD,,"Rudy Gobert did not record a double-double; he had 13 points and 13 rebounds, but the term 'double-double' is typically used when a player achieves at least 10 in two different statistical categories.",qwen_medium,p0d_sent,18850.94
S004,17,1,Portland Trail Blazers,244.0,246.0,NAME,Los Angeles Clippers,"The Jazz are scheduled to play the Los Angeles Clippers, not the Portland Trail Blazers.",qwen_medium,p0d_sent,18850.94
S005,1,1,15,27.0,27.0,NUMBER,13,"The Magic had 13 turnovers, not 15.",qwen_medium,p0d_sent,18850.94
S005,1,2,Hawks,2.0,2.0,CONTEXT,Magic,"The turnovers were from the Magic, not the Hawks.",qwen_medium,p0d_sent,18850.94
S005,2,1,one steal,64.0,65.0,NUMBER,two steals,"Paul Millsap recorded two steals, not one.",qwen_medium,p0d_sent,18850.94
S005,3,1,one steal,64.0,65.0,NUMBER,no steals,Paul Millsap did not record any steals in this game.,qwen_medium,p0d_sent,18850.94
S005,4,1,one block,108.0,109.0,NUMBER,0 blocks,"Dwight Howard recorded 0 blocks, not 1.",qwen_medium,p0d_sent,18850.94
S005,5,1,27,117.0,117.0,NUMBER,8,"Kent Bazemore scored 8 points, not 27.",qwen_medium,p0d_sent,18850.94
S005,6,1,27,117.0,117.0,NUMBER,8,"Kent Bazemore scored 8 points, not 27.",qwen_medium,p0d_sent,18850.94
S005,7,1,Orlando,154.0,154.0,CONTEXT,Atlanta,"Paul Millsap played for the Hawks, not the Magic.",qwen_medium,p0d_sent,18850.94
S005,7,2,one block,108.0,109.0,NUMBER,,Paul Millsap did not record a block in this game.,qwen_medium,p0d_sent,18850.94
S005,8,1,one block,108.0,109.0,NUMBER,0 blocks,"Dwight Howard recorded 0 blocks, not 1.",qwen_medium,p0d_sent,18850.94
S005,9,1,Kent Bazemore,111.0,112.0,CONTEXT,,"According to the box score, Kent Bazemore did not lead the second unit with 12 points. The second unit was led by Malcolm Delaney with 12 points.",qwen_medium,p0d_sent,18850.94
S005,9,2,12,204.0,204.0,NUMBER,8,"According to the box score, Kent Bazemore scored 8 points, not 12.",qwen_medium,p0d_sent,18850.94
S005,9,3,three rebounds,120.0,121.0,NUMBER,2,"According to the box score, Kent Bazemore had 2 rebounds, not three.",qwen_medium,p0d_sent,18850.94
S005,9,4,three assists,102.0,103.0,NUMBER,3,"According to the box score, Kent Bazemore had 3 assists, which is correct, but this is redundant with the previous 'three'.",qwen_medium,p0d_sent,18850.94
