TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,32 -18,,,,,NUMBER,32-18,The team's record should be consistent throughout the text.
S001,1,2,30 -point,,,,,NUMBER,33-21,The score difference in the second quarter is incorrect.
S001,1,3,Wednesday,,,18,18,NAME,Thursday,"The game was actually played on Thursday, not Wednesday."
S001,2,4,32 -18,,,,,NUMBER,32-18,The team's record should be consistent throughout the text.
S001,2,5,30 -point,,,,,NUMBER,33-21,The score difference in the second quarter is incorrect.
S001,3,6,Isaiah Thomas,,,72,73,NAME,Isaiah Thomas,The full name should be used consistently.
S001,3,7,38 points,,,75,76,NUMBER,"17 points, 38 total",The points distribution in the fourth quarter is incorrect.
S001,4,8,11 points 8 rebounds 8 assists,,,,,NUMBER,"11 points, 8 rebounds, 8 assists",The stats for Al Horford are incorrect.
S001,5,9,18 points 12 rebounds,,,,,NUMBER,"18 points, 12 rebounds",The stats for Jae Crowder are incorrect.
S001,6,10,18 points 6 rebounds an assist and two steals,,,,,NUMBER,"18 points, 6 rebounds, an assist, and two steals",The stats for Jae Crowder are incorrect.
S001,7,11,11 points 8 rebounds 8 assists,,,,,NUMBER,"11 points, 8 rebounds, 8 assists",The stats for Al Horford are incorrect.
S001,8,12,10 points 9 rebounds 2 assists and a pair of steals,,,,,NUMBER,"10 points, 9 rebounds, 2 assists, and a pair of steals",The stats for Kelly Olynyk are incorrect.
S001,9,13,Detroit Pistons,,,220,221,NAME,Golden State Warriors,The visiting team's next opponent is incorrect.
S001,9,14,Wednesday night,,,238,239,NAME,Thursday night,The game day is incorrect.
S002,1,1,Atlanta Hawks,,,2,3,NAME,Cleveland Cavaliers,"The home team is the Cleveland Cavaliers, not the Atlanta Hawks."
S002,1,2,110 - 110,,,9,11,NUMBER,110-106,"The score is 110-106, not 110-110."
S002,1,3,Saturday night,,,18,19,NAME,Tuesday,"The game was played on Tuesday, not Saturday."
S002,2,4,Hawks outscored the Hawks,,,45,48,NAME,Cavaliers,"The Hawks did not outscore the Hawks, but the Cavaliers."
S002,2,5,37 - 20,,,50,52,NUMBER,37-26,"The Hawks scored 37 points in the fourth quarter, not 37-20."
S002,2,6,21 assists to 19 turnovers,,,75,79,NUMBER,21 assists to 21 turnovers,"Both teams had 21 assists, not 21 assists to 19 turnovers."
S002,3,7,5 - 2,,,95,97,NUMBER,6-1,"The Hawks' record is 6-1, not 5-2."
S002,4,8,Dwight Howard,,,115,116,NAME,LeBron James,"LeBron James was not the player of the game, but Dwight Howard was."
S002,5,9,"25 points , six rebounds and three assists",,,151,158,NUMBER,"25 points, six rebounds and three assists","Kent Bazemore did not score 25 points, but Bazemore did."
S002,6,10,"25 points , six rebounds and three assists",,,151,158,NUMBER,"25 points, six rebounds and three assists","Kent Bazemore did not score 25 points, but Bazemore did."
S002,7,11,"23 points , nine rebounds , five assists , three steals",,,,,NUMBER,"23 points, nine rebounds, five assists and three steals","LeBron James did not record three steals, but LeBron James recorded five assists and three steals."
S002,8,12,"29 points , four rebounds , four assists",,,,,NUMBER,"29 points, four rebounds and four assists","Kyrie Irving did not record four rebounds, but Kyrie Irving recorded four assists."
S002,9,13,"24 points , 11 rebounds , three assists , two steals",,,,,NUMBER,"24 points, 12 rebounds, three assists and two steals","Kevin Love did not record 11 rebounds, but Kevin Love recorded 12 rebounds."
S002,10,14,"25 points , two rebounds and four assists",,,294,301,NUMBER,"25 points, two rebounds and four assists","Tristan Thompson did not score 25 points, but Tristan Thompson provided 25 points, two rebounds and four assists."
S003,1,1,Saturday,,,17,17,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,2,2,19-8,,,,,NUMBER,19-8,This is correct according to the box score.
S003,2,3,19-8,,,,,NUMBER,19-8,This is correct according to the box score.
S003,3,4,12-17,,,,,NUMBER,12-17,This is correct according to the box score.
S003,4,5,30,,,56,56,NUMBER,34,"The Raptors won the second and third quarters by 61-34, not 30."
S003,5,6,31,,,83,83,NUMBER,31,This is correct according to the box score.
S003,5,7,five,,,90,90,WORD,five,This is correct according to the box score.
S003,5,8,four,,,93,93,WORD,four,This is correct according to the box score.
S003,6,9,16,,,107,107,NUMBER,16,This is correct according to the box score.
S003,6,10,three,,,120,120,WORD,three,This is correct according to the box score.
S003,6,11,10,,,111,111,NUMBER,10,This is correct according to the box score.
S003,7,12,16,,,107,107,NUMBER,16,This is correct according to the box score.
S003,7,13,13,,,139,139,NUMBER,13,This is correct according to the box score.
S003,8,14,11,,,194,194,NUMBER,11,This is correct according to the box score.
S003,8,15,two,,,197,197,WORD,two,This is correct according to the box score.
S003,8,16,three,,,120,120,WORD,three,This is correct according to the box score.
S003,8,17,two,,,197,197,WORD,two,This is correct according to the box score.
S003,9,18,11,,,194,194,NUMBER,11,This is correct according to the box score.
S003,9,19,three,,,120,120,WORD,three,This is correct according to the box score.
S003,9,20,12,,,64,64,NUMBER,12,This is correct according to the box score.
S003,9,21,three,,,120,120,WORD,three,This is correct according to the box score.
S003,10,22,10,,,111,111,NUMBER,10,This is correct according to the box score.
S003,10,23,nine,,,,,WORD,nine,This is correct according to the box score.
S003,11,24,Charlotte,,,236,236,NAME,Charlotte,This is correct according to the team schedule.
S003,12,25,12-17,,,,,NUMBER,12-17,This is correct according to the box score.
S003,12,26,offensively,,,,,WORD,offensively,This is correct according to the team schedule.
S003,13,27,13,,,139,139,,,
S004,1,1,96 -,,,11,12,NUMBER,89,Incorrect score difference.
