TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Wednesday,18.0,18.0,NAME,Friday,"The game was played on Friday, not Wednesday.",qwen_medium,p0a_sent,17997.6
S001,2,1,30 - point,,,NUMBER,12-point,"The Celtics won by 12 points, not 30 points.",qwen_medium,p0a_sent,17997.6
S001,3,1,six assists,82.0,83.0,NUMBER,4 assists,"Isaiah Thomas had 4 assists, not six.",qwen_medium,p0a_sent,17997.6
S001,3,2,two rebounds,85.0,86.0,NUMBER,2 rebounds,"Isaiah Thomas had 2 rebounds, not two.",qwen_medium,p0a_sent,17997.6
S001,3,3,a steal,88.0,89.0,NUMBER,1 steal,"Isaiah Thomas had 1 steal, not a steal.",qwen_medium,p0a_sent,17997.6
S001,4,1,a block,107.0,108.0,WORD,,Al Horford did not record a block in this game.,qwen_medium,p0a_sent,17997.6
S001,5,1,18,25.0,25.0,NUMBER,18,The number of points scored by Jae Crowder is correct.,qwen_medium,p0a_sent,17997.6
S001,5,2,12,120.0,120.0,NUMBER,6,"Jae Crowder actually had 6 rebounds, not 12.",qwen_medium,p0a_sent,17997.6
S001,5,3,an assist,129.0,130.0,NUMBER,1,"Jae Crowder had 1 assist, not 'an assist'.",qwen_medium,p0a_sent,17997.6
S001,5,4,two steals,132.0,133.0,NUMBER,2,"Jae Crowder had 2 steals, which is correct.",qwen_medium,p0a_sent,17997.6
S001,5,5,a block,107.0,108.0,NUMBER,0,"Jae Crowder had 0 blocks, not 'a block'.",qwen_medium,p0a_sent,17997.6
S001,6,1,an assist,129.0,130.0,NUMBER,1 assist,"Jae Crowder had 1 assist, not 'an assist'.",qwen_medium,p0a_sent,17997.6
S001,6,2,a pair of steals,152.0,155.0,NUMBER,2 steals,"Jae Crowder had 2 steals, not 'a pair of steals'.",qwen_medium,p0a_sent,17997.6
S001,7,1,an assist,129.0,130.0,NUMBER,1 assist,"Jae Crowder had 1 assist, not 'an assist'.",qwen_medium,p0a_sent,17997.6
S001,7,2,two steals,132.0,133.0,NUMBER,2 steals,"Jae Crowder had 2 steals, not 'two steals'.",qwen_medium,p0a_sent,17997.6
S001,8,1,a block,107.0,108.0,WORD,,Al Horford did not record a block in this game.,qwen_medium,p0a_sent,17997.6
