TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S001,1,1,Wednesday,18.0,18.0,name,Friday,"The game was played on Friday, not Wednesday.",qwen_medium,5557.23
S001,2,2,Friday,49.0,49.0,name,Wednesday,"The game was played on Wednesday, not Friday.",qwen_medium,5557.23
S001,3,3,30,54.0,54.0,number,113,"The Celtics won by 6 points, not 30 points.",qwen_medium,5557.23
S001,4,4,two,85.0,85.0,number,one,"Isaiah Thomas had one steal, not two.",qwen_medium,5557.23
S001,5,5,"18 points , 12 rebound",,,number,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not 12 rebounds.",qwen_medium,5557.23
S001,6,6,"18 points , 12 rebound",,,number,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not 12 rebounds.",qwen_medium,5557.23
S001,7,7,"18 points , 12 rebound",,,number,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not 12 rebounds.",qwen_medium,5557.23
S001,8,8,"10 points , nine rebounds",196.0,200.0,number,"11 points, 8 rebounds","Kelly Olynyk had 11 points and 8 rebounds, not 10 points and 9 rebounds.",qwen_medium,5557.23
S002,1,1,The Atlanta Hawks defeated the Atlanta Hawks,1.0,7.0,name,Cleveland Cavaliers,Incorrect team name.,qwen_medium,5557.23
S002,1,2,110 - 110,9.0,11.0,number,110 - 106,Incorrect final score.,qwen_medium,5557.23
S002,1,3,Saturday,18.0,18.0,name,Tuesday,Incorrect day of the week.,qwen_medium,5557.23
S002,3,4,the Hawks outscored the Hawks,44.0,48.0,name,the Cavaliers,Incorrect team name.,qwen_medium,5557.23
S002,3,5,37 - 20,50.0,52.0,number,27 - 26,Incorrect fourth quarter score.,qwen_medium,5557.23
S002,4,6,"the Hawks recording 21 assists to 19 turnovers , while the Cavaliers committed 19 turnovers to just 21 assists",72.0,90.0,number,"22 assists to 19 turnovers, while the Cavaliers committed 6 turnovers to 21 assists",Incorrect assist-to-turnover ratio.,qwen_medium,5557.23
S002,5,7,The Hawks have now won three of their last five games,,,number,The Hawks have now won five of their last seven games,Incorrect win record.,qwen_medium,5557.23
S002,5,8,as they continue to struggle,109.0,113.0,word,as they continue to perform well,"Incorrect context, Hawks are performing well.",qwen_medium,5557.23
S002,6,9,"Dwight Howard tallied 17 points , 17 rebounds and three blocks on 3 - of - 5 shooting",,,number,"Dwight Howard tallied 7 points, 15 rebounds, and 3 blocks on 3-of-5 shooting",Incorrect stats for Dwight Howard.,qwen_medium,5557.23
S002,7,10,"Kent Bazemore wasn't far behind , tallying 25 points , six rebounds and three assists",,,number,"Kent Bazemore tallied 25 points, 6 rebounds, and 3 assists",Correct but redundant mention of Kent Bazemore.,qwen_medium,5557.23
S002,7,11,Kent Bazemore was the only other starter in double figures,160.0,169.0,word,Kent Bazemore was another standout starter,"Incorrect context, multiple starters in double figures.",qwen_medium,5557.23
S002,8,12,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors,181.0,196.0,name,The Hawks will head back home to take on the Chicago Bulls on Wednesday night,Incorrect next game details.,qwen_medium,5557.23
S002,9,13,The Cavaliers have now won three of their last five games,,,number,The Cavaliers have now lost one of their last seven games,Incorrect win record.,qwen_medium,5557.23
S002,9,14,as they continue to struggle,109.0,113.0,word,as they continue to perform well,"Incorrect context, Cavaliers are performing well.",qwen_medium,5557.23
S002,10,15,"LeBron James did all he could for Cleveland , as he led the team with 23 points , nine rebounds and five assists",221.0,243.0,number,"LeBron James did all he could for Cleveland, as he led the team with 23 points, 9 rebounds, and 5 assists",Correct but redundant mention of LeBron James.,qwen_medium,5557.23
S002,11,16,"Kyrie Irving was second on the team , as he accrued 29 points , four rebounds and four assists",245.0,263.0,number,"Kyrie Irving was second on the team, as he accrued 29 points, 4 assists, and 1 rebound",Incorrect stats for Kyrie Irving.,qwen_medium,5557.23
