TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,six,,,82,82,NUMBER,seven,"Isaiah Thomas had 7 assists, not 6."
S001,4,1,eight,,,101,101,NUMBER,7,Al Horford had 7 assists.
S001,6,1,Jae,,,110,110,NAME,Jae Crowder,"Player name is Jae Crowder, not Jea."
S001,8,1,a,,,32,32,WORD,an,indefinite article instead of definite article
S001,9,1,nine,,,199,199,NUMBER,two,"The sentence says Kelly Olynyk had 10 points, nine rebounds, two assists and a pair of steals, but the box score data says he had 7 points, 9 rebounds, 2 assists and 0 steals."
S002,1,1,Atlanta Hawks,,,,,NAME,Cavaliers,"The sentence says Atlanta Hawks defeated Atlanta Hawks, but the box score data says the game was between Atlanta Hawks and Cleveland Cavaliers."
S002,4,1,21,,,75,75,NUMBER,19,"The assist-to-turnover ratio was the decisive statistic, with the Hawks recording 19 assists to 19 turnovers."
S002,6,1,3 - of - 5,,,136,140,NUMBER,3-of-5,Incorrect shooting percentage.
S002,7,1,n't,,,146,146,WORD,not,Typo: 'n't' should be 'not'.
S002,8,1,25,,,151,151,NUMBER,10,"Kent Bazemore had 10 points, not 25."
S002,11,1,23,,,236,236,NUMBER,29,"Kyrie Irving led the team with 29 points, not Lebron James with 23 points."
S002,12,1,second,,,248,248,WORD,first,"Kyrie Irving was first on the team in points, not second."
S002,13,1,11,,,277,277,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S002,14,1,25,,,151,151,NUMBER,0,"Tristan Thompson scored 0 points, not 25."
S003,1,1,Saturday,,,17,17,NAME,Sunday,Incorrect day of the week.
S003,3,1,game - high,,,,,WORD,game-high,hyphenate
S003,6,1,16 - point,,,,,NUMBER,16-point,"The original text already contains a hyphen, so the correction should include it."
S004,1,1,Vivint Smart Home Arena,,,,,WORD,Vivint Arena,Arena name is incorrect.
S004,3,1,16,,,72,72,NUMBER,7,"The Jazz outscored the Lakers by 7 in the fourth quarter, not 16."
S004,4,1,38,,,91,91,NUMBER,43,The Jazz held the Lakers to 43 percent from the field.
S004,5,1,43,,,120,120,NUMBER,47,"Jazz had 47 rebounds, not 43."
S004,7,1,17,,,164,164,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,8,1,12,,,187,187,NUMBER,10,"Luol Deng had 10 rebounds, not 12."
S004,9,1,17,,,164,164,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,10,1,12,,,187,187,NUMBER,10,"Luol Deng had 10 rebounds, not 12."
S004,13,1,23,,,288,288,NUMBER,23,"The sentence does not contain any information about George Hill's performance, so the number 23 is not checkable."
S004,14,1,13,,,313,313,NUMBER,6,"Rudy Gobert finished with 6 rebounds, not 13."
S004,15,1,double - double,,,,,WORD,double-double,"Rudy Gobert recorded a double-double, not a double - double."
S004,16,1,double - double,,,,,WORD,double-double,"Rudy Gobert recorded a double-double, not a double - double."
S005,2,1,game - high,,,,,WORD,game-high,hyphenation error
S005,4,1,one,,,64,64,NUMBER,three,"The sentence says one block, but the box score data says one block is not present for Dwight Howard."
S005,6,1,27,,,117,117,NUMBER,8,"Kent Bazemore scored 8 points, not 27."
S005,7,1,21,,,35,35,NUMBER,21,The box score data does not contain the information to verify this number.
S005,8,1,one,,,64,64,NUMBER,a,"The sentence says Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal and one block. but the box score data shows that Dwight Howard posted a 11 - point, 13 - rebound double - double that also included three assists, one steal."
S005,9,1,three,,,19,19,NUMBER,two,"Kent Bazemore had two steals, not three."
S006,1,1,Friday,,,22,22,WORD,Tuesday,Incorrect day of the week.
S006,3,1,10,,,5,5,NUMBER,22,"James Harden scored 22 points, not 10."
S006,4,1,2,,,80,80,NUMBER,0,"Trevor Ariza was the only other starter in double figures, but he only scored 2 points, not double figures."
S006,6,1,without,,,116,116,WORD,with,The sentence should read 'The Nets played this game with Brook Lopez' instead of 'without'.
S006,7,1,24,,,151,151,NUMBER,20,"Brook Lopez scored 20 points, not 24."
S006,8,1,20,,,177,177,NUMBER,22,"Thaddeus Young had 22 points, not 20."
S007,2,1,11,,,36,36,NUMBER,7,"Westbrook had 7 assists, not 11."
S007,2,2,three,,,78,78,NUMBER,four,"Westbrook had 4 steals, not 3."
S007,2,3,one,,,45,45,NUMBER,three,"Westbrook had 3 blocks, not 1."
S007,3,1,10 - of - 18,,,,,NUMBER,10-of-18,The correct shooting percentage is 10-of-18.
S007,5,1,11 - of - 20,,,,,NUMBER,11-of-20,Incorrect shooting percentage.
S007,6,1,10,,,109,109,NUMBER,11,Incorrect number of assists.
S008,3,1,9,,,107,107,NUMBER,22,"The sentence says Carter scored 9 points per game, but the box score data says he scored 22 points in the game."
S008,4,1,7,,,88,88,NUMBER,14,"The box score data shows that Mike Conley shot 7-of-14, not 7-of-7."
S008,5,1,23 minutes,,,198,199,NUMBER,13,"The box score data shows that Zach Randolph played 23 minutes, not 13 minutes."
S008,8,1,4,,,188,188,NUMBER,14,"FGA is 14, not 4."
S008,9,1,22,,,104,104,NUMBER,30,"Rudy Gobert played 30 minutes, not 22."
S009,6,1,11 - 20,,,,,NUMBER,11-20,"The sentence says D'Angelo Russell was 11-20 shooting, but the box score data says he was 11-20 shooting."
S009,7,1,second,,,67,67,WORD,first,"Luol Deng was first on the team, not second."
S009,8,1,double,,,59,59,WORD,single,D'Angelo Russell was the only other starter in single figures.
S009,11,1,Giannis Antetokounmpo,,,,,NAME,Giannis Antetokounmpo is not the only player of the game,Giannis Antetokounmpo is not the only player of the game
S009,12,1,18,,,259,259,NUMBER,6,"Khris Middleton actually accrued 6 points, not 18."
S009,13,1,18,,,259,259,NUMBER,8,"Greg Monroe accrued 8 points, not 18."
S010,5,1,27,,,101,101,NUMBER,39,"The Hawks recorded 39 rebounds, not 27."
S010,5,2,12,,,104,104,NUMBER,17,"The Hawks committed 17 turnovers, not 12."
S010,7,1,7 - of - 13,,,162,166,NUMBER,6,Incorrect number of shooting.
S010,8,1,double - double,,,,,WORD,double-double,The word order is wrong.
S010,12,1,12,,,104,104,NUMBER,6,"Nikola Vucevic had 6 rebounds, not 12."
S010,13,1,second,,,264,264,WORD,first,"Evan Fournier was first on the team in points, not second."
S010,14,1,10,,,252,252,NUMBER,6,"Nikola Vucevic had 6 rebounds, not 10."
S011,1,1,Tuesday,,,22,22,NAME,Wednesday,Incorrect day of the week.
S011,10,1,21,,,281,281,NUMBER,20,"The text says 21 points, but the box score says 20 points."
S011,11,1,8,,,303,303,NUMBER,7,"FGM is 7, not 8."
S011,11,2,19,,,16,16,NUMBER,4,"FTM is 4, not 7."
S011,11,3,10,,,315,315,NUMBER,3,"FTA is 3, not 7."
