TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S001,1,1,Boston Celtics,2.0,3.0,NAME,,The team name should be 'Celtics' instead of 'Celtic'.,llama_small,2045.11
S001,1,2,Los Angeles,6.0,7.0,NAME,,The team name should be 'Lakers' instead of 'Angels'.,llama_small,2045.11
S001,1,3,Celtics win,,,WORD,,"The team won, it did not 'win'.",llama_small,2045.11
S001,2,4,Lakers Los,,,NAME,,The team name should be 'Celtics' instead of 'Los'.,llama_small,2045.11
S001,3,5,double-,,,WORD,,'Double' is the correct word instead of 'double-'.,llama_small,2045.11
S001,4,6,Toronto Raptors,234.0,235.0,NAME,,'Jazz' is the correct team name instead of 'Raptors'.,llama_small,2045.11
S002,1,1,The Atlanta Hawks,1.0,3.0,NAME,Cavaliers,Incorrect team name,llama_small,2045.11
S003,1,1,Toronto,2.0,2.0,NAME,Raptors,Team name error,llama_small,2045.11
S004,1,1,host Utah Jazz,2.0,4.0,NAME,team,The box score says 'team' instead of 'host team'.,llama_small,2045.11
S004,1,2,beat the,,,WORD,defeated the,The box score uses 'defeated' instead of 'beat'.,llama_small,2045.11
S004,2,3,1 -,26.0,27.0,NUMBER,0-1,The box score shows the Jazz's record as 0-1 instead of 1-1.,llama_small,2045.11
S004,3,4,rebounding was a,,,WORD,"Rebounding was key for the Jazz, as they held the Lakers to 38 percent from the field and 24 percent from three-point range.",The box score incorrectly describes rebounding as 'a huge factor'.,llama_small,2045.11
S004,4,5,Kobe Bryant,137.0,138.0,NAME,Kobe Bryant did not play in this game.,The box score incorrectly states that Kobe Bryant played in this game.,llama_small,2045.11
S004,5,6,17 points,164.0,165.0,NUMBER,21 points,The box score incorrectly reports D'Angelo Russell's point total.,llama_small,2045.11
S004,6,7,Luol Deng,173.0,174.0,NAME, Luol Deng was not the only starter in double figures.,The box score incorrectly reports that Luol Deng was the only other starter in double figures.,llama_small,2045.11
S004,9,8,23 points,288.0,289.0,NUMBER,21 points,The box score incorrectly reports George Hill's point total.,llama_small,2045.11
S004,10,9,13 points,313.0,314.0,NUMBER,15 points,The box score incorrectly reports Rudy Gobert's point total.,llama_small,2045.11
S007,1,1,Russell Westbrook,,,NAME,Russell Westbrook and Russell Westbrook,Duplicate mention of player name,llama_small,2045.11
S008,1,1,The Memphis Grizzlies,1.0,3.0,NAME,,Incorrect team name,llama_small,2045.11
S009,1,1,The Milwaukee Bucks defeated,1.0,4.0,NAME,Los Angeles Lakers,Incorrect team name,llama_small,2045.11
S009,1,2,122 -,10.0,11.0,NUMBER,122-114,Incorrect score,llama_small,2045.11
S009,1,3,at BMO Harris,14.0,16.0,WORD,at BMO Harris Bradley Center,Incomplete venue name,llama_small,2045.11
S009,1,4,on Tuesday,19.0,20.0,WORD,on Friday evening,Incorrect day,llama_small,2045.11
S009,2,5,In a,22.0,23.0,WORD,"The Milwaukee Bucks defeated the Los Angeles Lakers, ",Missing team names,llama_small,2045.11
S009,2,6,battle between,24.0,25.0,WORD,"The Los Angeles Lakers defeated the Milwaukee Bucks, ",Incorrect team order,llama_small,2045.11
S009,2,7,two struggling,26.0,27.0,WORD,"two struggling teams, ",Missing commas,llama_small,2045.11
S009,3,8,The Bucks,,,NAME,the Bucks were able to prevail with a huge road win.,Incorrect verb tense,llama_small,2045.11
S009,3,9,In fact,42.0,43.0,WORD,As they led by double-digits for the entirety of the second half.,Incorrect verb form,llama_small,2045.11
S009,4,10,Rebounding,70.0,70.0,WORD,"The Bucks led for the majority of the game, as they led by double-digits for the entirety of the second half.",Incorrect statement,llama_small,2045.11
S009,4,11,was key,71.0,72.0,WORD,"Rebounding was key for the Lakers, as they held the Lakers to 29 percent shooting and forced them to commit 17 turnovers.",Incorrect team,llama_small,2045.11
S009,5,12,The Lakers,94.0,95.0,NAME,"the Lakers (19-37) have now won four of their last five games, as they continue to struggle.",Incorrect team name,llama_small,2045.11
S009,5,13,(19 -37),,,NUMBER,the Los Angeles Lakers (19-37),Missing team name,llama_small,2045.11
S009,6,14,D'Angelo Russell,117.0,118.0,NAME,"D'Angelo Russell was the player of the game, as he tallied 41 points, three rebounds and five assists on 11-of-20 shooting.",Incorrect team name,llama_small,2045.11
S009,6,15,(19 -37),,,NUMBER,the Los Angeles Lakers (19-37),Missing team name,llama_small,2045.11
S009,7,16,D'Angelo Russell,117.0,118.0,NAME,"D'Angelo Russell was the only other starter in double figures, as he accrued 14 points, three rebounds and five assists.",Incorrect team name,llama_small,2045.11
S009,8,17,Milwaukee (22- 30),,,NUMBER,Milwaukee (22-30),Missing team name,llama_small,2045.11
S009,9,18,Giannis Antetokounmpo,227.0,228.0,NAME,"Giannis Antetokounmpo was the player of the game, as he accumulated 41 points, eight rebounds and six assists.",Incorrect team name,llama_small,2045.11
S009,10,19,(22- 30),,,NUMBER,the Milwaukee Bucks (22-30),Missing team name,llama_small,2045.11
S009,11,20,On deck,188.0,189.0,WORD,Milwaukee will look to build off this win on Friday in a road matchup with the Orlando Magic.,Incorrect statement,llama_small,2045.11
S009,11,21,for Los Angeles,190.0,192.0,NAME,On deck for Los Angeles is a road matchup with the New Orleans Pelicans on Sunday.,Incorrect team name,llama_small,2045.11
S011,1,1,The Atlanta Hawks,1.0,3.0,NAME,The Atlanta Hawks (41-9) beat the Washington Wizards (31-19) 105-96 on Wednesday.,Incorrect day of the week,llama_small,2045.11
S011,1,2,Atlanta Hawks,2.0,3.0,NAME,,Already annotated in previous mistake,llama_small,2045.11
S011,1,3,Washington Wizards,11.0,12.0,NAME,,Already annotated in previous mistake,llama_small,2045.11
S011,1,4,Wednesday on,,,WORD,,Already annotated in previous mistake,llama_small,2045.11
S011,2,5,Tuesday at,22.0,23.0,WORD,,Incorrect day of the week,llama_small,2045.11
S011,2,6,Philips Arena,24.0,25.0,NAME,,"Not a mistake, but a real location",llama_small,2045.11
S011,3,7,out-scoring,,,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,3,8,29-18,,,NUMBER,,"Not a mistake, but a correct score",llama_small,2045.11
S011,4,9,out-scoring,,,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,4,10,28-18,,,NUMBER,,"Not a mistake, but a correct score",llama_small,2045.11
S011,5,11,front of,84.0,85.0,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,6,12,shot,92.0,92.0,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,6,13,48 percent,93.0,94.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,6,14,44 percent,99.0,100.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,7,15,44 percent,99.0,100.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,7,16,25 percent,120.0,121.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,8,17,force the,131.0,132.0,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,8,18,14 turnovers,135.0,136.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,9,19,just 12,140.0,141.0,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,10,20,dual -double,,,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,10,21,24 points,190.0,191.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,11,22,9 -for,,,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,11,23,15 from,166.0,167.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,12,24,23 points,300.0,301.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,13,25,Paul Millsap,238.0,239.0,NAME,,"Not a mistake, but a real name",llama_small,2045.11
S011,13,26,11 points,242.0,243.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,14,27,double -double,,,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,14,28,11 rebounds,261.0,262.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,15,29,23 points,300.0,301.0,NUMBER,,"Not a mistake, but a correct statistic",llama_small,2045.11
S011,16,30,beat the,,,WORD,,"Not a mistake, but an idiomatic expression",llama_small,2045.11
S011,16,31,Washington Wizards,11.0,12.0,NAME,,Already annotated in previous mistake,llama_small,2045.11
S011,17,32,105-96,,,NUMBER,,"Not a mistake, but a correct score",llama_small,2045.11
S013,1,1,Cleveland Cavaliers,2.0,3.0,NAME,Orlando Magic,Team names were swapped,llama_small,2045.11
S015,1,1,The Toronto Raptors,1.0,3.0,NAME,Heat,Incorrect team name,llama_small,2045.11
S015,2,2,defeated the,9.0,10.0,WORD,lost to,Incorrect verb tense and preposition,llama_small,2045.11
S015,3,3,Heat 15-10,,,NUMBER,16-11,Incorrect team record,llama_small,2045.11
S015,4,4,108-94,,,NUMBER,92-101,Incorrect score,llama_small,2045.11
S015,5,5,the Raptors,,,NAME,Heat,Incorrect team name,llama_small,2045.11
S015,6,6,got off,32.0,33.0,WORD,started strong,Incorrect verb phrase,llama_small,2045.11
S015,7,7,to a,34.0,35.0,WORD,hot start with,Incorrect preposition and phrase,llama_small,2045.11
S015,8,8,Raptors,3.0,3.0,NAME,Heat,Incorrect team name,llama_small,2045.11
S015,9,9,first half,52.0,53.0,WORD,second quarter,Incorrect time period,llama_small,2045.11
S015,10,10,alone,54.0,54.0,WORD,with a strong showing from their bench,Incorrect phrase and word,llama_small,2045.11
S015,11,11,out-scoring the,,,WORD,leading the way with,Incorrect verb phrase,llama_small,2045.11
S015,12,12,Heat,12.0,12.0,NAME,Raptors,Incorrect team name,llama_small,2045.11
S015,13,13,50-38,,,NUMBER,43-55,Incorrect score,llama_small,2045.11
S015,14,14,allowing,74.0,74.0,WORD,despite struggling in the second half,Incorrect phrase and word,llama_small,2045.11
S015,15,15,Raptors,3.0,3.0,NAME,Heat,Incorrect team name,llama_small,2045.11
S015,16,16,second half,71.0,72.0,WORD,third quarter,Incorrect time period,llama_small,2045.11
S015,17,17,easy victory,80.0,81.0,WORD,comeback win,Incorrect phrase and word,llama_small,2045.11
S015,18,18,Kyle Lowry,94.0,95.0,NAME,Hassan Whiteside,Incorrect player name,llama_small,2045.11
S015,19,19,finished with,98.0,99.0,WORD,led the way with,Incorrect verb phrase,llama_small,2045.11
S015,20,20,21 points,100.0,101.0,NUMBER,17 points,Incorrect score,llama_small,2045.11
S015,21,21,four assists,119.0,120.0,NUMBER,three rebounds and four assists,Incorrect statistic,llama_small,2045.11
S015,22,22,four steals,122.0,123.0,NUMBER,three rebounds and four steals,Incorrect statistic,llama_small,2045.11
S015,23,23,in a,,,WORD,for a total of,Incorrect phrase and word,llama_small,2045.11
S015,24,24,hefty 40,,,WORD,solid performance in over 30 minutes of play,Incorrect phrase and word,llama_small,2045.11
S015,25,25,DeMar DeRozan,125.0,126.0,NAME,Gerald Green,Incorrect player name,llama_small,2045.11
S015,26,26,had a,127.0,128.0,WORD,put up a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,27,27,30 points,132.0,133.0,NUMBER,20 points,Incorrect score,llama_small,2045.11
S015,28,28,four rebounds,151.0,152.0,NUMBER,seven rebounds and four assists,Incorrect statistic,llama_small,2045.11
S015,29,29,four assists,119.0,120.0,NUMBER,seven rebounds and four assists,Incorrect statistic,llama_small,2045.11
S015,30,30,in,27.0,27.0,WORD,for a total of,Incorrect phrase and word,llama_small,2045.11
S015,31,31,over 30,,,WORD,in over 35 minutes of play,Incorrect phrase and word,llama_small,2045.11
S015,32,32,minutes of,,,WORD,in over 40 minutes of play,Incorrect phrase and word,llama_small,2045.11
S015,33,33,play,,,WORD,with a strong showing from their bench,Incorrect phrase and word,llama_small,2045.11
S015,34,34,DeMar DeRozan,125.0,126.0,NAME,Gerald Green,Incorrect player name,llama_small,2045.11
S015,35,35,led the,237.0,238.0,WORD,put up a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,36,36,way,239.0,239.0,WORD,a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,37,37,Heat,12.0,12.0,NAME,Raptors,Incorrect team name,llama_small,2045.11
S015,38,38,43-55,,,NUMBER,62-65,Incorrect score,llama_small,2045.11
S015,39,39,despite struggling,,,WORD,leading the way with,Incorrect phrase and word,llama_small,2045.11
S015,40,40,in the,50.0,51.0,WORD,put up a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,41,41,second half,71.0,72.0,WORD,third quarter,Incorrect time period,llama_small,2045.11
S015,42,42,comeback win,,,WORD,despite struggling in the second half,Incorrect phrase and word,llama_small,2045.11
S015,43,43,Gerald Green,188.0,189.0,NAME,Hassan Whiteside,Incorrect player name,llama_small,2045.11
S015,44,44,led the,237.0,238.0,WORD,put up a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,45,45,way,239.0,239.0,WORD,a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,46,46,Raptors,3.0,3.0,NAME,Heat,Incorrect team name,llama_small,2045.11
S015,47,47,third quarter,,,WORD,second half,Incorrect time period,llama_small,2045.11
S015,48,48,despite struggling,,,WORD,leading the way with,Incorrect phrase and word,llama_small,2045.11
S015,49,49,in the,50.0,51.0,WORD,put up a strong showing with,Incorrect phrase and word,llama_small,2045.11
S015,50,50,second half,71.0,72.0,WORD,third quarter,Incorrect time period,llama_small,2045.11
S016,1,1,The Oklahoma City,1.0,3.0,NAME,Thunder,Incorrect team name,llama_small,2045.11
S017,1,1,Tuesday evening,,,WORD,Saturday evening,Incorrect day of the week,llama_small,2045.11
S017,3,2,Monday's contest,,,NAME,Tuesday's contest,Incorrect day of the week in possessive form,llama_small,2045.11
S017,5,3,Cavaliers (33-34),,,NUMBER,Pistons (33-34),Incorrect team,llama_small,2045.11
S017,7,4,Andre Drummond,164.0,165.0,NAME,LeBron James,Incorrect player,llama_small,2045.11
S017,9,5,Reggie Jackson,187.0,188.0,NAME,Kentavious Caldwell-Pope,Incorrect player,llama_small,2045.11
S017,11,6,Marcus Morris,223.0,224.0,NAME,Maurice Morris,Incorrect player,llama_small,2045.11
S017,13,7,Richard Jefferson,264.0,265.0,NAME,Reggie Jefferson,Incorrect player,llama_small,2045.11
S017,15,8,Deron Williams,306.0,307.0,NAME,no correction needed,,llama_small,2045.11
S017,17,9,Kyle Korver,323.0,324.0,NAME,no correction needed,,llama_small,2045.11
S017,19,10,Richard Jefferson,264.0,265.0,NAME,no correction needed,,llama_small,2045.11
S017,21,11,Pistons head,357.0,358.0,WORD,Cavaliers head,Incorrect team,llama_small,2045.11
S018,1,1,The Golden State,1.0,3.0,NAME,Warriors (64-7),Incorrect team name,llama_small,2045.11
S018,1,2,defeated the,10.0,11.0,WORD,vs. the,Missing vs.,llama_small,2045.11
S018,1,3,Los Angeles,12.0,13.0,NAME,Clippers (43-27),Incorrect team name,llama_small,2045.11
S018,1,4,114 -98,,,NUMBER,114-98,Missing hyphen,llama_small,2045.11
S018,2,5,The Warriors,31.0,32.0,NAME,Warriors were the superior shooters in this game,Missing part of sentence,llama_small,2045.11
S018,2,6,going 42,41.0,42.0,NUMBER,42%,Missing percentage symbol,llama_small,2045.11
S018,2,7,percent from,43.0,44.0,WORD,from the field and,Missing words,llama_small,2045.11
S018,3,8,Curry finished,89.0,90.0,NAME,Curry tallied 33 points,Incorrect verb,llama_small,2045.11
S018,3,9,points (12-23,,,NUMBER,12 of his 23 attempts from the field,Incorrect wording,llama_small,2045.11
S018,3,10,"FG, 4-6",,,NUMBER,5-6 FT),Missing FT),llama_small,2045.11
S018,3,11,Curry's recent,,,WORD,Curry reverted back to his usual form Wednesday,Incorrect wording,llama_small,2045.11
S018,4,12,DeAndre Jordan,,,NAME,"led the Clippers with a remarkable 19-point, 20-rebound double-double",Missing part of sentence,llama_small,2045.11
