TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,113 - 107,,,10,12,NUMBER,113-107,"The story says 113-107, but the JSON says the Celtics scored 113 and the Lakers scored 107."
S001,2,2,double-digit,,,,,NUMBER,32-18,"The story says double-digit, but the JSON says the Celtics are 32-18."
S001,3,3,30 - point,,,54,56,NUMBER,30,"The story says 30-point, but the JSON says the Celtics won by 30."
S001,4,4,Isaiah,,,72,72,NAME,Isaiah Thomas,"The story says Isaiah, but the JSON says Isaiah Thomas."
S001,5,5,six,,,82,82,NUMBER,38,"The story says six, but the JSON says Isaiah Thomas scored 38 points."
S001,6,6,two,,,85,85,NUMBER,2,"The story says two, but the JSON says Isaiah Thomas had 2 rebounds."
S001,7,7,Al,,,91,91,NAME,Al Horford,"The story says Al, but the JSON says Al Horford."
S001,8,8,eight,,,101,101,NUMBER,11,"The story says eight, but the JSON says Al Horford scored 11 points."
S001,9,9,eight,,,101,101,NUMBER,8,"The story says eight, but the JSON says Al Horford had 8 rebounds."
S001,10,10,eight,,,101,101,NUMBER,8,"The story says eight, but the JSON says Al Horford had 8 assists."
S001,11,11,Jae,,,110,110,NAME,Jae Crowder,"The story says Jae, but the JSON says Jae Crowder."
S001,12,12,18 - point,,,116,118,NUMBER,18,"The story says 18-point, but the JSON says Jae Crowder scored 18 points."
S001,13,13,six,,,82,82,NUMBER,12,"The story says six, but the JSON says Jae Crowder had 12 rebounds."
S001,14,14,an,,,129,129,NUMBER,1,"The story says an, but the JSON says Jae Crowder had 1 assist."
S001,15,15,a,,,32,32,NUMBER,2,"The story says a, but the JSON says Jae Crowder had 2 steals."
S001,16,16,Kelly,,,189,189,NAME,Kelly Olynyk,"The story says Kelly, but the JSON says Kelly Olynyk."
S001,17,17,10,,,196,196,NUMBER,7,"The story says 10, but the JSON says Kelly Olynyk scored 7 points."
S001,18,18,nine,,,199,199,NUMBER,9,"The story says nine, but the JSON says Kelly Olynyk had 9 rebounds."
S001,19,19,two,,,85,85,NUMBER,2,"The story says two, but the JSON says Kelly Olynyk had 2 assists."
S001,20,20,a,,,32,32,NUMBER,2,"The story says a, but the JSON says Kelly Olynyk had 2 steals."
S002,1,1,Atlanta Hawks,,,2,3,NAME,Cavaliers,"The story says Atlanta Hawks defeated Atlanta Hawks, but the box score says the game was between Atlanta Hawks and Cleveland Cavaliers."
S002,1,2,110 -,,,9,10,NUMBER,110-106,"The story says the score was 110-110, but the box score says 110-106."
S002,2,3,Saturday,,,18,18,WORD,Tuesday,"The story says the game was on Saturday, but the box score says Tuesday."
S002,3,4,37 -,,,50,51,NUMBER,"37-20 is not present in the box score, but the box score does show the Hawks outscoring the Cavs in the 4th quarter.","The story says the Hawks outscored the Cavs 37-20 in the 4th quarter, but the box score does not provide this information."
S002,4,5,21 19,,,,,NUMBER,"21-19 is not present in the box score, but the box score does show the Hawks recording 22 assists and the Cavs committing 19 turnovers.","The story says the assist-to-turnover ratio was 21-19, but the box score does not provide this information."
S002,5,6,three,,,102,102,NUMBER,The box score does not provide this information.,"The story says the Hawks have now won three of their last five games, but the box score does not provide this information."
S002,6,7,three,,,102,102,NUMBER,The box score does not provide this information.,"The story says the Cavs have now won three of their last five games, but the box score does not provide this information."
S002,7,8,Sunday,,,188,188,WORD,The box score does not provide this information.,"The story says the Hawks will play the Raptors on Sunday, but the box score does not provide this information."
S002,8,9,Sunday,,,188,188,WORD,The box score does not provide this information.,"The story says the Cavs will play the Magic on Sunday, but the box score does not provide this information."
S002,9,10,17 17,,,,,NUMBER,17,"The story says Dwight Howard had 17 points and 17 rebounds, but the box score only confirms the rebounds."
S002,10,11,25,,,151,151,NUMBER,25,"The story says Kent Bazemore had 25 points, but the box score only confirms the points."
S002,11,12,25,,,151,151,NUMBER,25,"The story says Kent Bazemore had 25 points, but the box score only confirms the points."
S002,12,13,Tristan Thompson,,,283,284,NAME,Tristan Thompson,"The story says Tristan Thompson had 25 points, but the box score confirms Tristan Thompson had 0 points."
S002,13,14,25,,,151,151,NUMBER,0,"The story says Tristan Thompson had 25 points, but the box score confirms Tristan Thompson had 0 points."
S003,1,1,Saturday,,,17,17,WORD,Sunday,Wrong day of the week
S003,2,2,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,3,3,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,4,4,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,5,5,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,6,6,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,7,7,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,8,8,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,9,9,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,10,10,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,11,11,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,12,12,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,13,13,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,14,14,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,15,15,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,16,16,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,17,17,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,18,18,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,19,19,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,20,20,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,21,21,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,22,22,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,23,23,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,24,24,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,25,25,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,26,26,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,27,27,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,28,28,Friday,,,51,51,WORD,Saturday,Wrong day of the week
S003,29,29,Friday,,,51,51,,,
S004,1,1,Utah,,,3,3,NAME,Utah Jazz,"Team name is 'Utah Jazz', not just 'Utah'"
S004,1,2,Vivint,,,16,16,NAME,Vivint Smart Home Arena,"Arena name is 'Vivint Smart Home Arena', not just 'Vivint'"
S004,2,3,Kobe,,,137,137,NAME,,Kobe Bryant did not play this game
S004,3,4,Portland,,,244,244,NAME,Los Angeles Clippers,"Jazz will play Clippers, not Trail Blazers"
S005,1,1,35 percent success rate from the floor,,,8,14,NUMBER,35,The Hawks held the Magic to a 35 percent success rate from the floor
S005,1,2,26 percent from three - point range,,,16,22,NUMBER,26,The Hawks held the Magic to a 26 percent success rate from three-point range
S005,1,3,15 turnovers,,,27,28,NUMBER,15,The Hawks eliciting 15 turnovers from the Hawks
S005,2,4,Paul Millsap,,,38,39,NAME,Paul Millsap,Paul Millsap led the way for the Hawks
S005,2,5,21 points,,,51,52,NUMBER,21,Paul Millsap led the way for the Hawks with a game-high 21 points
S005,3,6,Dwight Howard,,,85,86,NAME,Dwight Howard,"Dwight Howard posted a 11-point, 13-rebound double-double"
