TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S002,1,1,Atlanta Hawks,2,3,,,CONTEXT,,"The sentence says the Atlanta Hawks defeated the Atlanta Hawks, which is incorrect. The correct teams should be Atlanta Hawks and Cleveland Cavaliers."
S002,4,1,21 assists to 19 turnovers,17,21,,,NUMBER,19 assists to 21 turnovers,"The assist-to-turnover ratio was 21 assists to 19 turnovers, not 21 assists to 21 turnovers."
S002,5,1,three,11,11,,,NUMBER,two,The Hawks have now won two of their last five games.
S002,7,1,n't,4,4,,,WORD,not,The word 'n't' is a contraction of 'not'. It should be spelled out in full.
S002,8,1,starter,7,7,,,WORD,reserve,Bazemore started the game.
S002,12,1,second,4,4,,,WORD,first,"Kyrie Irving was first on the team in points, not second."
S002,7,1,25,9,9,,,NUMBER,0,"Tristan Thompson scored 0 points, not 25."
S003,1,1,Saturday,17,17,,,NAME,Sunday,The game was played on Sunday.
S003,2,1,30 - point,37,39,,,NUMBER,30-point victory over the Magic (12 - 17),"The Raptors won by 30 points, not the Magic."
S003,3,1,DeMar DeRozan,6,7,,,WORD,DeRozan DeMar,DeRozan DeMar is the correct full name of the player.
S003,7,1,productive,4,4,,,WORD,solid,"Terrence Ross was solid in a reserve role as well with 11 points, two rebounds, a steal and a block."
S003,10,1,Elfrid Payton,7,8,,,NAME,Elfrid Payton is not mentioned in the box score data,The box score data does not mention Elfrid Payton as a player for the Orlando Magic.
S003,11,1,Aaron,1,1,,,NAME,Nikola,"The player who had a 10-point, 12-rebound double-double was Nikola Vucevic, not Aaron Gordon."
S003,2,1,12,45,45,,,NUMBER,9,"Aaron Gordon had 9 rebounds, not 12."
S004,1,1,Vivint Smart Home Arena,16,19,,,WORD,"Vivint Smart Home Arena is the home arena of the Utah Jazz, but the sentence does not specify that it is the home arena.",The sentence does not specify that Vivint Smart Home Arena is the home arena of the Utah Jazz.
S004,3,1,fourth,23,23,,,NUMBER,four,"The Jazz outscored the Lakers by 16 in the fourth quarter, not the fourth."
S004,5,1,43 - 24,16,18,,,NUMBER,47-43,The Jazz won the rebounding battle 47-43.
S004,7,1,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,8,1,Luol,1,1,,,NAME,Rudy,"The sentence is referring to Rudy Gobert, not Luol Deng."
S004,7,1,Russell,2,2,,,WORD,Russell is not the player who led the Lakers in scoring,The text does not specify who led the Lakers in scoring.
S004,13,1,George Hill,1,2,,,CONTEXT,,George Hill is not mentioned in the provided text as the player of the game.
S004,14,1,13,10,10,,,NUMBER,second,"Rudy Gobert finished second on the team, not first."
