TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,"The Boston Celtics defeated the Los Angeles Lakers , 113 - 107 , at TD Garden on Wednesday .",1,19,,,NUMBER_MISTAKE,113-107,"The Celtics won the game by 6 points, not 6 points as implied by the sentence."
S001,3,1,"The team was led by Isaiah Thomas 's 38 points , which he supplemented with six assists , two rebounds and a steal",1,23,,,OTHER,,The sentence is not checkable because it does not provide enough information to verify the claim.
S001,4,1,"Al Horford was right behind him with 11 points , eight rebounds , eight assists and a block .",1,19,,,OTHER,,The sentence is not checkable.
S001,5,1,"Jae Crowder was next with a 18 - point , 12 - rebound double - double that also included an assist , two steals and a block .",1,28,,,OTHER,,No mistakes found in this sentence.
S001,6,1,"Jae Crowder was next with 18 points , six rebounds , an assist and a pair of steals .",1,19,,,OTHER,,No mistakes found in this sentence.
S001,7,1,"Jae Crowder was next with 18 points , six rebounds , an assist and two steals .",1,17,,,OTHER,,No mistakes found in this sentence.
S001,8,1,"Al Horford supplied 11 points , eight rebounds , eight assists and a block .",1,15,,,OTHER,"Al Horford stuffed the stat sheet, accumulating 11 points, eight rebounds and eight assists.",The sentence is missing information about a block.
S001,9,1,"Kelly Olynyk led the second unit with 10 points , nine rebounds , two assists and a pair of steals .",1,21,,,WORD,"Kelly Olynyk led the second unit with 7 points, nine rebounds, two assists and a pair of steals.","The Celtics box score data shows that Kelly Olynyk scored 7 points, not 10."
S001,10,1,"The Lakers head back home to face off with the Detroit Pistons on Friday night , while the Celtics remain home and await the Toronto Raptors for a Wednesday night showdown .",1,32,,,OTHER,,This sentence is not related to the box score data.
S002,1,1,"The Atlanta Hawks defeated the Atlanta Hawks , 110 - 110 , at Quicken Loans Arena on Saturday night .",1,20,,,NAME,Cavaliers,Incorrect team name
S002,2,1,"In a battle between two struggling teams , the Hawks were able to prevail with a huge road win .",1,20,,,OTHER,,The sentence is not supported by the box score data.
S002,3,1,"In fact , the Hawks outscored the Hawks , 37 - 20 , in the fourth quarter .",1,18,,,CONTEXT,"In fact, the Hawks outscored the Cavaliers, 37-20, in the fourth quarter.","The sentence is literally true, but the context is likely to misinterpret it because the subject of the sentence is the Hawks, but the Hawks are the team that outscored the Cavaliers in the fourth quarter."
S002,4,1,"The assist - to - turnover ratio was the decisive statistic , with the Hawks recording 21 assists to 19 turnovers , while the Cavaliers committed 19 turnovers to just 21 assists .",1,33,,,OTHER,"The assist-to-turnover ratio was the decisive statistic, with the Hawks recording 22 assists to 19 turnovers, while the Cavaliers committed 19 turnovers to just 21 assists.",The original sentence incorrectly stated the assist-to-turnover ratio for both teams.
S002,5,1,The Hawks ( 5 - 2 ),1,7,,,NUMBER_MISTAKE,3,"The Hawks have now won 3 of their last 5 games, not 3 of their last 3 games."
S002,6,1,"Dwight Howard was the player of the game , as he tallied 17 points , 17 rebounds and three blocks on 3 - of - 5 shooting .",1,28,,,NUMBER_MISTAKE,17 rebounds,"The box score data shows that Dwight Howard had 17 rebounds, not 17 points."
S002,7,1,"Kent Bazemore was n't far behind , tallying 25 points , six rebounds and three assists .",1,17,,,WORD,wasn't,Typo: 'n't' should be 'not'
S002,8,1,"Kent Bazemore was the only other starter in double figures , totaling 25 points , six rebounds and three assists .",1,21,,,WORD,"Kent Bazemore was the only other starter in double figures, totaling 25 points, six rebounds and three assists.",The original sentence is not entirely accurate. Bazemore was not the only other starter in double figures. There were multiple other starters in double figures.
S002,9,1,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors,1,16,,,OTHER,,This sentence is not supported by the box score data.
S002,10,1,The Cavaliers ( 6 - 1 ),1,7,,,NUMBER_MISTAKE,"6-1 is the record of the Hawks, not the Cavaliers",The Cavaliers are the team being referred to in this sentence.
S002,11,1,"LeBron James did all he could for Cleveland , as he led the team with 23 points , nine rebounds and five assists .",1,24,,,OTHER,,"The sentence is not factually incorrect, but it is not entirely clear whether it is referring to the box score data provided. The box score data does not contain any information about the player's effort or whether he did all he could."
S002,12,1,"Kyrie Irving was second on the team , as he accrued 29 points , four rebounds and four assists .",1,20,,,NUMBER_MISTAKE,"Kyrie Irving was first on the team, as he accrued 29 points, four rebounds and four assists.","Kyrie Irving was first on the team in points, not second."
S002,13,1,"Kevin Love finished second on the team , collecting 24 points , 11 rebounds and three steals .",1,18,,,NUMBER_MISTAKE,first,"Kevin Love finished first on the team, collecting 24 points, 12 rebounds and three steals."
S002,14,1,"Tristan Thompson was a nice spark off the bench , providing 25 points , two rebounds and four assists .",1,20,,,OTHER,"Tristan Thompson was not a nice spark off the bench, providing 0 points, 2 rebounds and 0 assists.",Tristan Thompson did not play in this game.
S002,15,1,Cleveland will look to bounce back on Sunday in a home matchup against the Orlando Magic,1,16,,,OTHER,,This sentence is not present in the provided text.
S003,3,1,"The Raptors were led by DeMar DeRozan , who posted a game - high 31 points , which he supplemented with five rebounds , four assists and a steal .",1,30,,,NUMBER_MISTAKE,"31 points, which he supplemented with five rebounds, four assists and a steal.","The correction is based on the box score data, where DeMar DeRozan had 31 points, 5 rebounds, 4 assists, and 1 steal."
S003,4,1,"Kyle Lowry was right behind him with a 16 - point , 10 - assist double - double that also included three rebounds , a steal and a block .",1,30,,,OTHER,,The sentence is not present in the provided text.
S003,5,1,"Jonas Valanciunas was next with a 16 - point , 13 - rebound double - double that also included a block , a block and a block",1,27,,,OTHER,,The sentence is not present in the provided text.
S003,6,1,"Jonas Valanciunas posted a 16 - point , 13 - rebound double - double that also included a block , a block and a block",1,25,,,OTHER,,"The sentence is not entirely incorrect, but it is missing information. The box score data shows that Jonas Valanciunas had 16 points, 13 rebounds, and 1 block, not 3 blocks."
S003,7,1,"Terrence Ross was productive in a reserve role as well with 11 points , two rebounds , a steal and a block .",1,23,,,OTHER,,The sentence is not fact-checkable.
S003,9,1,They head to Charlotte to take on the Hornets on Friday night,1,12,,,OTHER,,"The game was played on Sunday, not Friday."
S003,10,1,"Orlando 's attack was spearheaded by Elfrid Payton , who tallied 13 points , three assists , two rebounds and a steal .",1,23,,,NUMBER_MISTAKE,Jakob Poeltl,"The player who scored 13 points is Jakob Poeltl, not Elfrid Payton."
S003,11,1,"Aaron Gordon was next with a 10 - point , 12 - rebound double - double that also included an assist , a steal and a block .",1,28,,,OTHER,,Aaron Gordon is not present in the box score data.
S003,12,1,"Elfrid Payton was next with 13 points , two assists , two rebounds and a steal .",1,17,,,OTHER,,"The player Cory Joseph is missing from the box score data, but Elfrid Payton is present. It seems that the sentence is referring to Cory Joseph, not Elfrid Payton."
