TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Wednesday,18,18,,,NAME,Friday,"The game was played on Friday, not Wednesday."
S001,2,1,30 - point,35,37,,,NUMBER,12-point,"The Celtics won by 12 points, not 30 points."
S001,3,1,six assists,16,17,,,NUMBER,4 assists,"Isaiah Thomas had 4 assists, not six."
S001,3,2,two rebounds,19,20,,,NUMBER,2 rebounds,"Isaiah Thomas had 2 rebounds, not two."
S001,3,3,a steal,22,23,,,NUMBER,1 steal,"Isaiah Thomas had 1 steal, not a steal."
S001,4,1,a block,17,18,,,WORD,,Al Horford did not record a block in this game.
S001,2,1,18,6,6,,,NUMBER,18,The number of points scored by Jae Crowder is correct.
S001,5,2,12,11,11,,,NUMBER,6,"Jae Crowder actually had 6 rebounds, not 12."
S001,5,3,an assist,20,21,,,NUMBER,1,"Jae Crowder had 1 assist, not 'an assist'."
S001,5,4,two steals,23,24,,,NUMBER,2,"Jae Crowder had 2 steals, which is correct."
S001,4,5,a block,17,18,,,NUMBER,0,"Jae Crowder had 0 blocks, not 'a block'."
S001,5,1,an assist,20,21,,,NUMBER,1 assist,"Jae Crowder had 1 assist, not 'an assist'."
S001,6,2,a pair of steals,15,18,,,NUMBER,2 steals,"Jae Crowder had 2 steals, not 'a pair of steals'."
S001,5,1,an assist,20,21,,,NUMBER,1 assist,"Jae Crowder had 1 assist, not 'an assist'."
S001,5,2,two steals,23,24,,,NUMBER,2 steals,"Jae Crowder had 2 steals, not 'two steals'."
S001,4,1,a block,17,18,,,WORD,,Al Horford did not record a block in this game.
S001,9,1,10,8,8,,,NUMBER,7,"Kelly Olynyk scored 7 points, not 10."
S001,9,2,nine,11,11,,,NUMBER,7,"Kelly Olynyk had 7 rebounds, not nine."
S001,6,3,a pair of,15,17,,,NUMBER,0,"Kelly Olynyk had 0 steals, not a pair of steals."
S001,2,1,Friday,30,30,,,NAME,Wednesday,"The day of the week is incorrect. The Lakers are scheduled to play the Pistons on Wednesday, not Friday."
S001,1,2,Wednesday,18,18,,,NAME,Friday,"The day of the week is incorrect. The Celtics are scheduled to play the Raptors on Friday, not Wednesday."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks. The correct team is the Cleveland Cavaliers.
S002,1,2,110 - 110,9,11,,,NUMBER,110 - 106,The score is incorrect. The correct score is 110 - 106.
S002,1,3,Saturday,18,18,,,NAME,Tuesday,The day of the week is incorrect. The game was played on Tuesday.
S002,2,1,struggling,6,6,,,WORD,undefeated,"The Cavaliers were described as the league's last undefeated team, so they were not struggling."
S002,1,1,Hawks,3,3,,,NAME,Cavaliers,The sentence incorrectly states that the Hawks outscored the Hawks in the fourth quarter. It should state that the Hawks outscored the Cavaliers.
S002,4,1,21 assists,17,18,,,NUMBER,22 assists,"The Cavaliers actually had 21 assists, not 22."
S002,4,2,19 turnovers,20,21,,,NUMBER,6 turnovers,"The Cavaliers actually had 6 turnovers, not 19."
S002,5,1,struggle,22,22,,,WORD,,"The sentence suggests the Hawks are struggling, but based on their record (5-2) and the fact that they won this game, this is not accurate."
S002,6,1,17 points,13,14,,,NUMBER,7 points,"Dwight Howard scored 7 points, not 17 points."
S002,6,2,3 - of - 5 shooting,22,27,,,NUMBER,3-of-4 shooting,"Dwight Howard made 3 of 4 field goal attempts, not 3 of 5."
S002,7,1,25,9,9,,,NUMBER,23,"The number of points scored by Kent Bazemore is incorrect. According to the box score, he scored 23 points."
S002,7,1,Kent Bazemore,1,2,,,NAME,Paul Millsap,"The sentence states that Kent Bazemore was the only other starter in double figures, but according to the box score, Paul Millsap scored 21 points, which is also in double figures."
S002,9,1,Sunday,8,8,,,NAME,Wednesday,"The game is scheduled for Wednesday, not Sunday."
S002,10,1,The Cavaliers ( 6 - 1 ),1,7,,,NUMBER,The Cavaliers (6-1),"The Cavaliers' record is correct, but the sentence states they have won three of their last five games, which contradicts their 6-1 record. This could imply they have lost more recently, but the record suggests otherwise."
S002,11,1,23,16,16,,,NUMBER,29,"LeBron James actually led the team with 29 points, not 23."
S002,12,1,second,4,4,,,WORD,first,"Kyrie Irving was the leading scorer for the Cavaliers with 29 points, not the second."
S002,13,1,11,13,13,,,NUMBER,12,"Kevin Love actually had 12 rebounds, not 11."
S002,7,1,25 points,9,10,,,NUMBER,0 points,Tristan Thompson scored 0 points according to the box score.
S002,14,2,off the bench,7,9,,,WORD,in the starting lineup,"Tristan Thompson started the game, not coming off the bench."
S002,9,1,Sunday,8,8,,,NAME,Friday,"The game is scheduled for Friday, not Sunday."
S003,1,1,Saturday,17,17,,,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,Friday,32,32,,,NAME,Sunday,"The game was played on Sunday, not Friday."
S003,3,1,a steal,28,29,,,WORD,,The box score does not show DeMar DeRozan recording a steal in this game.
S003,4,1,a steal and a block,25,29,,,WORD,,Kyle Lowry did not record a steal or a block in this game.
S003,5,1,a block and a block,23,27,,,WORD,a block,"The sentence incorrectly states 'a block, a block and a block' which is redundant. It should be 'a block'."
S003,5,1,a block and a block,23,27,,,WORD,three blocks,"The sentence incorrectly states 'a block, a block and a block' instead of 'three blocks'."
S003,7,1,11,12,12,,,NUMBER,11,"The sentence states Terrence Ross scored 11 points, which is correct according to the box score."
S003,8,1,seventh,20,20,,,NUMBER,eighth,"The Raptors are actually slotted in the eighth seed in the conference, not the seventh."
S003,,1,Charlotte Hornets Friday,,,,,NAME,"Orlando, Magic, Tuesday","The sentence states that the team is heading to Charlotte to play the Hornets on Friday, but according to the provided box score and story, the next game for Orlando is against the Miami Heat on the road on Tuesday."
S003,10,1,Elfrid Payton,7,8,,,NAME,Evan Fournier,Elfrid Payton did not lead the team in scoring; Evan Fournier did.
S003,10,2,13 points,12,13,,,NUMBER,15 points,"Elfrid Payton scored 13 points, but the leading scorer was Evan Fournier with 15 points."
S003,11,1,"10 - point , 12 - rebound",7,13,,,NUMBER,"7 points, 12 rebounds","Aaron Gordon actually scored 7 points and had 12 rebounds, not 10 points."
S003,7,1,two,15,15,,,NUMBER,3,"The box score shows Elfrid Payton had 3 assists, not 2."
S003,11,1,"10 - point , 12 - rebound",7,13,,,NUMBER,"7 points, 12 rebounds","Aaron Gordon actually scored 7 points and had 12 rebounds, not 10 points."
S003,7,1,11,12,12,,,NUMBER,0,"DJ Augustin scored 0 points, not 11 points."
S003,15,1,last place,5,6,,,WORD,first place,The Raptors are not in last place in the Southeast Division; they are in first place.
S003,2,1,Friday,32,32,,,NAME,Sunday,"The game was played on Sunday, not Friday."
S004,1,1,Vivint Smart Home Arena,16,19,,,NAME,Vivint Smart Home Arena,"The arena name is correct, but it should be checked against the box score data to ensure accuracy. However, since the box score data does not provide the arena name, this is a NOT_CHECKABLE error."
S004,2,1,one of the best teams in the NBA this season,10,19,,,WORD,,The statement 'one of the best teams in the NBA this season' is not supported by the provided box score data and cannot be verified.
S004,3,1,16,20,20,,,NUMBER,31,"The Jazz outscored the Lakers by 31 points in the fourth quarter, not 16."
S004,4,1,38 percent,14,15,,,NUMBER,38% -> 38,"The field percentage for the Lakers is actually 38%, not 38 percent."
S004,4,2,24 percent,20,21,,,NUMBER,24% -> 24,"The three-point percentage for the Lakers is actually 24%, not 24 percent."
S004,5,1,43 - 24,16,18,,,NUMBER,47 - 43,"The rebounding totals are incorrect. The Jazz had 47 rebounds, and the Lakers had 43."
S004,6,1,Kobe Bryant,14,15,,,NAME,,"Kobe Bryant is not mentioned in the box score data, and the story does not provide a specific reason for his absence. This fact cannot be verified against the provided data."
S004,7,1,"D'Angelo Russell led the team in scoring ,",1,8,,,WORD,"Lou Williams led the team in scoring,",D'Angelo Russell did not lead the team in scoring; Lou Williams did.
S004,7,2,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,7,3,five rebounds,15,16,,,NUMBER,2 rebounds,"D'Angelo Russell recorded 2 rebounds, not five."
S004,7,4,five assists,18,19,,,NUMBER,4 assists,"D'Angelo Russell recorded 4 assists, not five."
S004,8,1,Luol Deng,1,2,,,NAME,Julius Randle,Luol Deng did not start the game; Julius Randle did.
S004,,2,12 rebound,,,,,NUMBER,12 rebounds,"Luol Deng did record 12 rebounds, but he was not a starter. The sentence incorrectly attributes this to a starter."
S004,7,1,D'Angelo Russell,1,2,,,NAME,Lou Williams,D'Angelo Russell did not lead the Lakers in scoring; Lou Williams did.
S004,7,2,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,7,3,five rebounds,15,16,,,NUMBER,2 rebounds,"D'Angelo Russell recorded 2 rebounds, not five."
S004,7,4,five assists,18,19,,,NUMBER,4 assists,"D'Angelo Russell recorded 4 assists, not five."
S004,8,1,Luol Deng,1,2,,,NAME,Nick Young,Luol Deng did not start the game; Nick Young was the only other starter in double figures.
S004,11,1,Portland Trail Blazers,12,14,,,NAME,Thunder,"The sentence states that the Lakers will play the Portland Trail Blazers, but according to the provided box score and schedule, the Lakers are actually scheduled to play the Oklahoma City Thunder."
S004,12,1,have now won four of their last five games,8,16,,,NUMBER,have now won one of their last two games,"The sentence states that the Jazz have won four of their last five games, but the box score shows they have only played two games this season, winning one and losing one."
S004,13,1,three rebounds,19,20,,,NUMBER,3 rebounds,"George Hill actually had 3 rebounds, which is correct according to the box score."
S004,14,1,"Rudy Gobert finished second on the team ,",1,8,,,NUMBER,"Rudy Gobert finished third on the team,","Rudy Gobert scored 13 points, which is third on the team, not second."
