TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,", 113 - 107 ,",9,13,,,NUMBER,", 113 - 107",Extra comma before the score.
S001,1,2,Wednesday,18,18,,,WORD,"February 3, 2017","The day of the week is not provided in the box score, but the date is available."
S001,2,1,30 - point,35,37,,,NUMBER,12-point,"The Celtics won by 12 points, not 30."
S001,3,1,six assists,16,17,,,NUMBER,4 assists,"Isaiah Thomas had 4 assists, not 6."
S001,3,2,two rebounds,19,20,,,NUMBER,2 rebounds,"Isaiah Thomas had 2 rebounds, which is correct."
S001,3,3,a steal,22,23,,,NUMBER,1 steal,"Isaiah Thomas had 1 steal, not a single steal."
S001,4,1,a block,17,18,,,NUMBER,1 block,"Al Horford had 1 block, not just 'a block'."
S001,2,1,18,6,6,,,NUMBER,18,"The points are correct, but the box score shows Jae Crowder had 18 points, not 18."
S001,5,2,12,11,11,,,NUMBER,6,"The box score shows Jae Crowder had 6 rebounds, not 12."
S001,5,1,an assist,20,21,,,NUMBER,1 assist,"Jae Crowder had 1 assist, not 'an assist'."
S001,6,2,a pair of steals,15,18,,,NUMBER,2 steals,"Jae Crowder had 2 steals, not 'a pair of steals'."
S001,5,2,two steals,23,24,,,NUMBER,2 steals,"Jae Crowder had 2 steals, which is correct."
S001,9,1,10,8,8,,,NUMBER,7,"Kelly Olynyk scored 7 points, not 10."
S001,9,2,nine,11,11,,,NUMBER,9,"Kelly Olynyk had 9 rebounds, which is correct."
S001,10,1,Friday night,14,15,,,CONTEXT,,"The box score does not provide information about future games, so this cannot be verified."
S001,10,2,Wednesday night,29,30,,,CONTEXT,,"The box score does not provide information about future games, so this cannot be verified."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,Incorrect team name for the home team.
S002,1,2,110 - 110,9,11,,,NUMBER,110 - 106,Incorrect final score.
S002,1,3,Saturday,18,18,,,WORD,Tuesday,Incorrect day of the week.
S002,2,1,struggling,6,6,,,CONTEXT,,The teams are not described as struggling in the box score or summary.
S002,3,2,37 - 20,10,12,,,NUMBER,27 - 20,The fourth quarter score is incorrect according to the box score.
S002,4,1,19 turnovers,20,21,,,NUMBER,6 turnovers,"The box score shows the Cavaliers had 6 turnovers, not 19."
S002,4,2,21 assists,17,18,,,NUMBER,21 assists,"The box score confirms the Cavaliers had 21 assists, so this is correct."
S002,5,1,three,11,11,,,NUMBER,two,"The Hawks have won two of their last five games, not three."
S002,6,1,17 points,13,14,,,NUMBER,7 points,"Dwight Howard scored 7 points, not 17."
S002,7,1,tallying 25 points,8,10,,,NUMBER,25 points,"The number of points is correct, but the verb 'tallying' is incorrect; it should be 'totaling'."
S002,7,1,Kent Bazemore,1,2,,,NUMBER,"25 points, 6 rebounds, 3 assists","The sentence correctly states Bazemore's stats, but the box score shows he had 25 points, 6 rebounds, and 3 assists, not '25 points, six rebounds and three assists'."
S002,9,1,Sunday,8,8,,,WORD,Wednesday,"The box score indicates the next game is on Wednesday, not Sunday."
S002,5,1,have now won,8,10,,,CONTEXT,,"The sentence implies recent improvement, but the box score shows they lost this game."
S002,11,1,23,16,16,,,NUMBER,29,"LeBron James scored 29 points, not 23."
S002,12,1,second,4,4,,,WORD,leading,"Kyrie Irving had the most points, not the second most."
S002,13,1,11,13,13,,,NUMBER,12,"Kevin Love actually had 12 rebounds, not 11."
S002,14,2,off the bench,7,9,,,WORD,as a starter,"Tristan Thompson started the game, not coming off the bench."
S003,1,1,Saturday,17,17,,,WORD,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,Friday,32,32,,,WORD,Sunday,"The game was played on Sunday, not Friday."
S003,3,1,a steal,28,29,,,NUMBER,1 steal,"DeMar DeRozan had 1 steal, not just a steal mentioned without a number."
S003,5,1,a block and a block,23,27,,,NUMBER,1 block,The sentence incorrectly states three blocks when the box score shows only one block.
S003,4,2,a block,28,29,,,NUMBER,1 block,"Terrence Ross had 1 block, not a block."
S003,8,1,seventh,20,20,,,NUMBER,third,"The Raptors are in third place in the Eastern Conference, not seventh."
S003,9,1,Charlotte to take on the,4,8,,,NAME,Orlando to play the,"The game mentioned is in Orlando, not Charlotte."
S003,9,2,Hornets,9,9,,,NAME,Heat,"The team mentioned is the Miami Heat, not the Charlotte Hornets."
S003,9,3,Friday night,11,12,,,WORD,Tuesday,"The game is scheduled for Tuesday, not Friday."
S003,10,1,Elfrid Payton,7,8,,,NAME,Evan Fournier,Elfrid Payton did not lead the team in scoring; Evan Fournier did.
S003,10,2,13 points,12,13,,,NUMBER,15 points,"Elfrid Payton scored 13 points, but the story incorrectly attributes this to the leading scorer."
S003,10,3,three assists,15,16,,,NUMBER,3 assists,"Elfrid Payton had 3 assists, but the story incorrectly attributes this to the leading scorer."
S003,7,4,two rebounds,15,16,,,NUMBER,3 rebounds,"Elfrid Payton had 2 rebounds, but the story incorrectly attributes this to the leading scorer."
S003,11,1,10 - point,7,9,,,NUMBER,7 points,"Aaron Gordon scored 7 points, not 10."
S003,11,2,12 - rebound,11,13,,,NUMBER,1 rebound,"Aaron Gordon had 1 rebound, not 12."
S003,5,1,13,11,11,,,NUMBER,13 points,"The box score shows Elfrid Payton scored 13 points, which is correct."
S003,2,4,a,36,36,,,NUMBER,1 steal,"The box score shows Elfrid Payton had 1 steal, not a single steal."
S003,7,1,11 points,12,13,,,NUMBER,0 points,D.J. Augustin scored 0 points according to the box score.
S003,4,2,three rebounds,22,23,,,NUMBER,3 rebounds,"D.J. Augustin had 3 rebounds, which is correct."
S003,12,3,two assists,9,10,,,NUMBER,2 assists,"D.J. Augustin had 2 assists, which is correct."
S003,14,4,a pair of steals,21,24,,,NUMBER,2 steals,"D.J. Augustin had 2 steals, which is correct."
S003,15,1,last place,5,6,,,CONTEXT,not last place,The Raptors are not in last place in the Southeast Division according to the provided box score.
S004,1,1,Vivint Smart Home Arena,16,19,,,NAME,"Vivint Smart Home Arena is not mentioned in the box score, but the home team is the Utah Jazz, so the venue can be inferred.","The venue is not provided in the box score, but it is implied to be the home arena of the Utah Jazz."
S004,2,1,one of the best,10,13,,,CONTEXT,,The statement about the Jazz being one of the best teams in the NBA this season is not supported by the box score.
S004,3,1,16,20,20,,,NUMBER,31,"The Jazz outscored the Lakers by 31-24 in the fourth quarter, not by 16."
S004,4,1,24 percent,20,21,,,NUMBER,24,The story correctly states the Jazz held the Lakers to 24 percent from three-point range.
S004,5,1,43 - 24,16,18,,,NUMBER,47 - 43,"The rebounding numbers are incorrect; the Jazz had 47 rebounds, and the Lakers had 43."
S004,6,1,Kobe Bryant,14,15,,,NAME,,"Kobe Bryant is not mentioned in the box score, and there is no indication he was absent from the game."
S004,7,1,D'Angelo Russell,1,2,,,NUMBER,Lou Williams,D'Angelo Russell did not lead the team in scoring; Lou Williams did.
S004,7,2,17 points,12,13,,,NUMBER,9 points,"D'Angelo Russell scored 9 points, not 17."
S004,7,3,five rebounds,15,16,,,NUMBER,5 rebounds,"D'Angelo Russell had 5 rebounds, which is correct, but this is part of the incorrect statement about him leading the team."
