TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,30,,,54,54,NUMBER,113,"The Celtics won by 6 points, not 30 points."
S001,4,2,two,,,85,85,NUMBER,1,"Isaiah Thomas had 1 steal, not 2."
S001,5,3,18 - 12 - double - double,,,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not a double-double."
S001,6,4,18 - 12 - double - double,,,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not a double-double."
S001,7,5,18 - 12 - double - double,,,,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not a double-double."
S001,8,6,10,,,196,196,NUMBER,7,"Kelly Olynyk scored 7 points, not 10."
S002,1,1,Atlanta Hawks,,,2,3,NAME,Cleveland Cavaliers,"The story incorrectly states the Hawks defeated the Hawks, which is impossible."
S002,1,2,110 - 110,,,9,11,NUMBER,110 - 106,The final score is incorrect; it should be 110 - 106.
S002,1,3,Saturday,,,18,18,WORD,Tuesday,"The day of the game is incorrect; it was on Tuesday, not Saturday."
S002,3,4,struggling,,,26,26,WORD,undefeated,The Hawks were not described as struggling; the Cavaliers were the last undefeated team.
S002,4,5,37 - 20,,,50,52,NUMBER,27 - 26,The fourth-quarter score is incorrect; the correct score is 27 - 26.
S002,5,6,21 assists to 19 turnovers 19 turnovers to just 21 assists,,,,,NUMBER,"22 assists to 6 turnovers, while the Cavaliers committed 6 turnovers to 21 assists","The assist-to-turnover ratios are incorrect; the correct values are 22 assists to 6 turnovers for the Hawks, and 6 turnovers to 21 assists for the Cavaliers."
S002,7,7,struggling,,,26,26,WORD,winning,The Hawks were not described as struggling; they have won three of their last five games.
S002,10,8,Kent Bazemore,,,143,144,NAME,Paul Millsap,"The name is incorrect; Paul Millsap, not Kent Bazemore, scored 21 points."
S002,11,9,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors,,,181,196,CONTEXT,The Hawks head back home to take on the Chicago Bulls on Wednesday night,"The post-game schedule is incorrect; the Hawks are playing the Chicago Bulls on Wednesday, not the Toronto Raptors on Sunday."
S002,12,10,struggling,,,26,26,WORD,winning,The Cavaliers were not described as struggling; they have won three of their last five games.
S002,15,11,25 points 2 rebounds 4 assists,,,,,NUMBER,"0 points, 2 rebounds, 0 assists","The stats for Tristan Thompson are incorrect; he had 0 points, 2 rebounds, and 0 assists."
S002,16,12,Cleveland will look to bounce back on Sunday in a home matchup against the Orlando Magic,,,303,318,CONTEXT,the Cavaliers travel to Washington to take on the Wizards on Friday evening,"The post-game schedule is incorrect; the Cavaliers are playing the Wizards on Friday, not the Orlando Magic on Sunday."
S004,3,1,16,,,72,72,NUMBER,31,"The Jazz outscored the Lakers by 31 points in the fourth quarter, not 16."
S004,4,2,43 - 24,,,120,122,NUMBER,47 - 43,"The Jazz won the rebounding battle 47-43, not 43-24."
S004,6,3,17,,,164,164,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,7,4,12 points and 12 rebounds,,,187,191,NUMBER,12 points and 12 rebounds,"Luol Deng indeed had 12 points and 12 rebounds, but this is a duplicate statement."
S004,10,5,1 - 1,,,,,NUMBER,1 - 0,"The Jazz record should be 1-0, not 1-1."
S004,12,6,Portland Trail Blazers,,,244,246,NAME,Los Angeles Clippers,"The Jazz are playing the Los Angeles Clippers, not the Portland Trail Blazers."
S005,1,1,15,,,27,27,NUMBER,13,"The box score shows 13 turnovers for the Hawks, not 15."
S005,3,2,Millsap was right behind him,,,67,71,CONTEXT,,"This sentence is redundant and incorrect as it suggests another player had the same stats as Millsap, which is not true according to the box score."
S005,4,3,27,,,117,117,NUMBER,8,"The box score shows Kent Bazemore scored 8 points, not 27."
S005,5,4,27,,,117,117,NUMBER,8,"The box score shows Kent Bazemore scored 8 points, not 27."
S005,6,5,Paul Millsap led the way for Orlando,,,148,154,CONTEXT,Aaron Gordon,"According to the box score, Aaron Gordon led the Magic with 16 points, not Paul Millsap."
S005,7,6,11 - point,,,89,91,NUMBER,16,"The box score shows Aaron Gordon scored 16 points, not 11."
S005,8,7,12,,,204,204,NUMBER,8,"The box score shows Kent Bazemore scored 8 points, not 12."
S005,9,8,New York Knicks,,,229,231,NAME,Rockets,"The summary states the Magic head to Houston to face the Rockets, not the New York Knicks."
S005,9,9,Toronto Raptors,,,244,245,NAME,Utah Jazz,"The summary states the Hawks remain home to face the Utah Jazz, not the Toronto Raptors."
S006,1,1,defeated,,,9,9,WORD,lost to,"The story incorrectly states that the Rockets defeated the Nets, when in fact the Nets defeated the Rockets."
S006,1,2,Friday,,,22,22,WORD,Tuesday,"The game was played on Tuesday, not Friday."
S006,2,3,Nets,,,12,12,NAME,Rockets,"The story incorrectly states that the Nets were the favorites and won, when in fact the Rockets lost."
S006,3,4,James Harden,,,46,47,NAME,Joe Johnson,James Harden did not lead the Nets; Joe Johnson led the Nets with 22 points.
S006,4,5,Trevor Ariza,,,66,67,NAME,Patrick Beverley,Trevor Ariza did not play for the Rockets in this game; Patrick Beverley was the only other starter in double figures.
S006,4,6,2,,,80,80,NUMBER,10,"Patrick Beverley scored 10 points, not 2."
S006,5,7,Orlando Magic,,,102,103,NAME,Wizards,"The Rockets will face the Wizards, not the Orlando Magic, in their next game."
S006,6,8,Brook Lopez,,,117,118,NAME,Brook Lopez,"The story incorrectly states that the Nets played without Brook Lopez, but he actually played and contributed significantly."
S006,7,9,Brook Lopez,,,117,118,NAME,Brook Lopez,The story incorrectly attributes the performance to the wrong team. Brook Lopez played for the Nets and contributed 24 points.
S006,8,10,Thaddeus Young,,,163,164,NAME,Thaddeus Young,The story incorrectly attributes the performance to the wrong team. Thaddeus Young played for the Nets and contributed 20 points.
S006,10,11,Atlanta Hawks,,,197,198,NAME,Sixers,"The Nets will face the Sixers, not the Atlanta Hawks, in their next game."
S007,1,1,Russell Westbrook and Russell Westbrook,,,1,5,NAME,Russell Westbrook,Redundant mention of Russell Westbrook.
S007,1,2,Sleep Train Arena,,,26,28,WORD,Golden 1 Center,Incorrect arena name.
S007,2,3,seven assists,,,39,40,NUMBER,10 assists,Incorrect number of assists for Westbrook.
S007,2,4,one block,,,45,46,NUMBER,no blocks,"Westbrook had no blocks, not one."
S007,2,5,"Westbrook scored 36 points on 11 - of - 21 shooting ,",,,56,67,CONTEXT,"Westbrook finished with 36 points, 10 assists, 11 rebounds, four steals and seven turnovers on 11-of-21 shooting",Redundant information already provided in the previous sentence.
S007,3,6,Enes Kanter,,,88,89,NAME,Steven Adams,Incorrect player name for the 21 points.
S007,3,7,21 points,,,213,214,NUMBER,6 points,Incorrect points for Steven Adams.
S007,3,8,four rebounds,,,216,217,NUMBER,4 rebounds,"Correct but redundant, as it matches the box score."
S007,3,9,one steal,,,219,220,NUMBER,1 steal,"Correct but redundant, as it matches the box score."
S008,3,1,33,,,61,61,NUMBER,25,"The Grizzlies scored 25 points in the first quarter, not 33."
S008,5,2,22,,,104,104,NUMBER,20,"Marc Gasol scored 20 points, not 22."
S008,5,3,five,,,118,118,NUMBER,0,"Marc Gasol had 0 steals, not five."
S008,7,4,4 of 4,,,,,NUMBER,0 of 0,"Zach Randolph made 0 of 0 three-pointers, not 4 of 4."
S008,10,5,13,,,184,184,NUMBER,20,"Gordon Hayward scored 20 points, not 13."
S008,11,6,22,,,104,104,NUMBER,6,"Rudy Gobert scored 6 points, not 22."
S010,4,1,53,,,81,81,NUMBER,32,"Box score shows Orlando's three-point percentage as 32%, not 53%."
S010,5,2,27 12,,,,,NUMBER,"19, 17","Box score shows the Hawks had 27 assists and 12 turnovers, while the Magic had 19 assists and 17 turnovers."
S010,10,3,Nikola Vucevic,,,240,241,NAME,Dennis Schroder,"Dennis Schroder, not Nikola Vucevic, was the player of the game according to the summary."
