TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Los Angeles,6.0,7.0,NAME,Boston,"The home team is Boston, not Los Angeles.",llama_small,p1_sent,4252.35
S001,2,1,17 of his 38,,,NUMBER,38 points,"Isaiah Thomas scored 38 points, not 17 of 38.",llama_small,p1_sent,4252.35
S001,3,1,38 points,75.0,76.0,NUMBER,17,"Isaiah Thomas scored 17 points, not 38.",llama_small,p1_sent,4252.35
S001,4,1,11 eight,,,NUMBER,10,"The box score shows 10 rebounds, not 11.",llama_small,p1_sent,4252.35
S001,5,1,18 point,,,NUMBER,12,The correct number of rebounds Jae Crowder had is 12.,llama_small,p1_sent,4252.35
S001,6,1,18 points,143.0,144.0,NUMBER,11 points,The box score shows that Jae Crowder scored 11 points.,llama_small,p1_sent,4252.35
S001,7,1,six rebounds,146.0,147.0,NUMBER,three,The box score shows Jae Crowder had three rebounds.,llama_small,p1_sent,4252.35
S001,8,1,11 eight,,,NUMBER,10,"The box score shows 10 rebounds, not 8.",llama_small,p1_sent,4252.35
S001,9,1,Kelly Olynyk,189.0,190.0,NAME,Kelly Olynyk,The player's name is misspelled.,llama_small,p1_sent,4252.35
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,"The game was played on Sunday, not Saturday.",llama_small,p1_sent,4252.35
S003,4,1,16 point,,,NUMBER,15,"The box score shows Kyle Lowry had 15 points, not 16.",llama_small,p1_sent,4252.35
S003,5,1,block a block and a block,,,NUMBER,"a block, a block, and a rebound","The sentence incorrectly states that Jonas Valanciunas had a block, a block, and a block, when in fact he had a block, a block, and a rebound.",llama_small,p1_sent,4252.35
S003,12,1,Payton,253.0,253.0,NAME,Payton is not mentioned in the box score data.,"Payton is not in the box score data, but Elfrid Payton is.",llama_small,p1_sent,4252.35
S003,13,1,10,111.0,111.0,NUMBER,9,"The box score shows Aaron Gordon had a 9-point, 12-rebound double-double.",llama_small,p1_sent,4252.35
S003,14,1,points three rebounds two assists,,,NUMBER,"points, two rebounds, one assist and a pair of steals","The player DJ Augustin had two assists, not three.",llama_small,p1_sent,4252.35
S004,3,1,16,72.0,72.0,NUMBER,7,The Jazz outscored the Lakers by 7 in the fourth quarter.,llama_small,p1_sent,4252.35
S004,13,1,23 points,288.0,289.0,NUMBER,7,The correct number of points scored by George Hill is 7.,llama_small,p1_sent,4252.35
S004,14,1,points 13,,,NUMBER,12 points,The correct number of points is 12.,llama_small,p1_sent,4252.35
S004,15,1,13,313.0,313.0,NUMBER,12,"The box score shows that Rudy Gobert recorded 12 points, not 13.",llama_small,p1_sent,4252.35
S004,16,1,13,313.0,313.0,NUMBER,12,The box score shows that Rudy Gobert had 12 rebounds.,llama_small,p1_sent,4252.35
S005,2,1,21 points,51.0,52.0,NUMBER,17,"The box score shows that Paul Millsap had 17 points, not 21.",llama_small,p1_sent,4252.35
S005,3,1,21 points,51.0,52.0,NUMBER,20 points,The box score shows that Millsap scored 20 points.,llama_small,p1_sent,4252.35
S005,4,1,11-point 13-rebound,,,NUMBER,"11-point, 13-rebound double-double that also included three assists, one steal and one block.","The box score shows that Dwight Howard posted a 11-point, 13-rebound double-double, but the story incorrectly includes a block which is not present in the box score.",llama_small,p1_sent,4252.35
S005,5,1,Kent Bazemore,111.0,112.0,NAME,Kent Bazemore,The player's name is misspelled.,llama_small,p1_sent,4252.35
S005,8,1,11-point 13-rebound,,,NUMBER,"11-point, 13-rebound double-double that also included three assists, one steal and one block.","The box score shows Dwight Howard's stats as 11-point, 13-rebound double-double, but the story incorrectly adds one block.",llama_small,p1_sent,4252.35
S007,3,1,29 points,106.0,107.0,NUMBER,10,"The box score shows Enes Kanter scored 10 points, not 29.",llama_small,p1_sent,4252.35
S008,1,1,20-point,,,NUMBER,19-point,"The correct score was 96-102, not 96-96.",llama_small,p1_sent,4252.35
S008,2,1,20-point performance,,,NUMBER,19-point performance,"The actual performance was 19 points, not 20.",llama_small,p1_sent,4252.35
S008,3,1,17 points,,,NUMBER,at least 18 points,The box score shows that Carter scored at least 18 points in the third straight game.,llama_small,p1_sent,4252.35
S008,4,1,18 points,136.0,137.0,NUMBER,17 points,"The correct number of points scored by Mike Conley is 17, not 18.",llama_small,p1_sent,4252.35
S008,5,1,18 points,136.0,137.0,NUMBER,17 points,The correct number of points scored by Zach Randolph is 17.,llama_small,p1_sent,4252.35
S008,6,1,48 percent,207.0,208.0,NUMBER,48,"The Jazz shot 48 percent from the field and 29 percent from long range, while the Grizzlies shot 48 percent from the field and 29 percent from long range.",llama_small,p1_sent,4252.35
S008,6,2,29 percent,213.0,214.0,NUMBER,29,"The Jazz shot 48 percent from the field and 29 percent from long range, while the Grizzlies shot 48 percent from the field and 29 percent from long range.",llama_small,p1_sent,4252.35
S008,7,1,2013-14,,,NUMBER,2013-15,"The correct season is 2013-15, not 2013-14.",llama_small,p1_sent,4252.35
S008,8,1,Gordon Hayward,265.0,266.0,NAME,the correct player name is not provided in the box score data,"The player name 'Gordon Hayward' is incorrect because the box score data shows that the player is actually a member of the Jazz, not the Grizzlies.",llama_small,p1_sent,4252.35
S008,9,1,Rudy Gobert,311.0,312.0,NAME,Rudy Gobert,The player's name is misspelled.,llama_small,p1_sent,4252.35
S008,10,1,20-point,,,NUMBER,19-point,"The correct score was 19 points, not 20 points.",llama_small,p1_sent,4252.35
S008,11,1,2013-14,,,NUMBER,2013-15,"The correct season is 2013-15, not 2013-14.",llama_small,p1_sent,4252.35
S009,1,1,122,10.0,10.0,NUMBER,114,"The correct score was 114, not 122.",llama_small,p1_sent,4252.35
S009,2,1,30,209.0,209.0,NUMBER,22,The Bucks' record was incorrect.,llama_small,p1_sent,4252.35
S009,3,1,double digits,,,NUMBER,single digits,"The Bucks led for the majority of the game, as they led by single digits for the entirety of the second half.",llama_small,p1_sent,4252.35
S009,4,1,29,83.0,83.0,NUMBER,53,"The Bucks' field goal percentage was 53%, not 29%",llama_small,p1_sent,4252.35
S009,8,1,digit,,,NUMBER,double,"The sentence says 'double figures', but the box score says Giannis Antetokounmpo was the only Bucks starter to manage double-digit scoring.",llama_small,p1_sent,4252.35
S009,11,1,41 points,129.0,130.0,NUMBER,41,"Giannis Antetokounmpo's actual points were 41, but the sentence says 'double-digit scoring'.",llama_small,p1_sent,4252.35
S009,12,1,six,245.0,245.0,NUMBER,seven,"The Bucks had six road victories in 30 games away from Staples Center this season, but the correct number is seven.",llama_small,p1_sent,4252.35
S009,13,1,digit,,,NUMBER,double,The correct phrase should be 'double figures'.,llama_small,p1_sent,4252.35
S009,14,1,30,209.0,209.0,NUMBER,22,The Bucks' record against the Bucks is incorrect.,llama_small,p1_sent,4252.35
S010,1,1,19,115.0,115.0,NUMBER,18,The correct score difference is 18 points.,llama_small,p1_sent,4252.35
S010,2,1,19,115.0,115.0,NUMBER,15,"The Hawks won by 15 points, not 19.",llama_small,p1_sent,4252.35
S010,3,1,11,45.0,45.0,NUMBER,11,The actual number of ties and lead changes is not specified in the box score data.,llama_small,p1_sent,4252.35
S010,4,1,53 percent,81.0,82.0,NUMBER,32,The box score shows that Orlando's three-point field goal percentage was 32%,llama_small,p1_sent,4252.35
S010,7,1,18 points,153.0,154.0,NUMBER,16,"The box score shows Dennis Schroder scored 16 points, not 18.",llama_small,p1_sent,4252.35
S010,8,1,double,173.0,173.0,NUMBER,double-double,"The correct term is 'double-double', which refers to a player achieving a double-double in both points and rebounds.",llama_small,p1_sent,4252.35
S010,9,1,Kent Bazemore,184.0,185.0,NAME,Kent was not the only other starter in double figures,"Kent Bazemore was not the only other starter in double figures, as he was not the only player from the home team in double figures",llama_small,p1_sent,4252.35
S010,11,1,16 21,,,NUMBER,17,The Magic's current win-loss record is incorrect.,llama_small,p1_sent,4252.35
S010,12,1,Vucevic,241.0,241.0,NAME,"Vucevic is not the player of the game, Nikola Vucevic is",The sentence incorrectly states that Vucevic was the player of the game.,llama_small,p1_sent,4252.35
S010,13,1,Evan Fournier,261.0,262.0,NAME,Elfrid,The player's name is incorrect.,llama_small,p1_sent,4252.35
S010,14,1,double double,,,NUMBER,single,"The box score shows Nikola Vucevic recorded a single double-double, not a double-double.",llama_small,p1_sent,4252.35
S010,15,1,Evan Fournier,261.0,262.0,NAME,Elfrid,The box score shows Elfrid Payton as the other Magic player in double figures.,llama_small,p1_sent,4252.35
S010,16,1,19,115.0,115.0,NUMBER,15,The box score shows that the Hawks won by 15 points.,llama_small,p1_sent,4252.35
S011,1,1,Tuesday,22.0,22.0,NAME,Wednesday,"The game was played on Wednesday, not Tuesday.",llama_small,p1_sent,4252.35
S011,2,1,single -digits,,,WORD,single-digits,"The Hawks have lost by single-digits in all four games, and are now 0-3 against Atlanta this season.",llama_small,p1_sent,4252.35
S011,3,1,single -digits,,,WORD,single-digits,"The Hawks have lost by single-digits in all four games, and are now 0-3 against Atlanta this season.",llama_small,p1_sent,4252.35
S011,4,1,single digits,,,WORD,by multiple digits,The Hawks have lost by multiple digits in all four games.,llama_small,p1_sent,4252.35
