TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Los Angeles Lakers,,,NAME,Los Angeles,"The team name is correct, but the city is not. The game was played at TD Garden, which is in Boston.",llama_medium,p0a_sent,11788.53
S001,2,1,32,23.0,23.0,NUMBER,32-18,"The Celtics record is actually 32-18, not 32-36.",llama_medium,p0a_sent,11788.53
S001,3,1,six,82.0,82.0,NUMBER,four,"The sentence states that Isaiah Thomas had six assists, but according to the box score data, he had four assists.",llama_medium,p0a_sent,11788.53
S001,4,1,eight assists,104.0,105.0,NUMBER,seven assists,"Marcus Smart had seven assists, not eight.",llama_medium,p0a_sent,11788.53
S001,5,1,Jae Crowder,110.0,111.0,NAME,Jae Crowder is not present in the box score data,The player Jae Crowder is not present in the box score data.,llama_medium,p0a_sent,11788.53
S001,6,1,Jae Crowder,,,NAME,Jae Crowder is not a player in the box score data,"The player is not in the box score data, so the sentence is not checkable.",llama_medium,p0a_sent,11788.53
S001,7,1,Jae Crowder,,,NAME,Jae Crowder is not a player in the box score data,The player is not in the box score data,llama_medium,p0a_sent,11788.53
S001,8,1,eight assists,104.0,105.0,NUMBER,seven assists,"The Celtics box score data shows that Al Horford had 8 assists, but the story says he had 7 assists.",llama_medium,p0a_sent,11788.53
S001,9,1,Kelly Olynyk,,,NAME,Lou Williams,"The sentence is referring to Lou Williams, not Kelly Olynyk.",llama_medium,p0a_sent,11788.53
S001,10,1,,1.0,0.0,,,,llama_medium,p0a_sent,11788.53
S002,1,1,Atlanta Hawks,,,NAME,Cavaliers,"The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks, when in fact they defeated the Cavaliers.",llama_medium,p0a_sent,11788.53
S002,2,1,road,38.0,38.0,WORD,home,"The sentence says the Hawks had a huge road win, but the box score data does not contain information about the location of the game.",llama_medium,p0a_sent,11788.53
S002,3,1,Hawks,3.0,3.0,WORD,Cavaliers,"The sentence says the Hawks outscored the Hawks, but the box score data does not support this claim.",llama_medium,p0a_sent,11788.53
