TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S002,1,1,The Atlanta Hawks defeated the Cleveland Cavaliers,,,MISTAKE,,Home team name is incorrect,llama_small,1787.16
S002,2,1,The reigning NBA champs came into Tuesday,,,,,,llama_small,1787.16
S002,3,1,"However, Atlanta (5-2) came",,,MISTAKE,"The Hawks came into the game sporting one of the NBA's stingiest defenses, having allowed the sixth-least points per game.",,llama_small,1787.16
S002,4,1,Bazemore drilled a key jumper,,,,,,llama_small,1787.16
S002,5,1,The Cavs were led,,,MISTAKE,"The Cavaliers were led by Kyrie Irving's game-high 29 points, which he needed a whopping 27 shot attempts to get to.",,llama_small,1787.16
S003,1,1,The Toronto Raptors,1.0,3.0,,,None,llama_small,1787.16
S003,2,2,defeated the Orlando,4.0,6.0,,,None,llama_small,1787.16
S003,3,3,"Magic, 109- 79,",,,,,None,llama_small,1787.16
S003,4,4,at Amway,13.0,14.0,,,None,llama_small,1787.16
S003,5,5,Center,15.0,15.0,,,None,llama_small,1787.16
S003,6,6,on Sunday.,,,,,None,llama_small,1787.16
S004,1,1,"The host Utah Jazz beat the visiting Los Angeles Lakers on Friday,",,,,,,llama_small,1787.16
S004,2,2,It was the season debut for banged- up Jazz star Derrick,,,,,,llama_small,1787.16
S004,3,3,Favors. Favors missed the majority,,,,,,llama_small,1787.16
S004,4,4,Favors missed the majority,,,,,,llama_small,1787.16
S004,5,5,of the preseason,,,,,,llama_small,1787.16
S004,6,6,and the,,,,,,llama_small,1787.16
S004,7,7,team's season,,,,,,llama_small,1787.16
S004,8,8,opener,,,,,,llama_small,1787.16
S004,9,9,with a,49.0,50.0,,,,llama_small,1787.16
S004,10,10,bruised,,,,,,llama_small,1787.16
S004,11,11,"knee,",,,,,,llama_small,1787.16
S004,12,12,but,43.0,43.0,,,,llama_small,1787.16
S004,13,13,was,79.0,79.0,,,,llama_small,1787.16
S004,14,14,able to,46.0,47.0,,,,llama_small,1787.16
S004,15,15,transition back,,,,,,llama_small,1787.16
S004,16,16,into a,,,,,,llama_small,1787.16
S004,17,17,limited role,,,,,,llama_small,1787.16
S004,18,18,for Friday's,,,,,,llama_small,1787.16
S004,19,19,contest.,,,,,,llama_small,1787.16
S006,1,1,The Houston Rockets (10-12) defeated the Brooklyn Nets (6-15),,,Incorrect team stats,,,llama_small,1787.16
S006,1,2,110 -105 on Friday,,,Incorrect game date,,,llama_small,1787.16
S006,3,1,The Nets came into this game as a double-tenor favorite,,,Incorrect phrase,double-digit,,llama_small,1787.16
S006,4,1,Trevor Ariza,66.0,67.0,Missing stats,"2 points, four rebounds and four assists",,llama_small,1787.16
S006,7,1,Brook Lopez,117.0,118.0,Missing stats,"24 points, eight rebounds and five blocks in the win.",,llama_small,1787.16
S006,8,1,Thaddeus Young,163.0,164.0,Missing stats,"20 points, 12 rebounds and five assists.",,llama_small,1787.16
S007,1,1,Russell Westbrook and Russell Westbrook both the Oklahoma City Thunder and the Oklahoma City Thunder,,,ERROR,,Duplicate mention of Russell Westbrook,llama_small,1787.16
S007,1,2,Russell Westbrook and Russell Westbrook both the Oklahoma City Thunder and the Oklahoma City Thunder,,,,,,llama_small,1787.16
S007,5,3,The Kings shot 46 percent from the field and 36 percent from long range,,,ERROR,,Repetition of similar information,llama_small,1787.16
S007,5,4,The Kings shot 46 percent from the field and 36 percent from long range,,,,,,llama_small,1787.16
S007,11,5,"The Thunder play the second game of a back-to-back on Monday when they visit the Los Angeles Clippers, while the Kings look to bounce back on Wednesday when they host the Indiana Pacers.",,,WARNING,,Information about future games,llama_small,1787.16
S008,0,1,"While the start of the Grizzlies ' season has been pretty standard with a 5 - 5 start , Vince Carter ' play has been anything but",,,,,,llama_small,1787.16
S008,1,2,"With his 20 - point performance on Monday, Carter notched 20 points for the second time in three games and at least 17 points for the third straight game",,,,,,llama_small,1787.16
S008,2,3,"While Chandler Parson ' return from a knee injury was expected to lead to a much- reduced role for Carter, it 's done the exact opposite, as with Parson ' struggling as he still works to make his way back to the floor, Carter has excelled and outscored Parsons in each of the past three games",,,,,,llama_small,1787.16
S008,3,4,Carter ' 9 points per game would be his highest average since the 2013- 14 season,,,,,,llama_small,1787.16
