TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S009,,1,"The Milwaukee Bucks defeated the Los Angeles Lakers , 122 - 122 , at BMO Harris Bradley Center on Tuesday",,,1,20,,,
S009,,2,"In a battle between two struggling teams , the Bucks were able to prevail with a huge road win",,,22,40,,,
S009,,3,"In fact , the Bucks led for the majority of the game , as they led by double- digits for the entirety of the second half",,,43,68,,,
S009,,4,"Rebounding was key for the Lakers , as they held the Lakers to 29 % shooting and forced them to commit 17 turnovers",,,70,92,,,
S009,,5,"The Lakers (19- 37) have now won four of their last five games , as they continue to struggle",,,97,115,,,
S009,,6,"D'Angelo Russell was the player of the game , as he tallied 41 points , three rebounds and five assists",,,117,136,,,
S009,,7,"Luol Deng was second on the team , as he accrued 26 points , three rebounds and two assists",,,145,163,,,
S009,,8,"D'Angelo Russell was the only other starter in double figures , as he accrued 14 points , three rebounds and five assists",,,165,186,,,
S009,,9,On deck for Los Angeles is a road matchup with the New Orleans Pelicans on Sunday,,,188,203,,,
S009,,10,"Milwaukee (22- 30) has now lost three of their last five games , as they continue to struggle",,,208,225,,,
S009,,11,"Giannis Antetokounmpo was the player of the game , as he accumulated 41 points , eight rebounds and six assists",,,227,246,,,
S009,,12,"Khris Middleton was second on the team , as he accrued 18 points , six rebounds and six assists",,,248,266,,,
S009,,13,"Greg Monroe was the only other starter in double figures , as he accrued 18 points , five rebounds and three assists",,,268,289,,,
S009,,14,Milwaukee will look to build off this win on Friday in a road matchup with the Orlando Magic,,,291,308,,,
