TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Los Angeles,6.0,7.0,NAME,Boston,"The game was played in Boston, not Los Angeles.",llama_small,p0b_sent,2163.65
S001,2,1,30-point,,,NUMBER,29-point,The Celtics came in to Friday's contest with a 29-point win over the Lakers.,llama_small,p0b_sent,2163.65
S001,3,1,six,82.0,82.0,NUMBER,five,"The sentence claims the team was led by Isaiah Thomas's 38 points, which he supplemented with six assists, two rebounds and a steal, but the correct number of assists is not provided.",llama_small,p0b_sent,2163.65
S001,4,1,behind,95.0,95.0,WORD,ahead,The sentence should read 'ahead' instead of 'behind'.,llama_small,p0b_sent,2163.65
S001,5,1,18 12,,,NUMBER,17,"The box score shows Jae Crowder had 17 rebounds, not 12.",llama_small,p0b_sent,2163.65
S001,6,1,Crowder,111.0,111.0,NAME,"Crowder was not the player with 18 points, six rebounds, an assist and a pair of steals. The correct player is not in the provided box score data.","The player's name is not in the box score data, so it cannot be verified.",llama_small,p0b_sent,2163.65
S001,7,1,Crowder,111.0,111.0,NAME,"Crowder was not the player who scored 18 points, six rebounds, an assist and two steals.",The correct player is not specified in the provided box score data.,llama_small,p0b_sent,2163.65
S001,8,1,Horford,92.0,92.0,NAME,Horford,The player's name is misspelled.,llama_small,p0b_sent,2163.65
S001,9,1,second unit,193.0,194.0,WORD,first unit,The sentence incorrectly describes the unit Kelly Olynyk led.,llama_small,p0b_sent,2163.65
S001,10,1,four,,,NUMBER,six,"The sentence claims the Celtics had four rebounds, but the correct number is six.",llama_small,p0b_sent,2163.65
S002,1,1,Atlanta,2.0,2.0,NAME,Cleveland,The Hawks defeated the wrong team.,llama_small,p0b_sent,2163.65
S002,2,1,huge,37.0,37.0,WORD,big,"The word 'huge' is not present in the box score data, and a more accurate description of the win would be 'big'.",llama_small,p0b_sent,2163.65
S002,3,1,Hawks,3.0,3.0,NAME,Cavaliers,"The Hawks outscored the Cavaliers, not the Hawks.",llama_small,p0b_sent,2163.65
S002,4,1,unblemished,,,WORD,blemished,The correct term is 'blemished' instead of 'unblemished'.,llama_small,p0b_sent,2163.65
S002,5,1,three,102.0,102.0,NUMBER,four,The Hawks have now won four of their last five games.,llama_small,p0b_sent,2163.65
S002,6,1,17,127.0,127.0,NUMBER,15,"Dwight Howard tallied 15 rebounds, not 17.",llama_small,p0b_sent,2163.65
S002,7,1,25,151.0,151.0,NUMBER,24,"Kent Bazemore's points should be 24, not 25.",llama_small,p0b_sent,2163.65
S002,8,1,25,151.0,151.0,NUMBER,24,"Kent Bazemore's points should be 24, not 25.",llama_small,p0b_sent,2163.65
S002,9,1,four,259.0,259.0,NUMBER,five,"The Hawks had four of their victories having come at home, but the correct number is five.",llama_small,p0b_sent,2163.65
S002,10,1,three,102.0,102.0,NUMBER,four,The Cavaliers have now won four of their last five games.,llama_small,p0b_sent,2163.65
S002,11,1,23,236.0,236.0,NUMBER,29,LeBron James actually scored 29 points.,llama_small,p0b_sent,2163.65
S002,12,1,second,248.0,248.0,NUMBER,first,"Kyrie Irving was first on the team, not second.",llama_small,p0b_sent,2163.65
