TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,2,3,Friday,30,30,,,NAME,Wednesday,Game was on Wednesday
S001,2,4,30 - point,35,37,,,NUMBER,23,Incorrect score difference
S001,2,5,17 - 36,43,45,,,NUMBER,17-36,Incorrect score format
S001,3,1,38 points,9,10,,,NUMBER,17,"Isaiah Thomas scored 17 out of 38 points, not all 38."
S001,6,1,18 points,6,7,,,NUMBER,13,Crowder's actual points are 13 according to the box score.
S002,4,1,19 turnovers to just 21 assists,27,32,,,NUMBER,19 turnovers to 21 assists,Incorrect assist-to-turnover ratio
S002,7,1,25 points,9,10,,,NUMBER,25,Bazemore's actual points total.
S002,12,1,29 points,12,13,,,NUMBER,24,Kyrie Irving did not have the second-highest points; LeBron James did.
S002,13,1,11 rebounds,13,14,,,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S003,1,1,Saturday evening,17,18,,,WORD,Sunday,Incorrect day of the week
S003,2,3,30,37,37,,,NUMBER,25,Incorrect point difference
S003,4,1,16 -,9,10,,,NUMBER,10,"Lowry's assist total is 10, not 16."
S003,7,1,11 points,12,13,,,NUMBER,13,"Terrence Ross scored 13 points, not 11."
S003,9,1,Friday night,11,12,,,WORD,Sunday,Incorrect day of the week
S003,10,1,13 points,12,13,,,NUMBER,31,Incorrect points total for Elfrid Payton.
S003,16,1,Friday to face,6,8,,,WORD,Sunday,Incorrect day of the week
S004,1,2,Friday,21,21,,,NAME,Friday,"Correct day, but should be capitalized"
S004,3,1,16,20,20,,,NUMBER,13,"The Jazz outscored the Lakers by 13, not 16, in the fourth quarter."
S004,7,1,17 points,12,13,,,NUMBER,3,"D'Angelo Russell scored 3 points, not 17."
S004,8,1,12 points,15,16,,,NUMBER,7,"Deng's actual points were 7, not 12."
S004,12,1,four of their,11,13,,,NUMBER,three,"The Jazz have won three of their last five games, not four."
S004,13,1,23 points,16,17,,,NUMBER,20,"Hill's actual points were 20, not 23."
S004,14,1,13 points,10,11,,,NUMBER,15,"Gobert's actual points are 15, not 13."
S005,1,2,15,27,27,,,NUMBER,13,Incorrect turnover count
S005,2,1,21 points,14,15,,,NUMBER,30,"Millsap's actual score was 30 points, not 21."
S005,4,1,three assists,18,19,,,NUMBER,one,"Howard's actual assists were one, not three."
S005,5,1,27 points,7,8,,,NUMBER,28,Bazemore's actual points according to the box score.
S005,2,1,Paul Millsap,1,2,,,NAME,"Tim Hardaway, Jr.",Incorrect player name
S005,1,2,21,35,35,,,NUMBER,26,Incorrect points scored
S005,5,1,Kent Bazemore,1,2,,,NAME,Paul Millsap,Incorrect player name
S005,10,1,New York Knicks,11,13,,,NAME,New York Knicks,Incorrect team name
S005,10,2,Toronto Raptors,26,27,,,NAME,Utah Jazz,Incorrect team name
S006,1,1,Friday,22,22,,,NAME,Tuesday,Incorrect day of the week
S006,2,1,double - digit,9,11,,,NUMBER,single,The Nets were not a double-digit favorite.
S006,3,1,10 points,10,11,,,NUMBER,22,"Harden scored 22 points, not 10."
S006,4,1,Trevor Ariza,1,2,,,NAME,Clint Capela,Trevor Ariza was not in double figures.
S006,5,1,Wednesday,14,14,,,NAME,Tuesday,Incorrect day of the week
S006,7,1,24 points,18,19,,,NUMBER,32,"Brook Lopez scored 32 points, not 24."
S006,8,1,12 rebounds,18,19,,,NUMBER,10,"Thaddeus Young had 10 rebounds, not 12."
S007,2,1,11 rebounds,7,8,,,NUMBER,10,"Westbrook had 10 rebounds, not 11."
S007,5,1,31 points,11,12,,,NUMBER,31,"Cousins scored 31 points, not DeMarcus Cousins."
S007,3,2,18,26,26,,,NUMBER,32,Incorrect shooting percentage
S008,1,1,Saturday,19,19,,,NAME,Wednesday,"Game was on Wednesday, not Saturday."
S008,2,2,Tuesday,36,36,,,NAME,Saturday,Incorrect day of the week
S008,3,2,Marc Gasol,11,12,,,NAME,,"Name not in box score, but context suggests it refers to a player"
S008,3,3,22,20,20,,,NUMBER,23,Incorrect points scored
S008,4,1,18 points,6,7,,,NUMBER,16,"Mike Conley scored 16 points, not 18."
S008,8,1,Gordon Hayward,1,2,,,NAME,Joe Ingles,"Gordon Hayward led the way for the Jazz, not the Grizzlies."
S009,1,1,Milwaukee Bucks defeated the Los Angeles Lakers,2,8,,,NAME,Los Angeles Lakers,Incorrect team names
