TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S002,1,1,Atlanta Hawks,2.0,3.0,CONTEXT,,"The sentence says the Atlanta Hawks defeated the Atlanta Hawks, which is incorrect. The correct teams should be Atlanta Hawks and Cleveland Cavaliers.",llama_medium,p0d_sent,8635.27
S002,3,1,Hawks,3.0,3.0,CONTEXT,,"The sentence says the Hawks outscored the Hawks, which is misleading because it implies the Hawks played against themselves.",llama_medium,p0d_sent,8635.27
S002,4,1,21 assists to 19 turnovers,75.0,79.0,NUMBER,19 assists to 21 turnovers,"The assist-to-turnover ratio was 21 assists to 19 turnovers, not 21 assists to 21 turnovers.",llama_medium,p0d_sent,8635.27
S002,5,1,three,102.0,102.0,NUMBER,two,The Hawks have now won two of their last five games.,llama_medium,p0d_sent,8635.27
S002,7,1,n't,146.0,146.0,WORD,not,The word 'n't' is a contraction of 'not'. It should be spelled out in full.,llama_medium,p0d_sent,8635.27
S002,8,1,starter,166.0,166.0,WORD,reserve,Bazemore started the game.,llama_medium,p0d_sent,8635.27
S002,11,1,"23 points, nine rebounds and five assists",,,NUMBER,"23 points, nine rebounds, and five assists",The sentence is missing a comma after 'points'.,llama_medium,p0d_sent,8635.27
S002,12,1,second,248.0,248.0,WORD,first,"Kyrie Irving was first on the team in points, not second.",llama_medium,p0d_sent,8635.27
S002,13,1,second,248.0,248.0,WORD,first,"Kevin Love finished first on the team, not second.",llama_medium,p0d_sent,8635.27
S002,14,1,25,151.0,151.0,NUMBER,0,"Tristan Thompson scored 0 points, not 25.",llama_medium,p0d_sent,8635.27
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,The game was played on Sunday.,llama_medium,p0d_sent,8635.27
