TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,D'Angelo,,,NAME,D'Angelo Russell,Player's full name should include 'Russell',qwen_14b,p0c_sent,3260.03
S001,1,2,six,82.0,82.0,NUMBER,five,Number of rebounds should be five,qwen_14b,p0c_sent,3260.03
S001,2,1,30,54.0,54.0,NUMBER,11,"The Celtics won by 11 points, not 30.",qwen_14b,p0c_sent,3260.03
S001,3,1,six,82.0,82.0,NUMBER,two,"The sentence states six assists, but the box score shows Isaiah Thomas had two assists.",qwen_14b,p0c_sent,3260.03
S001,3,2,two,85.0,85.0,NUMBER,four,"The sentence states two rebounds, but the box score shows Isaiah Thomas had four rebounds.",qwen_14b,p0c_sent,3260.03
S001,4,1,eight,101.0,101.0,NUMBER,seven,"Horford had seven rebounds, not eight.",qwen_14b,p0c_sent,3260.03
S001,5,1,12,120.0,120.0,NUMBER,6,The number of rebounds is incorrect.,qwen_14b,p0c_sent,3260.03
S001,6,1,six,82.0,82.0,NUMBER,eight,The number of rebounds is incorrect.,qwen_14b,p0c_sent,3260.03
S001,8,1,eight,101.0,101.0,NUMBER,seven,"Horford had seven rebounds, not eight.",qwen_14b,p0c_sent,3260.03
S001,9,1,10,196.0,196.0,NUMBER,7,"Kelly Olynyk had 7 points, not 10.",qwen_14b,p0c_sent,3260.03
S001,9,2,nine,199.0,199.0,NUMBER,3,"Kelly Olynyk had 3 rebounds, not 9.",qwen_14b,p0c_sent,3260.03
S001,10,1,eight,101.0,101.0,NUMBER,11,"Al Horford had 11 rebounds, not 8.",qwen_14b,p0c_sent,3260.03
S001,10,2,eight,101.0,101.0,NUMBER,6,"Al Horford had 6 assists, not 8.",qwen_14b,p0c_sent,3260.03
S002,1,1,Atlanta,2.0,2.0,NAME,Cleveland,The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks instead of the Cleveland Cavaliers.,qwen_14b,p0c_sent,3260.03
S002,1,2,Saturday,18.0,18.0,NAME,Tuesday,The day of the game is incorrectly stated as Saturday instead of Tuesday.,qwen_14b,p0c_sent,3260.03
S002,3,1,Hawks,3.0,3.0,NAME,Cavaliers,The sentence incorrectly states that the Hawks outscored themselves in the fourth quarter.,qwen_14b,p0c_sent,3260.03
S002,4,1,19,78.0,78.0,NUMBER,21,"The Hawks recorded 21 assists, not 19.",qwen_14b,p0c_sent,3260.03
S002,4,2,21,75.0,75.0,NUMBER,19,"The Cavaliers committed 19 turnovers, not 21.",qwen_14b,p0c_sent,3260.03
S002,6,1,17,127.0,127.0,NUMBER,7,"Howard had 7 points, not 17.",qwen_14b,p0c_sent,3260.03
S002,6,2,17,127.0,127.0,NUMBER,17,"Howard had 17 rebounds, not 17 points.",qwen_14b,p0c_sent,3260.03
S002,7,1,six,154.0,154.0,NUMBER,5,"The box score shows Bazemore had 5 rebounds, not 6.",qwen_14b,p0c_sent,3260.03
S002,8,1,six,154.0,154.0,NUMBER,five,"The box score shows Bazemore had five rebounds, not six.",qwen_14b,p0c_sent,3260.03
S002,12,1,four,259.0,259.0,NUMBER,three,"The sentence states Irving had four rebounds, but the box score shows he had three.",qwen_14b,p0c_sent,3260.03
S002,13,1,11,277.0,277.0,NUMBER,12,"Kevin Love had 12 rebounds, not 11.",qwen_14b,p0c_sent,3260.03
S002,14,1,25,151.0,151.0,NUMBER,0,Tristan Thompson did not provide 25 points.,qwen_14b,p0c_sent,3260.03
