TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Wednesday,18,18,,,NAME,Friday,"The game was played on Friday, not Wednesday."
S001,2,1,30 - point,35,37,,,NUMBER,16-point,"The margin of victory was 16 points, not 30."
S001,3,1,six,16,16,,,NUMBER,4,"Isaiah Thomas had 4 assists, not six."
S001,3,2,two,19,19,,,NUMBER,2,"Isaiah Thomas had 2 rebounds, which is correct."
S001,2,3,a,13,13,,,NUMBER,1,"Isaiah Thomas had 1 steal, not a (which implies one)."
S001,4,1,a block,17,18,,,NUMBER,1,"Al Horford had 1 block, not 'a block'."
S001,2,1,18,6,6,,,NUMBER,18,"Correct, but the player's points are actually 18, not 18."
S001,5,2,12,11,11,,,NUMBER,6,"Jae Crowder had 6 rebounds, not 12."
S001,5,1,an assist,20,21,,,NUMBER,1,"Jae Crowder had 1 assist, not an assist."
S001,5,1,an assist,20,21,,,NUMBER,1,"Jae Crowder had 1 assist, not an assist."
S001,4,1,a block,17,18,,,NUMBER,1,"Al Horford had 1 block, not 'a block'."
S001,9,1,10,8,8,,,NUMBER,7,"Kelly Olynyk scored 7 points, not 10."
S001,9,2,nine,11,11,,,NUMBER,9,"Kelly Olynyk had 9 rebounds, which is correct."
S001,3,3,two,19,19,,,NUMBER,2,"Kelly Olynyk had 2 assists, which is correct."
S001,6,4,a pair,15,16,,,NUMBER,0,"Kelly Olynyk had 0 steals, not a pair."
S001,1,1,Wednesday,18,18,,,NAME,Friday,"The game is on Friday, not Wednesday."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,Incorrect team name for the home team.
S002,1,2,110 - 110,9,11,,,NUMBER,110 - 106,Incorrect final score.
S002,1,3,Saturday,18,18,,,NAME,Tuesday,Incorrect day of the week.
S002,2,1,struggling,6,6,,,WORD,undefeated,"The Cavaliers were described as the league's last undefeated team, not struggling."
S002,,1,Hawks out,,,,,WORD,Cavaliers out,Incorrect team mentioned for outscoring in the fourth quarter.
S002,3,2,37 - 20,10,12,,,NUMBER,27 - 37,"Incorrect scores for the fourth quarter; the Cavaliers scored 27, the Hawks scored 37."
S002,4,1,21,17,17,,,NUMBER,22,"The Cavaliers had 21 assists, not 22."
S002,4,2,19,20,20,,,NUMBER,6,"The Cavaliers had 6 turnovers, not 19."
S002,5,1,three,11,11,,,NUMBER,two,"The Hawks won two of their last five games, not three."
S002,6,1,17,13,13,,,NUMBER,7,"Dwight Howard scored 7 points, not 17."
S002,6,2,17,13,13,,,NUMBER,17,"Dwight Howard had 17 rebounds, which is correct."
S002,6,3,3 - of - 5,22,26,,,NUMBER,3,"Dwight Howard made 3 field goals, but the total attempts are not specified in the box score."
S002,7,1,25,9,9,,,NUMBER,23,"Bazemore actually scored 23 points, not 25."
S002,7,1,25,9,9,,,NUMBER,21,"Bazemore actually scored 21 points, not 25."
S002,9,1,Sunday,8,8,,,NAME,Wednesday,"The game is scheduled for Wednesday, not Sunday."
S002,5,1,now won,9,10,,,WORD,have,The sentence incorrectly states 'now won' instead of 'have won'.
S002,5,2,three,11,11,,,NUMBER,six,The sentence incorrectly states 'three' wins when the box score shows six wins.
S002,5,3,five,15,15,,,NUMBER,seven,The sentence incorrectly states 'five' games when the box score shows seven games played.
S002,11,1,23,16,16,,,NUMBER,29,"LeBron James scored 29 points, not 23."
S002,12,1,second,4,4,,,WORD,first,"Kyrie Irving was the leading scorer for the Cavaliers, not second."
S002,13,1,11,13,13,,,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S002,7,1,25,9,9,,,NUMBER,0,Tristan Thompson scored 0 points according to the box score.
S002,2,2,two,5,5,,,NUMBER,2,"Tristan Thompson had 2 rebounds, which is correct."
S002,12,3,four,15,15,,,NUMBER,0,Tristan Thompson had 0 assists according to the box score.
S002,9,1,Sunday,8,8,,,NAME,Friday,"The game is scheduled for Friday, not Sunday."
S003,1,1,Saturday,17,17,,,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,Friday,32,32,,,NAME,Sunday,"The game was played on Sunday, not Friday."
S003,3,1,a steal,28,29,,,NUMBER,1,"DeMar DeRozan had 1 steal, not a steal (implying more than one)."
S003,,1,16 - 10,,,,,NUMBER,"16, 10","Kyle Lowry's stats are correct, but the format should not include the hyphen."
S003,5,1,a block and,23,25,,,NUMBER,3,"Valanciunas had 3 blocks, not 1."
S003,5,1,a block and,23,25,,,NUMBER,3,"Valanciunas had 3 blocks, not 1."
S003,7,1,11,12,12,,,NUMBER,11,"Terrence Ross actually scored 11 points, which is correct."
S003,8,1,seventh,20,20,,,NUMBER,third,"The Raptors are in third place in the conference, not seventh."
S003,2,1,Friday,32,32,,,NAME,Tuesday,"The game is scheduled for Tuesday, not Friday."
S003,10,1,Elfrid Payton,7,8,,,NAME,Evan Fournier,"Evan Fournier, not Elfrid Payton, led the team in scoring."
S003,4,1,10,13,13,,,NUMBER,7,"Aaron Gordon scored 7 points, not 10."
S003,2,2,12,45,45,,,NUMBER,1,"Aaron Gordon had 1 rebound, not 12."
S003,5,1,13,11,11,,,NUMBER,13,"Correct, Elfrid Payton scored 13 points."
S003,7,2,two,15,15,,,NUMBER,3,"Elfrid Payton had 3 assists, not 2."
S003,7,3,two,15,15,,,NUMBER,2,"Elfrid Payton had 2 rebounds, which is correct."
S003,2,4,a,36,36,,,NUMBER,1,"Elfrid Payton had 1 steal, not a single steal."
S003,4,1,10,13,13,,,NUMBER,7,"Aaron Gordon scored 7 points, not 10."
S003,2,2,12,45,45,,,NUMBER,1,"Aaron Gordon had 1 rebound, not 12."
S003,7,1,11,12,12,,,NUMBER,0,"D.J. Augustin scored 0 points, not 11."
S003,4,2,three,22,22,,,NUMBER,2,"D.J. Augustin had 2 rebounds, not three."
S003,7,3,two,15,15,,,NUMBER,2,"D.J. Augustin had 2 assists, not two."
S003,14,4,a pair,21,22,,,NUMBER,2,"D.J. Augustin had 2 steals, not a pair."
S003,15,1,last place,5,6,,,WORD,first place,The Raptors are not in last place; they are leading the division according to the box score data.
S003,2,1,Friday,32,32,,,NAME,Sunday,"The game was played on Sunday, not Friday."
S004,1,1,Vivint Smart Home,16,18,,,NAME,Vivint Arena,The arena name is incorrect.
S004,2,1,one of the,10,12,,,WORD,,The statement about the Jazz being one of the best teams in the NBA this season is not supported by the provided box score data.
S004,3,1,16,20,20,,,NUMBER,31,"The Jazz outscored the Lakers by 31 points in the fourth quarter, not 16."
S004,4,1,38,14,14,,,NUMBER,39,"The Lakers' field goal percentage was 38%, but the correct percentage is 39%."
S004,4,2,24,20,20,,,NUMBER,24,"The Lakers' three-point percentage was 24%, which is correct."
S004,5,1,43 - 24,16,18,,,NUMBER,47 - 43,"The Jazz had 47 rebounds, and the Lakers had 43."
S004,6,1,Kobe Bryant,14,15,,,NAME,Brandon Ingram,Kobe Bryant is not mentioned in the box score; Brandon Ingram is the player who left the game early due to injury.
S004,7,1,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,7,2,five,15,15,,,NUMBER,4,"D'Angelo Russell had 4 rebounds, not five."
S004,7,3,five,15,15,,,NUMBER,5,"D'Angelo Russell had 5 assists, which is correct."
S004,8,1,12,15,15,,,NUMBER,10,"Luol Deng had 10 rebounds, not 12."
S004,7,1,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,7,2,five,15,15,,,NUMBER,4,"D'Angelo Russell had 4 rebounds, not five."
S004,7,3,five,15,15,,,NUMBER,5,"D'Angelo Russell had 5 assists, which is correct."
S004,8,1,12,15,15,,,NUMBER,10,"Luol Deng had 12 rebounds, but the correct number is 10."
S004,11,1,Portland Trail Blazers,12,14,,,NAME,Los Angeles Clippers,"The next game for the Lakers is against the Thunder, not the Portland Trail Blazers."
S004,12,1,now won,9,10,,,WORD,have,The sentence states 'now won' which is incorrect; it should be 'have'.
S004,12,2,four,11,11,,,NUMBER,one,"The Jazz have won one of their last five games, not four."
S004,4,1,three,23,23,,,NUMBER,2,"George Hill had 2 assists, not three."
S004,14,1,13,10,10,,,NUMBER,15,"Rudy Gobert scored 15 points, not 13."
S004,14,1,13,10,10,,,NUMBER,15,"Rudy Gobert actually had 15 points, not 13."
S004,11,1,Portland Trail Blazers,12,14,,,NAME,Los Angeles Clippers,"The Jazz are playing the Los Angeles Clippers, not the Portland Trail Blazers."
S005,1,1,15,27,27,,,NUMBER,13,"The correct number of turnovers is 13, not 15."
S005,2,1,one,27,27,,,NUMBER,two,"Paul Millsap had two steals, not one."
S005,2,1,one,27,27,,,NUMBER,two,"Paul Millsap had two steals, not one."
S005,2,1,one,27,27,,,NUMBER,0,"Dwight Howard had 0 blocks, not 1."
S005,5,1,27,7,7,,,NUMBER,8,"Kent Bazemore actually scored 8 points, not 27."
S005,5,1,27,7,7,,,NUMBER,8,"Kent Bazemore scored 8 points, not 27."
S005,7,1,Orlando,7,7,,,NAME,Atlanta,"Paul Millsap played for the Hawks, not the Magic."
S005,2,1,one,27,27,,,NUMBER,0,"Dwight Howard had 0 blocks, not 1."
S005,5,1,Kent Bazemore,1,2,,,NAME,Jeff Green,"Jeff Green, not Kent Bazemore, led the second unit with 12 points."
S005,9,2,12,8,8,,,NUMBER,8,"Kent Bazemore scored 8 points, not 12."
S005,10,1,New York Knicks,11,13,,,NAME,Houston Rockets,"The Magic are heading to Houston to play the Rockets, not the New York Knicks."
S005,10,2,Toronto Raptors,26,27,,,NAME,Utah Jazz,"The Hawks are facing the Utah Jazz, not the Toronto Raptors."
S006,1,1,defeated,9,9,,,WORD,lost to,"The Nets won, not the Rockets."
S006,1,2,Friday,22,22,,,NAME,Tuesday,"The game was played on Tuesday, not Friday."
S006,2,1,double - digit,9,11,,,NUMBER,single-digit,The Nets were not a double-digit favorite according to the box score.
S006,1,1,10,5,5,,,NUMBER,10,"Correct, but the context suggests this is a season-low, which may not be accurate without additional data."
S006,4,1,2,15,15,,,NUMBER,10,"Trevor Ariza scored 10 points, not 2."
S006,5,1,Orlando Magic,11,12,,,NAME,Wizards,"The Rockets are playing the Wizards, not the Orlando Magic, next."
S006,6,1,Brook Lopez,7,8,,,NAME,Brooklyn Nets,"The sentence incorrectly states that the Nets played without Brook Lopez, but the box score shows he played and scored 24 points."
S006,4,1,only,5,5,,,WORD,,Thaddeus Young was not the only starter in double figures; other starters also scored in double digits.
S006,1,1,Friday,22,22,,,NAME,Thursday,"The game is on Thursday, not Friday."
S007,1,1,Russell Westbrook and,1,3,,,WORD,Russell Westbrook,Redundant mention of Russell Westbrook.
S007,1,2,Sleep Train Arena,26,28,,,NAME,Golden 1 Center,Incorrect arena name.
S007,2,1,seven,10,10,,,NUMBER,4,"Westbrook had 4 steals, not 7."
S007,2,2,one,16,16,,,NUMBER,0,"Westbrook had 0 blocks, not 1."
S007,,1,10 - 18,,,,,NUMBER,11 - of - 18,"Kanter's shooting was 11-of-18, not 10-of-18."
S007,4,1,the Kings,17,18,,,CONTEXT,the Thunder,"The sentence incorrectly states the Kings' shooting percentages twice, when it should have mentioned the Thunder's percentages for the second part."
S007,2,1,four,13,13,,,NUMBER,3,"Cousins had 3 steals, not 4."
S007,2,1,21,23,23,,,NUMBER,6,"Steven Adams scored 6 points, not 21."
S007,2,2,four,13,13,,,NUMBER,1,"Steven Adams had 1 rebound, not four."
S007,2,3,one,16,16,,,NUMBER,0,"Steven Adams had 0 steals, not one."
S008,1,1,Saturday,19,19,,,NAME,Monday,"The game was played on Monday, not Saturday."
S008,1,1,Saturday,19,19,,,NAME,Monday,"The game was played on Monday, not Saturday."
S008,2,2,33 - point,41,43,,,NUMBER,25,"The Grizzlies scored 25 points in the first quarter, not 33."
S008,3,1,Marc Gasol,11,12,,,NAME,Gordon Hayward,Marc Gasol is not a Jazz player; Gordon Hayward is the leading scorer for the Jazz.
S008,3,2,22,20,20,,,NUMBER,20,"Gordon Hayward scored 20 points, not 22."
S008,4,1,seven,30,30,,,NUMBER,2,"Mike Conley had 2 assists, not seven."
S008,,1,4 - 4,,,,,NUMBER,0 - 0,"Zach Randolph made 0 of 0 three-pointers, not 4 of 4."
S008,6,1,while the,16,17,,,WORD,and,"Redundant information, the sentence should not repeat the same clause."
S008,7,1,top,25,25,,,WORD,playoff,"The Grizzlies are not battling for the top seed, but rather a playoff position."
S008,8,1,Gordon Hayward,1,2,,,NAME,Vince Carter,Gordon Hayward did not lead the Grizzlies; Vince Carter did.
S008,5,2,13,12,12,,,NUMBER,20,"Gordon Hayward scored 13 points, but the sentence refers to Vince Carter, who scored 20 points."
S008,,3,4 - 14,,,,,NUMBER,6-11,"Gordon Hayward shot 4-14, but the sentence refers to Vince Carter, who shot 6-11."
S008,3,1,22,20,20,,,NUMBER,6,"Rudy Gobert scored 6 points, not 22."
S008,3,2,9 - of - 17,23,27,,,NUMBER,2 of 3,"Rudy Gobert made 2 of 3 field goals, not 9 of 17."
S008,5,3,off the bench,28,30,,,WORD,as a starter,"Rudy Gobert started the game, not coming off the bench."
S008,6,1,while the,16,17,,,WORD,and,"Redundant information, the sentence should not repeat the same clause."
S008,11,1,Trail Blazers,14,15,,,NAME,Grizzlies,The opponent mentioned is incorrect according to the box score data.
S009,1,1,defeated,4,4,,,WORD,lost to,"The Bucks lost to the Lakers, not defeated them."
S009,1,2,122 - 122,10,12,,,NUMBER,114 - 122,"The final score was 114-122, not 122-122."
S009,1,3,Tuesday,20,20,,,NAME,Friday,"The game was played on Friday, not Tuesday."
S009,2,1,prevail,14,14,,,WORD,lose,The Bucks did not prevail; they lost the game.
S009,2,2,huge,17,17,,,WORD,close,The game was not a huge win; it was a close loss for the Bucks.
S009,2,3,road,18,18,,,WORD,home,"The game was played at home for the Bucks, not on the road."
S009,3,1,led for the,6,8,,,CONTEXT,,The Bucks did not lead for the majority of the game; the Lakers led after the first quarter.
S009,4,1,held the Lakers,10,12,,,CONTEXT,held the Bucks,The sentence incorrectly states that the Lakers held the Lakers to 29% shooting.
S009,4,2,29,14,14,,,NUMBER,53,"The correct shooting percentage for the Bucks is 53%, not 29%."
S009,5,1,four,11,11,,,NUMBER,one,"The Lakers won only one of their last five games, not four."
S009,6,1,41,13,13,,,NUMBER,14,"D'Angelo Russell scored 14 points, not 41."
S009,,2,11 - 20,,,,,NUMBER,6-9,"D'Angelo Russell shot 6-9, not 11-20."
S009,7,1,26,12,12,,,NUMBER,0,Luol Deng scored 0 points according to the box score.
S009,6,2,three,16,16,,,NUMBER,3,Luol Deng had 3 rebounds according to the box score.
S009,2,3,two,5,5,,,NUMBER,0,Luol Deng had 0 assists according to the box score.
S009,6,1,three,16,16,,,NUMBER,2,"D'Angelo Russell had 2 rebounds, not 3."
S009,9,1,New Orleans Pelicans,12,14,,,NAME,Sacramento Kings,"The next game for the Lakers is against the Sacramento Kings, not the New Orleans Pelicans."
S009,11,1,six,19,19,,,NUMBER,3,"The correct number of assists is 3, not 6."
S009,11,1,six,19,19,,,NUMBER,1,"Khris Middleton had 1 assist, not 6."
S009,11,2,six,19,19,,,NUMBER,1,"Khris Middleton had 1 rebound, not 6."
S009,12,1,18,12,12,,,NUMBER,8,"Greg Monroe scored 8 points, not 18."
S009,1,1,Milwaukee,2,2,,,NAME,Bucks,The team name should be 'Bucks' instead of 'Milwaukee'.
S010,1,1,Friday,18,18,,,NAME,"January 4, 2017","The game was played on January 4, 2017, not Friday."
S010,3,1,11 ties,6,7,,,NUMBER,0,The box score does not show any ties.
S010,3,2,11 lead changes,9,11,,,NUMBER,0,The box score does not show any lead changes.
S010,3,3,more than 11,20,22,,,NUMBER,19,"The game was won by 19 points, which is the largest lead."
S010,4,1,53,18,18,,,NUMBER,32,"Orlando's three-point percentage was 32%, not 53%."
S010,5,1,27,13,13,,,NUMBER,27,"The number of assists is correct, but the context is incorrect as the sentence mixes up assists and rebounds."
S010,5,2,12,16,16,,,NUMBER,12,"The number of turnovers is correct, but the context is incorrect as the sentence mixes up assists and rebounds."
S010,6,1,19 - 16,4,6,,,NUMBER,19-15,The Hawks' record is incorrect; it should be 19-15 based on the box score.
S010,7,1,7,22,22,,,NUMBER,6,"Dennis Schroder made 6 field goals, not 7."
S010,5,1,17,23,23,,,NUMBER,15,"Kent Bazemore actually scored 15 points, not 17."
S010,10,1,New Orleans Pelicans,11,13,,,NOT_CHECKABLE,,No information about future games or opponents is provided in the box score.
S010,12,1,Nikola Vucevic,1,2,,,NAME,Dennis Schroeder,"Dennis Schroeder was the player of the game, not Nikola Vucevic."
S010,12,2,10,13,13,,,NUMBER,15,"Nikola Vucevic scored 15 points, not 10."
S010,13,1,one,15,15,,,NUMBER,1,"Correct, as Fournier had 1 rebound."
S010,13,2,one,15,15,,,NUMBER,1,"Correct, as Fournier had 1 assist."
S010,12,1,10 points,13,14,,,NUMBER,10,"Vucevic actually scored 10 points, but the sentence implies he scored more than 10 points for the double-double."
S010,14,2,10 rebounds,13,14,,,NUMBER,6,"Vucevic actually had 6 rebounds, not 10."
S010,13,1,one,15,15,,,NUMBER,4,"Evan Fournier had 4 rebounds, not 1."
S010,16,1,Toronto,15,15,,,NAME,Atlanta,"The opponent should be Atlanta, not Toronto."
S011,1,1,Tuesday,22,22,,,NAME,Wednesday,"The game was played on Wednesday, not Tuesday."
S011,2,1,18,20,20,,,NUMBER,18,The Wizards' first-quarter points are correct.
S011,3,1,28 - 18,11,13,,,NUMBER,18 - 28,"The Hawks outscored the Wizards 18-28 in the third quarter, not 28-18."
S011,3,2,coast to a,25,27,,,WORD,struggle for a,The Wizards did not coast to a victory; they lost the game.
S011,3,3,victory,28,28,,,WORD,defeat,The Wizards did not achieve a victory; they suffered a defeat.
S011,4,1,44,10,10,,,NUMBER,42,The Hawks' three-point percentage is incorrect.
S011,5,1,14,11,11,,,NUMBER,12,"The Wizards committed 12 turnovers, not 14."
S011,6,1,John Wall,9,10,,,NAME,Jeff Teague,"John Wall is a Wizard, not a Hawk; Jeff Teague is the correct player for the Hawks."
S011,6,2,Bradley Beal,12,13,,,NAME,Kyle Korver,"Bradley Beal is a Wizard, not a Hawk; Kyle Korver is mentioned as part of the Hawks' lineup."
S011,7,1,seven,40,40,,,NUMBER,5,"John Wall had 5 rebounds, not 7."
S011,8,1,54,17,17,,,NUMBER,41,Incorrect total points over the last two games.
S011,5,2,14,11,11,,,NUMBER,13,Incorrect total rebounds over the last two games.
S011,9,1,11,14,14,,,NUMBER,11,"Correct, but the box score shows 11 points, which matches the text."
S011,9,2,4 - 7,17,19,,,NUMBER,4-7,"Correct, but the box score shows 4-7 FG, which matches the text."
S011,9,3,2 - 3,22,24,,,NUMBER,2-3,"Correct, but the box score shows 2-3 3PT, which matches the text."
S011,9,4,1 - 2,27,29,,,NUMBER,1-2,"Correct, but the box score shows 1-2 FT, which matches the text."
S011,9,5,11,14,14,,,NUMBER,11,"Correct, but the box score shows 11 rebounds, which matches the text."
S011,10,1,21,18,18,,,NUMBER,20,"Al Horford averaged 20 points, not 21, in his last two games."
S011,5,2,12,17,17,,,NUMBER,10,"Al Horford averaged 10 rebounds, not 12, in his last two games."
S011,11,1,8,17,17,,,NUMBER,9,"Bradley Beal made 9 field goals, not 8."
S011,1,2,19,16,16,,,NUMBER,13,"Bradley Beal attempted 13 field goals, not 19."
S011,11,3,0 - 4,22,24,,,NUMBER,4 - 7,"Bradley Beal made 4 of 7 three-point attempts, not 0 of 4."
S011,11,4,7 - 10,27,29,,,NUMBER,3 - 4,"Bradley Beal made 3 of 4 free throws, not 7 of 10."
S011,12,1,16,5,5,,,NUMBER,14,"Al Horford's average points per game is 14, not 16."
S011,12,2,6,8,8,,,NUMBER,7,"Al Horford's average rebounds per game is 7, not 6."
S011,13,1,10 - 24,21,23,,,NUMBER,10-24,"Correct, but redundant as it matches the original."
S011,13,2,0 - 1,26,28,,,NUMBER,0-1,"Correct, but redundant as it matches the original."
S011,13,3,1 - 1,31,33,,,NUMBER,1-1,"Correct, but redundant as it matches the original."
S011,14,1,New Orleans Pelicans,12,14,,,NAME,Golden State Warriors,"The Hawks' next game is against the Golden State Warriors, not the New Orleans Pelicans."
S011,14,2,Cleveland Cavaliers,27,28,,,NAME,Charlotte,"The Wizards' next game is against Charlotte, not the Cleveland Cavaliers."
S012,1,1,Friday,19,19,,,NAME,Saturday,"The game was played on Saturday, not Friday."
S012,2,1,21 - 25,4,6,,,NUMBER,15 - 32,Incorrect record for the Suns.
S012,2,2,21 - 25,4,6,,,NUMBER,21 - 25,"Correct record for the Nuggets, but incorrectly applied to the Suns."
S012,3,1,eight,22,22,,,NUMBER,7,"Gallinari had 7 rebounds, not 8."
S012,4,1,15,6,6,,,NUMBER,18,"Gary Harris scored 18 points, not 15."
S012,4,2,seven,9,9,,,NUMBER,1,"Gary Harris had 1 rebound, not seven."
S012,4,3,four,12,12,,,NUMBER,4,"Gary Harris had 4 assists, which is correct."
S012,4,4,two,15,15,,,NUMBER,2,"Gary Harris had 2 steals, which is correct."
S012,4,5,six,23,23,,,NUMBER,6,"Wilson Chandler scored 6 points, which is correct."
S012,4,6,three,26,26,,,NUMBER,3,"Wilson Chandler had 3 rebounds, which is correct."
S012,3,7,one,25,25,,,NUMBER,1,"Wilson Chandler had 1 steal, which is correct."
S012,4,1,three,26,26,,,NUMBER,6,"Jameer Nelson had 6 rebounds, not three."
S012,5,1,17,5,5,,,NUMBER,17,"Correct, Jameer Nelson did score 17 points."
S012,4,2,three,26,26,,,NUMBER,6,"Jameer Nelson had 6 rebounds, not three."
S012,4,3,six,23,23,,,NUMBER,6,"Jameer Nelson had 6 assists, not six."
S012,3,4,one,25,25,,,NUMBER,1,"Jameer Nelson had 1 steal, not one."
S012,4,5,six,23,23,,,NUMBER,6,"Wilson Chandler scored 6 points, not six."
S012,4,6,three,26,26,,,NUMBER,3,"Wilson Chandler had 3 rebounds, not three."
S012,3,7,one,25,25,,,NUMBER,1,"Wilson Chandler had 1 steal, not one."
S012,7,1,15 - 32,4,6,,,NUMBER,21-25,Incorrect record for the Nuggets.
S012,7,2,Devin Booker,11,12,,,NAME,Danilo Gallinari,Devin Booker did not lead the Nuggets; Danilo Gallinari did.
S012,7,3,23,16,16,,,NUMBER,32,Incorrect points for Devin Booker; should be 32 for Danilo Gallinari.
S012,4,4,four,12,12,,,NUMBER,8,Incorrect rebounds for Devin Booker; should be 8 for Danilo Gallinari.
S012,4,5,two,15,15,,,NUMBER,1,Incorrect assists for Devin Booker; should be 1 for Danilo Gallinari.
S012,3,6,one,25,25,,,NUMBER,2,Incorrect steals for Devin Booker; should be 2 for Danilo Gallinari.
S012,3,7,one,25,25,,,NUMBER,0,Incorrect blocks for Devin Booker; should be 0 for Danilo Gallinari.
S012,8,1,Tyson Chandler,1,2,,,CONTEXT,,Repetition of Tyson Chandler's stats in the same sentence is redundant and incorrect.
S012,4,1,two,15,15,,,NUMBER,2,Correct number of steals for Tyson Chandler.
S012,1,1,the Phoenix Suns,5,7,,,NAME,the Grizzlies,Incorrect team name mentioned for the next game.
