TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S002,6,1,110,,,11,11,NUMBER,,
S002,9,1,28,,,,,NUMBER,24.0,"Schroder's season-high 28 points led the Hawks, which he complemented with six assists and two rebounds."
S002,13,1,29,,,256,256,NUMBER,,"Irving's game-high 29 points led the team, which he needed a whopping 27 shot attempts to get to."
S002,15,1,24,,,274,274,NUMBER,,"Love continued his stretch of excellent early-season play, supplying 24 points, 12 rebounds, three assists and two steals."
S002,17,1,23,,,236,236,NUMBER,,"James registered a typically full stat line of 23 points, nine rebounds, five assists and three steals."
S002,19,1,13,,,,,NUMBER,,"Frye led the reserves with 13 points, seven rebounds and an assist."
S003,1,2,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,2,3,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,3,4,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,4,5,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,5,6,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,6,7,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,7,8,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,8,9,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,9,10,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,10,11,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,11,12,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,12,13,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,13,14,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,14,15,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,15,16,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,16,17,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,17,18,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,18,19,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,19,20,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,20,21,79,,,11,11,NUMBER,,Box score shows 79 points.
S003,21,22,109,,,9,9,NUMBER,,Box score shows 109 points.
S003,22,23,79,,,11,11,NUMBER,,Box score shows 79 points.
