TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,The Boston Celtics defeated the Los Angeles Lakers,1,8,,,CONTEXT,"The Celtics won the game, but the sentence does not specify the score or the location.",The sentence is incomplete.
S001,3,1,six assists,16,17,,,NUMBER,seven assists,"Isaiah Thomas had seven assists, not six."
S001,4,1,right behind,4,5,,,CONTEXT,behind is not a word in this context,behind is not a word in this context
S001,4,1,eight assists,14,15,,,NUMBER,eight assists,"Al Horford had eight assists, not eight assists and a block."
S002,6,1,17 points,13,14,,,NUMBER,7,Incorrect number of points scored by Dwight Howard.
S002,7,1,n't,4,4,,,WORD,wasn't,Typo in contraction.
S002,12,1,second on the team,4,7,,,CONTEXT,Kevin Love finished first on the team,"Kevin Love led the team in points, not finished second"
S002,14,1,Tristan Thompson,1,2,,,NAME,Tristan Thompson is not present in the box score data,Player name not found in box score data
S003,1,1,Saturday evening,17,18,,,CONTEXT,Sunday,Incorrect day of the week
S004,5,1,43 - 24,16,18,,,NUMBER,47-43,Incorrect rebounding numbers.
S005,1,1,35 percent success rate from the floor,8,14,,,NUMBER,35,The box score does not provide the success rate from the floor.
S006,1,1,Friday,22,22,,,CONTEXT,Tuesday,Incorrect day of the week.
S006,2,1,double - digit,9,11,,,NUMBER,double-digit,The phrase should be 'double-digit' instead of 'double - digit'.
S006,3,1,They were led by James Harden,1,6,,,CONTEXT,The Nets were led by their outstanding frontcourt duo of Brook Lopez and Thaddeus Young,"The sentence is misleading as it implies Harden led the team, but the box score shows Harden had a disappointing outing."
S006,9,1,The Nets will look to keep this momentum going against the Atlanta Hawks on Friday,1,15,,,NOT_CHECKABLE,,No information in box score to verify this sentence.
S007,3,1,29 points on 10 - of - 18 shooting,19,27,,,NUMBER,29 points on 10-of-18 shooting,Incorrect shooting percentage.
S008,2,1,Saturday 's contest,11,13,,,CONTEXT,Tuesday,The story says Saturday but the box score says Tuesday.
S008,6,1,48 percent from the field and 29 percent from long range,4,14,,,NOT_CHECKABLE,,The box score does not provide information about the Jazz shooting percentages.
S008,8,1,4 - of - 14,14,18,,,NUMBER,4-of-14,"FGM is 4, not 4-of-14"
S008,3,1,9 - of - 17,23,27,,,NUMBER,9-of-17,Incorrect shooting percentage.
S009,7,1,Luol Deng was second on the team,1,7,,,CONTEXT,Luol Deng was not second on the team in scoring,Luol Deng did not have the second most points on the team.
S009,8,1,D'Angelo Russell was the only other starter in double figures,1,10,,,WORD,D'Angelo Russell was the only other starter in double figures,Incorrectly stated as the only other starter in double figures
S009,14,1,Friday,10,10,,,CONTEXT,no specific date,"The story does not specify the date of the game, only the day of the week."
S010,7,1,7 - of - 13,22,26,,,NUMBER,7-of-13,Incorrect shooting percentage.
S010,11,1,16 - 21,4,6,,,NUMBER,19-16,Incorrect win-loss record.
S012,1,1,Friday,19,19,,,WORD,Saturday,Incorrect day of the week
S012,8,1,12 rebounds,8,9,,,NUMBER,13,"Tyson Chandler had 13 rebounds, not 12."
S014,2,1,34 - 21,19,21,,,NUMBER,34-21,The box score does not contain the score for the first quarter.
S014,6,1,37,5,5,,,NUMBER,57,The correct total is 57 points.
S014,8,1,56,16,16,,,NUMBER,57,Incorrect total points
S015,3,1,They were also able,1,4,,,CONTEXT,Toronto,"Misleading context, as the subject of the sentence is unclear."
S015,4,1,8 - 18 FG,15,18,,,NUMBER,"8-18 FG is correct, but 1-4 3Pt is the correct 3Pt stats",Incorrect 3Pt stats
S015,5,1,"10 - 17 FG , 0 - 1 3Pt",11,19,,,NUMBER,"10-17 FG, 10-13 FT",Incorrect 3Pt stats.
S015,6,1,"7 - 15 FG , 5 - 10 3Pt , 1 - 1 FT",40,53,,,NUMBER,"5-10 FG, 7-15 over-all from the field, 1-1 FT",Incorrect field goal and 3-point shot numbers.
